time,sy,nc,dx,,,,sum
2212,1.63,3.22,1.31,0,0,0,0
2209,1.66,3.29,1.32,0,1,0,0
2206,1.67,3.3,1.34,0,1,0,0
2203,1.69,3.37,1.35,0,1,0,0
2112,1.73,3.63,1.37,0,1,0,0
2109,1.75,3.59,1.43,1,1,0,1
2106,1.76,3.58,1.45,1,1,0,1
2103,1.8,3.7,1.47,1,1,1,1
2012,1.84,3.88,1.52,1,1,1,1
2009,1.96,4.17,1.5,1,1,1,1
2006,1.94,4.22,1.45,1,1,0,1
2003,1.91,4.09,1.39,1,1,0,1
1912,1.86,3.9,1.38,1,1,0,0
1909,1.86,4,1.32,1,1,0,0
1906,1.81,3.95,1.26,1,1,0,0
1903,1.8,4.05,1.32,1,1,0,0
1812,1.83,3.96,1.41,1,1,0,0
1809,1.87,4.23,1.47,1,1,1,1
1806,1.86,4.29,1.48,1,1,1,1
1803,1.75,3.26,1.5,1,0,1,1
1712,1.74,3.16,1.53,1,0,1,1
1709,1.74,2.95,1.54,1,0,1,0
1706,1.74,2.81,1.6,1,0,1,0
1703,1.74,2.55,1.64,1,0,1,0
1612,1.74,2.49,1.68,1,0,1,0
1609,1.76,2.74,1.67,1,0,1,0
1606,1.75,2.62,1.69,1,0,1,1
1603,1.75,2.56,1.72,1,0,1,1
1512,1.67,2.48,1.66,0,0,1,0
1509,1.59,2.35,1.54,0,0,1,0
1506,1.5,2.2,1.48,0,0,1,0
1503,1.39,2.03,1.38,0,0,0,0
1412,1.25,1.87,1.23,0,0,0,0
