time,收盘价,涨跌,ln,dln,per,涨跌幅,成交量,lncjl,成交金额,lncjje,振幅,jc,持仓量,lnccl,持仓量变化
150416,7707.8,-110.8,8.949988082,0,-0.014375049,-1.4171,116888,11.66897149,1.79E+11,25.91224746,3.9623,-204.288,6643,8.801318948,0
150417,7758.2,115.4,8.956505628,0.006517545,0.014874584,1.5099,114214,11.64582916,1.78E+11,25.90583549,3.763,-222.56,9144,9.120853205,2501
150420,7622.2,-181.2,8.938820321,-0.017685307,-0.023772664,-2.3221,98781,11.50066056,1.53E+11,25.75070324,3.5241,-217.701,10706,9.278559611,1562
150421,8140.4,519.2,9.004594598,0.065774277,0.06378065,6.8126,132545,11.79467749,2.09E+11,26.06739397,6.6499,27.713,16732,9.725078333,6026
150422,8189.8,134.2,9.010644757,0.006050159,0.016386237,1.6659,121034,11.70382678,1.98E+11,26.0096971,1.656,-133.627,14854,9.606024468,-1878
150423,8265.6,68.4,9.019857603,0.009212846,0.008275261,0.8344,132278,11.79266105,2.19E+11,26.11021838,2.6643,-145.103,14805,9.602720241,-49
150424,8327.2,60.8,9.027282544,0.007424941,0.007301374,0.7355,126381,11.74705643,2.08E+11,26.05978314,2.734,-91.895,14603,9.588982266,-202
150427,8347.2,39.6,9.029681432,0.002398888,0.004744106,0.4767,125335,11.73874543,2.11E+11,26.07305385,3.0815,-165.816,15187,9.628195078,584
150428,8147,-214.6,9.00540504,-0.024276392,-0.026340984,-2.5665,164120,12.00835315,2.69E+11,26.31769367,4.8723,-119.483,15900,9.674074388,713
150429,8302.2,214.8,9.024275819,0.018870779,0.02587266,2.656,134158,11.80677349,2.21E+11,26.11964619,2.8439,-126.054,17677,9.780019639,1777
150430,8338.8,62.6,9.0286746,0.004398781,0.007507075,0.7564,120118,11.69622987,2.01E+11,26.02487866,1.4113,-130.873,16354,9.702227795,-1323
150504,8347.2,-8.2,9.029681432,0.001006832,-0.000982365,-0.0981,101734,11.53011684,1.69E+11,25.85365173,3.8897,-163.281,16271,9.697139661,-83
150505,8145,-177.4,9.005159521,-0.024521911,-0.021780233,-2.1316,109987,11.60811746,1.81E+11,25.92072367,3.064,-54.344,15884,9.673067592,-387
150506,8040.8,-98.4,8.99228386,-0.012875661,-0.012237588,-1.209,111973,11.62601305,1.83E+11,25.93327375,3.8161,-42.199,15456,9.645752556,-428
150507,7911.4,-147,8.976060036,-0.016223823,-0.018580782,-1.8242,109599,11.60458353,1.75E+11,25.88578727,2.0724,7.922,15127,9.624236506,-329
150508,8171.2,242.6,9.008371056,0.03231102,0.029689642,3.0598,121062,11.70405809,1.94E+11,25.99302175,3.1582,-30.093,16258,9.696340374,1131
150511,8489.8,386.8,9.046620722,0.038249666,0.045560555,4.7735,124722,11.73384254,2.07E+11,26.05805928,4.4922,-68.418,16314,9.699778914,56
150512,8647.8,205.2,9.065060232,0.01843951,0.023728578,2.4305,152019,11.93176079,2.59E+11,26.28049677,2.7551,-97.878,14671,9.593628035,-1643
150513,8695.8,98.2,9.070595429,0.005535197,0.011292808,1.1422,189658,12.15297773,3.28E+11,26.51739757,3.3381,-129.129,14624,9.590419294,-47
150514,8760.4,69.6,9.077996845,0.007401416,0.007944843,0.8008,112711,11.6325823,1.97E+11,26.00617417,1.9377,-52.993,8971,9.101752432,-5653
150515,8579.8,-174.4,9.057165882,-0.020830963,-0.020326814,-1.9922,182662,12.11539273,3.13E+11,26.47103756,2.6958,-163.085,28064,10.2422429,19093
150518,8798.4,147,9.082325166,0.025159284,0.016707583,1.6991,202968,12.22080361,3.55E+11,26.59593035,2.7995,-105.195,32183,10.37919364,4119
150519,9120.8,323.8,9.118312799,0.035987633,0.035501272,3.6808,228488,12.33923897,4.08E+11,26.73513732,4.7539,-4.033,33556,10.42097096,1373
150520,9286.8,184.6,9.136349316,0.018036518,0.019877676,2.0281,239847,12.3877565,4.48E+11,26.82706452,3.8716,9.469,35302,10.4716949,1746
150521,9734.6,423.2,9.183441828,0.047092512,0.043473795,4.545,256460,12.45472799,4.88E+11,26.91265675,4.8757,115.377,38615,10.56139608,3313
