time,收盘价,涨跌,ln,dln,per,涨跌幅,normcjl,成交量,lncjl,normcje,成交金额,lncjje,振幅,jc,normccl,持仓量,lnccl,持仓量变化,junzhi,biaozhuncha,jianyan,1-jy,zjianyan
150416,7707.8,-110.8,8.949988082,0,-0.014375049,-1.4171,1.301368626,116888,11.66897149,1.27 ,1.79E+11,25.91224746,3.9623,-204.288,-1.165953225,6643,8.801318948,0,-0.00023436,0.020092259,0.089054579,0.910945421,0.084109785
150417,7758.2,115.4,8.956505628,0.006517545,0.014874584,1.5099,1.249384812,114214,11.64582916,1.25 ,1.78E+11,25.90583549,3.763,-222.56,-1.105448559,9144,9.120853205,2501,10.36154068,0.99774597,0.355371588,0.644628412,0.343427838
150420,7622.2,-181.2,8.938820321,-0.017685307,-0.023772664,-2.3221,0.949360051,98781,11.50066056,0.98 ,1.53E+11,25.75070324,3.5241,-217.701,-1.067660358,10706,9.278559611,1562,24.3663862,1.027902421,0.954366008,0.045633992,0.953432015
150421,8140.4,519.2,9.004594598,0.065774277,0.06378065,6.8126,1.605748052,132545,11.79467749,1.60 ,2.09E+11,26.06739397,6.6499,27.713,-0.921878222,16732,9.725078333,6026,-50.66549395,87.87595744,2.99848E-08,0.99999997,5.27388E-09
150422,8189.8,134.2,9.010644757,0.006050159,0.016386237,1.6659,1.381968812,121034,11.70382678,1.48 ,1.98E+11,26.0096971,1.656,-133.627,-0.967311154,14854,9.606024468,-1878,10.57245766,0.87834051,4.82421E-57,1,0
150423,8265.6,68.4,9.019857603,0.009212846,0.008275261,0.8344,1.600557447,132278,11.79266105,1.71 ,2.19E+11,26.11021838,2.6643,-145.103,-0.968496572,14805,9.602720241,-49,65234319201.38 ,89862231845.61 ,,,0.00 
150424,8327.2,60.8,9.027282544,0.007424941,0.007301374,0.7355,1.485917,126381,11.74705643,1.59 ,2.08E+11,26.05978314,2.734,-91.895,-0.973383394,14603,9.588982266,-202,49946.78496,51439.0878,,,0.00 
150427,8347.2,39.6,9.029681432,0.002398888,0.004744106,0.4767,1.46558227,125335,11.73874543,1.62 ,2.11E+11,26.07305385,3.0815,-165.816,-0.959255155,15187,9.628195078,584,6.20517E-11,1,,,0
150428,8147,-214.6,9.00540504,-0.024276392,-0.026340984,-2.5665,2.219580866,164120,12.00835315,2.27 ,2.69E+11,26.31769367,4.8723,-119.483,-0.942006124,15900,9.674074388,713,0.00 ,54838.43954,41335.65437,,
150429,8302.2,214.8,9.024275819,0.018870779,0.02587266,2.656,1.637105529,134158,11.80677349,1.73 ,2.21E+11,26.11964619,2.8439,-126.054,-0.899016602,17677,9.780019639,1777,-6.46143E-11,1,,,
150430,8338.8,62.6,9.0286746,0.004398781,0.007507075,0.7564,1.364161342,120118,11.69622987,1.51 ,2.01E+11,26.02487866,1.4113,-130.873,-0.931022869,16354,9.702227795,-1323,-0.005710287,0.042414154,,,
150504,8347.2,-8.2,9.029681432,0.001006832,-0.000982365,-0.0981,1.006767757,101734,11.53011684,1.15 ,1.69E+11,25.85365173,3.8897,-163.281,-0.933030821,16271,9.697139661,-83,10.26028514,1.429899343,,,
