ln,dln,per,lncjl,lncjje,jc,lnccl
8.949988082,0,-0.014375049,11.66897149,25.91224746,-204.288,8.801318948
8.956505628,0.006517545,0.014874584,11.64582916,25.90583549,-222.56,9.120853205
8.938820321,-0.017685307,-0.023772664,11.50066056,25.75070324,-217.701,9.278559611
9.004594598,0.065774277,0.06378065,11.79467749,26.06739397,27.713,9.725078333
9.010644757,0.006050159,0.016386237,11.70382678,26.0096971,-133.627,9.606024468
9.019857603,0.009212846,0.008275261,11.79266105,26.11021838,-145.103,9.602720241
9.027282544,0.007424941,0.007301374,11.74705643,26.05978314,-91.895,9.588982266
9.029681432,0.002398888,0.004744106,11.73874543,26.07305385,-165.816,9.628195078
9.00540504,-0.024276392,-0.026340984,12.00835315,26.31769367,-119.483,9.674074388
9.024275819,0.018870779,0.02587266,11.80677349,26.11964619,-126.054,9.780019639
9.0286746,0.004398781,0.007507075,11.69622987,26.02487866,-130.873,9.702227795
9.029681432,0.001006832,-0.000982365,11.53011684,25.85365173,-163.281,9.697139661
9.005159521,-0.024521911,-0.021780233,11.60811746,25.92072367,-54.344,9.673067592
8.99228386,-0.012875661,-0.012237588,11.62601305,25.93327375,-42.199,9.645752556
8.976060036,-0.016223823,-0.018580782,11.60458353,25.88578727,7.922,9.624236506
9.008371056,0.03231102,0.029689642,11.70405809,25.99302175,-30.093,9.696340374
9.046620722,0.038249666,0.045560555,11.73384254,26.05805928,-68.418,9.699778914
9.065060232,0.01843951,0.023728578,11.93176079,26.28049677,-97.878,9.593628035
9.070595429,0.005535197,0.011292808,12.15297773,26.51739757,-129.129,9.590419294
9.077996845,0.007401416,0.007944843,11.6325823,26.00617417,-52.993,9.101752432
9.057165882,-0.020830963,-0.020326814,12.11539273,26.47103756,-163.085,10.2422429
9.082325166,0.025159284,0.016707583,12.22080361,26.59593035,-105.195,10.37919364
9.118312799,0.035987633,0.035501272,12.33923897,26.73513732,-4.033,10.42097096
9.136349316,0.018036518,0.019877676,12.3877565,26.82706452,9.469,10.4716949
9.183441828,0.047092512,0.043473795,12.45472799,26.91265675,115.377,10.56139608
9.184119592,0.000677764,0.011415431,12.56240703,27.03941293,-36.971,10.53760103
9.206994782,0.022875189,0.022715871,12.47897732,26.9720007,-73.49,10.59255141
9.26219251,0.055197728,0.05248666,12.46444047,27.00097901,158.62,10.61761314
9.264070694,0.001878184,0.013703563,12.63572943,27.1954405,54.66,10.66429338
9.208057769,-0.056012926,-0.064567213,12.79598483,27.34533025,108.776,10.60035281
9.222367752,0.014309983,-0.000573066,12.77882463,27.30319624,154.155,10.59810865
9.307975121,0.085607368,0.081501233,12.45696754,27.02321403,537.29,10.72249616
9.328158963,0.020183842,0.034185451,12.54542288,27.15760911,364,10.69364801
9.314988634,-0.013170329,-0.01511276,12.72150066,27.34139484,123.21,10.70025123
9.29368838,-0.021300254,-0.025227248,12.83776986,27.41507416,-96.21,10.48592661
9.301003407,0.007315027,0.017170518,12.73036321,27.33168193,-195.52,10.4334391
9.268854533,-0.032148874,-0.03174693,12.63054268,27.20060128,-428.32,10.36508091
9.278036403,0.00918187,-0.000112145,12.68250246,27.25993063,-313.34,10.37214653
9.304540845,0.026504442,0.027084585,12.65183801,27.25397766,-220.2577,10.44761255
9.328905324,0.024364479,0.013642662,12.49789115,27.11115763,-107.4931,10.41774727
9.343804262,0.014898938,0.019933846,12.44407722,27.08382619,-118.0906,10.2870819
9.326219374,-0.017584888,-0.020732772,12.37769551,27.01130123,-104.292,10.22451977
9.29090602,-0.035313354,-0.040944737,12.59868214,27.19283584,-40.8358,9.946403354
9.308682315,0.017776295,0.021534613,12.44904235,27.03473229,-67.1456,9.652137409
9.275434988,-0.033247327,-0.033393925,11.73798718,26.34183087,-58.7787,8.82585367
9.209339872,-0.066095117,-0.081841842,12.86293181,27.400782,2.5926,10.36970276
9.196505105,-0.012834767,-0.024151846,12.80218566,27.29527554,-184.2849,10.45103076
9.216123617,0.019618512,0.015470272,12.72489918,27.23048425,-209.6266,10.32328282
9.146505603,-0.069618014,-0.065255394,12.78174737,27.27587034,-524.5037,10.28517213
9.062883903,-0.083621701,-0.111090509,12.59823635,27.00121708,-449.0648,10.34849384
8.957819502,-0.105064401,-0.111091087,12.82155554,27.13353733,-716.2434,10.1774763
9.029537661,0.071718159,0.059693266,12.9422434,27.2398765,-560.0202,10.14096784
8.923910848,-0.105626813,-0.111087437,12.94520606,27.280912,-902.5097,10.12169896
8.944785021,0.020874173,-0.035133937,13.12739669,27.38219494,-167.3035,9.938227086
8.909883718,-0.034901304,-0.017610199,12.91811027,27.13396042,49.309,10.10663246
8.914626128,0.00474241,0.002043011,12.75377489,26.94430305,204.001,10.08439144
8.782046663,-0.132579465,-0.111107701,11.75119405,25.8922123,-247.3263,10.00360434
8.692255127,-0.089791535,-0.11110365,10.5205633,24.57673936,-645.7735,9.625359693
8.78755615,0.095301023,0.090900766,9.745839096,23.79893203,-344.1516,9.497997444
8.882863555,0.095307405,0.090906568,9.315600883,23.48776718,-37.3842,9.368625351
8.931895505,0.04903195,0.047849292,11.46711187,25.71584676,-126.0351,9.238052811
8.941807118,0.009911613,-0.014545455,11.66656459,25.9182297,-214.0574,8.830104318
8.872907674,-0.068899444,-0.08125,11.43818037,25.6362652,-269.2945,8.626764828
8.926889336,0.053981662,0.050505855,10.89677636,25.10644063,-46.9585,7.510977752
8.969236495,0.042347159,0.04576461,11.81061232,26.03818688,-137.0971,9.28377669
8.934455109,-0.034781386,-0.025510607,12.15224456,26.40304434,-527.4956,9.322507669
8.950921765,0.016466655,0.0017628,12.13309865,26.37955791,-505.4627,9.190545745
8.958411469,0.007489704,0.00854239,11.92642488,26.18161448,-547.2364,9.270400128
9.034318928,0.075907459,0.074982113,12.05664994,26.35134478,-165.9909,9.338909473
8.98469369,-0.049625237,-0.049122807,12.13074008,26.45704291,-445.0739,9.379069975
8.901284839,-0.083408851,-0.111095976,11.94314172,26.21841897,-452.7809,9.400547423
8.884748726,-0.016536113,-0.051350229,12.03680156,26.22560473,-428.8199,9.34145635
8.949339178,0.064590452,0.057719271,12.09516902,26.29473127,-319.9956,9.317129866
8.886270902,-0.063068276,-0.035121681,12.15682988,26.38012712,-568.5799,9.336532397
8.909100135,0.022829233,0.00359508,11.91764363,26.12416575,-328.0608,9.270964994
8.862936603,-0.046163532,-0.041555795,11.4970806,25.6715508,-475.0053,9.341017696
8.943453898,0.080517294,0.073626201,11.78680776,25.99771001,-284.4952,9.333442569
8.92084332,-0.022610578,-0.015948921,11.67924466,25.91188781,-352.9375,9.280146246
8.928693385,0.007850065,-0.001510854,11.71883333,25.94880504,-246.6278,9.309099144
8.968421665,0.03972828,0.036987976,11.78685338,26.05237279,-162.1187,9.34862296
9.027618735,0.05919707,0.058991597,11.59031234,25.89467492,-64.0862,9.431481921
9.011962601,-0.015656134,-0.018974221,11.55034648,25.87342639,-234.7271,9.311361486
8.997419392,-0.01454321,-0.024424043,11.64139783,25.95150385,-254.1365,9.269363712
9.029513697,0.032094306,0.025090465,11.63424004,25.94627036,-188.6288,9.319912008
9.035629778,0.006116081,0.008765035,11.66668464,26.00657944,-228.2423,9.284983915
9.066354521,0.030724743,0.028271163,11.64803311,25.99157201,-161.4567,9.259606613
8.96213539,-0.104219131,-0.10656242,11.82248155,26.14450631,-359.2687,9.044167717
9.005920435,0.043785045,0.034277162,11.67409999,25.94737623,-189.7828,8.633018757
8.98757175,-0.018348684,-0.012995127,10.90947273,25.21199384,-46.5116,8.053887084
8.882863555,-0.104708195,-0.12001554,12.06594239,26.26684035,-405.5024,9.53343785
8.78318165,-0.099681905,-0.111104298,11.39697575,25.50902479,-482.5885,9.653358136
8.677848385,-0.105333265,-0.111080833,11.76600056,25.79043645,-610.0117,9.639001038
8.594191269,-0.083657116,-0.087256028,12.03920309,25.99892213,-838.3256,9.656691473
8.687475905,0.093284636,0.060861644,12.02119984,25.9862378,-527.8548,9.636000187
8.764459437,0.076983532,0.090900572,11.77485117,25.78622729,-440.2938,9.622913492
8.693060632,-0.071398805,-0.052873486,11.35993744,25.36677192,-619.9127,9.499421465
8.589141691,-0.103918941,-0.109063838,11.60023097,25.52737167,-796.2072,9.558458813
8.589885877,0.000744186,-0.01123303,11.97524968,25.88206221,-745.5533,9.581559041
8.664750756,0.074864879,0.070992235,9.367087678,23.3347423,-348.5566,9.312174678
8.761393485,0.096642729,0.090897697,9.290629203,23.29808794,8.1449,9.159993998
8.75919775,-0.002195735,0.016015073,9.12489141,23.19214589,-182.0072,9.148571346
8.751316247,-0.007881504,-0.00822915,8.763271714,22.81771803,-121.3093,9.117457244
8.767173397,0.01585715,0.010778816,8.72972059,22.79132511,-73.3191,9.094592763
8.658380205,-0.108793192,-0.111076378,9.006141237,23.02698598,-291.5904,8.935771939
8.641815011,-0.016565193,-0.024048308,8.841737429,22.79746501,-44.4299,8.84101431
8.707945774,0.066130762,0.063297415,8.95001403,22.92284547,-34.0367,8.630343289
8.691986482,-0.015959292,-0.011788413,8.326032686,22.33658676,-10.409,8.198639455
8.670772279,-0.021214202,-0.041543739,9.065198986,23.02394768,-206.8814,8.905308661
8.727486531,0.056714252,0.059479433,9.214531577,23.20253448,-80.2393,9.058121159
8.712398067,-0.015088464,6.58E-05,9.135185698,23.1497188,-218.1258,9.076008659
8.696242734,-0.016155333,-0.019630794,9.110630528,23.1095333,-244.2006,9.105424202
8.71604405,0.019801316,0.016655738,9.10342309,23.1126655,-215.1101,9.140883107
8.66343842,-0.052605631,-0.047897156,9.276783329,23.25885579,-320.9764,9.102086787
8.698580979,0.035142559,0.034799146,9.151757415,23.1351549,-225.2917,9.132486933
8.6850777,-0.013503279,-0.013189043,9.090655529,23.06777492,-189.6058,9.123692565
8.685720037,0.000642337,0.006015749,8.90666441,22.89245614,-205.9274,9.082052352
8.731530078,0.04581004,0.044227789,8.96903285,23.01017452,-177.2924,9.105757332
8.765115205,0.033585128,0.027408379,8.921190556,22.96969314,-63.2514,9.093918909
8.801258732,0.036143527,0.037635865,9.049702026,23.14731235,-76.1221,9.10242103
8.808159864,0.006901132,0.002721048,8.791181937,22.89461944,-113.4769,8.993178892
8.801650069,-0.006509795,-0.008758201,8.850087607,22.9564408,-79.2957,8.822027323
8.847187348,0.045537279,0.041841606,8.677098709,22.79855957,25.5626,8.399535148
8.850775542,0.003588194,0.00939855,8.230310799,22.37612691,-67.7599,#NUM!
8.80762149,-0.043154053,-0.043965595,9.069467813,23.17684405,-362.3718,9.011401509
8.832003931,0.024382442,0.031562044,9.087381465,23.19987785,-312.0754,9.100078978
8.776290587,-0.055713344,-0.044730506,9.278653012,23.37745918,-233.9386,9.133567313
8.804805261,0.028514674,0.025051754,9.260558088,23.35379124,-298.0976,9.208638925
8.840435439,0.035630178,0.034568616,9.2043223,23.32269372,-230.2344,9.214830277
8.834191318,-0.006244121,-0.001165331,9.144093726,23.27264257,-321.7548,9.242613933
8.839769323,0.005578005,0.012544543,9.245417899,23.3670879,-328.0362,9.292196818
8.807382119,-0.032387204,-0.035670467,9.186355009,23.30883109,-365.4952,9.281823474
8.822027323,0.014645204,0.010026541,9.18440699,23.3025498,-326.9748,9.329100708
8.822292696,0.000265373,-0.00103187,9.246479419,23.3654326,-301.1706,9.37007543
8.805195213,-0.017097483,-0.021113244,9.23931648,23.35155419,-267.6315,9.39424401
8.80330403,-0.001891183,-0.004687359,9.16461052,23.26998406,-263.9029,9.390325869
8.866525242,0.063221212,0.062336051,9.327234123,23.46160584,-177.3884,9.417273237
8.863106435,-0.003418807,0.001584965,9.192176401,23.35294946,-210.0505,9.329899607
8.894779951,0.031673516,0.032520771,9.087833697,23.26946625,-153.0471,9.348274558
8.902972465,0.008192514,0.010062825,9.045111893,23.24087924,-190.0014,9.332380998
8.908424139,0.005451674,5.41E-05,8.895766604,23.10143048,-181.0084,9.273409063
8.928640371,0.020216232,0.019244533,8.854522204,23.06798502,-139.666,9.278466201
8.925188429,-0.003451942,0.003165315,8.941807118,23.16041483,-163.4517,9.241160514
8.918382505,-0.006805925,-0.005865024,8.977525201,23.18958534,-99.108,9.220389708
8.940891068,0.022508563,0.021523959,8.951958169,23.17301275,-80.8548,9.163667964
8.928984911,-0.011906157,-0.010016429,8.928507824,23.17198317,-102.7808,8.974491448
8.922524957,-0.006459954,-0.007814375,8.689632748,22.91947998,-27.9417,8.747510946
8.948585922,0.026060964,0.023515655,8.330381569,22.56319976,-21.622,8.302513719
8.914975529,-0.033610392,-0.031574987,9.105757332,23.31985344,-363.6655,9.464207096
8.903353148,-0.011622381,-0.010738656,9.105313134,23.31910626,-387.5822,9.546812609
8.918784138,0.01543099,0.013679561,9.066239028,23.27299276,-327.4975,9.576510097
8.939974177,0.021190039,0.023561787,9.008346579,23.23502605,-291.3841,9.613268932
8.926889336,-0.013084841,-0.009400143,8.985445288,23.21980464,-342.2797,9.61480498
8.866807266,-0.06008207,-0.065251107,9.336267929,23.53414732,-283.5243,9.583695426
8.870410163,0.003602897,0.004636003,9.30928032,23.47151919,-290.1988,9.642317575
8.873131864,0.002721701,0.001737279,9.227099156,23.40091125,-306.3452,9.643420647
8.892913613,0.019781749,0.022499382,9.401043373,23.56815386,-125.6596,9.670735487
8.90623077,0.013317157,0.02220174,9.18584274,23.38090427,-192.7077,9.674577406
8.897791672,-0.008439098,-0.006315099,9.067277989,23.26299047,-195.8749,9.643615181
8.901012374,0.003220703,0.007085048,9.081597496,23.28179835,-262.8276,9.639847475
8.885994315,-0.015018059,-0.016071923,9.087268374,23.27261327,-174.142,9.640498093
8.883501584,-0.002492731,-0.001552967,9.03943342,23.22223301,-162.2742,9.633252394
8.877660934,-0.005840651,-0.003737796,9.166074956,23.35410377,-180.2098,9.596894455
8.885634638,0.007973704,0.003735783,9.055672892,23.23444231,-63.3017,9.546026585
8.912203842,0.026569204,0.02786311,9.125762396,23.31688572,-19.0301,9.41319958
8.915432254,0.003228413,0.007064196,8.827907963,23.0434923,-52.1813,9.248599084
8.921671146,0.006238891,0.005071671,8.703506769,22.92626815,-36.8028,9.053101596
8.948144093,0.026472948,0.024825829,8.532475815,22.77179773,-22.646,8.665095821
8.921003598,-0.027140495,-0.025508841,8.971321472,23.18457362,-211.77,9.304377014
8.933927892,0.012924294,0.017297297,8.972083183,23.19542858,-203.564,9.4045905
8.942460927,0.008533035,0.008026144,8.883362917,23.11726573,-206.6081,9.404508151
8.924842579,-0.017618348,-0.014368581,8.97853441,23.21147574,-256.8825,9.417029285
