time,amount
2304,"22,553,300.00"
2303,"30,055,000.00"
2302,"14,811,700.00"
2301,"12,295,000.00"
2212,"23,596,000.00"
2211,"19,451,700.00"
2210,"21,817,900.00"
2209,"12,470,000.00"
2208,"10,974,700.00"
2207,"3,765,000.00"
2206,"2,800,000.00"
2205,"3,355,000.00"
2204,"6,865,000.00"
2203,"4,680,000.00"
2202,"7,506,600.00"
2201,"26,685,000.00"
2112,"22,669,200.00"
2111,"35,612,500.00"
2110,"33,908,500.00"
2109,"47,124,000.00"
2108,"58,385,000.00"
2107,"53,518,000.00"
2106,"56,670,000.00"
2105,"55,369,000.00"
2104,"63,219,000.00"
2103,"55,089,000.00"
2102,"87,805,000.00"
2101,"72,257,000.00"
2012,"76,700,000.00"
2011,"38,067,000.00"
2010,"57,643,000.00"
2009,"48,784,100.00"
2008,"57,531,000.00"
2007,"77,187,000.00"
2006,"62,165,000.00"
2005,"82,368,000.00"
2004,"78,369,000.00"
2003,"30,619,000.00"
2002,"38,135,100.00"
2001,"39,964,000.00"
1912,"44,255,000.00"
1911,"42,135,000.00"
1910,"40,925,000.00"
1909,"46,900,000.00"
1908,"54,346,000.00"
1907,"41,808,000.00"
1906,"49,913,000.00"
1905,"48,998,000.00"
1904,"46,437,000.00"
1903,"29,475,000.00"
1902,"44,151,000.00"
1901,"31,164,000.00"
1812,"41,105,000.00"
1811,"28,087,000.00"
1810,"27,435,000.00"
1809,"43,570,000.00"
1808,"38,560,000.00"
1807,"38,323,000.00"
1806,"48,351,000.00"
1805,"44,532,000.00"
1804,"41,648,500.00"
1803,"22,807,500.00"
1802,"54,300,500.00"
1801,"36,556,300.00"
1712,"31,453,500.00"
1711,"31,173,000.00"
1710,"29,526,500.00"
1709,"44,225,300.00"
1708,"31,421,000.00"
1707,"33,176,200.00"
1706,"42,976,500.00"
1705,"27,684,900.00"
1704,"50,707,600.00"
1703,"29,462,000.00"
1702,"30,789,600.00"
1701,"37,850,700.00"
1612,"39,946,200.00"
1611,"23,854,000.00"
1610,"23,252,600.00"
1609,"29,130,500.00"
1608,"23,222,500.00"
1607,"27,078,500.00"
1606,"24,979,600.00"
1605,"31,711,400.00"
1604,"18,299,600.00"
1603,"19,509,700.00"
1602,"36,678,100.00"
1601,"23,979,900.00"
1512,"27,616,800.00"
1511,"18,467,100.00"
1510,"17,518,000.00"
1509,"38,689,900.00"
1508,"23,793,900.00"
1507,"28,201,400.00"
1506,"24,616,000.00"
1505,"33,145,900.00"
1504,"37,718,400.00"
1503,"23,971,600.00"
