,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB
,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2015-02-12,3.2032,3.2032,3.2032,3.2032,0,3.2032,0,0,0,0,0,0
2015-02-13,3.1952,3.1952,3.1952,3.1952,0,3.1952,0,0,0,0,0,0
2015-02-15,3.2053,3.2053,3.2053,3.2053,0,3.2053,0,0,0,0,0,0
2015-02-16,3.1944,3.1944,3.1944,3.1944,0,3.1944,0,0,0,0,0,0
2015-02-17,3.1971,3.1971,3.1971,3.1971,0,3.1971,0,0,0,0,0,0
2015-02-25,3.26,3.26,3.26,3.26,0,3.26,0,0,0,0,0,0
2015-02-26,3.3429,3.3429,3.3429,3.3429,0,3.3429,0,0,0,0,0,0
2015-02-27,3.389,3.389,3.389,3.389,0,3.389,0,0,0,0,0,0
2015-02-28,3.3787,3.3787,3.3787,3.3787,0,3.3787,0,0,0,0,0,0
2015-03-02,3.374,3.374,3.374,3.374,0,3.374,0,0,0,0,0,0
2015-03-03,3.4501,3.4501,3.4501,3.4501,0,3.4501,0,0,0,0,0,0
2015-03-04,3.4403,3.4403,3.4403,3.4403,0,3.4403,0,0,0,0,0,0
2015-03-05,3.5196,3.5196,3.5196,3.5196,0,3.5196,0,0,0,0,0,0
2015-03-06,3.6192,3.6192,3.6192,3.6192,0,3.6192,0,0,0,0,0,0
2015-03-09,3.6581,3.6581,3.6581,3.6581,0,3.6581,0,0,0,0,0,0
2015-03-10,3.6973,3.6973,3.6973,3.6973,0,3.6973,0,0,0,0,0,0
2015-03-11,3.5413,3.5413,3.5413,3.5413,0,3.5413,0,0,0,0,0,0
2015-03-12,3.5299,3.5299,3.5299,3.5299,0,3.5299,0,0,0,0,0,0
2015-03-13,3.5864,3.5864,3.5864,3.5864,0,3.5864,0,0,0,0,0,0
2015-03-16,3.7104,3.7104,3.7104,3.7104,0,3.7104,0,0,0,0,0,0
2015-03-18,3.6305,3.6305,3.6305,3.6305,0,3.6305,0,0,0,0,0,0
2015-03-19,3.5749,3.5749,3.5749,3.5749,0,3.5749,0,0,0,0,0,0
2015-03-20,3.4371,3.4371,3.4371,3.4371,0,3.4371,0,0,0,0,0,0
2015-03-23,3.4325,3.4325,3.4325,3.4325,0,3.4325,0,0,0,0,0,0
2015-03-25,3.3817,3.3817,3.3817,3.3817,0,3.3817,0,0,0,0,0,0
