time,val,per
150212,3.2032,
150213,3.1952,-0.002497502
150215,3.2053,0.003160991
150216,3.1944,-0.003400618
150217,3.1971,0.000845229
150225,3.26,0.01967408
150226,3.3429,0.025429448
150227,3.389,0.013790421
150228,3.3787,-0.003039245
150302,3.374,-0.001391068
150303,3.4501,0.022554831
150304,3.4403,-0.002840497
150305,3.5196,0.023050315
150306,3.6192,0.02829867
150309,3.6581,0.010748232
150310,3.6973,0.010715945
150311,3.5413,-0.042192952
150312,3.5299,-0.003219157
150313,3.5864,0.016006119
150316,3.7104,0.034575061
150318,3.6305,-0.021534066
150319,3.5749,-0.015314695
150320,3.4371,-0.038546533
150323,3.4325,-0.001338338
150325,3.3817,-0.014799709
150326,3.4574,0.022385191
150327,3.555,0.028229305
150330,3.5741,0.005372714
150331,3.6076,0.009372989
150401,3.4181,-0.052527996
150402,3.3304,-0.025657529
150403,3.2685,-0.018586356
150407,3.1923,-0.023313447
150408,3.1499,-0.01328196
150409,3.0985,-0.016317978
150410,3.0816,-0.005454252
150414,3.0718,-0.003180166
150415,3.0145,-0.018653558
150416,3.0017,-0.004246144
150417,3.0078,0.002032182
150420,2.8205,-0.062271428
150421,2.645,-0.06222301
150422,2.6742,0.011039698
150423,2.7168,0.015929998
150427,2.5758,-0.051899293
150428,2.5477,-0.010909232
150429,2.5886,0.016053695
150430,2.9514,0.140152978
150504,2.4932,-0.155248357
150505,2.5279,0.013917857
150506,2.5886,0.024012026
150507,2.5666,-0.008498802
150508,2.5227,-0.01710434
150511,2.4476,-0.029769691
150512,2.3632,-0.034482759
150513,2.2815,-0.034571767
150514,2.2037,-0.034100373
150515,2.1962,-0.003403367
150518,2.2463,0.02281213
150519,2.3114,0.028980991
150520,2.2903,-0.009128667
150521,2.3142,0.010435314
150522,2.3198,0.002419843
150525,2.3403,0.008836969
150526,2.4014,0.026107764
150527,2.39,-0.004747231
150528,2.4235,0.014016736
150529,2.4364,0.00532288
150531,2.37,-0.027253325
150601,2.3967,0.011265823
150602,2.3726,-0.010055493
150603,2.4093,0.015468263
150604,2.4644,0.022869713
150605,2.391,-0.029784126
150608,2.3581,-0.013759933
150609,2.3667,0.003647004
150610,2.4053,0.016309629
150611,2.436,0.012763481
150612,2.4419,0.002422003
150615,2.4833,0.016954011
150616,2.5146,0.012604196
150617,2.5533,0.015390122
150618,2.5597,0.00250656
150619,2.5455,-0.005547525
150623,2.5901,0.017521116
150624,2.6529,0.024246168
150625,2.5234,-0.048814505
150626,2.5086,-0.005865103
150629,2.4329,-0.030176194
150630,2.4792,0.019030786
150701,2.4163,-0.025371087
150702,2.4659,0.020527252
150703,2.5022,0.014720792
150706,2.4231,-0.031612181
150707,2.412,-0.004580909
150708,2.416,0.001658375
150709,2.4454,0.012168874
150710,2.4661,0.008464873
150713,2.4745,0.003406188
150714,2.549,0.030107092
150715,2.5678,0.007375441
150716,2.4929,-0.029168938
150720,2.4666,-0.010549962
150721,2.5142,0.019297819
150722,2.5455,0.012449288
150723,2.5518,0.002474956
150724,2.541,-0.004232307
150727,2.5475,0.002558048
150729,2.491,-0.022178606
150730,2.5085,0.007025291
150731,2.5444,0.014311341
150803,2.5162,-0.011083163
150804,2.5125,-0.001470471
150805,2.4979,-0.005810945
150806,2.4643,-0.013451299
150807,2.4724,0.003286937
150810,2.4897,0.00699725
150811,2.5521,0.025063261
150812,2.5554,0.001293053
150813,2.5373,-0.00708304
150814,2.5636,0.010365349
150817,2.577,0.005227024
150818,2.582,0.001940241
150820,2.5947,0.004918668
150824,2.5753,-0.00747678
150825,2.5686,-0.002601639
150827,2.4101,-0.061706766
150828,2.4231,0.005393967
150831,2.5245,0.041847221
150901,2.42,-0.041394336
150902,2.4395,0.008057851
150906,2.4445,0.0020496
150908,2.4677,0.009490693
150909,2.466,-0.000688901
150910,2.4755,0.003852393
150914,2.4451,-0.012280347
150915,2.4572,0.004948673
150917,2.4876,0.012371805
150918,2.46,-0.011095031
150922,2.4752,0.006178862
150923,2.4837,0.003434066
150924,2.4797,-0.0016105
150925,2.4742,-0.00221801
150928,2.4708,-0.001374182
150929,2.4588,-0.004856727
150930,2.4642,0.002196193
151008,2.4576,-0.002678354
151009,2.4642,0.002685547
151010,2.4576,-0.002678354
151012,2.434,-0.009602865
151013,2.4298,-0.001725555
151014,2.4007,-0.011976294
151015,2.4302,0.012288083
151016,2.4231,-0.00292157
151019,2.4185,-0.001898395
151020,2.4032,-0.006326235
151021,2.3982,-0.002080559
151022,2.3962,-0.000833959
151023,2.386,-0.00425674
151026,2.3045,-0.034157586
151027,2.2681,-0.015795183
151028,2.2783,0.004497156
151029,2.3116,0.014616161
151030,2.3199,0.003590587
151031,2.3667,0.020173283
151102,2.386,0.008154815
151103,2.3476,-0.016093881
151104,2.3752,0.011756688
151105,2.3667,-0.003578646
151106,2.356,-0.004521063
151109,2.398,0.017826825
151110,2.4036,0.002335279
151111,2.3895,-0.005866201
151112,2.4022,0.005314919
151113,2.3937,-0.003538423
151116,2.3989,0.002172369
151117,2.3976,-0.000541915
151118,2.4073,0.004045712
151119,2.405,-0.000955427
151120,2.3764,-0.011891892
151123,2.3824,0.002524827
151124,2.3748,-0.00319006
151125,2.3782,0.0014317
151126,2.3732,-0.00210243
151127,2.3743,0.000463509
151130,2.3832,0.003748473
151201,2.3603,-0.009608929
151202,2.3537,-0.002796255
151203,2.4044,0.021540553
151204,2.3088,-0.039760439
151207,2.3168,0.003465003
151208,2.3082,-0.003712017
151209,2.3086,0.000173295
151210,2.3083,-0.000129949
151211,2.3079,-0.000173288
151214,2.3256,0.00766931
151215,2.3311,0.002364981
151216,2.3323,0.000514778
151217,2.3278,-0.001929426
151218,2.3195,-0.003565598
151222,2.3106,-0.003837034
151223,2.3182,0.003289189
151225,2.2946,-0.010180312
151228,2.2915,-0.001350998
151229,2.2964,0.002138337
151230,2.3198,0.010189862
151231,2.3343,0.006250539
160104,2.3439,0.004112582
160105,2.3442,0.000127992
160106,2.3374,-0.002900776
160108,2.2815,-0.023915462
160111,2.2607,-0.009116809
160112,2.2412,-0.008625647
160113,2.2232,-0.008031412
160114,2.2321,0.004003239
160115,2.2473,0.006809731
160118,2.2703,0.010234504
160119,2.2758,0.002422587
160120,2.3041,0.012435188
160121,2.3002,-0.001692635
160125,2.3331,0.014303104
160126,2.3193,-0.005914877
160127,2.3527,0.014400897
160128,2.3468,-0.002507757
