#NAME?,,,,,,,,,,,,
,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB,ShiO/N_1M.IB
,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS,Shibor隔夜1月IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2015-02-28,2.83,2.83,2.83,2.83,0,2.83,0,0,0,0,0,0
2015-03-02,2.905,2.905,2.905,2.905,0,2.905,0,0,0,0,0,0
2015-03-10,2.975,2.975,2.975,2.975,0,2.975,0,0,0,0,0,0
2015-03-16,3.005,3.005,3.005,3.005,0,3.005,0,0,0,0,0,0
2015-03-23,2.795,2.795,2.795,2.795,0,2.795,0,0,0,0,0,0
2015-03-31,2.92,2.92,2.92,2.92,0,2.92,0,0,0,0,0,0
2015-04-07,2.805,2.805,2.805,2.805,0,2.805,0,0,0,0,0,0
2015-04-14,2.705,2.705,2.705,2.705,0,2.705,0,0,0,0,0,0
2015-04-21,2.105,2.105,2.105,2.105,0,2.105,0,0,0,0,0,0
2015-04-27,2.055,2.055,2.055,2.055,0,2.055,0,0,0,0,0,0
2015-04-28,2.045,2.045,2.045,2.045,0,2.045,0,0,0,0,0,0
2015-04-30,2.343,2.343,2.343,2.343,0,2.343,0,0,0,0,0,0
2015-05-06,2.005,2.005,2.005,2.005,0,2.005,0,0,0,0,0,0
2015-05-13,1.455,1.455,1.455,1.455,0,1.455,0,0,0,0,0,0
2015-05-21,1.495,1.495,1.495,1.495,0,1.495,0,0,0,0,0,0
2015-05-25,1.495,1.495,1.495,1.495,0,1.495,0,0,0,0,0,0
2015-05-31,1.6125,1.6125,1.6125,1.6125,0,1.6125,0,0,0,0,0,0
2015-06-04,1.495,1.495,1.495,1.495,0,1.495,0,0,0,0,0,0
2015-06-11,1.495,1.495,1.495,1.495,0,1.495,0,0,0,0,0,0
2015-06-18,1.525,1.525,1.525,1.525,0,1.525,0,0,0,0,0,0
2015-06-25,1.525,1.525,1.525,1.525,0,1.525,0,0,0,0,0,0
2015-06-30,1.51,1.51,1.51,1.51,0,1.51,0,0,0,0,0,0
2015-07-10,1.355,1.355,1.355,1.355,0,1.355,0,0,0,0,0,0
2015-07-15,1.355,1.355,1.355,1.355,0,1.355,0,0,0,0,0,0
