time,gf,xfz,hgyz,,,sum,sum2
1509,93.03,105.6,93.87,97.5,95.685,1,1
1510,93.46,103.8,93.99,97.08333333,95.53666667,1,1
1511,93.4,104.1,98.8,98.76666667,98.78333333,1,1
1512,93.34,103.7,98.8,98.61333333,98.70666667,1,1
1601,93.35,104,98.9,98.75,98.825,1,1
1602,93.34,104.4,99.1,98.94666667,99.02333333,1,1
1603,99.18,100,99.3,99.49333333,99.39666667,1,1
1604,100.29,101,99.2,100.1633333,99.68166667,0,1
1605,100.58,99.8,99.2,99.86,99.53,1,1
1606,100.57,102.9,99.2,100.89,100.045,0,0
1607,100.92,106.8,99.3,102.34,100.82,0,0
1608,100.36,105.6,104.7,103.5533333,104.1266667,0,0
1609,100.4,104.6,100.3,101.7666667,101.0333333,0,0
1610,100.54,107.2,102.6,103.4466667,103.0233333,0,0
1611,100.75,108.6,102.08,103.81,102.945,0,0
1612,100.88,108.4,102.69,103.99,103.34,0,0
1701,101.02,109.2,103.22,104.48,103.85,0,0
1702,100.76,112.6,103.55,105.6366667,104.5933333,0,0
1703,101.12,111,103.72,105.28,104.5,0,0
1704,101.21,113.4,103.59,106.0666667,104.8283333,0,0
1705,101.18,112,103.58,105.5866667,104.5833333,0,0
1706,101.38,113.3,103.47,106.05,104.76,0,0
1707,101.45,114.6,103.27,106.44,104.855,0,0
1708,101.47,117.6,103.07,107.38,105.225,0,0
1709,101.5,121.9,103.01,108.8033333,105.9066667,0,0
1710,101.54,127.6,103.15,110.7633333,106.9566667,0,0
1711,101.68,124.6,103.32,109.8666667,106.5933333,0,0
1712,101.77,125.9,103.7,110.4566667,107.0783333,0,0
1801,101.71,122.3,103.88,109.2966667,106.5883333,0,0
1802,101.52,124,103.6,109.7066667,106.6533333,0,0
1803,101.39,122.3,103.29,108.9933333,106.1416667,0,0
1804,101.62,122.9,102.85,109.1233333,105.9866667,0,0
1805,101.71,122.9,102.43,109.0133333,105.7216667,0,0
1806,101.92,118.2,101.99,107.37,104.68,0,0
1807,102.03,119.7,101.57,107.7666667,104.6683333,0,0
1808,102.03,118.6,101.09,107.24,104.165,0,0
1809,101.99,118.5,100.53,107.0066667,103.7683333,0,0
1810,101.97,119.1,100.03,107.0333333,103.5316667,0,0
1811,101.87,122.1,99.74,107.9033333,103.8216667,0,0
1812,100.58,123,99.82,107.8,103.81,0,0
1901,100.81,123.7,99.71,108.0733333,103.8916667,0,0
1902,101.01,126,99.5,108.8366667,104.1683333,0,0
1903,101.14,124.1,99.24,108.16,103.7,0,0
1904,101.06,125.3,98.84,108.4,103.62,0,0
1905,101.09,123.4,98.52,107.67,103.095,0,0
1906,101.08,125.9,98.39,108.4566667,103.4233333,0,0
1907,101.11,124.4,98.41,107.9733333,103.1916667,0,0
1908,101.24,122.4,98.07,107.2366667,102.6533333,0,0
1909,101.29,124.1,96.89,107.4266667,102.1583333,0,0
1910,101.31,124.3,94.51,106.7066667,100.6083333,0,0
1911,101.28,124.6,91.18,105.6866667,98.43333333,0,1
1912,100.32,126.6,88.03,104.9833333,96.50666667,0,1
2001,97.44,126.4,86.37,103.4033333,94.88666667,0,1
2002,98.23,118.9,86.83,101.32,94.075,0,1
2003,98.88,122.2,89.07,103.3833333,96.22666667,0,1
2004,99.35,116.4,92.11,102.62,97.365,0,1
2005,99.85,115.8,94.96,103.5366667,99.24833333,0,1
2006,100.09,112.6,97.08,103.2566667,100.1683333,0,0
2007,100.33,117.2,98.66,105.3966667,102.0283333,0,0
2008,100.43,116.4,100.4,105.7433333,103.0716667,0,0
2009,100.5,120.5,102.86,107.9533333,105.4066667,0,0
2010,100.55,121.7,106.26,109.5033333,107.8816667,0,0
2011,100.76,124,110.39,111.7166667,111.0533333,0,0
2012,101.12,122.1,114.33,112.5166667,113.4233333,0,0
2101,101.45,122.8,116.52,113.59,115.055,0,0
2102,101.34,127,116.1,114.8133333,115.4566667,0,0
2103,101.31,122.2,113.46,112.3233333,112.8916667,0,0
2104,101.2,121.5,109.7,110.8,110.25,0,0
2105,101.08,121.8,105.89,109.59,107.74,0,0
2106,101,122.8,102.73,108.8433333,105.7866667,0,0
2107,100.86,117.8,100.43,106.3633333,103.3966667,0,0
2108,100.75,117.5,98.86,105.7033333,102.2816667,0,0
2109,100.63,121.2,98.05,106.6266667,102.3383333,0,0
2110,100.51,120.2,97.89,106.2,102.045,0,0
2111,100.28,119.5,97.93,105.9033333,101.9166667,0,0
2112,96.82,119.8,97.65,104.7566667,101.2033333,0,0
2201,96.87,121.5,96.74,105.0366667,100.8883333,0,0
2202,96.6,120.5,95.37,104.1566667,99.76333333,0,0
2203,95.83,113.2,94.18,101.07,97.625,0,0
2204,95.55,86.7,93.81,92.02,92.915,1,1
2205,95.35,86.8,94.48,92.21,93.345,1,1
2206,95.23,88.9,95.59,93.24,94.415,1,1
2207,95.04,87.9,96.46,93.13333333,94.79666667,1,1
2208,94.83,87,96.83,92.88666667,94.85833333,1,1
2209,94.68,87.2,,90.94,,1,1
2210,94.42,86.8,,90.61,,1,1
2211,94.35,85.5,,89.925,,1,1
2212,94.45,88.3,,91.375,,1,1
2301,94.66,91.2,,92.93,,1,1
2302,94.71,94.7,,94.705,,1,1
2303,,,,,,,0
