time,ccl,cje,cjl,avgprice,jc,price,per,apper,avgper
1504,40101,2.244E+12,1385852,8027.883533,-130.873,8338.8,0.063156,0.063156,0.063156
1505,122088,7.632E+12,4073965,9060.34835,154.155,10121,0.213723797,0.12860984,0.171166819
1506,126417,1.208E+13,5698724,10584.34558,-449.0648,8629,-0.147416263,0.168205147,0.010394442
1507,69445,7.551E+12,4874576,7608.52898,-328.0608,7399,-0.142542589,-0.28115263,-0.211847609
1508,51179,3.602E+12,2437567,7450.2117,-440.2938,6402.6,-0.134666847,-0.02080787,-0.077737358
1509,48543,5.84568E+11,507289,5925.03436,-205.9274,5917.8,-0.075719239,-0.204715973,-0.140217606
1510,30678,1.94328E+11,145314,6620.61125,-301.1706,6783.8,0.146338166,0.117396263,0.131867214
1511,48996,2.44705E+11,167629,7327.99675,-283.5243,7092.6,0.04552021,0.10684595,0.07618308
1512,67623,2.97051E+11,202013,7371.7689,-268.689,7349,0.036150354,0.005973276,0.021061815
1601,48047,2.4863E+11,209955,6005.87495,-139.3254,5329.8,-0.274758471,-0.185287136,-0.230022803
1602,55068,1.89099E+11,166921,5668.091333,-231.1376,5417.8,0.016510938,-0.056242199,-0.01986563
1603,81625,3.35927E+11,299580,5618.871375,-167.0312,5910.4,0.090922515,-0.008683692,0.041119411
1604,105520,4.17923E+11,347535,6024.1172,-140.794,5844.8,-0.01109908,0.072122282,0.030511601
1605,94974,3.01803E+11,263535,5740.3001,-108.9897,5630.6,-0.036647961,-0.047113476,-0.041880718
1606,90361,3.03986E+11,259347,5875.641575,-116.6202,5787,0.027776791,0.023577422,0.025677106
1607,88228,3.95114E+11,318191,6215.738,-99.8923,6103,0.054605149,0.057882432,0.056243791
1608,89241,2.72794E+11,217842,6264.781175,-131.5335,6279.2,0.028871047,0.007890161,0.018380604
1609,89542,2.8013E+11,221920,6305.9553,-9.4856,6318.6,0.006274685,0.006572317,0.006423501
1610,54885,1.56795E+11,121563,6448.935167,-44.8349,6411,0.014623493,0.022673784,0.018648638
1611,81486,2.03292E+11,156379,6504.41205,-88.0177,6564.8,0.023990017,0.008602487,0.016296252
1612,96478,2.20713E+11,173875,6338.15362,-53.0256,6210.6,-0.053954424,-0.02556087,-0.039757647
1701,68383,1.45086E+11,117126,6205.80485,-34.9061,6188.8,-0.003510128,-0.020881282,-0.012195705
1702,76307,1.46327E+11,116260,6257.947725,-65.5655,6410.6,0.035838935,0.008402274,0.022120605
1703,110687,3.18448E+11,247498,6433.59318,-21.4479,6380.2,-0.004742146,0.028067581,0.011662718
1704,75274,2.35393E+11,184356,6404.759525,-31.4624,6180.4,-0.031315633,-0.004481734,-0.017898684
1705,87189,2.74634E+11,232175,5945.069525,-22.3338,5814.6,-0.059187108,-0.071773187,-0.065480147
1706,113185,3.59569E+11,302916,5926.79466,-40.9556,6097.2,0.048601795,-0.003073953,0.022763921
1707,72386,2.80992E+11,231256,6075.9271,-30.2633,6185.2,0.014432854,0.02516241,0.019797632
1708,86406,2.71073E+11,216073,6273.0922,-19.3305,6327.2,0.022958029,0.032450208,0.027704119
1709,85070,3.33445E+11,254070,6561.9841,-5.0587,6598.2,0.042830952,0.046052551,0.044441752
