,time,ccl,cje,cjl,avgprice,jc,price,per,apper,avgper,normper,normcjl,normcje,normjc,normccl
0,1504,40101,2244000000000.0,1385852,8027.883533,-130.873,8338.8,0.063156,0.063156,0.063156,1.0161103068518593,0.40580316325092164,0.5674172773098389,-0.7986681923270031,-1.1464644435780103
1,1505,122088,7632000000000.0,4073965,9060.34835,154.155,10121.0,0.213723797,0.12860984,0.171166819,2.758850739378767,3.183666698825884,3.7947591947208634,2.3155202734747893,-0.6651099740749845
2,1506,126417,12080000000000.0,5698724,10584.34558,-449.0648,8629.0,-0.147416263,0.168205147,0.010394442,0.16480947179649755,4.8626730427545946,6.459053338864188,-4.275201141625706,-0.639693950821559
3,1507,69445,7551000000000.0,4874576,7608.52898,-328.0608,7399.0,-0.142542589,-0.28115263,-0.211847609,-3.4210369431390943,4.011008444905832,3.7462412483009873,-2.953123096255146,-0.9741826726497316
4,1508,51179,3602000000000.0,2437567,7450.2117,-440.2938,6402.6,-0.134666847,-0.02080787,-0.077737358,-1.2571855901183182,1.4926327527500318,1.3808416135838129,-4.179370040703875,-1.0814243175439497
5,1509,48543,584568000000.0,507289,5925.03436,-205.9274,5917.8,-0.075719239,-0.204715973,-0.140217606,-2.26529621673905,-0.5020932389484448,-0.4265609061892722,-1.6187053353012868,-1.0969005562355714
6,1510,30678,194328000000.0,145314,6620.61125,-301.1706,6783.8,0.146338166,0.117396263,0.131867214,2.124756754628623,-0.8761538358391808,-0.6603095902743648,-2.6593233619023686,-1.2017878871254875
7,1511,48996,244705000000.0,167629,7327.99675,-283.5243,7092.6,0.04552021,0.10684595,0.07618308,1.2263005382004672,-0.8530937841239608,-0.6301344225361659,-2.4665215883079212,-1.0942409446546515
8,1512,67623,297051000000.0,202013,7371.7689,-268.689,7349.0,0.036150354,0.005973276,0.021061815,0.3369261394420402,-0.8175617734505964,-0.5987798494090691,-2.304432529876086,-0.9848798300458371
9,1601,48047,248630000000.0,209955,6005.87495,-139.3254,5329.8,-0.274758471,-0.185287136,-0.230022803,-3.7142913203031123,-0.8093546064901538,-0.6277833985892768,-0.8910183003456649,-1.099812625427925
10,1602,55068,189099000000.0,166921,5668.091333,-231.1376,5417.8,0.016510938,-0.056242199,-0.01986563,-0.32343283072298773,-0.8538254227802178,-0.6634416932599145,-1.8941495515205926,-1.0585915814772895
11,1603,81625,335927000000.0,299580,5618.871375,-167.0312,5910.4,0.090922515,-0.008683692,0.041119411,0.6605528265842789,-0.7167372130338868,-0.5754936310754999,-1.1937292017160963,-0.9026725864342724
12,1604,105520,417923000000.0,347535,6024.1172,-140.794,5844.8,-0.01109908,0.072122282,0.030511601,0.48939720015056715,-0.6671810947276634,-0.5263790936107571,-0.9070640824473409,-0.7623824788711855
13,1605,94974,301803000000.0,263535,5740.3001,-108.9897,5630.6,-0.036647961,-0.047113476,-0.041880718,-0.6786433951687396,-0.753985681063244,-0.595933463219103,-0.5595733649637955,-0.8242991758521571
14,1606,90361,303986000000.0,259347,5875.641575,-116.6202,5787.0,0.027776791,0.023577422,0.025677106,0.41139325586653047,-0.7583135097248324,-0.5946258746137377,-0.6429434727718024,-0.8513825935624947
15,1607,88228,395114000000.0,318191,6215.738,-99.8923,6103.0,0.054605149,0.057882432,0.056243791,0.9045827190240475,-0.6975048302208929,-0.5400413879303985,-0.46017604909031923,-0.863905665311064
16,1608,89241,272794000000.0,217842,6264.781175,-131.5335,6279.2,0.028871047,0.007890161,0.018380604,0.29366515076426797,-0.8012042758660023,-0.6133094768943399,-0.8058847516884067,-0.857958233674261
17,1609,89542,280130000000.0,221920,6305.9553,-9.4856,6318.6,0.006274685,0.006572317,0.006423501,0.10073885831583472,-0.7969901198769963,-0.6089153083148805,0.5275988445033029,-0.8561910303942238
18,1610,54885,156795000000.0,121563,6448.935167,-44.8349,6411.0,0.014623493,0.022673784,0.018648638,0.29798984428494124,-0.9006978326255662,-0.6827913690765526,0.14137579857740334,-1.0596659941026942
19,1611,81486,203292000000.0,156379,6504.41205,-88.0177,6564.8,0.023990017,0.008602487,0.016296252,0.2600344039590028,-0.8647193983653332,-0.6549402708705651,-0.3304353135976309,-0.9034886703410004
20,1612,96478,220713000000.0,173875,6338.15362,-53.0256,6210.6,-0.053954424,-0.02556087,-0.039757647,-0.6443879223644334,-0.8466392430971508,-0.6445053184683347,0.051884999544175935,-0.8154690305592136
21,1701,68383,145086000000.0,117126,6205.80485,-34.9061,6188.8,-0.003510128,-0.020881282,-0.012195705,-0.19967959437405366,-0.9052829748823635,-0.6898049077756924,0.24985691074621771,-0.9804177885414243
22,1702,76307,146327000000.0,116260,6257.947725,-65.5655,6410.6,0.035838935,0.008402274,0.022120605,0.354009577560912,-0.906177888831966,-0.6890615649175805,-0.08512473964744,-0.9338951347506773
23,1703,110687,318448000000.0,247498,6433.59318,-21.4479,6380.2,-0.004742146,0.028067581,0.011662718,0.18527293911641016,-0.770558123337812,-0.5859633247233149,0.3968999072604327,-0.7320464677484205
24,1704,75274,235393000000.0,184356,6404.759525,-31.4624,6180.4,-0.031315633,-0.004481734,-0.017898684,-0.2916964143664275,-0.835808304175922,-0.6357121894134732,0.28748244514873833,-0.9399599885323332
25,1705,87189,274634000000.0,232175,5945.069525,-22.3338,5814.6,-0.059187108,-0.071773187,-0.065480147,-1.0594170943557448,-0.7863927266285275,-0.612207340827518,0.38722064921612204,-0.8700057457361758
26,1706,113185,359569000000.0,302916,5926.79466,-40.9556,6097.2,0.048601795,-0.003073953,0.022763921,0.36438939705002704,-0.7132898308908452,-0.5613323805908245,0.18376065661024535,-0.7173804418562845
27,1707,72386,280992000000.0,231256,6075.9271,-30.2633,6185.2,0.014432854,0.02516241,0.019797632,0.3165287121416031,-0.7873424101385561,-0.6083989815270542,0.3005836962165033,-0.9569157462491021
28,1708,86406,271073000000.0,216073,6273.0922,-19.3305,6327.2,0.022958029,0.032450208,0.027704119,0.44409884540897865,-0.8030323391187123,-0.6143403335090141,0.4200344156507969,-0.8746028227071697
29,1709,85070,333445000000.0,254070,6561.9841,-5.0587,6598.2,0.042830952,0.046052551,0.044441752,0.7141583639271805,-0.7637666978449854,-0.5769803167917238,0.5759667273753644,-0.8824466219833481
30,1710,35209,192736000000.0,145662,6617.179267,-29.4067,6601.4,0.000484981,0.008411353,0.004448167,0.0688671026767528,-0.8757942168386477,-0.6612631775669627,0.3099428252838434,-1.1751859002090468
31,1711,81549,271146000000.0,209854,6468.55,-51.0287,6227.0,-0.056715242,-0.022461121,-0.039588182,-0.6416536267620812,-0.809458978671343,-0.614296607458537,0.07370293654460953,-0.9031187905847137
32,1712,81431,317467000000.0,255627,6211.58114,29.9793,6280.8,0.008639794,-0.039725883,-0.015543044,-0.25368847117623944,-0.7621577128339795,-0.5865509309632889,0.9587885394947463,-0.9038115812393461
33,1801,49357,202050000000.0,158921,6357.257375,13.3688,6397.0,0.018500828,0.02345236,0.020976594,0.3355511097572789,-0.8620925262407493,-0.6556842127156698,0.7773038169018759,-1.0921214749400554
34,1802,54968,173261000000.0,146974,5857.552125,-64.2765,5833.4,-0.088103799,-0.078603904,-0.083353851,-1.3478069698164423,-0.8744384118711205,-0.6729284492524824,-0.07104124984146123,-1.0591786922015545
35,1803,79783,320562000000.0,265424,6047.45382,-13.7382,6101.0,0.045873761,0.032419975,0.039146868,0.6287261033650251,-0.7520336112586261,-0.5846970662204554,0.48113534663758895,-0.9134871659752309
36,1804,57052,221393000000.0,185745,5968.011475,-8.7836,5852.2,-0.0407802,-0.013136495,-0.026958347,-0.4378728915132957,-0.8343729283375872,-0.6440980073132049,0.5352688288662176,-1.0469433047078749
37,1805,92145,197628000000.0,165613,5956.79305,-42.9978,5874.8,0.003861796,-0.001879759,0.000991018,0.01308645589200833,-0.8551770941960147,-0.6583329331979993,0.16144777617442704,-0.8409085382416097
38,1806,99376,296093000000.0,272412,5459.00448,-32.3643,5185.4,-0.117348676,-0.083566538,-0.100457607,-1.6237738350364412,-0.7448122963858518,-0.5993536789482079,0.27762837264601353,-0.7984545617700182
39,1807,87510,269051000000.0,262394,5133.997025,-19.2904,5230.0,0.008601072,-0.05953603,-0.025467479,-0.4138179313971196,-0.7551647766943024,-0.6155514852085325,0.42047254438719694,-0.8681211203112857
40,1808,137115,330775000000.0,336649,4915.14154,-31.4237,4783.4,-0.085391969,-0.042628674,-0.064010322,-1.0357016602913214,-0.6784305557615816,-0.5785796120626011,0.28790527762002716,-0.576884845539705
41,1809,79792,239580000000.0,252729,4740.988075,19.6713,4820.4,0.007735084,-0.035432035,-0.013848475,-0.2263468220771183,-0.765152471062557,-0.6332042308744605,0.8461643246615199,-0.9134343260100471
42,1810,43944,196917000000.0,229753,4283.701867,-34.1585,4199.8,-0.128744503,-0.096453777,-0.11259914,-1.8196758814042195,-0.7888955922012034,-0.6587588129499072,0.2580251163156124,-1.123901778444512
43,1811,167197,385135000000.0,435862,4420.20022,-48.4511,4328.2,0.030572884,0.031864578,0.031218731,0.500806650180316,-0.5759050388078677,-0.5460186791319287,0.10186554579510672,-0.4002701974663517
44,1812,151623,469000000000.0,543235,4319.89225,-47.6363,4120.4,-0.04801072,-0.022693083,-0.035351902,-0.5733018032331336,-0.4649470763244117,-0.4957846349775717,0.1107679720898402,-0.49170682166336
45,1901,105766,397068000000.0,463713,4263.78395,-8.4417,4310.0,0.04601495,-0.012988356,0.016513297,0.26353639663603085,-0.5471241514979599,-0.5388709673463931,0.539004395324452,-0.760938186489494
46,1902,145801,404000000000.0,450168,4462.2117,27.5023,4804.8,0.114802784,0.046537947,0.080670365,1.298702294563147,-0.5611213910445723,-0.5347187895120402,0.9317250761515273,-0.5258884080300598
47,1903,227182,1517000000000.0,1416933,5341.57156,-13.2561,5534.4,0.151848152,0.197068162,0.174458157,2.8119560473730734,0.4379218935830191,0.13195373351662906,0.4864027247876761,-0.04809182951607911
48,1904,230318,1367000000000.0,1211237,5630.4089,-40.36,5267.2,-0.04827985,0.054073476,0.002896813,0.043836208864510263,0.22535812940583325,0.042105684590932384,0.19026812482470687,-0.0296800372031333
49,1905,320699,1556000000000.0,1589993,4893.8431,-103.2005,4808.8,-0.087029162,-0.130819238,-0.1089242,-1.760381205330053,0.6167600091929666,0.15531422623731017,-0.4963211235481461,0.5009565064946842
50,1906,304579,1353000000000.0,1400209,4833.693275,-30.4798,4920.0,0.023124272,-0.012290918,0.005416677,0.08449388480777835,0.42063951379877795,0.033719866691200695,0.2982182380760887,0.4063142577431898
51,1907,200990,1136000000000.0,1162250,4886.528275,-38.9099,4859.2,-0.012357724,0.010930565,-0.000713579,-0.014416993675058368,0.1747355547532012,-0.09626031075464049,0.20611177770884168,-0.20186787041552962
52,1908,419734,1422000000000.0,1491151,4767.51672,-27.494,4859.0,-4.1159e-05,-0.024355033,-0.012198096,-0.1997181728462174,0.5146178791622349,0.07504996919702116,0.3308408011968733,1.0824016122703821
53,1909,388135,1406600000000.0,1374621,5096.4612,-46.903,4894.0,0.007203128,0.068997027,0.038100078,0.6118362836760841,0.394197183380268,0.0658255695073163,0.11877993723702733,0.896880494509931
54,1910,144863,811000000000.0,814289,4986.559533,-20.3684,4974.2,0.016387413,-0.021564309,-0.002588448,-0.04466775968389024,-0.1848431436505487,-0.29093108342698326,0.40869442025155306,-0.5313955066236641
55,1911,476365,1568000000000.0,1594685,4916.47234,-13.9416,4881.0,-0.018736681,-0.01405522,-0.016395951,-0.26745001402765717,0.6216086653725683,0.16250207015136592,0.47891301783500084,1.4148882865288115
56,1912,331353,1274000000000.0,1255017,5083.644225,-15.5929,5163.6,0.057897972,0.034002405,0.045950188,0.7384967814247755,0.27059985309359186,-0.013600105742999552,0.4608710731363098,0.5635072830578617
57,2001,206230,1260000000000.0,1157189,5445.736025,-31.3411,5346.4,0.035401658,0.071226818,0.053314238,0.8573147646691185,0.16950557842648248,-0.02198592364273124,0.2888077572615895,-0.17110326846405127
58,2002,377921,2066000000000.0,1880743,5442.088,-68.2897,5383.0,0.006845728,-0.000669886,0.003087921,0.046919711440112,0.9172175505866581,0.46079759258467884,-0.11488908637315547,0.8369130051335189
59,2003,416993,2676000000000.0,2497369,5352.278175,-83.7371,5053.6,-0.061192644,-0.016502825,-0.038847734,-0.6297065951616293,1.55443141789337,0.8261796582158453,-0.2836658904296924,1.0663089073182825
60,2004,443465,2160000000000.0,2086019,5191.67586,-21.8595,5332.0,0.055089441,-0.030006347,0.012541547,0.19945273004621683,1.129347291832166,0.5171023699114488,0.39240280531773236,1.2217288582456747
61,2005,437710,1601000000000.0,1486326,5393.489,-87.5403,5318.8,-0.002475619,0.038872446,0.018198414,0.29072553895184317,0.5096317823876018,0.18226864091501918,-0.32521928719470283,1.1879406360642322
62,2006,372082,1607000000000.0,1435224,5614.0942,-44.8893,5744.2,0.079980447,0.040902132,0.060441289,0.972308800057197,0.4568235922575917,0.18586256287204705,0.14078142941879568,0.802631609943694
63,2007,461901,3415000000000.0,2674477,6365.3186,-63.6696,6516.0,0.134361617,0.133810437,0.134086027,2.1605570120761315,1.7374526878543464,1.268831045923111,-0.06441031891574482,1.329968591371143
64,2008,450401,2709000000000.0,2057970,6585.20085,-31.2096,6660.0,0.022099448,0.034543793,0.02832162,0.454062143250705,1.1003617937116101,0.8459462289794986,0.2902445135916797,1.2624508580806848
65,2009,533186,2896000000000.0,2268018,6363.26084,-29.5045,6163.0,-0.074624625,-0.033702846,-0.054163735,-0.8768282673648792,1.317422862171325,0.9579567966402004,0.3088742719067878,1.748490471163344
66,2010,279112,1486270000000.0,1180550,6319.5528,-43.2803,6068.2,-0.015382119,-0.006868812,-0.011125465,-0.1824114120032895,0.19364655391916702,0.11354686322671799,0.15836120839305468,0.25679476959465947
