time,normper,normcjl,normcje,normjc,normccl
1504,1.016110307,0.405803163,0.567417277,-0.798668192,-1.146464444
1505,2.758850739,3.183666699,3.794759195,2.315520273,-0.665109974
1506,0.164809472,4.862673043,6.459053339,-4.275201142,-0.639693951
1507,-3.421036943,4.011008445,3.746241248,-2.953123096,-0.974182673
1508,-1.25718559,1.492632753,1.380841614,-4.179370041,-1.081424318
1509,-2.265296217,-0.502093239,-0.426560906,-1.618705335,-1.096900556
1510,2.124756755,-0.876153836,-0.66030959,-2.659323362,-1.201787887
1511,1.226300538,-0.853093784,-0.630134423,-2.466521588,-1.094240945
1512,0.336926139,-0.817561773,-0.598779849,-2.30443253,-0.98487983
1601,-3.71429132,-0.809354606,-0.627783399,-0.8910183,-1.099812625
1602,-0.323432831,-0.853825423,-0.663441693,-1.894149552,-1.058591581
1603,0.660552827,-0.716737213,-0.575493631,-1.193729202,-0.902672586
1604,0.4893972,-0.667181095,-0.526379094,-0.907064082,-0.762382479
1605,-0.678643395,-0.753985681,-0.595933463,-0.559573365,-0.824299176
1606,0.411393256,-0.75831351,-0.594625875,-0.642943473,-0.851382594
1607,0.904582719,-0.69750483,-0.540041388,-0.460176049,-0.863905665
1608,0.293665151,-0.801204276,-0.613309477,-0.805884752,-0.857958234
1609,0.100738858,-0.79699012,-0.608915308,0.527598845,-0.85619103
1610,0.297989844,-0.900697833,-0.682791369,0.141375799,-1.059665994
1611,0.260034404,-0.864719398,-0.654940271,-0.330435314,-0.90348867
1612,-0.644387922,-0.846639243,-0.644505318,0.051885,-0.815469031
1701,-0.199679594,-0.905282975,-0.689804908,0.249856911,-0.980417789
1702,0.354009578,-0.906177889,-0.689061565,-0.08512474,-0.933895135
1703,0.185272939,-0.770558123,-0.585963325,0.396899907,-0.732046468
1704,-0.291696414,-0.835808304,-0.635712189,0.287482445,-0.939959989
1705,-1.059417094,-0.786392727,-0.612207341,0.387220649,-0.870005746
1706,0.364389397,-0.713289831,-0.561332381,0.183760657,-0.717380442
1707,0.316528712,-0.78734241,-0.608398982,0.300583696,-0.956915746
