time,per,cjl,cje,jc,ccl,price,avgp
150417,-0.7725,231102,3.57E+11,-222.56,9144,7758.2,7733.0759
150424,6.7125,611019,9.86E+11,-91.895,14603,8327.2,8067.4897
150430,0.3756,543731,9.01E+11,-130.873,16354,8338.8,8283.085
150508,-2.2046,554355,9.02E+11,-30.093,16258,8171.2,8135.243
150515,5.8842,761772,1.31E+12,-163.085,28064,8579.8,8567.7497
150522,12.5968,1213380,2.25E+12,-36.971,37707,9741.2,9279.7847
150529,3.9096,1544458,3.17E+12,154.155,40059,10121,10258.616
150605,8.1169,1586725,3.46E+12,-195.52,33977,10949,10912.5599
150612,4.4665,1461671,3.20E+12,-118.0906,29351,11427.8,10943.8992
150619,-12.8379,1299605,2.80E+12,2.5926,31879,9990,10787.8584
150626,-14.5711,1350723,2.62E+12,-449.0648,31210,8629,9693.0648
150703,-14.2109,2116670,3.38E+12,49.309,24505,7404.8,7977.1146
150710,-2.928,538023,7.64E+11,-37.3842,11715,7207.4,7096.7833
150717,9.0213,493603,7.47E+11,-137.0971,10762,7857.6,7568.481
150724,2.5364,884382,1.40E+12,-445.0739,11838,7980,7920.4572
150731,-9.2926,841898,1.26E+12,-328.0608,10625,7399,7479.8088
150807,6.6913,602405,9.08E+11,-162.1187,11483,7851.2,7533.5653
150814,7.1237,555087,9.18E+11,-228.2423,10775,8397,8265.3561
150821,-14.3424,596778,9.51E+11,-405.5024,13814,7207.4,7963.9369
150828,-11.6688,683297,8.25E+11,-440.2938,15107,6402.6,6037.9885
150902,-14.3326,353713,4.00E+11,-745.5533,14495,5377,5652.5109
150911,19.2511,44293,54587788360,-73.3191,8907,6420,6162.1236
150918,-8.8749,35557,41991186600,-206.8814,7371,5830,5904.7707
150925,-0.2723,48042,57654852520,-320.9764,8974,5787.4,6000.4634
150930,2.2814,25684,30334361240,-205.9274,8796,5917.8,5905.3032
151009,8.201,15345,19298357760,-63.2514,8901,6406.8,6288.1583
151016,9.1856,31687,42579830000,-67.7599,0,6979.8,6718.8169
151023,-1.0161,48691,65081377120,-230.2344,10045,6908,6683.1013
151030,-1.2978,49591,67368069400,-301.1706,11732,6783.8,6792.3685
151106,7.1105,49754,68704399440,-153.0471,11479,7293.8,6904.4096
151113,2.5852,38352,56833795360,-99.108,10101,7468,7409.4956
151120,-0.4148,34363,51863812120,-363.6655,12890,7442.6,7546.4616
151127,-4.6129,45160,67303033200,-283.5243,14526,7092.6,7451.6202
151204,3.2547,51735,74304505240,-195.8749,15423,7315.8,7181.2608
151211,-0.8233,44197,64090330160,-63.3017,13989,7227.4,7250.5295
151218,3.7754,34986,52084874760,-211.77,10986,7487.6,7443.6739
151225,1.9051,37635,56815559240,-196.3244,12940,7595.8,7548.2343
151231,-2.8732,33460,49755997000,-268.689,14285,7349,7435.146
160108,-13.5045,38578,51824088080,-170.6316,14367,6399.8,6716.793
160115,-7.9406,47051,57122106880,49.1185,0,5942.8,6070.233
160122,-2.7019,61958,71798074800,-200.8111,16430,5779.8,5794.0924
160129,-7.6707,62368,67886089080,-139.3254,17250,5329.8,5442.3814
160205,4.5996,53939,59451114360,-47.1971,14114,5617,5510.9582
160219,2.2225,44408,51417153760,-211.7164,19870,5767.8,5789.1769
160226,-6.1203,68574,78231123720,-231.1376,21084,5417.8,5704.1389
160304,0.0147,84325,90957114440,-169.5614,19314,5452,5393.2472
160311,-0.8971,76921,84898590120,-95.7818,18117,5413.2,5518.5574
160318,6.9563,67032,75841080680,-149.663,21533,5799.6,5657.0803
160325,1.9245,71302,84230487320,-167.0312,22661,5910.4,5906.6006
160401,2.3916,80555,95608128800,-96.5278,20879,6028,5934.3386
160408,2.1587,58522,71960580600,-54.5419,19253,6114.2,6148.1648
160415,2.3856,64567,80897070160,-169.7496,19414,6214.6,6264.5833
160422,-5.3276,73889,87893593240,-161.3201,22702,5850,5947.6778
160429,0.4261,70002,81563831920,-140.794,23272,5844.8,5825.8215
160506,0.423,56960,68674681800,-73.689,23189,5887.8,6028.3253
160513,-4.6084,70398,79889895880,-55.1107,18410,5659.2,5674.1595
160520,-1.512,61913,70102433280,-170.1018,25881,5562.8,5661.3662
160527,1.2989,74264,83136311760,-108.9897,27494,5630.6,5597.3494
160603,6.4883,76234,88964347960,-29.003,24545,6003.6,5834.9521
160608,-0.01,37719,45122489280,-28.0776,21343,5995.8,5981.4005
160617,-3.1825,67355,78786302200,-153.6724,20528,5810.6,5848.586
160624,-0.365,78039,91112525760,-116.6202,23945,5787,5837.6277
160701,3.9839,68130,81741875400,-71.7385,23994,6039.8,5998.9634
160708,3.5914,64968,80611520120,-34.8533,20801,6265,6203.9404
160715,2.5936,54820,69715416640,-1.2159,0,6439.8,6358.575
160722,-2.5951,63691,80170422760,-118.3254,21621,6272.6,6293.7011
160729,-2.8247,66582,82874749800,-99.8923,21812,6103,6223.5101
160805,0.6154,54599,66468257200,-56.0872,21337,6147.2,6086.9482
160812,1.8713,57497,71714328680,-38.6915,18868,6260.4,6236.354
160819,1.9999,49911,64112886320,-113.9548,23846,6385.6,6422.7211
160826,-1.8292,55835,70498403080,-131.5335,25190,6279.2,6313.1014
160902,-0.3433,52969,66908600280,-85.9538,25085,6271,6315.8263
160909,2.7354,53586,68639112720,-26.053,18857,6445,6404.5751
160914,-2.8389,28857,36346829240,-8.158,6057,6270,6297.7491
160923,0.3217,42414,53058785560,-71.9834,20297,6298.6,6254.867
160930,0.3271,44094,55177106160,-9.4856,19246,6318.6,6256.759
161014,2.4005,39530,50855626160,-2.4915,16596,6467,6432.5356
161021,-0.8556,41827,54009110640,-78.6807,18727,6396.6,6456.2496
161028,0.3192,40206,51930232920,-44.8349,19562,6411,6458.0203
161104,0.0125,40446,52008759560,-42.9928,17934,6419.6,6429.4071
161111,2.1988,43003,55563349800,-20.8864,14274,6563,6460.4039
161118,-0.811,33692,44359073880,-95.5265,24078,6506.8,6583.0277
161125,0.8325,39238,51361047120,-88.0177,25200,6564.8,6544.8095
161202,-1.9927,38801,50853392600,-87.9745,22482,6433,6553.1033
