,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
38,10004470.SH,20220825,SSE,0.0758,,0.0729,0.0729,0.0491,0.0527,0.0527,11515.0,734.9238,5736.0
37,10004470.SH,20220826,SSE,0.0527,0.0527,0.0522,0.0531,0.0464,0.0488,0.0488,6050.0,301.5861,7208.0
36,10004470.SH,20220829,SSE,0.0488,0.0488,0.0559,0.0636,0.0546,0.057,0.057,13306.0,786.2444,12459.0
35,10004470.SH,20220830,SSE,0.057,0.057,0.0548,0.0705,0.0527,0.0591,0.0583,11123.0,696.4431,14613.0
34,10004470.SH,20220831,SSE,0.0583,0.0591,0.0609,0.0646,0.0371,0.0449,0.046,19589.0,938.685,19080.0
33,10004470.SH,20220901,SSE,0.046,0.0449,0.0466,0.0567,0.0443,0.0545,0.0545,12398.0,620.8281,20045.0
32,10004470.SH,20220902,SSE,0.0545,0.0545,0.0524,0.0751,0.0504,0.065,0.065,22903.0,1492.5914,21952.0
31,10004470.SH,20220905,SSE,0.065,0.065,0.0673,0.0876,0.0673,0.071,0.071,16739.0,1319.2435,20434.0
30,10004470.SH,20220906,SSE,0.071,0.071,0.0662,0.0692,0.0558,0.0578,0.0578,15327.0,954.2309,25416.0
29,10004470.SH,20220907,SSE,0.0578,0.0578,0.0617,0.0666,0.0576,0.0618,0.0618,8956.0,565.8638,22451.0
28,10004470.SH,20220908,SSE,0.0618,0.0618,0.0578,0.0629,0.0536,0.0624,0.0624,9089.0,520.9148,24832.0
27,10004470.SH,20220909,SSE,0.0624,0.0624,0.0607,0.0607,0.0389,0.04,0.04,18755.0,853.6272,27511.0
26,10004470.SH,20220913,SSE,0.04,0.04,0.0379,0.0422,0.0317,0.0342,0.0342,18229.0,652.3427,30247.0
25,10004470.SH,20220914,SSE,0.0342,0.0342,0.0427,0.0455,0.0361,0.0409,0.0409,20953.0,854.3075,30378.0
24,10004470.SH,20220915,SSE,0.0409,0.0409,0.0383,0.0486,0.0328,0.0422,0.0422,35449.0,1422.5948,32505.0
23,10004470.SH,20220916,SSE,0.0422,0.0422,0.0441,0.071,0.0441,0.0701,0.0701,48008.0,2819.94,41965.0
22,10004470.SH,20220919,SSE,0.0701,0.0701,0.072,0.076,0.062,0.0721,0.0721,29706.0,2048.7782,45155.0
21,10004470.SH,20220920,SSE,0.0721,0.0721,0.0641,0.0771,0.0606,0.0725,0.0725,19452.0,1353.5934,42329.0
20,10004470.SH,20220921,SSE,0.0725,0.0725,0.0747,0.0956,0.0715,0.0886,0.0886,32628.0,2720.9782,46775.0
19,10004470.SH,20220922,SSE,0.0886,0.0886,0.0963,0.1108,0.0874,0.1004,0.1004,32345.0,3251.5261,45008.0
18,10004470.SH,20220923,SSE,0.1004,0.1004,0.0994,0.11,0.0831,0.0961,0.0961,40551.0,3889.3407,48264.0
17,10004470.SH,20220926,SSE,0.0961,0.0961,0.1008,0.1121,0.0839,0.11,0.11,54618.0,5249.8674,52400.0
16,10004470.SH,20220927,SSE,0.11,0.11,0.1068,0.1149,0.0841,0.0868,0.0868,39380.0,3926.9443,57579.0
15,10004470.SH,20220928,SSE,0.0868,0.0868,0.0928,0.1117,0.0912,0.1092,0.1092,41523.0,4159.929,64583.0
14,10004470.SH,20220929,SSE,0.1092,0.1092,0.0985,0.1238,0.0835,0.109,0.109,59580.0,5966.7359,63787.0
13,10004470.SH,20220930,SSE,0.109,0.109,0.1066,0.1128,0.0903,0.1086,0.1086,53442.0,5480.4015,63203.0
12,10004470.SH,20221010,SSE,0.1086,0.1086,0.1091,0.1707,0.1023,0.1671,0.1671,51141.0,6825.7804,59039.0
11,10004470.SH,20221011,SSE,0.1671,0.1671,0.16,0.1773,0.156,0.1692,0.172,18021.0,3020.2959,57137.0
10,10004470.SH,20221012,SSE,0.172,0.1692,0.168,0.2304,0.1521,0.155,0.156,30549.0,5949.4802,53281.0
9,10004470.SH,20221013,SSE,0.156,0.155,0.1605,0.1943,0.1596,0.1837,0.186,17166.0,3140.6918,49277.0
8,10004470.SH,20221014,SSE,0.186,0.1837,0.1706,0.1706,0.1139,0.1256,0.1256,30792.0,4037.4759,46970.0
7,10004470.SH,20221017,SSE,0.1256,0.1256,0.1295,0.148,0.1256,0.1285,0.1285,18759.0,2563.7882,44020.0
6,10004470.SH,20221018,SSE,0.1285,0.1285,0.118,0.1448,0.1098,0.142,0.1422,22203.0,2924.1591,41375.0
5,10004470.SH,20221019,SSE,0.1422,0.142,0.139,0.192,0.1354,0.1912,0.193,17162.0,2836.3017,38606.0
4,10004470.SH,20221020,SSE,0.193,0.1912,0.204,0.2142,0.169,0.2093,0.2093,17057.0,3359.9721,33489.0
3,10004470.SH,20221021,SSE,0.2093,0.2093,0.1999,0.2367,0.193,0.2262,0.2262,7996.0,1707.0491,32013.0
2,10004470.SH,20221024,SSE,0.2262,0.2262,0.2293,0.3275,0.2089,0.3204,0.3204,22588.0,6334.4964,20457.0
1,10004470.SH,20221025,SSE,0.3204,0.3204,0.3208,0.3329,0.2785,0.3186,0.319,8680.0,2709.0493,10713.0
0,10004470.SH,20221026,SSE,0.319,0.3186,0.3147,0.322,0.2737,0.3159,0.311,11328.0,3380.9011,1566.0
