,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
90,10001056.SH,20171114,SSE,0.172,0.172,0.172,0.1744,0.1596,0.1725,0.187,1811.0,306.292,995.0
89,10001056.SH,20171115,SSE,0.187,0.1725,0.176,0.1817,0.1709,0.1785,0.199,1365.0,242.6253,1655.0
88,10001056.SH,20171116,SSE,0.199,0.1785,0.1826,0.1826,0.1574,0.1608,0.168,1042.0,177.7601,2078.0
87,10001056.SH,20171117,SSE,0.168,0.1608,0.1609,0.161,0.1355,0.1365,0.1365,1904.0,278.4156,1997.0
86,10001056.SH,20171120,SSE,0.1365,0.1365,0.1357,0.1522,0.1308,0.1322,0.1322,2888.0,404.4803,2368.0
85,10001056.SH,20171121,SSE,0.1322,0.1322,0.133,0.1372,0.1027,0.1057,0.1057,4913.0,553.6631,3836.0
84,10001056.SH,20171122,SSE,0.1057,0.1057,0.1051,0.1088,0.0934,0.1022,0.1022,5678.0,566.7727,5009.0
83,10001056.SH,20171123,SSE,0.1022,0.1022,0.1016,0.1524,0.0987,0.144,0.144,4642.0,529.2092,5433.0
82,10001056.SH,20171124,SSE,0.144,0.144,0.1432,0.1589,0.1366,0.1442,0.144,2710.0,405.0046,4594.0
81,10001056.SH,20171127,SSE,0.144,0.1442,0.1486,0.1768,0.1485,0.1707,0.1704,2473.0,417.1747,4390.0
80,10001056.SH,20171128,SSE,0.1673,0.1707,0.1669,0.1822,0.1669,0.1777,0.1745,814.0,144.815321,4223.0
79,10001056.SH,20171129,SSE,0.1745,0.1777,0.1742,0.2027,0.1628,0.1788,0.1788,1561.0,291.454164,4019.0
78,10001056.SH,20171130,SSE,0.1788,0.1788,0.1803,0.2134,0.1758,0.211,0.211,1651.0,323.127069,4412.0
77,10001056.SH,20171201,SSE,0.211,0.211,0.2131,0.23,0.2054,0.23,0.2302,746.0,170.153054,4214.0
76,10001056.SH,20171204,SSE,0.2302,0.23,0.231,0.2388,0.1999,0.2011,0.2013,813.0,178.363896,3799.0
75,10001056.SH,20171205,SSE,0.2013,0.2011,0.2052,0.2052,0.1649,0.1711,0.1712,1190.0,215.282382,3504.0
74,10001056.SH,20171206,SSE,0.1712,0.1711,0.1722,0.2242,0.1721,0.1982,0.2001,606.0,121.770536,3501.0
73,10001056.SH,20171207,SSE,0.2001,0.1982,0.198,0.2297,0.1941,0.2212,0.2206,384.0,82.741616,3385.0
72,10001056.SH,20171208,SSE,0.2206,0.2212,0.2208,0.2208,0.1934,0.1987,0.1968,173.0,36.229064,3405.0
71,10001056.SH,20171211,SSE,0.1968,0.1987,0.1985,0.2005,0.1734,0.1734,0.1733,262.0,50.389371,3361.0
70,10001056.SH,20171212,SSE,0.1733,0.1734,0.1735,0.2054,0.1688,0.2054,0.2054,216.0,40.649354,3441.0
69,10001056.SH,20171213,SSE,0.2054,0.2054,0.2,0.2146,0.1827,0.1864,0.1864,309.0,62.88932,3381.0
68,10001056.SH,20171214,SSE,0.1864,0.1864,0.188,0.2091,0.1824,0.2021,0.2021,658.0,134.962555,3401.0
67,10001056.SH,20171215,SSE,0.2021,0.2021,0.2093,0.2304,0.2093,0.2255,0.228,140.0,31.096435,3384.0
66,10001056.SH,20171218,SSE,0.228,0.2255,0.2232,0.2261,0.2117,0.2188,0.2165,182.0,41.021615,3381.0
65,10001056.SH,20171219,SSE,0.2165,0.2188,0.2175,0.2175,0.1862,0.1862,0.185,418.0,85.666341,3447.0
64,10001056.SH,20171220,SSE,0.185,0.1862,0.1805,0.1896,0.1746,0.1826,0.1819,295.0,54.856919,3367.0
63,10001056.SH,20171221,SSE,0.1819,0.1826,0.1815,0.1861,0.1569,0.1654,0.1654,561.0,97.608049,3633.0
62,10001056.SH,20171222,SSE,0.1654,0.1654,0.1658,0.1751,0.1619,0.1744,0.1744,736.0,124.647595,4099.0
61,10001056.SH,20171225,SSE,0.1744,0.1744,0.16,0.1752,0.1498,0.1712,0.1712,971.0,162.418769,4590.0
60,10001056.SH,20171226,SSE,0.1712,0.1712,0.1718,0.1743,0.1558,0.1559,0.1563,461.0,76.929749,4786.0
59,10001056.SH,20171227,SSE,0.1563,0.1559,0.1575,0.2063,0.1575,0.2063,0.21,717.0,128.546311,4926.0
58,10001056.SH,20171228,SSE,0.21,0.2063,0.2063,0.207,0.1798,0.1898,0.1899,538.0,104.620931,4946.0
57,10001056.SH,20171229,SSE,0.1899,0.1898,0.1887,0.1927,0.1786,0.1864,0.1865,430.0,82.651988,4931.0
56,10001056.SH,20180102,SSE,0.1865,0.1864,0.1863,0.1863,0.1484,0.1487,0.1487,383.0,62.009539,4889.0
55,10001056.SH,20180103,SSE,0.1487,0.1487,0.1476,0.1476,0.1261,0.1414,0.1415,1133.0,154.361212,4848.0
54,10001056.SH,20180104,SSE,0.1415,0.1414,0.1399,0.1428,0.1276,0.1411,0.1376,270.0,37.213953,4819.0
53,10001056.SH,20180105,SSE,0.1376,0.1411,0.1358,0.1384,0.1273,0.1297,0.1297,247.0,33.267469,4703.0
52,10001056.SH,20180108,SSE,0.1297,0.1297,0.1291,0.1325,0.1188,0.1239,0.1229,387.0,50.023424,4769.0
51,10001056.SH,20180109,SSE,0.1229,0.1239,0.1176,0.1197,0.1039,0.1042,0.1042,439.0,49.567951,4758.0
50,10001056.SH,20180110,SSE,0.1042,0.1042,0.1044,0.108,0.0896,0.0907,0.0907,608.0,60.446345,4717.0
49,10001056.SH,20180111,SSE,0.0907,0.0907,0.0916,0.0965,0.0862,0.0899,0.0899,915.0,85.477409,4587.0
