,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
22,10001634.SH,20181220,SSE,0.0039,0.0039,0.0039,0.0122,0.0033,0.0086,0.0086,20750.0,172.9188,10503.0
21,10001634.SH,20181221,SSE,0.0086,0.0086,0.0089,0.0177,0.0089,0.013,0.013,60103.0,934.8408,40216.0
20,10001634.SH,20181224,SSE,0.013,0.013,0.0157,0.0183,0.009,0.0093,0.0093,22797.0,293.29,45365.0
19,10001634.SH,20181225,SSE,0.0093,0.0093,0.0154,0.0229,0.0101,0.0125,0.0125,50351.0,844.899,55095.0
18,10001634.SH,20181226,SSE,0.0125,0.0125,0.0125,0.0162,0.0111,0.0141,0.0141,34310.0,473.1525,68423.0
17,10001634.SH,20181227,SSE,0.0141,0.0141,0.009,0.0142,0.0068,0.0131,0.0131,44114.0,480.7687,81975.0
16,10001634.SH,20181228,SSE,0.0131,0.0131,0.0115,0.0129,0.0081,0.0121,0.0121,36087.0,381.8764,89345.0
15,10001634.SH,20190102,SSE,0.0121,0.0121,0.0106,0.0152,0.0087,0.0132,0.0132,51034.0,648.7026,98108.0
14,10001634.SH,20190103,SSE,0.0132,0.0132,0.0127,0.0131,0.0068,0.0108,0.0108,44470.0,447.6986,105554.0
13,10001634.SH,20190104,SSE,0.0108,0.0108,0.0141,0.015,0.0045,0.0045,0.0045,74622.0,597.3733,106514.0
12,10001634.SH,20190107,SSE,0.0045,0.0045,0.0036,0.0048,0.003,0.0044,0.0044,36915.0,151.231,102661.0
11,10001634.SH,20190108,SSE,0.0044,0.0044,0.004,0.0049,0.0032,0.0033,0.0033,16201.0,62.7787,103529.0
10,10001634.SH,20190109,SSE,0.0033,0.0033,0.003,0.0032,0.0014,0.0016,0.0016,53203.0,95.3945,78979.0
9,10001634.SH,20190110,SSE,0.0016,0.0016,0.002,0.0021,0.0007,0.0015,0.0015,21766.0,28.283,75178.0
8,10001634.SH,20190111,SSE,0.0015,0.0015,0.0015,0.0015,0.0008,0.001,0.001,15020.0,15.2489,73813.0
7,10001634.SH,20190114,SSE,0.001,0.001,0.0009,0.001,0.0005,0.0006,0.0006,6928.0,5.2256,70750.0
6,10001634.SH,20190115,SSE,0.0006,0.0006,0.0004,0.0007,0.0002,0.0003,0.0003,10128.0,3.4842,63448.0
5,10001634.SH,20190116,SSE,0.0003,0.0003,0.0004,0.0005,0.0002,0.0002,0.0002,2694.0,0.7587,62323.0
4,10001634.SH,20190117,SSE,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002,0.0002,1915.0,0.3521,60987.0
3,10001634.SH,20190118,SSE,0.0002,0.0002,0.0003,0.0003,0.0001,0.0002,0.0002,2384.0,0.4478,59256.0
2,10001634.SH,20190121,SSE,0.0002,0.0002,0.0002,0.0003,0.0001,0.0001,0.0001,4372.0,0.7152,56632.0
1,10001634.SH,20190122,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,460.0,0.046,56250.0
0,10001634.SH,20190123,SSE,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,676.0,0.0676,55608.0
