,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
55,10005094.SH,20230117,SSE,0.2764,,0.267,0.281,0.267,0.281,0.2761,488.0,134.0826,385.0
54,10005094.SH,20230118,SSE,0.2761,0.281,0.2707,0.2979,0.2707,0.2979,0.2949,243.0,69.8571,459.0
53,10005094.SH,20230119,SSE,0.2949,0.2979,0.302,0.315,0.2944,0.298,0.2942,324.0,97.5979,737.0
52,10005094.SH,20230120,SSE,0.2942,0.298,0.1677,0.2934,0.1677,0.29,0.288,194.0,53.8554,800.0
51,10005094.SH,20230130,SSE,0.288,0.29,0.2519,0.2848,0.25,0.2827,0.2827,288.0,77.2273,797.0
50,10005094.SH,20230131,SSE,0.2827,0.2827,0.276,0.296,0.2697,0.2899,0.2925,124.0,35.2046,807.0
49,10005094.SH,20230201,SSE,0.2925,0.2899,0.289,0.32,0.289,0.3014,0.2878,32.0,9.7745,814.0
48,10005094.SH,20230202,SSE,0.2878,0.3014,0.3022,0.3031,0.2971,0.3002,0.2945,109.0,32.7201,818.0
47,10005094.SH,20230203,SSE,0.2945,0.3002,0.321,0.3427,0.321,0.3332,0.3264,44.0,14.594,821.0
46,10005094.SH,20230206,SSE,0.3264,0.3332,0.3539,0.372,0.3539,0.3604,0.362,35.0,12.649,835.0
45,10005094.SH,20230207,SSE,0.362,0.3604,0.3509,0.3511,0.3509,0.3511,0.353,2.0,0.702,837.0
44,10005094.SH,20230208,SSE,0.353,0.3511,0.3448,0.3601,0.3447,0.3601,0.36,9.0,3.1914,838.0
43,10005094.SH,20230209,SSE,0.36,0.3601,0.3578,0.3578,0.3298,0.3379,0.3343,108.0,36.209,872.0
42,10005094.SH,20230210,SSE,0.3343,0.3379,0.35,0.35,0.3498,0.3498,0.343,5.0,1.7494,875.0
41,10005094.SH,20230213,SSE,0.343,0.3498,0.3373,0.3482,0.3216,0.327,0.325,70.0,22.6945,910.0
40,10005094.SH,20230214,SSE,0.325,0.327,0.32,0.328,0.3158,0.3158,0.3158,21.0,6.7787,921.0
39,10005094.SH,20230215,SSE,0.3158,0.3158,0.3189,0.333,0.317,0.333,0.34,50.0,16.2429,934.0
38,10005094.SH,20230216,SSE,0.34,0.333,0.3271,0.3555,0.3032,0.3392,0.35,311.0,100.3676,890.0
37,10005094.SH,20230217,SSE,0.35,0.3392,0.3371,0.365,0.3361,0.365,0.3803,227.0,79.8668,986.0
36,10005094.SH,20230220,SSE,0.3803,0.365,0.3608,0.3608,0.3001,0.3047,0.3022,104.0,32.9706,994.0
