,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
47,10005001.SH,20230109,SSE,0.0219,,0.0237,0.0324,0.0237,0.0318,0.0318,10506.0,306.1581,2214.0
46,10005001.SH,20230110,SSE,0.0318,0.0318,0.0293,0.0319,0.0275,0.028,0.028,6966.0,204.7419,2374.0
45,10005001.SH,20230111,SSE,0.028,0.028,0.028,0.0337,0.0276,0.0281,0.0275,9409.0,292.2282,3697.0
44,10005001.SH,20230112,SSE,0.0275,0.0281,0.0299,0.0311,0.0258,0.028,0.028,9713.0,275.8486,3870.0
43,10005001.SH,20230113,SSE,0.028,0.028,0.0283,0.0361,0.0283,0.0361,0.0361,15799.0,493.5015,4308.0
42,10005001.SH,20230116,SSE,0.0361,0.0361,0.038,0.0758,0.0362,0.0535,0.0541,43916.0,2628.7062,5378.0
41,10005001.SH,20230117,SSE,0.0541,0.0535,0.0516,0.0584,0.0467,0.0518,0.0518,22759.0,1153.6061,5541.0
40,10005001.SH,20230118,SSE,0.0518,0.0518,0.0535,0.0556,0.045,0.0476,0.0476,25694.0,1250.5584,6112.0
39,10005001.SH,20230119,SSE,0.0476,0.0476,0.0429,0.0533,0.0384,0.0517,0.0517,13895.0,638.4834,6209.0
38,10005001.SH,20230120,SSE,0.0517,0.0517,0.0545,0.0642,0.0516,0.0535,0.0535,12092.0,685.3453,7818.0
37,10005001.SH,20230130,SSE,0.0535,0.0535,0.0635,0.0697,0.0121,0.0443,0.0443,21236.0,1097.4194,7543.0
36,10005001.SH,20230131,SSE,0.0443,0.0443,0.0453,0.0502,0.0344,0.0345,0.0345,6238.0,243.8476,7747.0
35,10005001.SH,20230201,SSE,0.0345,0.0345,0.036,0.039,0.0261,0.039,0.039,11302.0,369.4732,10615.0
34,10005001.SH,20230202,SSE,0.039,0.039,0.041,0.042,0.0311,0.0353,0.0353,7820.0,271.716,10066.0
33,10005001.SH,20230203,SSE,0.0353,0.0353,0.0322,0.0322,0.0219,0.0253,0.0253,10868.0,263.7531,13610.0
32,10005001.SH,20230206,SSE,0.0253,0.0253,0.0201,0.0201,0.0156,0.0172,0.0172,10592.0,181.4307,15860.0
31,10005001.SH,20230207,SSE,0.0172,0.0172,0.0183,0.0196,0.0159,0.0168,0.0168,3911.0,68.5072,16783.0
30,10005001.SH,20230208,SSE,0.0168,0.0168,0.0179,0.0191,0.014,0.0143,0.0143,3988.0,62.3631,18684.0
29,10005001.SH,20230209,SSE,0.0143,0.0143,0.0135,0.0186,0.0131,0.0178,0.0178,12489.0,215.7574,20498.0
28,10005001.SH,20230210,SSE,0.0178,0.0178,0.0172,0.0172,0.0135,0.014,0.014,7560.0,109.8483,23818.0
27,10005001.SH,20230213,SSE,0.014,0.014,0.0129,0.0162,0.0115,0.0146,0.0146,8467.0,119.1642,25282.0
26,10005001.SH,20230214,SSE,0.0146,0.0146,0.0159,0.016,0.0128,0.0152,0.0152,9568.0,134.8858,27882.0
25,10005001.SH,20230215,SSE,0.0152,0.0152,0.0149,0.0151,0.0102,0.0107,0.0107,12523.0,144.9806,31398.0
24,10005001.SH,20230216,SSE,0.0107,0.0107,0.0104,0.0152,0.0076,0.0089,0.0089,30791.0,352.2732,32285.0
23,10005001.SH,20230217,SSE,0.0089,0.0089,0.0088,0.0102,0.0056,0.0061,0.0061,23511.0,187.4251,30678.0
22,10005001.SH,20230220,SSE,0.0061,0.0061,0.0076,0.0174,0.006,0.0162,0.0162,33826.0,393.262,36921.0
21,10005001.SH,20230221,SSE,0.0162,0.0162,0.016,0.0201,0.0133,0.017,0.017,34837.0,561.0818,38261.0
20,10005001.SH,20230222,SSE,0.017,0.017,0.013,0.0161,0.0098,0.0105,0.0105,23964.0,296.4518,44249.0
19,10005001.SH,20230223,SSE,0.0105,0.0105,0.0115,0.013,0.0078,0.0092,0.0092,30299.0,297.5291,50961.0
18,10005001.SH,20230224,SSE,0.0092,0.0092,0.0086,0.0086,0.0051,0.0051,0.0051,37244.0,236.7151,51447.0
17,10005001.SH,20230227,SSE,0.0051,0.0051,0.0045,0.0058,0.0042,0.0047,0.0047,12972.0,64.4592,52952.0
16,10005001.SH,20230228,SSE,0.0047,0.0047,0.0051,0.0056,0.003,0.0044,0.0044,16934.0,67.7245,52259.0
15,10005001.SH,20230301,SSE,0.0044,0.0044,0.0044,0.0087,0.0039,0.0065,0.0065,33352.0,217.1067,52442.0
