,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
54,10002211.SH,20191231,SSE,0.0096,0.0096,0.0096,0.0112,0.0088,0.0106,0.0106,5827.0,58.4619,3836.0
53,10002211.SH,20200102,SSE,0.0106,0.0106,0.0139,0.0162,0.012,0.0135,0.0139,8152.0,115.8671,5727.0
52,10002211.SH,20200103,SSE,0.0139,0.0135,0.0142,0.0166,0.013,0.0137,0.0138,8852.0,134.1497,6909.0
51,10002211.SH,20200106,SSE,0.0138,0.0137,0.0131,0.0165,0.012,0.0148,0.0148,8946.0,126.8163,9155.0
50,10002211.SH,20200107,SSE,0.0148,0.0148,0.0157,0.0168,0.0143,0.0165,0.0165,6076.0,93.8955,11137.0
49,10002211.SH,20200108,SSE,0.0165,0.0165,0.0149,0.0159,0.0138,0.014,0.014,4969.0,72.8728,11359.0
48,10002211.SH,20200109,SSE,0.014,0.014,0.0154,0.0165,0.0131,0.0139,0.0139,8550.0,124.6646,13777.0
47,10002211.SH,20200110,SSE,0.0139,0.0139,0.015,0.0158,0.0125,0.0133,0.0133,2555.0,33.6067,14884.0
46,10002211.SH,20200113,SSE,0.0133,0.0133,0.0138,0.0138,0.011,0.0129,0.0129,5598.0,67.5658,14995.0
45,10002211.SH,20200114,SSE,0.0129,0.0129,0.0135,0.0151,0.011,0.0112,0.0112,7065.0,91.4897,13957.0
44,10002211.SH,20200115,SSE,0.0112,0.0112,0.011,0.0114,0.0083,0.0086,0.0086,5068.0,47.24,12912.0
43,10002211.SH,20200116,SSE,0.0086,0.0086,0.0122,0.0126,0.0055,0.0058,0.0058,4265.0,29.5744,12824.0
42,10002211.SH,20200117,SSE,0.0058,0.0058,0.0075,0.0075,0.0052,0.0055,0.0055,3800.0,23.0602,12622.0
41,10002211.SH,20200120,SSE,0.0055,0.0055,0.0062,0.007,0.0024,0.0069,0.0069,2542.0,16.4098,13133.0
40,10002211.SH,20200121,SSE,0.0069,0.0069,0.006,0.0087,0.0052,0.0064,0.0064,4495.0,26.9002,14445.0
39,10002211.SH,20200122,SSE,0.0064,0.0064,0.0059,0.008,0.0053,0.0056,0.0056,4034.0,26.5748,15636.0
38,10002211.SH,20200123,SSE,0.0056,0.0056,0.0051,0.006,0.0041,0.0054,0.0054,10269.0,55.8325,16538.0
37,10002211.SH,20200203,SSE,0.0054,0.0054,0.0041,0.0089,0.0016,0.0064,0.0064,11914.0,67.5525,14331.0
36,10002211.SH,20200204,SSE,0.0064,0.0064,0.0077,0.0091,0.0038,0.0044,0.0044,8572.0,45.8363,16135.0
35,10002211.SH,20200205,SSE,0.0044,0.0044,0.0044,0.0044,0.003,0.0031,0.0031,6639.0,22.1267,19042.0
34,10002211.SH,20200206,SSE,0.0031,0.0031,0.0028,0.0043,0.0019,0.004,0.004,4866.0,13.6696,18836.0
33,10002211.SH,20200207,SSE,0.004,0.004,0.0036,0.0042,0.0033,0.0038,0.0038,3600.0,13.8554,20932.0
32,10002211.SH,20200210,SSE,0.0038,0.0038,0.0037,0.0043,0.003,0.003,0.003,1721.0,6.208,21193.0
31,10002211.SH,20200211,SSE,0.003,0.003,0.0033,0.0035,0.003,0.0031,0.003,1637.0,5.3765,21059.0
30,10002211.SH,20200212,SSE,0.003,0.0031,0.0029,0.0031,0.0026,0.0026,0.0026,983.0,2.8347,21111.0
29,10002211.SH,20200213,SSE,0.0026,0.0026,0.0026,0.0028,0.0021,0.0021,0.0022,1210.0,2.9148,20827.0
28,10002211.SH,20200214,SSE,0.0022,0.0021,0.0023,0.0031,0.0015,0.0017,0.0016,3586.0,6.4721,20136.0
27,10002211.SH,20200217,SSE,0.0016,0.0017,0.0021,0.0023,0.0015,0.0018,0.0018,4236.0,8.2441,18771.0
26,10002211.SH,20200218,SSE,0.0018,0.0018,0.0018,0.0019,0.0015,0.0017,0.0017,3357.0,5.699,19430.0
25,10002211.SH,20200219,SSE,0.0017,0.0017,0.0027,0.0027,0.0015,0.0016,0.0016,1296.0,2.1883,19964.0
24,10002211.SH,20200220,SSE,0.0016,0.0016,0.0017,0.0024,0.0014,0.0022,0.0022,2446.0,4.6897,19738.0
23,10002211.SH,20200221,SSE,0.0022,0.0022,0.0021,0.0041,0.0021,0.003,0.003,3372.0,10.4351,19730.0
22,10002211.SH,20200224,SSE,0.003,0.003,0.003,0.0032,0.0021,0.0023,0.0023,8149.0,20.3937,23347.0
21,10002211.SH,20200225,SSE,0.0023,0.0023,0.0017,0.0021,0.0012,0.0015,0.0015,6170.0,9.3508,22215.0
20,10002211.SH,20200226,SSE,0.0015,0.0015,0.0015,0.0017,0.001,0.001,0.001,7120.0,9.1739,24702.0
19,10002211.SH,20200227,SSE,0.001,0.001,0.0012,0.0013,0.0008,0.0008,0.0008,7151.0,7.1533,28535.0
18,10002211.SH,20200228,SSE,0.0008,0.0008,0.0008,0.0012,0.0006,0.0012,0.0011,5060.0,4.2773,30361.0
17,10002211.SH,20200302,SSE,0.0011,0.0012,0.0009,0.0012,0.0009,0.001,0.001,2592.0,2.565,30589.0
16,10002211.SH,20200303,SSE,0.001,0.001,0.0011,0.0012,0.0007,0.0007,0.0007,2207.0,1.9871,30956.0
15,10002211.SH,20200304,SSE,0.0007,0.0007,0.0007,0.0007,0.0005,0.0006,0.0006,1243.0,0.7246,30585.0
14,10002211.SH,20200305,SSE,0.0006,0.0006,0.0009,0.0017,0.0006,0.0014,0.0014,12299.0,14.4235,32911.0
13,10002211.SH,20200306,SSE,0.0014,0.0014,0.0008,0.0018,0.0007,0.0008,0.0008,8553.0,10.9447,32962.0
12,10002211.SH,20200309,SSE,0.0008,0.0008,0.0008,0.0013,0.0007,0.0008,0.0008,5501.0,5.4359,33370.0
11,10002211.SH,20200310,SSE,0.0008,0.0008,0.001,0.0016,0.0008,0.0008,0.0008,10897.0,13.5832,34725.0
10,10002211.SH,20200311,SSE,0.0008,0.0008,0.0012,0.0012,0.0005,0.0005,0.0006,4799.0,3.139,33625.0
9,10002211.SH,20200312,SSE,0.0006,0.0005,0.0007,0.0009,0.0005,0.0007,0.0007,3080.0,2.1173,34066.0
8,10002211.SH,20200313,SSE,0.0007,0.0007,0.001,0.0017,0.0006,0.0015,0.0015,14633.0,17.5135,33941.0
7,10002211.SH,20200316,SSE,0.0015,0.0015,0.0009,0.0014,0.0009,0.0014,0.0014,9449.0,10.7003,35605.0
6,10002211.SH,20200317,SSE,0.0014,0.0014,0.0015,0.0016,0.0007,0.001,0.001,8179.0,9.4938,34972.0
5,10002211.SH,20200318,SSE,0.001,0.001,0.0012,0.0012,0.0002,0.0005,0.0003,7245.0,3.0136,34828.0
4,10002211.SH,20200319,SSE,0.0003,0.0005,0.0003,0.0009,0.0002,0.0003,0.0003,5511.0,3.0376,35899.0
3,10002211.SH,20200320,SSE,0.0003,0.0003,0.0003,0.0006,0.0002,0.0002,0.0001,4289.0,1.7679,35153.0
2,10002211.SH,20200323,SSE,0.0001,0.0002,0.0001,0.0006,0.0001,0.0002,0.0001,5500.0,1.3863,34774.0
1,10002211.SH,20200324,SSE,0.0001,0.0002,0.0002,0.0003,0.0001,0.0002,0.0001,4290.0,0.512,33056.0
0,10002211.SH,20200325,SSE,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,214.0,0.0214,32950.0
