,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
37,10002655.SH,20200706,SSE,0.0182,0.0182,0.0325,0.1618,0.0321,0.151,0.151,51146.0,4366.3397,17336.0
36,10002655.SH,20200707,SSE,0.151,0.151,0.2053,0.229,0.0795,0.0838,0.0838,53857.0,6881.666,18665.0
35,10002655.SH,20200708,SSE,0.0838,0.0838,0.085,0.1315,0.076,0.1092,0.1092,39044.0,3704.2209,21583.0
34,10002655.SH,20200709,SSE,0.1092,0.1092,0.1168,0.1269,0.0979,0.1112,0.112,35805.0,4070.1921,24800.0
33,10002655.SH,20200710,SSE,0.112,0.1112,0.1049,0.1049,0.0718,0.0761,0.0761,32372.0,2966.6583,27236.0
32,10002655.SH,20200713,SSE,0.0761,0.0761,0.0757,0.1037,0.0617,0.0706,0.0706,34406.0,2686.9129,31519.0
31,10002655.SH,20200714,SSE,0.0706,0.0706,0.0674,0.0792,0.0517,0.0592,0.0592,32900.0,2094.7401,36080.0
30,10002655.SH,20200715,SSE,0.0592,0.0592,0.0645,0.0721,0.0513,0.0535,0.0535,31723.0,1900.9797,41614.0
29,10002655.SH,20200716,SSE,0.0535,0.0535,0.0541,0.0588,0.0328,0.0331,0.0331,54130.0,2281.5152,48681.0
28,10002655.SH,20200717,SSE,0.0331,0.0331,0.032,0.0389,0.0214,0.0228,0.0228,48784.0,1426.4321,53180.0
27,10002655.SH,20200720,SSE,0.0228,0.0228,0.028,0.0411,0.0182,0.0365,0.0365,94797.0,2918.8065,60945.0
26,10002655.SH,20200721,SSE,0.0365,0.0365,0.0385,0.0429,0.0292,0.0296,0.0296,62762.0,2200.2894,69994.0
25,10002655.SH,20200722,SSE,0.0296,0.0296,0.0298,0.0563,0.0258,0.0282,0.0282,123319.0,4599.0628,82624.0
24,10002655.SH,20200723,SSE,0.0282,0.0282,0.0257,0.0352,0.0227,0.0291,0.0291,124022.0,3474.0963,94429.0
23,10002655.SH,20200724,SSE,0.0291,0.0291,0.0266,0.0295,0.0159,0.0171,0.0171,112174.0,2397.451,106795.0
22,10002655.SH,20200727,SSE,0.0171,0.0171,0.0183,0.0199,0.0126,0.0135,0.0135,56776.0,863.3927,112312.0
21,10002655.SH,20200728,SSE,0.0135,0.0135,0.0146,0.0174,0.0128,0.0144,0.0144,48773.0,739.3569,116844.0
20,10002655.SH,20200729,SSE,0.0144,0.0144,0.0146,0.0236,0.013,0.0218,0.0218,89263.0,1759.8132,115003.0
19,10002655.SH,20200730,SSE,0.0218,0.0218,0.0215,0.026,0.0174,0.0174,0.0174,63587.0,1389.3221,116688.0
18,10002655.SH,20200731,SSE,0.0174,0.0174,0.018,0.0304,0.0151,0.0212,0.0212,133218.0,3026.5817,117971.0
17,10002655.SH,20200803,SSE,0.0212,0.0212,0.0272,0.0305,0.0228,0.0262,0.0262,73820.0,1907.0243,123259.0
16,10002655.SH,20200804,SSE,0.0262,0.0262,0.0309,0.036,0.0251,0.0285,0.0285,116446.0,3416.4503,120917.0
15,10002655.SH,20200805,SSE,0.0285,0.0285,0.0279,0.0279,0.0201,0.0225,0.0225,74251.0,1693.8277,128614.0
14,10002655.SH,20200806,SSE,0.0225,0.0225,0.0247,0.0273,0.0149,0.0213,0.0213,102351.0,2029.4914,142706.0
13,10002655.SH,20200807,SSE,0.0213,0.0213,0.0194,0.0207,0.0123,0.0134,0.0134,96506.0,1523.473,144574.0
12,10002655.SH,20200810,SSE,0.0134,0.0134,0.0114,0.0168,0.0091,0.0125,0.0125,85984.0,1139.4133,138125.0
11,10002655.SH,20200811,SSE,0.0125,0.0125,0.0128,0.0183,0.0062,0.007,0.007,109397.0,1388.9371,134390.0
10,10002655.SH,20200812,SSE,0.007,0.007,0.006,0.0087,0.005,0.0065,0.0065,65858.0,431.9946,131464.0
9,10002655.SH,20200813,SSE,0.0065,0.0065,0.0071,0.008,0.004,0.004,0.004,32798.0,183.8881,128620.0
8,10002655.SH,20200814,SSE,0.004,0.004,0.0045,0.0072,0.0032,0.0071,0.0071,35201.0,174.1087,127473.0
7,10002655.SH,20200817,SSE,0.0071,0.0071,0.0069,0.026,0.0068,0.017,0.017,216571.0,3366.3715,137579.0
6,10002655.SH,20200818,SSE,0.017,0.017,0.018,0.0188,0.0072,0.0105,0.0105,124631.0,1612.6226,137317.0
5,10002655.SH,20200819,SSE,0.0105,0.0105,0.01,0.0104,0.003,0.003,0.003,106101.0,634.4178,132092.0
4,10002655.SH,20200820,SSE,0.003,0.003,0.0023,0.0027,0.0011,0.0015,0.0015,50458.0,96.8689,115253.0
3,10002655.SH,20200821,SSE,0.0015,0.0015,0.002,0.0025,0.0006,0.0011,0.0011,29057.0,36.6378,108325.0
2,10002655.SH,20200824,SSE,0.0011,0.0011,0.001,0.0011,0.0002,0.0002,0.0002,20861.0,10.9398,97528.0
1,10002655.SH,20200825,SSE,0.0002,0.0002,0.0002,0.0004,0.0001,0.0001,0.0001,9181.0,1.9032,91258.0
0,10002655.SH,20200826,SSE,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,2441.0,0.2455,90089.0
