,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
115,10002688.SH,20200707,SSE,0.1747,0.1747,0.193,0.2378,0.1257,0.13,0.13,2828.0,476.4138,1054.0
114,10002688.SH,20200708,SSE,0.13,0.13,0.1266,0.1663,0.1188,0.1525,0.1525,2066.0,283.617,1695.0
113,10002688.SH,20200709,SSE,0.1525,0.1525,0.1465,0.1658,0.136,0.1561,0.1561,3555.0,549.0433,3359.0
112,10002688.SH,20200710,SSE,0.1561,0.1561,0.1502,0.1523,0.1273,0.134,0.134,1204.0,171.2398,3522.0
111,10002688.SH,20200713,SSE,0.134,0.134,0.1348,0.1498,0.1182,0.1223,0.1223,2665.0,342.8582,4004.0
110,10002688.SH,20200714,SSE,0.1223,0.1223,0.122,0.1265,0.0998,0.1096,0.1089,2134.0,239.7291,4333.0
109,10002688.SH,20200715,SSE,0.1089,0.1096,0.1305,0.1305,0.1,0.1013,0.1013,2516.0,274.6942,4988.0
108,10002688.SH,20200716,SSE,0.1013,0.1013,0.1081,0.1093,0.0619,0.0635,0.0643,2935.0,255.2385,5816.0
107,10002688.SH,20200717,SSE,0.0643,0.0635,0.0696,0.0755,0.0564,0.0574,0.0574,1937.0,123.29,5883.0
106,10002688.SH,20200720,SSE,0.0574,0.0574,0.0592,0.0757,0.0489,0.0704,0.0704,3252.0,204.7193,6255.0
105,10002688.SH,20200721,SSE,0.0704,0.0704,0.0716,0.08,0.0671,0.0701,0.0701,1917.0,141.413,6123.0
104,10002688.SH,20200722,SSE,0.0701,0.0701,0.0677,0.0968,0.0658,0.0717,0.0717,3461.0,277.3649,6656.0
103,10002688.SH,20200723,SSE,0.0717,0.0717,0.0678,0.0786,0.0618,0.0723,0.0723,3373.0,237.5237,6451.0
102,10002688.SH,20200724,SSE,0.0723,0.0723,0.0703,0.0718,0.0545,0.0559,0.0559,3984.0,247.6971,6650.0
101,10002688.SH,20200727,SSE,0.0559,0.0559,0.0543,0.0572,0.0486,0.0486,0.0486,2848.0,150.3758,7057.0
100,10002688.SH,20200728,SSE,0.0486,0.0486,0.0531,0.057,0.0486,0.0517,0.0517,1313.0,67.6944,7214.0
99,10002688.SH,20200729,SSE,0.0517,0.0517,0.0502,0.0687,0.0491,0.0643,0.0643,2346.0,141.5199,7474.0
98,10002688.SH,20200730,SSE,0.0643,0.0643,0.0645,0.0742,0.0645,0.0655,0.0655,1379.0,96.0089,7696.0
97,10002688.SH,20200731,SSE,0.0655,0.0655,0.0707,0.0832,0.0636,0.0714,0.0712,1865.0,138.8683,7885.0
96,10002688.SH,20200803,SSE,0.0712,0.0714,0.0757,0.0829,0.0753,0.0809,0.0809,1388.0,110.1793,8017.0
95,10002688.SH,20200804,SSE,0.0809,0.0809,0.0849,0.0927,0.0808,0.0847,0.0847,1469.0,128.0422,8355.0
94,10002688.SH,20200805,SSE,0.0847,0.0847,0.0824,0.0846,0.0741,0.0793,0.0793,981.0,78.9674,8423.0
93,10002688.SH,20200806,SSE,0.0793,0.0793,0.0819,0.0872,0.0681,0.0779,0.0779,1683.0,126.5524,8261.0
92,10002688.SH,20200807,SSE,0.0779,0.0779,0.0741,0.0774,0.0637,0.0684,0.0684,1084.0,77.5098,8687.0
91,10002688.SH,20200810,SSE,0.0684,0.0684,0.0657,0.0733,0.0607,0.0669,0.067,2614.0,177.6447,8058.0
90,10002688.SH,20200811,SSE,0.067,0.0669,0.0686,0.0741,0.0571,0.0577,0.0577,2390.0,165.0522,8040.0
89,10002688.SH,20200812,SSE,0.0577,0.0577,0.0591,0.0594,0.0504,0.0535,0.0535,2659.0,144.6812,8398.0
88,10002688.SH,20200813,SSE,0.0535,0.0535,0.0529,0.0569,0.052,0.0525,0.0515,1102.0,60.4668,8477.0
87,10002688.SH,20200814,SSE,0.0515,0.0525,0.0526,0.0588,0.0482,0.0578,0.0578,2318.0,121.1507,8415.0
86,10002688.SH,20200817,SSE,0.0578,0.0578,0.0581,0.0999,0.0581,0.0906,0.0906,4586.0,371.3899,8419.0
85,10002688.SH,20200818,SSE,0.0906,0.0906,0.0925,0.0953,0.081,0.0883,0.0883,2105.0,191.1845,8597.0
84,10002688.SH,20200819,SSE,0.0883,0.0883,0.089,0.089,0.0677,0.0685,0.0685,2822.0,220.2692,8148.0
83,10002688.SH,20200820,SSE,0.0685,0.0685,0.0641,0.065,0.0554,0.0567,0.0567,2640.0,160.4589,8655.0
82,10002688.SH,20200821,SSE,0.0567,0.0567,0.0608,0.0629,0.0557,0.0601,0.0601,2879.0,169.8959,9534.0
81,10002688.SH,20200824,SSE,0.0601,0.0601,0.0625,0.0663,0.0543,0.0559,0.0559,2675.0,160.6767,10618.0
80,10002688.SH,20200825,SSE,0.0559,0.0559,0.0579,0.0622,0.0533,0.0563,0.056,1898.0,110.0775,10903.0
79,10002688.SH,20200826,SSE,0.056,0.0563,0.055,0.0584,0.0477,0.0508,0.0508,3856.0,203.242,11956.0
78,10002688.SH,20200827,SSE,0.0508,0.0508,0.0501,0.0517,0.0466,0.0502,0.0502,3022.0,146.9458,11880.0
77,10002688.SH,20200828,SSE,0.0502,0.0502,0.0507,0.0707,0.0504,0.0688,0.0688,4265.0,256.9964,11291.0
76,10002688.SH,20200831,SSE,0.0688,0.0688,0.075,0.0861,0.0595,0.0595,0.0596,4888.0,374.7862,11921.0
75,10002688.SH,20200901,SSE,0.0596,0.0595,0.0606,0.0655,0.0591,0.0654,0.0654,2327.0,144.5251,12127.0
74,10002688.SH,20200902,SSE,0.0654,0.0654,0.0699,0.0711,0.0573,0.0642,0.064,2899.0,182.8176,12910.0
73,10002688.SH,20200903,SSE,0.064,0.0642,0.0648,0.072,0.062,0.0643,0.0643,2182.0,144.3572,13389.0
72,10002688.SH,20200904,SSE,0.0643,0.0643,0.0604,0.0625,0.0551,0.0599,0.0599,1999.0,119.5394,13546.0
71,10002688.SH,20200907,SSE,0.0599,0.0599,0.0596,0.0609,0.0478,0.0478,0.0479,3163.0,169.6784,14560.0
70,10002688.SH,20200908,SSE,0.0479,0.0478,0.05,0.0544,0.0466,0.0532,0.0532,3239.0,160.3981,14359.0
69,10002688.SH,20200909,SSE,0.0532,0.0532,0.05,0.0526,0.047,0.047,0.047,2920.0,145.4951,14636.0
68,10002688.SH,20200910,SSE,0.047,0.047,0.0505,0.0512,0.0406,0.0406,0.0407,2435.0,110.2336,14709.0
67,10002688.SH,20200911,SSE,0.0407,0.0406,0.0412,0.042,0.0379,0.0401,0.0401,2615.0,104.0032,15273.0
66,10002688.SH,20200914,SSE,0.0401,0.0401,0.043,0.0435,0.036,0.0379,0.0377,1531.0,58.255,15357.0
65,10002688.SH,20200915,SSE,0.0377,0.0379,0.0379,0.0402,0.0353,0.0391,0.0391,1967.0,75.7802,15679.0
64,10002688.SH,20200916,SSE,0.0391,0.0391,0.0392,0.0393,0.032,0.0335,0.0335,3099.0,110.1163,16303.0
63,10002688.SH,20200917,SSE,0.0335,0.0335,0.0314,0.0316,0.0256,0.028,0.028,3374.0,94.9025,16842.0
62,10002688.SH,20200918,SSE,0.028,0.028,0.0285,0.0468,0.028,0.0459,0.0459,5020.0,187.1078,16504.0
61,10002688.SH,20200921,SSE,0.0459,0.0459,0.0459,0.0512,0.0416,0.0417,0.0418,5323.0,239.3227,16997.0
60,10002688.SH,20200922,SSE,0.0418,0.0417,0.0398,0.0442,0.0334,0.0342,0.0342,3069.0,120.5412,17367.0
59,10002688.SH,20200923,SSE,0.0342,0.0342,0.0335,0.0369,0.031,0.0321,0.0321,2347.0,77.6988,17659.0
58,10002688.SH,20200924,SSE,0.0321,0.0321,0.0306,0.0321,0.0275,0.0282,0.0282,5109.0,149.1195,18788.0
57,10002688.SH,20200925,SSE,0.0282,0.0282,0.0289,0.0337,0.0285,0.0325,0.0325,2200.0,66.9723,19242.0
56,10002688.SH,20200928,SSE,0.0325,0.0325,0.033,0.0378,0.0329,0.0369,0.0365,3878.0,140.9671,19510.0
55,10002688.SH,20200929,SSE,0.0365,0.0369,0.0376,0.0427,0.0376,0.0406,0.0406,3317.0,135.7226,19203.0
54,10002688.SH,20200930,SSE,0.0406,0.0406,0.042,0.0421,0.0339,0.035,0.035,3186.0,119.3228,19692.0
53,10002688.SH,20201009,SSE,0.035,0.035,0.0368,0.0417,0.0261,0.0264,0.0264,5245.0,160.0738,20597.0
52,10002688.SH,20201012,SSE,0.0264,0.0264,0.0275,0.0487,0.0275,0.0444,0.044,11662.0,461.0512,20695.0
51,10002688.SH,20201013,SSE,0.044,0.0444,0.0427,0.0435,0.0361,0.0415,0.0415,6108.0,243.4199,21068.0
