time,val,ml,mla,theta,cc
2023-03-17,"3,958.82",0.946740194,0.976103794,0.019241355,0
2023-03-10,"3,967.14",0.948728894,0.979624683,0.017129515,0
2023-03-03,"4,130.55",0.987809381,0.983897275,0.014982312,0
2023-02-24,"4,061.05",0.971187318,0.980377027,0.018523725,0
2023-02-17,"4,034.51",0.964840665,0.976304636,0.024975854,0
2023-02-10,"4,106.31",0.982012072,0.973026963,0.028891057,0
2023-02-03,"4,141.63",0.990459274,0.967246011,0.033502193,0
2023-01-20,"4,181.53",1,0.959611062,0.037884273,0
2023-01-13,"4,074.38",1,0.946690539,0.047957518,0
2023-01-06,"3,980.89",0.995659245,0.937777733,0.047079917,0
2022-12-30,"3,871.63",0.9683335,0.930357836,0.044047032,0
2022-12-23,"3,828.22",0.957474984,0.924294833,0.043346337,0
2022-12-16,"3,954.23",0.988990868,0.917061356,0.044532344,0
2022-12-09,"3,998.24",1,0.908015553,0.039311908,0
2022-12-02,"3,870.95",0.945566397,0.901057974,0.027018164,0
2022-11-25,"3,775.78",0.922318633,0.897327322,0.023123871,0
2022-11-18,"3,801.57",0.925508579,0.897099868,0.022867706,0
2022-11-11,"3,788.44",0.912640652,0.897418672,0.023321919,0
2022-11-04,"3,767.17",0.898839889,0.899557521,0.025881318,0
2022-10-28,"3,541.33",0.844953726,0.902207619,0.027385571,1
2022-10-21,"3,742.89",0.893046327,0.909594325,0.021954524,0
2022-10-14,"3,842.47",0.906620472,0.914244422,0.023949771,0
2022-09-30,"3,804.89",0.895577463,0.917955376,0.026021479,0
2022-09-23,"3,856.02",0.870673262,0.925949485,0.032460406,0
2022-09-16,"3,932.68",0.88044123,0.936726713,0.03387771,0
2022-09-09,"4,093.79",0.916509055,0.946689944,0.033396997,0
2022-09-02,"4,023.61",0.900798571,0.953647522,0.03518669,0
2022-08-26,"4,107.55",0.919589191,0.961190052,0.03242029,0
2022-08-19,"4,151.07",0.929334221,0.96425471,0.029759292,0
2022-08-12,"4,191.15",0.938306849,0.96423731,0.029781618,0
2022-08-05,"4,156.91",0.930641064,0.961616131,0.033431817,0
2022-07-29,"4,170.10",0.933594195,0.956739832,0.04162422,0
2022-07-22,"4,238.23",0.948847497,0.948972152,0.053374924,0
2022-07-15,"4,248.53",0.951151919,0.941858049,0.058805977,0
2022-07-08,"4,428.78",0.991506762,0.93449832,0.062919736,0
2022-07-01,"4,466.72",1,0.924908814,0.062206384,0
2022-06-24,"4,394.77",1,0.915344204,0.058312901,0
2022-06-17,"4,309.04",1,0.905905363,0.052212141,0
2022-06-10,"4,238.99",0.991308927,0.892988,0.045568694,0
2022-06-02,"4,089.57",0.956365083,0.88233539,0.033956772,0
2022-05-27,"4,001.30",0.929125424,0.875069016,0.024758933,0
2022-05-20,"4,077.60",0.906852705,0.871765304,0.018823788,0
2022-05-13,"3,988.60",0.872125477,0.871586904,0.018467799,0
2022-05-06,"3,908.82",0.840382034,0.875585151,0.023185978,0
2022-04-29,"4,016.24",0.863478261,0.881407067,0.02229716,0
2022-04-22,"4,013.25",0.862835163,0.88468408,0.022312348,0
2022-04-15,"4,188.75",0.87643269,0.891567886,0.027172204,0
2022-04-08,"4,230.77",0.885224683,0.896451744,0.029381586,0
2022-04-01,"4,276.16",0.886733904,0.902179511,0.033416484,0
2022-03-25,"4,174.57",0.844991653,0.909726805,0.03931744,0
2022-03-18,"4,265.90",0.863477604,0.920438938,0.037548281,0
2022-03-11,"4,306.52",0.869168595,0.93016142,0.036549832,0
2022-03-04,"4,496.43",0.889480881,0.941064037,0.036213622,0
2022-02-25,"4,573.42",0.904711903,0.949287553,0.034603827,0
2022-02-18,"4,651.24",0.920104444,0.954678533,0.031966731,0
2022-02-11,"4,601.40",0.910245029,0.959284306,0.030479436,0
2022-01-28,"4,563.77",0.902802412,0.964683729,0.02647888,1
2022-01-21,"4,779.31",0.94544083,0.969938288,0.017972699,0
2022-01-14,"4,726.73",0.935038994,0.972743731,0.016355913,1
2022-01-07,"4,822.37",0.953957883,0.977262958,0.011866894,0
2021-12-31,"4,940.37",0.977301436,0.979746569,0.009410516,0
2021-12-24,"4,921.34",0.973537251,0.979029874,0.009926988,0
2021-12-17,"4,954.76",0.980147384,0.977499409,0.012041341,0
2021-12-10,"5,055.12",1,0.975140776,0.014075687,0
2021-12-03,"4,901.02",0.988163075,0.97123428,0.01301429,0
2021-11-26,"4,860.13",0.969403664,0.96861942,0.012443486,0
2021-11-19,"4,890.06",0.975373719,0.964856958,0.017840289,0
2021-11-12,"4,888.37",0.975038106,0.960342234,0.021430712,0
2021-11-05,"4,842.35",0.965857115,0.954329143,0.026464325,0
2021-10-29,"4,908.77",0.979106145,0.95129987,0.027097719,0
2021-10-22,"4,959.73",0.989269719,0.946784098,0.026552378,0
2021-10-15,"4,932.11",0.983761216,0.939692468,0.025517805,0
2021-10-08,"4,929.94",0.968701089,0.937414544,0.022235181,0
2021-09-30,"4,866.38",0.95517168,0.936478463,0.021000474,0
2021-09-24,"4,849.43",0.951843779,0.936273038,0.020812208,0
2021-09-17,"4,855.94",0.95312205,0.936527875,0.021037698,0
2021-09-10,"5,013.52",0.956784758,0.939163951,0.024928134,0
2021-09-03,"4,843.06",0.924254123,0.939341377,0.025072114,0
2021-08-27,"4,827.04",0.921197025,0.944144043,0.027336891,0
2021-08-20,"4,769.27",0.902881015,0.950103134,0.029581846,0
2021-08-13,"4,945.98",0.929505835,0.958196383,0.028761879,0
2021-08-06,"4,921.56",0.924916886,0.962033838,0.027635902,0
2021-07-30,"4,811.17",0.904170154,0.964759115,0.025142973,1
2021-07-23,"5,089.23",0.956426134,0.961456784,0.034634988,0
2021-07-16,"5,094.77",0.95746812,0.955270114,0.041554612,0
2021-07-09,"5,069.44",0.952706576,0.949168285,0.046306709,0
2021-07-02,"5,081.12",0.954901822,0.941034411,0.053623105,0
2021-06-25,"5,239.97",0.984754962,0.933709904,0.057424792,0
2021-06-18,"5,102.47",0.958913877,0.925708724,0.056344775,0
2021-06-11,"5,224.70",0.981886113,0.918087939,0.05761547,0
2021-06-04,"5,282.28",0.992706117,0.908109437,0.055905462,0
2021-05-28,"5,321.09",1,0.899227871,0.049322368,0
2021-05-21,"5,134.15",0.975555293,0.891408919,0.038042118,0
2021-05-14,"5,110.59",0.957620211,0.886688331,0.029119539,0
2021-05-07,"4,996.05",0.864542187,0.889805631,0.038039361,0
2021-04-30,"5,123.49",0.882186089,0.901093782,0.04851655,0
2021-04-23,"5,135.45",0.884246175,0.909619485,0.053613384,0
2021-04-16,"4,966.18",0.855100086,0.916006808,0.054866819,0
2021-04-09,"5,035.34",0.867007738,0.9280818,0.056173115,0
2021-04-02,"5,161.56",0.888740797,0.938598118,0.055508635,0
2021-03-26,"5,037.99",0.867464458,0.947869719,0.055715333,0
2021-03-19,"5,007.09",0.86214409,0.958521154,0.050961334,0
2021-03-12,"5,146.38",0.886127327,0.968924307,0.041330599,1
2021-03-05,"5,262.80",0.90617258,0.975513808,0.032231923,1
2021-02-26,"5,336.76",0.918908234,0.983332759,0.024281682,1
2021-02-19,"5,778.84",0.995027807,0.990090407,0.013700991,0
2021-02-10,"5,807.72",1,0.990504756,0.013937036,0
2021-02-05,"5,483.41",0.984494529,0.990012394,0.013672959,0
2021-01-29,"5,351.96",0.960894047,0.991304517,0.013835785,1
2021-01-22,"5,569.78",1,0.992001358,0.012289039,0
2021-01-15,"5,458.08",0.993203554,0.989837681,0.013016869,0
2021-01-08,"5,495.43",1,0.989499387,0.012974122,0
2020-12-25,"5,042.01",0.995281683,0.986693251,0.014090098,0
2020-12-18,"4,999.97",0.986981921,0.982667647,0.017820307,0
2020-12-11,"4,889.63",0.96520134,0.97903482,0.021017539,0
2020-12-04,"5,065.92",1,0.980091007,0.020572927,0
2020-11-27,"4,980.77",1,0.97635837,0.020695379,0
2020-11-20,"4,943.29",1,0.975084593,0.019546488,0
2020-11-13,"4,856.85",0.994091656,0.975084593,0.019546488,0
2020-11-06,"4,885.72",1,0.974975769,0.01943436,0
2020-10-30,"4,695.33",0.969256142,0.974125374,0.018437524,0
2020-10-23,"4,718.49",0.974035876,0.975894778,0.018939747,0
2020-10-16,"4,791.68",0.98914403,0.977040054,0.019230417,0
2020-10-09,"4,681.14",0.966326369,0.973604727,0.020511074,0
2020-09-30,"4,587.40",0.946974435,0.972756561,0.021042949,0
2020-09-25,"4,570.02",0.943387988,0.977175358,0.020701428,0
2020-09-18,"4,737.09",0.977875592,0.981893026,0.018650717,0
2020-09-11,"4,627.28",0.955208356,0.983736727,0.019299726,0
2020-09-04,"4,770.22",0.984714668,0.987469364,0.017531035,0
2020-08-28,"4,844.27",1,0.988743141,0.017864814,0
2020-08-21,"4,718.84",0.992785769,0.988743141,0.017864814,0
2020-08-14,"4,704.63",0.989795258,0.987313388,0.018195359,0
2020-08-07,"4,707.93",0.99048899,0.981832128,0.025727818,0
2020-07-31,"4,695.05",0.987779198,0.978080173,0.02756775,0
2020-07-24,"4,505.59",0.947920101,0.975365813,0.028123902,0
2020-07-17,"4,544.70",0.956148379,0.97494793,0.028601974,0
2020-07-10,"4,753.13",1,0.971522683,0.033156519,0
2020-07-03,"4,419.60",1,0.965296955,0.034316935,0
2020-06-24,"4,138.99",1,0.957561526,0.036193931,0
2020-06-19,"4,098.71",1,0.948554668,0.038072434,0
2020-06-12,"4,003.08",1,0.939484601,0.037664835,0
2020-06-05,"4,001.25",1,0.929276851,0.036349026,0
2020-05-29,"3,867.02",0.975628729,0.923914929,0.028963469,0
2020-05-22,"3,824.06",0.924020139,0.925451901,0.032259057,0
2020-05-15,"3,912.82",0.945465529,0.927317102,0.032811093,0
2020-05-08,"3,963.62",0.955206884,0.93158752,0.038268778,0
2020-04-30,"3,912.58",0.942905494,0.931808331,0.038424778,0
2020-04-24,"3,796.97",0.915045421,0.93129549,0.038304082,0
2020-04-17,"3,839.49",0.925291258,0.935186702,0.038870803,0
2020-04-10,"3,769.18",0.907174863,0.941245653,0.042669156,0
2020-04-03,"3,713.22",0.8919177,0.948981081,0.044313386,0
2020-03-27,"3,710.06",0.891159194,0.95798794,0.042612052,0
2020-03-20,"3,653.22",0.877507002,0.967058007,0.038477142,1
2020-03-13,"3,895.31",0.935656929,0.977265757,0.027137378,0
2020-03-06,"4,138.51",0.994072399,0.982527218,0.024310127,0
2020-02-28,"3,940.05",0.946402549,0.981539827,0.024037673,0
2020-02-21,"4,149.49",0.996710547,0.982978768,0.022188793,0
2020-02-14,"3,987.73",0.957856616,0.980672648,0.022069638,0
2020-02-07,"3,899.87",0.936751404,0.982172657,0.020961826,1
2020-01-23,"4,003.90",0.961739965,0.987443374,0.015825003,0
2020-01-17,"4,154.85",0.997998672,0.990212299,0.013680362,0
2020-01-10,"4,163.18",1,0.988793386,0.013682359,0
2020-01-03,"4,144.96",1,0.986632586,0.013798635,0
2019-12-27,"4,022.03",1,0.985360163,0.013142317,0
2019-12-20,"4,017.25",1,0.98204872,0.014090281,0
2019-12-13,"3,968.22",0.998794466,0.979537075,0.013261379,0
2019-12-06,"3,902.39",0.982223708,0.978867032,0.012373321,0
2019-11-29,"3,828.67",0.963669844,0.98034839,0.01379424,0
2019-11-22,"3,849.99",0.969037108,0.983375903,0.013787721,0
2019-11-15,"3,877.09",0.975856722,0.983952305,0.013268594,0
2019-11-08,"3,973.01",1,0.984415848,0.013055514,0
2019-11-01,"3,952.39",0.994967073,0.980505958,0.014864388,0
2019-10-25,"3,896.79",0.980971709,0.975367115,0.019383092,0
2019-10-18,"3,869.38",0.974070406,0.973832739,0.019626342,0
2019-10-11,"3,911.73",0.984730917,0.97525221,0.020251126,0
2019-09-30,"3,814.53",0.960262688,0.974283169,0.020033373,0
2019-09-27,"3,852.65",0.969860259,0.975369672,0.019551615,0
2019-09-20,"3,935.65",0.990753956,0.973282374,0.021439166,0
2019-09-12,"3,972.38",1,0.968086515,0.024197853,0
2019-09-06,"3,948.51",1,0.962289039,0.024190699,0
2019-08-30,"3,799.59",0.975953935,0.952870365,0.029576559,0
2019-08-23,"3,820.86",0.98141923,0.943631324,0.037865222,0
2019-08-16,"3,710.54",0.953081326,0.935253627,0.039815753,0
2019-08-09,"3,633.53",0.933300952,0.928511894,0.043225848,0
2019-08-02,"3,747.44",0.962559204,0.924527727,0.044914664,0
2019-07-26,"3,858.57",0.991104059,0.919757442,0.043526622,0
2019-07-19,"3,807.96",0.973102422,0.916304471,0.038731576,0
2019-07-12,"3,808.73",0.973300724,0.91386756,0.035628761,0
2019-07-05,"3,893.20",0.94481268,0.9160925,0.040215992,0
2019-06-28,"3,825.59",0.928403645,0.91918131,0.043879001,0
2019-06-21,"3,833.94",0.930430287,0.925147673,0.049725129,0
2019-06-14,"3,654.88",0.886975921,0.930945149,0.054247002,0
2019-06-06,"3,564.68",0.865085437,0.940363822,0.055710985,0
2019-05-31,"3,629.79",0.880886868,0.951502044,0.052564724,0
2019-05-24,"3,593.91",0.872180531,0.959380531,0.047896374,0
2019-05-17,"3,648.76",0.885490946,0.970032153,0.040361216,1
2019-05-10,"3,730.45",0.905315789,0.979574574,0.031009482,1
2019-04-30,"3,913.21",0.949668396,0.987464925,0.02074347,0
2019-04-26,"3,889.27",0.943859496,0.991396349,0.017075104,1
2019-04-19,"4,120.61",1,0.994202122,0.009747912,0
2019-04-12,"3,988.62",0.981878406,0.991110367,0.013062111,0
2019-04-04,"4,062.23",1,0.987669824,0.019543998,0
2019-03-29,"3,872.34",1,0.98122726,0.026584361,0
2019-03-22,"3,833.80",1,0.974145926,0.03191284,0
2019-03-15,"3,745.01",0.998744091,0.964223326,0.040499414,0
2019-03-08,"3,657.58",0.975428715,0.957713544,0.040723773,0
2019-03-01,"3,749.71",1,0.953526044,0.0413158,0
2019-02-22,"3,520.12",1,0.947075881,0.039398208,0
2019-02-15,"3,338.70",1,0.93991776,0.036613236,0
2019-02-01,"3,247.40",0.996845479,0.935526985,0.031564152,0
2019-01-25,"3,184.47",0.977528779,0.929212578,0.025099373,0
2019-01-18,"3,168.17",0.962898939,0.927483715,0.021990778,0
2019-01-11,"3,094.78",0.94059188,0.924148206,0.018957014,0
2019-01-04,"3,035.87",0.922689234,0.91995715,0.020488651,0
2018-12-28,"3,010.65",0.915024,0.918104766,0.02121129,0
2018-12-21,"3,029.40",0.880928791,0.923236921,0.027046078,0
2018-12-14,"3,165.91",0.920626716,0.930538719,0.0264058,0
2018-12-07,"3,181.56",0.925178712,0.930547112,0.026402379,0
2018-11-30,"3,172.69",0.922598035,0.929133065,0.027159575,0
2018-11-23,"3,143.48",0.914102558,0.926282186,0.029594277,0
2018-11-16,"3,257.67",0.947310695,0.92342427,0.032400291,0
2018-11-09,"3,167.44",0.92107259,0.915688679,0.036941907,0
2018-11-02,"3,290.25",0.956782426,0.913281311,0.037496278,0
2018-10-26,"3,173.64",0.922872835,0.904333236,0.038955256,0
2018-10-19,"3,134.95",0.890299202,0.902607998,0.038515495,0
2018-10-12,"3,170.73",0.900460632,0.902992297,0.038404362,0
2018-09-28,"3,438.86",0.976609857,0.902525452,0.038471926,0
2018-09-21,"3,410.49",0.968550365,0.892989187,0.032092737,0
2018-09-14,"3,242.09",0.920727432,0.887238806,0.021879995,0
2018-09-07,"3,277.64",0.908210153,0.887564336,0.02244529,0
2018-08-31,"3,334.50",0.888387481,0.892018779,0.030700946,0
2018-08-24,"3,325.33",0.879807575,0.898645438,0.037643026,0
2018-08-17,"3,229.62",0.8544836,0.902789437,0.038114939,0
2018-08-10,"3,405.02",0.89218417,0.908986203,0.035502705,0
2018-08-03,"3,315.28",0.849405532,0.913796923,0.036902605,0
2018-07-27,"3,521.23",0.90216998,0.921559518,0.031532959,0
2018-07-20,"3,492.89",0.894910785,0.922932631,0.030965529,0
2018-07-13,"3,492.69",0.894858493,0.92455126,0.029855365,0
2018-07-06,"3,365.12",0.862174681,0.923355382,0.031400292,0
2018-06-29,"3,510.98",0.899545785,0.925137553,0.028039232,0
2018-06-22,"3,608.90",0.924633795,0.923495782,0.030169759,0
2018-06-15,"3,753.43",0.961663475,0.920593295,0.03168755,0
2018-06-08,"3,779.62",0.967907383,0.91472745,0.029855884,0
2018-06-01,"3,770.59",0.929535572,0.911222599,0.025141945,0
2018-05-25,"3,816.50",0.928844782,0.91191287,0.025795644,0
2018-05-18,"3,903.06",0.949912813,0.910903156,0.025305104,0
2018-05-11,"3,872.84",0.94255667,0.909176809,0.023003886,0
2018-05-04,"3,774.60",0.918647343,0.906082945,0.020462658,0
2018-04-27,"3,756.88",0.914334328,0.902579104,0.021679289,0
2018-04-20,"3,760.85",0.880507959,0.90762441,0.030080787,0
2018-04-13,"3,871.14",0.883560736,0.91758208,0.038801918,0
2018-04-04,"3,854.86",0.879844533,0.927285352,0.043762683,0
2018-03-30,"3,898.50",0.889803952,0.937298308,0.045627518,0
2018-03-23,"3,904.94",0.891273334,0.946481312,0.046284134,0
2018-03-16,"4,056.42",0.92584917,0.953721937,0.043579586,0
2018-03-09,"4,108.87",0.937818815,0.958561393,0.043427192,0
2018-03-02,"4,016.46",0.916728224,0.960912129,0.042963314,0
2018-02-23,"4,071.09",0.929196647,0.965475891,0.04069188,0
2018-02-14,"3,966.96",0.905430297,0.968894597,0.039057304,0
2018-02-09,"3,840.65",0.876601249,0.976438756,0.03411486,1
2018-02-02,"4,271.23",0.974878002,0.986721985,0.013885006,0
2018-01-26,"4,381.30",1,0.988815485,0.013830665,0
2018-01-19,"4,285.40",1,0.98820903,0.01344997,0
2018-01-12,"4,225.00",1,0.98820903,0.01344997,0
2018-01-05,"4,138.75",1,0.98820903,0.01344997,0
2017-12-29,"4,030.85",0.978160845,0.98820903,0.01344997,0
2017-12-22,"4,054.60",0.98392264,0.990002271,0.013422982,0
2017-12-15,"3,980.86",0.966027647,0.991342051,0.013562628,0
2017-12-08,"4,003.38",0.971493362,0.99417308,0.011124738,1
2017-12-01,"3,998.14",0.970221125,0.996449674,0.008561636,1
2017-11-24,"4,104.20",0.995960203,0.998931247,0.002278104,0
2017-11-17,"4,120.85",1,0.999267897,0.002089855,0
2017-11-10,"4,111.91",1,0.999180223,0.002078387,0
2017-11-03,"3,992.70",0.992722542,0.997364364,0.006374949,0
2017-10-27,"4,021.97",1,0.997501071,0.006283289,0
2017-10-20,"3,926.85",1,0.997351189,0.00623956,0
2017-10-13,"3,921.00",1,0.997351189,0.00623956,0
2017-09-29,"3,836.50",0.999679733,0.997351189,0.00623956,0
2017-09-22,"3,837.73",1,0.997130878,0.006196392,0
2017-09-15,"3,831.30",1,0.997130878,0.006196392,0
2017-09-08,"3,825.99",0.998812491,0.997130878,0.006196392,0
2017-09-01,"3,830.54",1,0.995892065,0.007229522,0
2017-08-25,"3,795.75",1,0.995892065,0.007229522,0
2017-08-18,"3,724.67",0.998947915,0.995158677,0.007221295,0
2017-08-11,"3,647.35",0.978209689,0.994369087,0.007287019,1
2017-08-04,"3,707.58",0.994363028,0.993493277,0.009653161,0
2017-07-28,"3,721.89",0.998201415,0.990833764,0.013153433,0
2017-07-21,"3,728.60",1,0.987787375,0.015343022,0
2017-07-14,"3,703.09",1,0.985946313,0.015067381,0
2017-07-07,"3,655.93",0.997035997,0.984745711,0.014405199,0
2017-06-30,"3,666.80",1,0.984259254,0.014046531,0
2017-06-23,"3,622.88",1,0.984259254,0.014046531,0
2017-06-16,"3,518.76",0.983946738,0.983457964,0.013322565,0
2017-06-09,"3,576.17",1,0.984795736,0.014156022,0
2017-06-02,"3,486.51",0.99119934,0.984122933,0.013546442,0
2017-05-26,"3,480.43",0.98947284,0.983753796,0.013395595,0
2017-05-19,"3,403.85",0.967699962,0.983527844,0.013312971,0
2017-05-12,"3,385.38",0.962448877,0.985746073,0.01263639,0
2017-05-05,"3,382.55",0.961644747,0.986336508,0.011569346,1
2017-04-28,"3,439.75",0.977907261,0.986806101,0.010545029,0
2017-04-21,"3,466.79",0.985592771,0.984763519,0.014174673,0
2017-04-14,"3,486.50",0.991198515,0.982634663,0.015857301,0
2017-04-07,"3,517.46",1,0.979257706,0.01803337,0
2017-03-31,"3,456.05",0.990384513,0.974321341,0.019854851,0
2017-03-24,"3,489.60",1,0.970841661,0.020434312,0
2017-03-17,"3,445.81",0.991926368,0.965673136,0.020231478,0
2017-03-10,"3,427.89",0.9867697,0.96111881,0.019933503,0
2017-03-03,"3,427.86",0.98676141,0.957901732,0.018479556,0
2017-02-24,"3,473.85",0.994318717,0.958172447,0.01895836,0
2017-02-17,"3,421.44",0.969534095,0.958645887,0.019986166,0
2017-02-10,"3,413.49",0.967279858,0.961184712,0.023175569,0
2017-02-03,"3,364.49",0.953396285,0.963911391,0.025740727,0
2017-01-26,"3,387.96",0.960046498,0.967795034,0.027467772,0
2017-01-20,"3,354.89",0.950675026,0.970855925,0.028551008,0
2017-01-13,"3,319.91",0.94076362,0.974349863,0.02842199,0
2017-01-06,"3,347.67",0.948628357,0.978363011,0.026589359,0
2016-12-30,"3,310.08",0.937977696,0.981178621,0.024888984,0
2016-12-23,"3,307.60",0.937274457,0.983580077,0.021501452,1
2016-12-16,"3,346.03",0.948164764,0.98659441,0.016334242,1
2016-12-09,"3,493.70",0.990009988,0.987786498,0.013561266,0
2016-12-02,"3,528.95",1,0.987455665,0.013550513,0
2016-11-25,"3,521.30",1,0.986195011,0.012968576,0
2016-11-18,"3,417.46",1,0.984760411,0.012234001,0
2016-11-11,"3,417.22",1,0.984760411,0.012234001,0
2016-11-04,"3,354.17",0.996777196,0.984760411,0.012234001,0
2016-10-28,"3,340.13",0.992602272,0.983218809,0.011737581,0
2016-10-21,"3,327.74",0.988921402,0.981995111,0.011431853,0
2016-10-14,"3,305.85",0.982415675,0.981618188,0.011255936,0
2016-09-30,"3,253.28",0.966795172,0.983083549,0.012450428,0
2016-09-23,"3,275.67",0.973446456,0.985850618,0.012188369,0
2016-09-14,"3,238.73",0.962469819,0.985058177,0.013324347,0
2016-09-09,"3,318.04",0.986039993,0.983218351,0.017573591,0
2016-09-02,"3,314.11",0.984872154,0.980259896,0.019890889,0
2016-08-26,"3,307.09",0.982784796,0.978764536,0.020184962,0
2016-08-19,"3,365.02",1,0.978088435,0.020173935,0
2016-08-12,"3,294.23",1,0.972747847,0.022224591,0
2016-08-05,"3,205.11",0.978277969,0.967807575,0.022205023,0
2016-07-29,"3,203.93",0.977917896,0.964593859,0.023314865,0
2016-07-22,"3,225.16",0.98439833,0.962821514,0.023016391,0
2016-07-15,"3,276.28",1,0.961181225,0.022018661,0
2016-07-08,"3,192.28",1,0.958703179,0.018671653,0
2016-07-01,"3,154.20",0.963937165,0.958703179,0.018671653,0
2016-06-24,"3,077.16",0.940391912,0.960772915,0.020583291,0
2016-06-17,"3,110.36",0.950538525,0.962277869,0.0195941,0
2016-06-08,"3,163.99",0.966927839,0.954490717,0.036208546,0
2016-06-03,"3,189.33",0.974671577,0.942781664,0.051366823,0
2016-05-27,"3,062.50",0.935912945,0.927090697,0.067091593,0
2016-05-20,"3,078.22",0.940716739,0.91627112,0.075483637,0
2016-05-13,"3,074.94",0.939713379,0.901884404,0.086105648,0
2016-05-06,"3,130.35",0.956649755,0.889829628,0.090349553,0
2016-04-29,"3,156.75",0.964714867,0.874457308,0.093582154,0
2016-04-22,"3,174.90",0.970263449,0.858028618,0.093601348,0
2016-04-15,"3,272.21",1,0.844771462,0.087314829,0
2016-04-08,"3,185.73",0.988773997,0.829150626,0.072536431,0
2016-04-01,"3,221.89",0.958451354,0.819737576,0.055195333,0
2016-03-25,"3,197.82",0.857092702,0.820872564,0.058356536,0
2016-03-18,"3,171.96",0.8264192,0.832781506,0.07777193,0
2016-03-11,"3,018.28",0.786379973,0.84668724,0.090420547,0
2016-03-04,"3,093.89",0.80607803,0.86041788,0.092906246,0
2016-02-26,"2,948.03",0.768076138,0.874034537,0.096136071,0
2016-02-19,"3,051.59",0.795056069,0.888168666,0.091497933,0
2016-02-05,"2,963.79",0.772181915,0.904830139,0.091204553,0
2016-01-29,"2,946.09",0.767570588,0.922779584,0.083604038,0
2016-01-22,"3,113.46",0.81117758,0.942148701,0.070231562,0
2016-01-15,"3,118.73",0.812549968,0.946848022,0.062085589,1
2016-01-08,"3,361.56",0.875817395,0.952193216,0.051295783,0
2015-12-31,"3,731.00",0.972071213,0.95150561,0.05245486,0
2015-12-25,"3,838.20",1,0.937148243,0.067682342,0
2015-12-18,"3,767.91",0.993288007,0.917726422,0.080274833,0
2015-12-11,"3,608.06",0.951147658,0.899442678,0.086262996,0
2015-12-04,"3,677.59",0.96947791,0.885056176,0.091115355,0
2015-11-27,"3,556.99",0.937685684,0.868592871,0.092315056,0
2015-11-20,"3,774.38",0.994993744,0.850940397,0.097981188,0
2015-11-13,"3,746.24",0.987575256,0.820230034,0.106139614,0
2015-11-06,"3,793.37",1,0.793999862,0.099723634,0
2015-10-30,"3,534.08",0.867569436,0.774294334,0.07581393,0
2015-10-23,"3,571.24",0.876692287,0.763022506,0.07055834,0
2015-10-16,"3,534.07",0.867566122,0.749580825,0.061749466,0
2015-10-09,"3,340.12",0.799782807,0.74251621,0.050924565,0
2015-09-30,"3,202.95",0.76693816,0.740713098,0.049061548,0
2015-09-25,"3,231.95",0.773883074,0.740945095,0.04920321,0
2015-09-18,"3,251.27",0.778509633,0.737152012,0.048176933,0
2015-09-11,"3,347.19",0.771918244,0.740006624,0.051733818,0
2015-09-02,"3,365.83",0.725856,0.748109839,0.063470641,0
2015-08-28,"3,342.29",0.62646939,0.770955173,0.095823822,0
2015-08-21,"3,589.54",0.672813188,0.802082724,0.104864654,0
2015-08-14,"4,073.54",0.763533668,0.827488422,0.107594145,0
2015-08-07,"3,906.94",0.7323075,0.84719395,0.116131525,0
2015-07-31,"3,816.70",0.71539212,0.867178515,0.115194475,0
2015-07-24,"4,176.28",0.782790741,0.887536424,0.107243487,0
2015-07-17,"4,151.50",0.778145461,0.905637196,0.10628331,0
