time,per,cjl,cje,jc,ccl
150417,-0.7725,231102,3.57E+11,-222.56,9144
150424,6.7125,611019,9.86E+11,-91.895,14603
150430,0.3756,543731,9.01E+11,-130.873,16354
150508,-2.2046,554355,9.02E+11,-30.093,16258
150515,5.8842,761772,1.31E+12,-163.085,28064
150522,12.5968,1213380,2.25E+12,-36.971,37707
150529,3.9096,1544458,3.17E+12,154.155,40059
150605,8.1169,1586725,3.46E+12,-195.52,33977
150612,4.4665,1461671,3.20E+12,-118.0906,29351
150619,-12.8379,1299605,2.80E+12,2.5926,31879
150626,-14.5711,1350723,2.62E+12,-449.0648,31210
150703,-14.2109,2116670,3.38E+12,49.309,24505
150710,-2.928,538023,7.64E+11,-37.3842,11715
150717,9.0213,493603,7.47E+11,-137.0971,10762
150724,2.5364,884382,1.40E+12,-445.0739,11838
150731,-9.2926,841898,1.26E+12,-328.0608,10625
150807,6.6913,602405,9.08E+11,-162.1187,11483
150814,7.1237,555087,9.18E+11,-228.2423,10775
150821,-14.3424,596778,9.51E+11,-405.5024,13814
150828,-11.6688,683297,8.25E+11,-440.2938,15107
150902,-14.3326,353713,4.00E+11,-745.5533,14495
150911,19.2511,44293,54587788360,-73.3191,8907
150918,-8.8749,35557,41991186600,-206.8814,7371
150925,-0.2723,48042,57654852520,-320.9764,8974
150930,2.2814,25684,30334361240,-205.9274,8796
151009,8.201,15345,19298357760,-63.2514,8901
151016,9.1856,31687,42579830000,-67.7599,0
151023,-1.0161,48691,65081377120,-230.2344,10045
151030,-1.2978,49591,67368069400,-301.1706,11732
151106,7.1105,49754,68704399440,-153.0471,11479
151113,2.5852,38352,56833795360,-99.108,10101
151120,-0.4148,34363,51863812120,-363.6655,12890
151127,-4.6129,45160,67303033200,-283.5243,14526
151204,3.2547,51735,74304505240,-195.8749,15423
151211,-0.8233,44197,64090330160,-63.3017,13989
151218,3.7754,34986,52084874760,-211.77,10986
151225,1.9051,37635,56815559240,-196.3244,12940
151231,-2.8732,33460,49755997000,-268.689,14285
160108,-13.5045,38578,51824088080,-170.6316,14367
160115,-7.9406,47051,57122106880,49.1185,0
160122,-2.7019,61958,71798074800,-200.8111,16430
160129,-7.6707,62368,67886089080,-139.3254,17250
160205,4.5996,53939,59451114360,-47.1971,14114
160219,2.2225,44408,51417153760,-211.7164,19870
160226,-6.1203,68574,78231123720,-231.1376,21084
160304,0.0147,84325,90957114440,-169.5614,19314
160311,-0.8971,76921,84898590120,-95.7818,18117
160318,6.9563,67032,75841080680,-149.663,21533
160325,1.9245,71302,84230487320,-167.0312,22661
160401,2.3916,80555,95608128800,-96.5278,20879
160408,2.1587,58522,71960580600,-54.5419,19253
160415,2.3856,64567,80897070160,-169.7496,19414
160422,-5.3276,73889,87893593240,-161.3201,22702
160429,0.4261,70002,81563831920,-140.794,23272
160506,0.423,56960,68674681800,-73.689,23189
160513,-4.6084,70398,79889895880,-55.1107,18410
160520,-1.512,61913,70102433280,-170.1018,25881
160527,1.2989,74264,83136311760,-108.9897,27494
160603,6.4883,76234,88964347960,-29.003,24545
160608,-0.01,37719,45122489280,-28.0776,21343
160617,-3.1825,67355,78786302200,-153.6724,20528
160624,-0.365,78039,91112525760,-116.6202,23945
160701,3.9839,68130,81741875400,-71.7385,23994
160708,3.5914,64968,80611520120,-34.8533,20801
160715,2.5936,54820,69715416640,-1.2159,0
160722,-2.5951,63691,80170422760,-118.3254,21621
160729,-2.8247,66582,82874749800,-99.8923,21812
160805,0.6154,54599,66468257200,-56.0872,21337
160812,1.8713,57497,71714328680,-38.6915,18868
160819,1.9999,49911,64112886320,-113.9548,23846
160826,-1.8292,55835,70498403080,-131.5335,25190
160902,-0.3433,52969,66908600280,-85.9538,25085
160909,2.7354,53586,68639112720,-26.053,18857
160914,-2.8389,28857,36346829240,-8.158,6057
160923,0.3217,42414,53058785560,-71.9834,20297
160930,0.3271,44094,55177106160,-9.4856,19246
161014,2.4005,39530,50855626160,-2.4915,16596
161021,-0.8556,41827,54009110640,-78.6807,18727
161028,0.3192,40206,51930232920,-44.8349,19562
161104,0.0125,40446,52008759560,-42.9928,17934
161111,2.1988,43003,55563349800,-20.8864,14274
161118,-0.811,33692,44359073880,-95.5265,24078
161125,0.8325,39238,51361047120,-88.0177,25200
161202,-1.9927,38801,50853392600,-87.9745,22482
161209,-0.0774,34549,44695189920,-57.9155,16411
161216,-4.1199,38850,48590067640,-114.1239,18521
161223,0.1581,32202,39978948440,-72.1966,19596
161230,0.2389,29473,36594940120,-53.0256,19468
170106,1.9591,23799,30091944120,-32.6168,18299
170113,-2.4905,31419,39636267360,-16.2575,16379
170120,-1.8397,39544,47920453120,-39.1983,17050
170126,1.619,22364,27437476120,-34.9061,16655
170203,-0.2524,5183,6378474920,-42.0921,16991
170210,2.1852,32813,40887950360,-42.9081,12676
170217,-1.2713,31395,39563711360,-94.1627,22146
170224,3.1771,46869,59496616160,-65.5655,24494
170303,-0.1437,49948,63783288800,-59.839,23929
170310,0.1218,44973,57849289560,-37.5165,18588
170317,0.0156,47719,61796382600,-73.2463,22976
170324,1.4642,52675,67817896320,-18.815,23524
170331,-2.0631,52183,67201481160,-21.4479,21670
170407,2.907,29308,38227174560,-22.726,20074
170414,-0.5886,48938,64298778440,-9.3624,18249
170421,-4.0023,51618,65881494080,-40.5128,18425
170428,-1.3346,54492,66985471680,-31.4624,18526
170505,-1.8376,39163,48157224160,-31.8828,18682
170512,-4.1453,65340,77175880160,-36.5832,15892
170519,1.5978,49737,59047120200,-61.3772,25906
170526,-1.7206,77935,90253750400,-22.3338,26709
170602,-1.0628,44761,51517031080,-19.3174,26523
170609,3.6206,71169,83602407000,-4.8741,20987
170616,-0.0168,59482,70828213320,-55.3996,21593
170623,-0.161,67117,80424896520,-57.1137,22956
170630,2.7745,60387,73196713360,-40.9556,21126
170707,1.3141,52549,64507815480,-42.8108,20019
