,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅,多头交易保证金,空头交易保证金,涨跌停板幅度,结算价,价差,前结算价,涨跌幅(结算价),涨跌(结算价),持仓量,持仓量变化,对应主力,成交量(单边),成交金额(单边),持仓量(单边),持仓量变化(单边),涨跌(收盘价),涨跌幅(收盘价),持买单量|【排名】第一名,持卖单量|【排名】第一名,成交量|【排名】第一名,持买单量比上交易日增减|【排名】第一名,持卖单量比上交易日增减|【排名】第一名,成交量比上交易日增减|【排名】第一名,成交量进榜会员合计,多单量进榜会员合计,空单量进榜会员合计,注册仓单数量
2015-04-17,7681,7758.2,7918.8,7480.2,7818.6,7733.0759,-60.4,-0.7725,231102,3.57E+11,0,5.6097,10,10,0,7803.4,-222.56,7818.6,-0.1944,-15.2,9144,0,IC1505.CFE,231102,3.57E+11,9144,0,-60.4,-0.7725,1242,866,19143,145,436,3326,145663,7996,6526,0
2015-04-24,7760,8327.2,8378.8,7582,7758.2,8067.4897,523.8,6.7125,611019,9.86E+11,0,10.2109,10,10,0,8307.6,-91.895,7803.4,6.4613,504.2,14603,5459,IC1505.CFE,611019,9.86E+11,14603,5459,569,7.3342,2428,1724,22560,226,943,595,175118,12092,10467,0
2015-04-30,8368,8338.8,8548,8011.6,8327.2,8283.085,31.2,0.3756,543731,9.01E+11,0,6.4567,10,10,0,8355.4,-130.873,8307.6,0.5754,47.8,16354,1751,IC1505.CFE,543731,9.01E+11,16354,1751,11.6,0.1393,2335,1668,23459,-44,-82,-5440,169220,14029,11966,0
2015-05-08,8370.2,8171.2,8527.4,7901,8338.8,8135.243,-184.2,-2.2046,554355,9.02E+11,0,7.4969,10,10,0,8103,-30.093,8355.4,-3.0208,-252.4,16258,-96,IC1505.CFE,554355,9.02E+11,16258,-96,-167.6,-2.0099,2298,2005,33790,-100,1201,7958,172438,13634,12126,0
2015-05-15,8170,8579.8,8813.6,8144,8171.2,8567.7497,476.8,5.8842,761772,1.31E+12,0,8.2636,10,10,0,8651.4,-163.085,8103,6.7679,548.4,28064,11806,IC1506.CFE,761772,1.31E+12,28064,11806,408.6,5.0005,3394,2885,56096,1211,253,22412,249368,23306,20324,0
2015-05-22,8640.6,9741.2,9867.4,8580,8579.8,9279.7847,1089.8,12.5968,1213380,2.25E+12,0,14.8808,10,10,0,9740.2,-36.971,8651.4,12.5852,1088.8,37707,9643,IC1506.CFE,1213380,2.25E+12,37707,9643,1161.4,13.5364,4175,4374,63538,-616,481,-4154,384506,29991,29013,0
2015-05-29,9610,10121,10758.8,9455.4,9741.2,10258.616,380.8,3.9096,1544458,3.17E+12,0,13.3817,10,10,0,10127,154.155,9740.2,3.9712,386.8,40059,2352,IC1506.CFE,1544458,3.17E+12,40059,2352,379.8,3.8989,5535,5403,75490,712,-1408,4432,485235,31941,32405,0
2015-06-05,10170.2,10949,11436,10030,10121,10912.5599,822,8.1169,1586725,3.46E+12,0,13.8837,10,10,0,10939.2,-195.52,10127,8.0201,812.2,33977,-6082,IC1506.CFE,1586725,3.46E+12,33977,-6082,828,8.181,4997,6786,58564,-748,-984,-22964,475554,28443,28123,0
2015-06-12,10840,11427.8,11585,10384.2,10949,10943.8992,488.6,4.4665,1461671,3.20E+12,0,10.977,10,10,0,11461.4,-118.0906,10939.2,4.7737,522.2,29351,-4626,IC1506.CFE,1461671,3.20E+12,29351,-4626,478.8,4.373,5681,5405,55051,481,-476,-16310,356804,25457,24379,0
2015-06-19,11461.4,9990,11560,9950,11427.8,10787.8584,-1471.4,-12.8379,1299605,2.80E+12,0,14.0471,10,10,0,10100.8,2.5926,11461.4,-11.8712,-1360.6,31879,2528,IC1507.CFE,1299605,2.80E+12,31879,2528,-1437.8,-12.5816,3474,4387,103641,273,-872,47898,543113,24997,26488,0
