time,normper,normcjl,normcje,normjc,normccl
150417,-0.212704916,-0.017811192,0.117187367,-2.18748817,-1.064221907
150424,1.74766383,1.550857247,1.602310304,-0.551864167,-0.93968142
150430,0.087989721,1.273026663,1.401618015,-1.0397787,-0.899734471
150508,-0.587780945,1.316892912,1.403979101,0.221754129,-0.901924595
150515,1.530726832,2.173312871,2.367302088,-1.44299854,-0.632584975
150522,3.288799142,4.037991778,4.586722694,0.135657455,-0.412591585
150529,1.013566628,5.405005125,6.758921585,2.528113532,-0.358933548
150605,2.115485055,5.579524583,7.443636452,-1.849009825,-0.497687027
150612,1.159422253,5.063179531,6.829754157,-0.879772575,-0.603223625
150619,-3.372709333,4.394012794,5.885319857,0.630902347,-0.545550361
150626,-3.826645353,4.605077825,5.460324421,-5.022805109,-0.560812787
150703,-3.732306699,7.767655138,7.254749592,1.215683774,-0.713779258
150710,-0.777243971,1.249458464,1.078149268,0.130485146,-1.005567649
150717,2.352353123,1.066049319,1.03801081,-1.117690056,-1.027309192
150724,0.65391688,2.679566703,2.579799805,-4.972848259,-1.002761553
150731,-2.444172885,2.504151257,2.2492478,-3.508114511,-1.030434682
150807,1.742111416,1.515290242,1.418145616,-1.430902696,-1.010860449
150814,1.855359706,1.319915322,1.441756473,-2.258617442,-1.027012613
150821,-3.766747379,1.49205649,1.519672303,-4.477504477,-0.957681501
150828,-3.066514664,1.849291425,1.222175498,-4.913012447,-0.928183269
150902,-3.764180698,0.488446769,0.218714054,-8.73415633,-0.942145309
150911,5.031602314,-0.7891412,-0.596833797,-0.319336804,-1.069628775
150918,-2.334774618,-0.82521194,-0.626575454,-1.991228311,-1.104670759
150925,-0.081699378,-0.773661666,-0.589592195,-3.419434186,-1.068100251
150930,0.587130771,-0.865977327,-0.654098218,-1.979286435,-1.072161106
151009,2.137511376,-0.908666817,-0.680155169,-0.193312453,-1.069765658
151016,2.39538433,-0.84119108,-0.625185616,-0.24974846,-1.272831215
151023,-0.276505293,-0.77098196,-0.572057534,-2.283553933,-1.043666681
151030,-0.350284301,-0.767265881,-0.566658457,-3.171511316,-1.005179815
151106,1.851902542,-0.766592858,-0.563503268,-1.317347216,-1.010951704
151113,0.666697908,-0.81367145,-0.591530782,-0.642154267,-1.042389109
151120,-0.119021028,-0.830141938,-0.603265338,-3.953803119,-0.978761445
151127,-1.218529916,-0.785561377,-0.566812014,-2.950620397,-0.941438082
151204,0.842044184,-0.758413355,-0.550280938,-1.853452353,-0.920974111
151211,-0.226009756,-0.789537582,-0.574397481,-0.193942093,-0.953689088
151218,0.978418801,-0.827569586,-0.602743391,-2.052422292,-1.022198903
151225,0.488575426,-0.816631927,-0.591573839,-1.859079055,-0.977620755
151231,-0.762891505,-0.833870404,-0.608242071,-2.764916706,-0.946936206
160108,-3.547296081,-0.812738302,-0.60335913,-1.537464541,-0.945065475
160115,-2.090075551,-0.777753482,-0.590850054,1.213299154,-1.272831215
160122,-0.718026954,-0.716202826,-0.556198835,-1.915242176,-0.898000623
160129,-2.019387037,-0.714509946,-0.565435369,-1.145583225,-0.879293314
