time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
150515,-0.146865431,-2.143446169,0.893673676,-0.749800199,1.665631603,-0.017046936,2.531549563,0.081050371,1.529708312,-1.222328544,1.262848082,0.226472087,1.550444728,-0.704486043,0.503544378,1.323835589,1,0,0,0,0,0,0,1,0
150522,1.665631603,-0.017046936,2.531549563,0.081050371,1.529708312,-1.222328544,1.262848082,0.226472087,1.550444728,-0.704486043,0.503544378,1.323835589,2.752918009,-0.692923695,2.630908051,-0.413797978,0,0,1,0,0,0,0,0,0
150529,1.529708312,-1.222328544,1.262848082,0.226472087,1.550444728,-0.704486043,0.503544378,1.323835589,2.752918009,-0.692923695,2.630908051,-0.413797978,5.296653818,1.264626977,4.283759291,0.57304482,0,0,1,0,0,0,0,0,0
150605,1.550444728,-0.704486043,0.503544378,1.323835589,2.752918009,-0.692923695,2.630908051,-0.413797978,5.296653818,1.264626977,4.283759291,0.57304482,7.723581221,1.542102179,2.726681625,3.542571118,0,0,1,0,0,0,0,0,0
150612,2.752918009,-0.692923695,2.630908051,-0.413797978,5.296653818,1.264626977,4.283759291,0.57304482,7.723581221,1.542102179,2.726681625,3.542571118,8.384384762,-1.055210152,4.701581235,0.428691283,1,0,1,0,0,0,0,0,0
150619,5.296653818,1.264626977,4.283759291,0.57304482,7.723581221,1.542102179,2.726681625,3.542571118,8.384384762,-1.055210152,4.701581235,0.428691283,7.630482482,-0.883726593,3.630717424,1.301053984,1,1,1,0,1,1,1,1,1
150626,7.723581221,1.542102179,2.726681625,3.542571118,8.384384762,-1.055210152,4.701581235,0.428691283,7.630482482,-0.883726593,3.630717424,1.301053984,6.890607297,-2.171032373,-0.457255992,3.590401544,1,1,1,1,1,1,1,1,1
150703,8.384384762,-1.055210152,4.701581235,0.428691283,7.630482482,-0.883726593,3.630717424,1.301053984,6.890607297,-2.171032373,-0.457255992,3.590401544,7.095154082,-6.369686232,0.260204115,-0.157958457,1,1,1,1,1,1,1,1,1
150710,7.630482482,-0.883726593,3.630717424,1.301053984,6.890607297,-2.171032373,-0.457255992,3.590401544,7.095154082,-6.369686232,0.260204115,-0.157958457,10.00835984,-2.200509824,-0.022012136,4.841325479,1,0,1,0,1,0,0,1,0
150717,6.890607297,-2.171032373,-0.457255992,3.590401544,7.095154082,-6.369686232,0.260204115,-0.157958457,10.00835984,-2.200509824,-0.022012136,4.841325479,1.279536035,-0.892033005,0.349550394,1.314982367,0,0,1,0,0,0,0,0,0
150724,7.095154082,-6.369686232,0.260204115,-0.157958457,10.00835984,-2.200509824,-0.022012136,4.841325479,1.279536035,-0.892033005,0.349550394,1.314982367,0.919285562,-0.073491587,2.960708057,-0.62584453,0,0,1,0,1,0,0,0,0
150731,10.00835984,-2.200509824,-0.022012136,4.841325479,1.279536035,-0.892033005,0.349550394,1.314982367,0.919285562,-0.073491587,2.960708057,-0.62584453,3.379031733,-3.8436127,2.987055082,-2.194466837,0,0,1,0,0,0,0,0,0
150807,1.279536035,-0.892033005,0.349550394,1.314982367,0.919285562,-0.073491587,2.960708057,-0.62584453,3.379031733,-3.8436127,2.987055082,-2.194466837,3.224248606,-4.47985686,0.252570248,-0.200824112,1,0,1,0,0,0,0,1,0
150814,0.919285562,-0.073491587,2.960708057,-0.62584453,3.379031733,-3.8436127,2.987055082,-2.194466837,3.224248606,-4.47985686,0.252570248,-0.200824112,1.546016837,-0.655299523,2.694503322,-0.514075235,0,0,1,0,0,0,0,0,0
150821,3.379031733,-3.8436127,2.987055082,-2.194466837,3.224248606,-4.47985686,0.252570248,-0.200824112,1.546016837,-0.655299523,2.694503322,-0.514075235,1.459082886,-1.181068861,2.937269343,-1.121467434,0,0,0,0,0,0,0,0,0
150828,3.224248606,-4.47985686,0.252570248,-0.200824112,1.546016837,-0.655299523,2.694503322,-0.514075235,1.459082886,-1.181068861,2.937269343,-1.121467434,2.254528497,-5.771096441,-0.89602315,-0.703493897,0,0,1,0,0,0,0,0,0
150902,1.546016837,-0.655299523,2.694503322,-0.514075235,1.459082886,-1.181068861,2.937269343,-1.121467434,2.254528497,-5.771096441,-0.89602315,-0.703493897,2.274220756,-5.667493648,-0.320570705,-1.284320903,1,0,1,0,1,0,0,1,0
150911,1.459082886,-1.181068861,2.937269343,-1.121467434,2.254528497,-5.771096441,-0.89602315,-0.703493897,2.274220756,-5.667493648,-0.320570705,-1.284320903,0.961693084,-8.635539632,-0.482544196,-3.982616069,0,0,1,0,0,0,0,1,0
150918,2.254528497,-5.771096441,-0.89602315,-0.703493897,2.274220756,-5.667493648,-0.320570705,-1.284320903,0.961693084,-8.635539632,-0.482544196,-3.982616069,-1.689994782,2.084173467,4.250367894,-1.50809309,0,0,0,0,0,0,0,0,0
