,ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
0,510050.SH,20180411,2.775,2.775,2.795,2.761,2.775,0.0,0.0,7025353.27,1952370.825
1,510050.SH,20180410,2.711,2.713,2.776,2.705,2.775,0.064,2.3608,6981827.92,1911887.307
2,510050.SH,20180409,2.694,2.698,2.716,2.683,2.711,0.017,0.631,4457497.35,1205290.004
3,510050.SH,20180404,2.693,2.702,2.725,2.688,2.694,0.001,0.0371,4260190.22,1153924.587
4,510050.SH,20180403,2.702,2.682,2.708,2.676,2.693,-0.009,-0.3331,4126589.67,1109466.828
5,510050.SH,20180402,2.713,2.71,2.751,2.695,2.702,-0.011,-0.4055,5701730.05,1550314.34
6,510050.SH,20180330,2.734,2.733,2.735,2.708,2.713,-0.021,-0.7681,5197398.19,1414041.47
7,510050.SH,20180329,2.688,2.692,2.753,2.651,2.734,0.046,1.7113,7055855.41,1905708.016
8,510050.SH,20180328,2.739,2.71,2.74,2.678,2.688,-0.051,-1.862,6802531.8,1838408.907
9,510050.SH,20180327,2.734,2.765,2.774,2.717,2.739,0.005,0.1829,5944176.12,1631765.668
10,510050.SH,20180326,2.781,2.764,2.768,2.702,2.734,-0.047,-1.69,6158116.33,1683043.369
11,510050.SH,20180323,2.857,2.78,2.794,2.743,2.781,-0.076,-2.6601,6577138.36,1824960.347
12,510050.SH,20180322,2.884,2.885,2.898,2.842,2.857,-0.027,-0.9362,4467999.97,1279916.65
13,510050.SH,20180321,2.895,2.92,2.924,2.871,2.884,-0.011,-0.38,4386752.17,1273673.068
14,510050.SH,20180320,2.892,2.876,2.901,2.871,2.895,0.003,0.1037,3095612.53,892921.489
15,510050.SH,20180319,2.862,2.863,2.893,2.85,2.892,0.03,1.0482,4183281.98,1201754.748
16,510050.SH,20180316,2.89,2.891,2.905,2.861,2.862,-0.028,-0.9689,4296440.43,1239769.679
17,510050.SH,20180315,2.863,2.856,2.891,2.852,2.89,0.027,0.9431,3327447.95,958410.016
18,510050.SH,20180314,2.873,2.864,2.874,2.853,2.863,-0.01,-0.3481,3079108.46,881510.46
19,510050.SH,20180313,2.905,2.906,2.916,2.869,2.873,-0.032,-1.1015,6110263.19,1764288.853
20,510050.SH,20180312,2.903,2.916,2.923,2.894,2.905,0.002,0.0689,5242508.59,1524123.075
21,510050.SH,20180309,2.893,2.9,2.913,2.885,2.903,0.01,0.3457,4157863.55,1205019.645
22,510050.SH,20180308,2.871,2.873,2.898,2.86,2.893,0.022,0.7663,3382254.01,975051.055
23,510050.SH,20180307,2.888,2.888,2.917,2.859,2.871,-0.017,-0.5886,6929035.17,2001643.05
24,510050.SH,20180306,2.855,2.875,2.889,2.83,2.888,0.033,1.1559,5321614.49,1525238.009
25,510050.SH,20180305,2.856,2.858,2.889,2.837,2.855,-0.001,-0.035,4844539.43,1385442.491
26,510050.SH,20180302,2.884,2.862,2.884,2.846,2.856,-0.028,-0.9709,3424885.11,980550.49
27,510050.SH,20180301,2.871,2.852,2.904,2.849,2.884,0.013,0.4528,4505127.59,1298810.206
28,510050.SH,20180228,2.92,2.898,2.902,2.858,2.871,-0.049,-1.6781,6043608.11,1741070.931
29,510050.SH,20180227,2.965,2.973,2.976,2.912,2.92,-0.045,-1.5177,6385342.03,1873449.111
30,510050.SH,20180226,2.955,2.97,2.989,2.927,2.965,0.01,0.3384,6511913.47,1927924.081
31,510050.SH,20180223,2.925,2.934,2.962,2.924,2.955,0.03,1.0256,3510744.27,1032836.958
32,510050.SH,20180222,2.866,2.907,2.939,2.894,2.925,0.059,2.0586,3632410.17,1059208.023
33,510050.SH,20180214,2.848,2.856,2.873,2.837,2.866,0.018,0.632,2596548.65,741460.212
34,510050.SH,20180213,2.8,2.829,2.884,2.828,2.848,0.048,1.7143,6035503.38,1723677.927
35,510050.SH,20180212,2.803,2.801,2.822,2.77,2.8,-0.003,-0.107,7828896.74,2193227.398
36,510050.SH,20180209,2.939,2.851,2.878,2.713,2.803,-0.136,-4.6274,18486013.12,5148844.906
37,510050.SH,20180208,3.023,3.0,3.016,2.907,2.939,-0.084,-2.7787,12060134.78,3578899.06
38,510050.SH,20180207,3.11,3.142,3.162,3.013,3.023,-0.087,-2.7974,13889274.08,4266528.853
39,510050.SH,20180206,3.18,3.131,3.146,3.089,3.11,-0.07,-2.2013,17298860.45,5384711.724
40,510050.SH,20180205,3.145,3.106,3.181,3.099,3.18,0.035,1.1129,8264981.16,2594426.926
41,510050.SH,20180202,3.134,3.11,3.148,3.076,3.145,0.011,0.351,7292157.06,2272216.717
42,510050.SH,20180201,3.113,3.115,3.136,3.096,3.134,0.021,0.6746,7010665.53,2186595.086
43,510050.SH,20180131,3.075,3.064,3.117,3.062,3.113,0.038,1.2358,5737693.04,1775467.538
44,510050.SH,20180130,3.114,3.106,3.124,3.072,3.075,-0.039,-1.2524,4501058.01,1394189.793
45,510050.SH,20180129,3.171,3.181,3.193,3.103,3.114,-0.057,-1.7975,7415258.38,2340129.048
46,510050.SH,20180126,3.15,3.145,3.195,3.141,3.171,0.021,0.6667,5974380.41,1895127.949
47,510050.SH,20180125,3.172,3.165,3.171,3.121,3.15,-0.022,-0.6936,6424868.65,2022418.278
48,510050.SH,20180124,3.173,3.184,3.195,3.146,3.172,-0.001,-0.0315,8496426.27,2699437.535
49,510050.SH,20180123,3.129,3.137,3.175,3.137,3.173,0.044,1.4062,9355638.94,2953636.24
50,510050.SH,20180122,3.113,3.103,3.139,3.092,3.129,0.016,0.514,6080782.75,1899510.274
51,510050.SH,20180119,3.106,3.116,3.14,3.096,3.113,0.007,0.2254,7679212.2,2397934.043
52,510050.SH,20180118,3.071,3.09,3.122,3.082,3.106,0.035,1.1397,6123523.57,1898899.83
53,510050.SH,20180117,3.064,3.064,3.127,3.055,3.071,0.007,0.2285,8383916.12,2590198.891
54,510050.SH,20180116,3.043,3.036,3.065,3.034,3.064,0.021,0.6901,4702502.18,1432989.391
55,510050.SH,20180115,3.018,3.021,3.065,3.018,3.043,0.025,0.8284,5852667.17,1781827.856
56,510050.SH,20180112,2.991,2.991,3.02,2.991,3.018,0.027,0.9027,3187761.74,957658.309
57,510050.SH,20180111,2.994,2.988,3.005,2.979,2.991,-0.003,-0.1002,3227392.87,965216.953
58,510050.SH,20180110,2.97,2.967,2.996,2.96,2.994,0.024,0.8081,4779056.89,1423989.574
59,510050.SH,20180109,2.944,2.942,2.97,2.941,2.97,0.026,0.8832,3097112.43,916676.148
60,510050.SH,20180108,2.933,2.927,2.951,2.925,2.944,0.011,0.375,3125530.92,918485.934
61,510050.SH,20180105,2.919,2.921,2.938,2.916,2.933,0.014,0.4796,3220088.3,942526.28
62,510050.SH,20180104,2.912,2.913,2.932,2.909,2.919,0.007,0.2404,3084130.84,900344.767
63,510050.SH,20180103,2.907,2.909,2.945,2.906,2.912,0.005,0.172,5708742.97,1668821.383
64,510050.SH,20180102,2.858,2.864,2.909,2.862,2.907,0.049,1.7145,4776970.12,1383492.08
65,510050.SH,20171229,2.855,2.858,2.874,2.848,2.858,0.003,0.1051,2741056.61,783342.458
66,510050.SH,20171228,2.834,2.838,2.87,2.829,2.855,0.021,0.741,4516756.8,1288132.419
67,510050.SH,20171227,2.893,2.888,2.893,2.827,2.834,-0.059,-2.0394,8582376.84,2450851.505
68,510050.SH,20171226,2.876,2.877,2.897,2.866,2.893,0.017,0.5911,4927680.34,1420345.129
69,510050.SH,20171225,2.878,2.877,2.914,2.866,2.876,-0.002,-0.0695,5042697.83,1457666.986
70,510050.SH,20171222,2.893,2.887,2.898,2.874,2.878,-0.015,-0.5185,4101170.75,1184147.248
71,510050.SH,20171221,2.876,2.87,2.908,2.86,2.893,0.017,0.5911,5742876.41,1661198.953
72,510050.SH,20171220,2.87,2.87,2.885,2.861,2.876,0.006,0.2091,4072171.49,1169432.847
73,510050.SH,20171219,2.828,2.829,2.871,2.828,2.87,0.042,1.4851,5188905.47,1482025.037
74,510050.SH,20171218,2.816,2.815,2.843,2.815,2.828,0.012,0.4261,4561371.1,1290558.354
75,510050.SH,20171215,2.85,2.843,2.848,2.814,2.816,-0.034,-1.193,4522940.42,1279876.829
76,510050.SH,20171214,2.87,2.87,2.878,2.842,2.85,-0.02,-0.6969,4566913.39,1303628.49
77,510050.SH,20171213,2.846,2.85,2.878,2.836,2.87,0.024,0.8433,5433994.04,1552969.482
78,510050.SH,20171212,2.898,2.896,2.902,2.845,2.846,-0.052,-1.7943,3941618.35,1133773.016
79,510050.SH,20171211,2.865,2.865,2.899,2.856,2.898,0.033,1.1518,3870458.92,1114818.405
80,510050.SH,20171208,2.844,2.839,2.874,2.832,2.865,0.021,0.7384,4890595.88,1395786.224
81,510050.SH,20171207,2.871,2.87,2.877,2.826,2.844,-0.027,-0.9404,5970121.35,1699303.808
82,510050.SH,20171206,2.908,2.899,2.899,2.843,2.871,-0.037,-1.2724,4660555.6,1340233.057
83,510050.SH,20171205,2.858,2.85,2.92,2.847,2.908,0.05,1.7495,8923698.59,2581142.589
84,510050.SH,20171204,2.838,2.828,2.868,2.82,2.858,0.02,0.7047,2938001.99,837777.504
85,510050.SH,20171201,2.858,2.86,2.867,2.832,2.838,-0.02,-0.6998,4639455.91,1320220.344
86,510050.SH,20171130,2.89,2.88,2.898,2.85,2.858,-0.032,-1.1073,6357419.08,1825466.242
87,510050.SH,20171129,2.896,2.903,2.915,2.858,2.89,-0.006,-0.2072,4044882.35,1167154.68
88,510050.SH,20171128,2.912,2.909,2.91,2.876,2.896,-0.016,-0.5495,5085750.1,1472221.711
89,510050.SH,20171127,2.99,2.983,2.989,2.939,2.966,-0.024,-0.8027,6937885.36,2053789.717
90,510050.SH,20171124,2.991,2.987,3.004,2.963,2.99,-0.001,-0.0334,5941973.03,1771682.846
91,510050.SH,20171123,3.067,3.062,3.076,2.968,2.991,-0.076,-2.478,10107565.87,3061423.992
92,510050.SH,20171122,3.046,3.055,3.094,3.046,3.067,0.021,0.6894,6521079.08,2002279.539
93,510050.SH,20171121,2.996,2.985,3.071,2.981,3.046,0.05,1.6689,8072463.9,2454631.041
94,510050.SH,20171120,2.99,2.977,2.996,2.953,2.996,0.006,0.2007,5980591.78,1778111.161
95,510050.SH,20171117,2.932,2.925,2.993,2.923,2.99,0.058,1.9782,9210089.32,2723057.023
96,510050.SH,20171116,2.901,2.895,2.935,2.893,2.932,0.031,1.0686,4311724.92,1257602.101
97,510050.SH,20171115,2.913,2.906,2.917,2.896,2.901,-0.012,-0.4119,5185719.85,1505444.521
98,510050.SH,20171114,2.928,2.929,2.935,2.91,2.913,-0.015,-0.5123,4718732.53,1376845.137
99,510050.SH,20171113,2.918,2.921,2.939,2.918,2.928,0.01,0.3427,2990331.78,876122.558
100,510050.SH,20171110,2.885,2.883,2.922,2.88,2.918,0.033,1.1438,6372702.53,1847851.071
101,510050.SH,20171109,2.874,2.871,2.886,2.865,2.885,0.011,0.3827,4269429.19,1226904.798
102,510050.SH,20171108,2.875,2.874,2.899,2.867,2.874,-0.001,-0.0348,5710532.4,1644910.059
103,510050.SH,20171107,2.843,2.843,2.883,2.843,2.875,0.032,1.1256,6218318.6,1784292.76
104,510050.SH,20171106,2.851,2.846,2.848,2.83,2.843,-0.008,-0.2806,2854825.5,810443.077
