ts_code,call_put,k,trade_date,c,s,r,t,q,iv
10002477.SH,C,2.563,20200515,0.2546,2.812,0.01657,0.6082191780821918,0.06536452625554531,0.1947803497314453
10002478.SH,C,2.612,20200515,0.2241,2.812,0.01657,0.6082191780821918,0.06621124462224207,0.1946887969970703
10002479.SH,C,2.661,20200515,0.1958,2.812,0.01657,0.6082191780821918,0.0667539130848566,0.19391918182373047
10002480.SH,C,2.711,20200515,0.1709,2.812,0.01657,0.6082191780821918,0.06590249081563511,0.19342994689941406
10002481.SH,C,2.76,20200515,0.1473,2.812,0.01657,0.6082191780821918,0.06705397170627965,0.19323158264160156
10002482.SH,C,2.809,20200515,0.1271,2.812,0.01657,0.6082191780821918,0.06504014873648013,0.19137859344482422
10002483.SH,C,2.859,20200515,0.1091,2.812,0.01657,0.6082191780821918,0.06595366360945297,0.192657470703125
10002484.SH,C,2.908,20200515,0.0915,2.812,0.01657,0.6082191780821918,0.0677752675750301,0.19200897216796875
10002485.SH,C,2.957,20200515,0.0772,2.812,0.01657,0.6082191780821918,0.06825750415329582,0.19182395935058594
10002009.SH,C,2.706,20200515,0.122,2.812,0.01657,0.1095890410958904,0.05928184918719581,0.18049049377441406
10002421.SH,C,2.35,20200515,0.462,2.812,0.01657,0.1095890410958904,0.02197404220259646,0.2813262939453125
10002423.SH,C,2.35,20200515,0.462,2.812,0.01657,0.3589041095890411,0.03162235554358751,0.23201751708984375
10002083.SH,C,2.7,20200515,0.1253,2.812,0.01657,0.1095890410958904,0.06447364683914943,0.18120574951171875
10002084.SH,C,2.75,20200515,0.09,2.812,0.01657,0.1095890410958904,0.06673119444499806,0.17531204223632812
10002085.SH,C,2.8,20200515,0.062,2.812,0.01657,0.1095890410958904,0.06539339630062234,0.1719970703125
10002086.SH,C,2.85,20200515,0.0405,2.812,0.01657,0.1095890410958904,0.06470939385096049,0.17033767700195312
10002087.SH,C,2.9,20200515,0.026,2.812,0.01657,0.1095890410958904,0.06369866151588635,0.17229461669921875
10002088.SH,C,2.95,20200515,0.0156,2.812,0.01657,0.1095890410958904,0.06334154274920087,0.17252731323242188
10002089.SH,C,3.0,20200515,0.0101,2.812,0.01657,0.1095890410958904,0.060697476482182364,0.17877960205078125
10002090.SH,C,3.1,20200515,0.0047,2.812,0.01657,0.1095890410958904,0.053452979478942314,0.195037841796875
10002091.SH,C,3.2,20200515,0.0026,2.812,0.01657,0.1095890410958904,0.05078146899294929,0.215728759765625
10002269.SH,C,2.75,20200515,0.1365,2.812,0.01657,0.3589041095890411,0.04908617807310631,0.18483734130859375
10002475.SH,C,3.0,20200515,0.0011,2.812,0.01657,0.03287671232876712,0.036082843173477354,0.189605712890625
10002401.SH,C,2.4,20200515,0.412,2.812,0.01657,0.1095890410958904,0.024221098456902113,0.2624053955078125
10002402.SH,C,2.45,20200515,0.362,2.812,0.01657,0.1095890410958904,0.026468708191264508,0.24114990234375
10002405.SH,C,2.4,20200515,0.412,2.812,0.01657,0.3589041095890411,0.035529963904160224,0.22120285034179688
10002406.SH,C,2.45,20200515,0.362,2.812,0.01657,0.3589041095890411,0.040448214154214214,0.21050453186035156
10002007.SH,C,3.444,20200515,0.0017,2.812,0.01657,0.1095890410958904,0.057775977921948815,0.291656494140625
10002515.SH,C,3.1,20200515,0.0004,2.812,0.01657,0.03287671232876712,0.06701117723685274,0.23321533203125
10002517.SH,C,3.056,20200515,0.0541,2.812,0.01657,0.6082191780821918,0.06983846325394479,0.1923236846923828
10002471.SH,C,2.95,20200515,0.0021,2.812,0.01657,0.03287671232876712,0.03687091155036192,0.168609619140625
10002231.SH,C,2.8,20200515,0.1122,2.812,0.01657,0.3589041095890411,0.048275970173104164,0.18383121490478516
10002232.SH,C,2.85,20200515,0.0916,2.812,0.01657,0.3589041095890411,0.0477683753925368,0.1839771270751953
10002233.SH,C,2.9,20200515,0.0743,2.812,0.01657,0.3589041095890411,0.04786561653894226,0.18501663208007812
10002234.SH,C,2.95,20200515,0.0593,2.812,0.01657,0.3589041095890411,0.04766046238309877,0.18514251708984375
10002235.SH,C,3.0,20200515,0.0476,2.812,0.01657,0.3589041095890411,0.04695143552366094,0.18645286560058594
10002236.SH,C,3.1,20200515,0.031,2.812,0.01657,0.3589041095890411,0.04684355414939809,0.19164276123046875
10002237.SH,C,3.2,20200515,0.0208,2.812,0.01657,0.3589041095890411,0.04492257536021406,0.19818687438964844
10002238.SH,C,3.3,20200515,0.014,2.812,0.01657,0.3589041095890411,0.04320417883613714,0.20450973510742188
10002239.SH,C,3.4,20200515,0.0106,2.812,0.01657,0.3589041095890411,0.043901591776447216,0.21649551391601562
10002513.SH,C,2.514,20200515,0.2892,2.812,0.01657,0.6082191780821918,0.06409263682397054,0.1965789794921875
