,ts_code,call_put,k,delist_date,date,trade_date,c,s,r
0,10003039.SH,C,3.0,20210127,20210120,20210120,0.8,3.8,0.024929999999999997
1,10003040.SH,P,3.0,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
2,10003041.SH,C,3.0,20210324,20210120,20210120,0.8074,3.8,0.024929999999999997
3,10003042.SH,P,3.0,20210324,20210120,20210120,0.0035,3.8,0.024929999999999997
4,10003043.SH,C,3.0,20210623,20210120,20210120,0.8375,3.8,0.024929999999999997
5,10003044.SH,P,3.0,20210623,20210120,20210120,0.0117,3.8,0.024929999999999997
6,10002767.SH,C,3.746,20210324,20210120,20210120,0.1676,3.8,0.024929999999999997
7,10002768.SH,P,3.746,20210324,20210120,20210120,0.1069,3.8,0.024929999999999997
8,10002859.SH,C,2.957,20210623,20210120,20210120,0.8786,3.8,0.024929999999999997
9,10002860.SH,C,3.056,20210623,20210120,20210120,0.7854,3.8,0.024929999999999997
10,10002861.SH,C,3.154,20210623,20210120,20210120,0.6987,3.8,0.024929999999999997
11,10002862.SH,C,3.253,20210623,20210120,20210120,0.6087,3.8,0.024929999999999997
12,10002863.SH,C,3.351,20210623,20210120,20210120,0.5216,3.8,0.024929999999999997
13,10002864.SH,C,3.45,20210623,20210120,20210120,0.4497,3.8,0.024929999999999997
14,10002865.SH,C,3.549,20210623,20210120,20210120,0.3793,3.8,0.024929999999999997
15,10002866.SH,C,3.647,20210623,20210120,20210120,0.3159,3.8,0.024929999999999997
16,10002867.SH,C,3.746,20210623,20210120,20210120,0.2608,3.8,0.024929999999999997
17,10002868.SH,P,2.957,20210623,20210120,20210120,0.0104,3.8,0.024929999999999997
18,10002869.SH,P,3.056,20210623,20210120,20210120,0.015,3.8,0.024929999999999997
19,10002870.SH,P,3.154,20210623,20210120,20210120,0.023,3.8,0.024929999999999997
20,10002871.SH,P,3.253,20210623,20210120,20210120,0.0343,3.8,0.024929999999999997
21,10002872.SH,P,3.351,20210623,20210120,20210120,0.0487,3.8,0.024929999999999997
22,10002873.SH,P,3.45,20210623,20210120,20210120,0.0679,3.8,0.024929999999999997
23,10002874.SH,P,3.549,20210623,20210120,20210120,0.0972,3.8,0.024929999999999997
24,10002875.SH,P,3.647,20210623,20210120,20210120,0.1312,3.8,0.024929999999999997
25,10002876.SH,P,3.746,20210623,20210120,20210120,0.1738,3.8,0.024929999999999997
26,10002895.SH,C,2.908,20210623,20210120,20210120,0.9249,3.8,0.024929999999999997
27,10002896.SH,P,2.908,20210623,20210120,20210120,0.0086,3.8,0.024929999999999997
28,10003083.SH,C,4.0,20210224,20210120,20210120,0.0373,3.8,0.024929999999999997
29,10003084.SH,P,4.0,20210224,20210120,20210120,0.2286,3.8,0.024929999999999997
30,10002725.SH,C,2.908,20210324,20210120,20210120,0.8981,3.8,0.024929999999999997
31,10002726.SH,C,2.957,20210324,20210120,20210120,0.8494,3.8,0.024929999999999997
32,10002727.SH,C,3.056,20210324,20210120,20210120,0.7521,3.8,0.024929999999999997
33,10002728.SH,C,3.154,20210324,20210120,20210120,0.6564,3.8,0.024929999999999997
34,10002729.SH,C,3.253,20210324,20210120,20210120,0.5615,3.8,0.024929999999999997
35,10002730.SH,C,3.351,20210324,20210120,20210120,0.4729,3.8,0.024929999999999997
36,10002731.SH,C,3.45,20210324,20210120,20210120,0.3837,3.8,0.024929999999999997
37,10002732.SH,C,3.549,20210324,20210120,20210120,0.3014,3.8,0.024929999999999997
38,10002733.SH,C,3.647,20210324,20210120,20210120,0.2294,3.8,0.024929999999999997
39,10002734.SH,P,2.908,20210324,20210120,20210120,0.0031,3.8,0.024929999999999997
40,10002735.SH,P,2.957,20210324,20210120,20210120,0.0035,3.8,0.024929999999999997
41,10002736.SH,P,3.056,20210324,20210120,20210120,0.0043,3.8,0.024929999999999997
42,10002737.SH,P,3.154,20210324,20210120,20210120,0.0059,3.8,0.024929999999999997
43,10002738.SH,P,3.253,20210324,20210120,20210120,0.0097,3.8,0.024929999999999997
44,10002739.SH,P,3.351,20210324,20210120,20210120,0.0161,3.8,0.024929999999999997
45,10002740.SH,P,3.45,20210324,20210120,20210120,0.0263,3.8,0.024929999999999997
46,10002741.SH,P,3.549,20210324,20210120,20210120,0.043,3.8,0.024929999999999997
47,10002742.SH,P,3.647,20210324,20210120,20210120,0.0693,3.8,0.024929999999999997
48,10002909.SH,C,3.844,20210324,20210120,20210120,0.1225,3.8,0.024929999999999997
49,10002910.SH,P,3.844,20210324,20210120,20210120,0.1572,3.8,0.024929999999999997
50,10002911.SH,C,3.844,20210623,20210120,20210120,0.2157,3.8,0.024929999999999997
51,10002912.SH,P,3.844,20210623,20210120,20210120,0.2237,3.8,0.024929999999999997
52,10003085.SH,C,4.1,20210127,20210120,20210120,0.0007,3.8,0.024929999999999997
53,10003086.SH,P,4.1,20210127,20210120,20210120,0.3006,3.8,0.024929999999999997
54,10003087.SH,C,4.1,20210224,20210120,20210120,0.022,3.8,0.024929999999999997
55,10003088.SH,P,4.1,20210224,20210120,20210120,0.314,3.8,0.024929999999999997
56,10003089.SH,C,4.1,20210324,20210120,20210120,0.049,3.8,0.024929999999999997
57,10003090.SH,P,4.1,20210324,20210120,20210120,0.3387,3.8,0.024929999999999997
58,10003091.SH,C,4.1,20210623,20210120,20210120,0.1239,3.8,0.024929999999999997
59,10003092.SH,P,4.1,20210623,20210120,20210120,0.3874,3.8,0.024929999999999997
60,10003045.SH,C,3.1,20210224,20210120,20210120,0.7051,3.8,0.024929999999999997
61,10003046.SH,C,3.2,20210224,20210120,20210120,0.609,3.8,0.024929999999999997
62,10003047.SH,C,3.3,20210224,20210120,20210120,0.5097,3.8,0.024929999999999997
63,10003048.SH,C,3.4,20210224,20210120,20210120,0.415,3.8,0.024929999999999997
64,10003049.SH,C,3.5,20210224,20210120,20210120,0.3173,3.8,0.024929999999999997
65,10003050.SH,C,3.6,20210224,20210120,20210120,0.234,3.8,0.024929999999999997
66,10003051.SH,C,3.7,20210224,20210120,20210120,0.158,3.8,0.024929999999999997
67,10003052.SH,C,3.8,20210224,20210120,20210120,0.1014,3.8,0.024929999999999997
68,10003053.SH,C,3.9,20210224,20210120,20210120,0.0614,3.8,0.024929999999999997
69,10003054.SH,P,3.1,20210224,20210120,20210120,0.0027,3.8,0.024929999999999997
70,10003055.SH,P,3.2,20210224,20210120,20210120,0.003,3.8,0.024929999999999997
71,10003056.SH,P,3.3,20210224,20210120,20210120,0.0044,3.8,0.024929999999999997
72,10003057.SH,P,3.4,20210224,20210120,20210120,0.0078,3.8,0.024929999999999997
73,10003058.SH,P,3.5,20210224,20210120,20210120,0.0142,3.8,0.024929999999999997
74,10003059.SH,P,3.6,20210224,20210120,20210120,0.0268,3.8,0.024929999999999997
75,10003060.SH,P,3.7,20210224,20210120,20210120,0.0513,3.8,0.024929999999999997
76,10003061.SH,P,3.8,20210224,20210120,20210120,0.0923,3.8,0.024929999999999997
77,10003062.SH,P,3.9,20210224,20210120,20210120,0.1539,3.8,0.024929999999999997
78,10003109.SH,C,4.3,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
79,10003110.SH,P,4.3,20210127,20210120,20210120,0.5,3.8,0.024929999999999997
80,10003111.SH,C,4.3,20210224,20210120,20210120,0.0087,3.8,0.024929999999999997
81,10003112.SH,P,4.3,20210224,20210120,20210120,0.5015,3.8,0.024929999999999997
82,10003113.SH,C,4.3,20210324,20210120,20210120,0.0261,3.8,0.024929999999999997
83,10003114.SH,P,4.3,20210324,20210120,20210120,0.5133,3.8,0.024929999999999997
84,10003115.SH,C,4.3,20210623,20210120,20210120,0.0795,3.8,0.024929999999999997
85,10003116.SH,P,4.3,20210623,20210120,20210120,0.5408,3.8,0.024929999999999997
86,10002913.SH,C,3.056,20210127,20210120,20210120,0.744,3.8,0.024929999999999997
87,10002914.SH,C,3.154,20210127,20210120,20210120,0.646,3.8,0.024929999999999997
88,10002915.SH,C,3.253,20210127,20210120,20210120,0.547,3.8,0.024929999999999997
89,10002916.SH,C,3.351,20210127,20210120,20210120,0.449,3.8,0.024929999999999997
90,10002917.SH,C,3.45,20210127,20210120,20210120,0.35,3.8,0.024929999999999997
91,10002918.SH,C,3.549,20210127,20210120,20210120,0.251,3.8,0.024929999999999997
92,10002919.SH,C,3.647,20210127,20210120,20210120,0.1542,3.8,0.024929999999999997
93,10002920.SH,C,3.746,20210127,20210120,20210120,0.0699,3.8,0.024929999999999997
94,10002921.SH,C,3.844,20210127,20210120,20210120,0.0178,3.8,0.024929999999999997
95,10002922.SH,P,3.056,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
96,10002923.SH,P,3.154,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
97,10002924.SH,P,3.253,20210127,20210120,20210120,0.0004,3.8,0.024929999999999997
98,10002925.SH,P,3.351,20210127,20210120,20210120,0.0005,3.8,0.024929999999999997
99,10002926.SH,P,3.45,20210127,20210120,20210120,0.0008,3.8,0.024929999999999997
100,10002927.SH,P,3.549,20210127,20210120,20210120,0.001,3.8,0.024929999999999997
101,10002928.SH,P,3.647,20210127,20210120,20210120,0.0028,3.8,0.024929999999999997
102,10002929.SH,P,3.746,20210127,20210120,20210120,0.0152,3.8,0.024929999999999997
103,10002930.SH,P,3.844,20210127,20210120,20210120,0.0618,3.8,0.024929999999999997
104,10002967.SH,C,3.1,20210127,20210120,20210120,0.7,3.8,0.024929999999999997
105,10002968.SH,C,3.2,20210127,20210120,20210120,0.6,3.8,0.024929999999999997
106,10002969.SH,C,3.3,20210127,20210120,20210120,0.5,3.8,0.024929999999999997
107,10002970.SH,C,3.4,20210127,20210120,20210120,0.4,3.8,0.024929999999999997
108,10002971.SH,C,3.5,20210127,20210120,20210120,0.3,3.8,0.024929999999999997
109,10002972.SH,C,3.6,20210127,20210120,20210120,0.2014,3.8,0.024929999999999997
110,10002973.SH,C,3.7,20210127,20210120,20210120,0.1062,3.8,0.024929999999999997
111,10002974.SH,C,3.8,20210127,20210120,20210120,0.0346,3.8,0.024929999999999997
112,10002975.SH,C,3.9,20210127,20210120,20210120,0.0074,3.8,0.024929999999999997
113,10002976.SH,P,3.1,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
114,10002977.SH,P,3.2,20210127,20210120,20210120,0.0002,3.8,0.024929999999999997
115,10002978.SH,P,3.3,20210127,20210120,20210120,0.0004,3.8,0.024929999999999997
116,10002979.SH,P,3.4,20210127,20210120,20210120,0.0005,3.8,0.024929999999999997
117,10002980.SH,P,3.5,20210127,20210120,20210120,0.0009,3.8,0.024929999999999997
118,10002981.SH,P,3.6,20210127,20210120,20210120,0.0018,3.8,0.024929999999999997
119,10002982.SH,P,3.7,20210127,20210120,20210120,0.0071,3.8,0.024929999999999997
120,10002983.SH,P,3.8,20210127,20210120,20210120,0.0346,3.8,0.024929999999999997
121,10002984.SH,P,3.9,20210127,20210120,20210120,0.1076,3.8,0.024929999999999997
122,10002985.SH,C,3.1,20210324,20210120,20210120,0.7139,3.8,0.024929999999999997
123,10002986.SH,C,3.2,20210324,20210120,20210120,0.6134,3.8,0.024929999999999997
124,10002987.SH,C,3.3,20210324,20210120,20210120,0.5206,3.8,0.024929999999999997
125,10002988.SH,C,3.4,20210324,20210120,20210120,0.4256,3.8,0.024929999999999997
126,10002989.SH,C,3.5,20210324,20210120,20210120,0.3425,3.8,0.024929999999999997
127,10002990.SH,C,3.6,20210324,20210120,20210120,0.2599,3.8,0.024929999999999997
