,ts_code,call_put,k,trade_date,c,s,r,t,q
0,10003039.SH,C,3.0,20210120,0.8,3.8,0.024929999999999997,0.019178082191780823,0.022426057530047463
1,10003041.SH,C,3.0,20210120,0.8074,3.8,0.024929999999999997,0.1726027397260274,0.01370938687015769
2,10003043.SH,C,3.0,20210120,0.8375,3.8,0.024929999999999997,0.42191780821917807,0.0034890639268215598
3,10002767.SH,C,3.746,20210120,0.1676,3.8,0.024929999999999997,0.1726027397260274,0.014325507876504941
4,10002859.SH,C,2.957,20210120,0.8786,3.8,0.024929999999999997,0.42191780821917807,0.003582810528815859
5,10002860.SH,C,3.056,20210120,0.7854,3.8,0.024929999999999997,0.42191780821917807,0.003480284049251196
6,10002861.SH,C,3.154,20210120,0.6987,3.8,0.024929999999999997,0.42191780821917807,0.0020599163961529227
7,10002862.SH,C,3.253,20210120,0.6087,3.8,0.024929999999999997,0.42191780821917807,0.004143281406324109
8,10002863.SH,C,3.351,20210120,0.5216,3.8,0.024929999999999997,0.42191780821917807,0.006972484309284654
9,10002864.SH,C,3.45,20210120,0.4497,3.8,0.024929999999999997,0.42191780821917807,0.00268246887139655
10,10002865.SH,C,3.549,20210120,0.3793,3.8,0.024929999999999997,0.42191780821917807,0.003766633969481919
11,10002866.SH,C,3.647,20210120,0.3159,3.8,0.024929999999999997,0.42191780821917807,0.004032401933265342
12,10002867.SH,C,3.746,20210120,0.2608,3.8,0.024929999999999997,0.42191780821917807,0.003867381485623577
13,10002895.SH,C,2.908,20210120,0.9249,3.8,0.024929999999999997,0.42191780821917807,0.0038247538174539675
14,10003083.SH,C,4.0,20210120,0.0373,3.8,0.024929999999999997,0.0958904109589041,0.00233508529520983
15,10002725.SH,C,2.908,20210120,0.8981,3.8,0.024929999999999997,0.1726027397260274,0.014481170991248545
16,10002726.SH,C,2.957,20210120,0.8494,3.8,0.024929999999999997,0.1726027397260274,0.01495561439757726
17,10002727.SH,C,3.056,20210120,0.7521,3.8,0.024929999999999997,0.1726027397260274,0.014229704604217413
18,10002728.SH,C,3.154,20210120,0.6564,3.8,0.024929999999999997,0.1726027397260274,0.01380297231240107
19,10002729.SH,C,3.253,20210120,0.5615,3.8,0.024929999999999997,0.1726027397260274,0.013994133590864861
20,10002730.SH,C,3.351,20210120,0.4729,3.8,0.024929999999999997,0.1726027397260274,0.010053579576731258
21,10002731.SH,C,3.45,20210120,0.3837,3.8,0.024929999999999997,0.1726027397260274,0.01131385613976508
22,10002732.SH,C,3.549,20210120,0.3014,3.8,0.024929999999999997,0.1726027397260274,0.011963256104539062
23,10002733.SH,C,3.647,20210120,0.2294,3.8,0.024929999999999997,0.1726027397260274,0.013064576098342126
24,10002909.SH,C,3.844,20210120,0.1225,3.8,0.024929999999999997,0.1726027397260274,0.010995712851394886
25,10002911.SH,C,3.844,20210120,0.2157,3.8,0.024929999999999997,0.42191780821917807,0.0026340980885504266
26,10003085.SH,C,4.1,20210120,0.0007,3.8,0.024929999999999997,0.019178082191780823,0.025525795210528883
27,10003087.SH,C,4.1,20210120,0.022,3.8,0.024929999999999997,0.0958904109589041,0.0049123023830223945
28,10003089.SH,C,4.1,20210120,0.049,3.8,0.024929999999999997,0.1726027397260274,0.011147243692381533
29,10003091.SH,C,4.1,20210120,0.1239,3.8,0.024929999999999997,0.42191780821917807,0.003994833258955488
30,10003045.SH,C,3.1,20210120,0.7051,3.8,0.024929999999999997,0.0958904109589041,0.013735917843253176
31,10003046.SH,C,3.2,20210120,0.609,3.8,0.024929999999999997,0.0958904109589041,0.004503417802048613
32,10003047.SH,C,3.3,20210120,0.5097,3.8,0.024929999999999997,0.0958904109589041,0.007081170872704532
33,10003048.SH,C,3.4,20210120,0.415,3.8,0.024929999999999997,0.0958904109589041,0.002520055140410896
34,10003049.SH,C,3.5,20210120,0.3173,3.8,0.024929999999999997,0.0958904109589041,0.014436887781895303
35,10003050.SH,C,3.6,20210120,0.234,3.8,0.024929999999999997,0.0958904109589041,0.003830992449039549
36,10003051.SH,C,3.7,20210120,0.158,3.8,0.024929999999999997,0.0958904109589041,0.0058593841767065015
37,10003052.SH,C,3.8,20210120,0.1014,3.8,0.024929999999999997,0.0958904109589041,-7.345840146886624e-05
38,10003053.SH,C,3.9,20210120,0.0614,3.8,0.024929999999999997,0.0958904109589041,0.004973973872620892
39,10003109.SH,C,4.3,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.025465376872760816
40,10003111.SH,C,4.3,20210120,0.0087,3.8,0.024929999999999997,0.0958904109589041,0.008420571210102111
41,10003113.SH,C,4.3,20210120,0.0261,3.8,0.024929999999999997,0.1726027397260274,0.008640640743170556
42,10003115.SH,C,4.3,20210120,0.0795,3.8,0.024929999999999997,0.42191780821917807,0.003927769578027999
43,10002913.SH,C,3.056,20210120,0.744,3.8,0.024929999999999997,0.019178082191780823,0.02279351849258277
44,10002914.SH,C,3.154,20210120,0.646,3.8,0.024929999999999997,0.019178082191780823,0.023436581408257603
45,10002915.SH,C,3.253,20210120,0.547,3.8,0.024929999999999997,0.019178082191780823,0.0268319154229099
46,10002916.SH,C,3.351,20210120,0.449,3.8,0.024929999999999997,0.019178082191780823,0.028847949888282935
47,10002917.SH,C,3.45,20210120,0.35,3.8,0.024929999999999997,0.019178082191780823,0.03361668360727687
48,10002918.SH,C,3.549,20210120,0.251,3.8,0.024929999999999997,0.019178082191780823,0.037012680595725274
49,10002919.SH,C,3.647,20210120,0.1542,3.8,0.024929999999999997,0.019178082191780823,0.04589560041108152
50,10002920.SH,C,3.746,20210120,0.0699,3.8,0.024929999999999997,0.019178082191780823,0.014966742182803586
51,10002921.SH,C,3.844,20210120,0.0178,3.8,0.024929999999999997,0.019178082191780823,0.025218732974610837
52,10002967.SH,C,3.1,20210120,0.7,3.8,0.024929999999999997,0.019178082191780823,0.023082239636969867
53,10002968.SH,C,3.2,20210120,0.6,3.8,0.024929999999999997,0.019178082191780823,0.023738430001609693
54,10002969.SH,C,3.3,20210120,0.5,3.8,0.024929999999999997,0.019178082191780823,0.027140346044790667
55,10002970.SH,C,3.4,20210120,0.4,3.8,0.024929999999999997,0.019178082191780823,0.029169517690729934
56,10002971.SH,C,3.5,20210120,0.3,3.8,0.024929999999999997,0.019178082191780823,0.03531793615545813
57,10002972.SH,C,3.6,20210120,0.2014,3.8,0.024929999999999997,0.019178082191780823,0.029109095130812758
58,10002973.SH,C,3.7,20210120,0.1062,3.8,0.024929999999999997,0.019178082191780823,0.03663063314416308
59,10002974.SH,C,3.8,20210120,0.0346,3.8,0.024929999999999997,0.019178082191780823,0.024929999999998762
60,10002975.SH,C,3.9,20210120,0.0074,3.8,0.024929999999999997,0.019178082191780823,0.028331993787282662
61,10002985.SH,C,3.1,20210120,0.7139,3.8,0.024929999999999997,0.1726027397260274,0.007033794939789721
62,10002986.SH,C,3.2,20210120,0.6134,3.8,0.024929999999999997,0.1726027397260274,0.012271091030409038
63,10002987.SH,C,3.3,20210120,0.5206,3.8,0.024929999999999997,0.1726027397260274,0.009108291660520016
64,10002988.SH,C,3.4,20210120,0.4256,3.8,0.024929999999999997,0.1726027397260274,0.01511172726423804
65,10002989.SH,C,3.5,20210120,0.3425,3.8,0.024929999999999997,0.1726027397260274,0.008434520256870748
66,10002990.SH,C,3.6,20210120,0.2599,3.8,0.024929999999999997,0.1726027397260274,0.016577481177130364
67,10002991.SH,C,3.7,20210120,0.1959,3.8,0.024929999999999997,0.1726027397260274,0.014023634370504466
68,10002992.SH,C,3.8,20210120,0.1414,3.8,0.024929999999999997,0.1726027397260274,0.012693175002521066
69,10002993.SH,C,3.9,20210120,0.1001,3.8,0.024929999999999997,0.1726027397260274,0.013196476947443615
70,10003003.SH,C,3.1,20210120,0.7435,3.8,0.024929999999999997,0.42191780821917807,0.004330180130409428
71,10003004.SH,C,3.2,20210120,0.6549,3.8,0.024929999999999997,0.42191780821917807,0.003546941760914613
72,10003005.SH,C,3.3,20210120,0.5688,3.8,0.024929999999999997,0.42191780821917807,0.0035758812079799414
73,10003006.SH,C,3.4,20210120,0.4891,3.8,0.024929999999999997,0.42191780821917807,0.0028553382267547094
74,10003007.SH,C,3.5,20210120,0.4112,3.8,0.024929999999999997,0.42191780821917807,0.005008445567335577
75,10003008.SH,C,3.6,20210120,0.3456,3.8,0.024929999999999997,0.42191780821917807,0.0036627016693496703
76,10003009.SH,C,3.7,20210120,0.2851,3.8,0.024929999999999997,0.42191780821917807,0.00425393078894381
77,10003010.SH,C,3.8,20210120,0.2349,3.8,0.024929999999999997,0.42191780821917807,0.004157912868391122
78,10003011.SH,C,3.9,20210120,0.1923,3.8,0.024929999999999997,0.42191780821917807,0.0029999967769435013
79,10003101.SH,C,4.2,20210120,0.0005,3.8,0.024929999999999997,0.019178082191780823,0.049526024643027626
80,10003103.SH,C,4.2,20210120,0.0139,3.8,0.024929999999999997,0.0958904109589041,0.0009010400964878696
81,10003105.SH,C,4.2,20210120,0.035,3.8,0.024929999999999997,0.1726027397260274,0.010581110286143886
82,10003107.SH,C,4.2,20210120,0.1001,3.8,0.024929999999999997,0.42191780821917807,0.003648940912140417
83,10002761.SH,C,2.859,20210120,0.9467,3.8,0.024929999999999997,0.1726027397260274,0.014006766434019643
84,10003023.SH,C,4.0,20210120,0.0018,3.8,0.024929999999999997,0.019178082191780823,0.022123984499159127
85,10003025.SH,C,4.0,20210120,0.0705,3.8,0.024929999999999997,0.1726027397260274,0.013394179795252939
86,10003027.SH,C,4.0,20210120,0.155,3.8,0.024929999999999997,0.42191780821917807,0.0029040296408883704
0,10003040.SH,P,3.0,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.022426057530047463
1,10003042.SH,P,3.0,20210120,0.0035,3.8,0.024929999999999997,0.1726027397260274,0.01370938687015769
2,10003044.SH,P,3.0,20210120,0.0117,3.8,0.024929999999999997,0.42191780821917807,0.0034890639268215598
3,10002768.SH,P,3.746,20210120,0.1069,3.8,0.024929999999999997,0.1726027397260274,0.014325507876504941
4,10002868.SH,P,2.957,20210120,0.0104,3.8,0.024929999999999997,0.42191780821917807,0.003582810528815859
5,10002869.SH,P,3.056,20210120,0.015,3.8,0.024929999999999997,0.42191780821917807,0.003480284049251196
6,10002870.SH,P,3.154,20210120,0.023,3.8,0.024929999999999997,0.42191780821917807,0.0020599163961529227
7,10002871.SH,P,3.253,20210120,0.0343,3.8,0.024929999999999997,0.42191780821917807,0.004143281406324109
8,10002872.SH,P,3.351,20210120,0.0487,3.8,0.024929999999999997,0.42191780821917807,0.006972484309284654
9,10002873.SH,P,3.45,20210120,0.0679,3.8,0.024929999999999997,0.42191780821917807,0.00268246887139655
10,10002874.SH,P,3.549,20210120,0.0972,3.8,0.024929999999999997,0.42191780821917807,0.003766633969481919
11,10002875.SH,P,3.647,20210120,0.1312,3.8,0.024929999999999997,0.42191780821917807,0.004032401933265342
12,10002876.SH,P,3.746,20210120,0.1738,3.8,0.024929999999999997,0.42191780821917807,0.003867381485623577
13,10002896.SH,P,2.908,20210120,0.0086,3.8,0.024929999999999997,0.42191780821917807,0.0038247538174539675
14,10003084.SH,P,4.0,20210120,0.2286,3.8,0.024929999999999997,0.0958904109589041,0.00233508529520983
15,10002734.SH,P,2.908,20210120,0.0031,3.8,0.024929999999999997,0.1726027397260274,0.014481170991248545
16,10002735.SH,P,2.957,20210120,0.0035,3.8,0.024929999999999997,0.1726027397260274,0.01495561439757726
17,10002736.SH,P,3.056,20210120,0.0043,3.8,0.024929999999999997,0.1726027397260274,0.014229704604217413
18,10002737.SH,P,3.154,20210120,0.0059,3.8,0.024929999999999997,0.1726027397260274,0.01380297231240107
19,10002738.SH,P,3.253,20210120,0.0097,3.8,0.024929999999999997,0.1726027397260274,0.013994133590864861
20,10002739.SH,P,3.351,20210120,0.0161,3.8,0.024929999999999997,0.1726027397260274,0.010053579576731258
21,10002740.SH,P,3.45,20210120,0.0263,3.8,0.024929999999999997,0.1726027397260274,0.01131385613976508
22,10002741.SH,P,3.549,20210120,0.043,3.8,0.024929999999999997,0.1726027397260274,0.011963256104539062
23,10002742.SH,P,3.647,20210120,0.0693,3.8,0.024929999999999997,0.1726027397260274,0.013064576098342126
24,10002910.SH,P,3.844,20210120,0.1572,3.8,0.024929999999999997,0.1726027397260274,0.010995712851394886
25,10002912.SH,P,3.844,20210120,0.2237,3.8,0.024929999999999997,0.42191780821917807,0.0026340980885504266
26,10003086.SH,P,4.1,20210120,0.3006,3.8,0.024929999999999997,0.019178082191780823,0.025525795210528883
27,10003088.SH,P,4.1,20210120,0.314,3.8,0.024929999999999997,0.0958904109589041,0.0049123023830223945
28,10003090.SH,P,4.1,20210120,0.3387,3.8,0.024929999999999997,0.1726027397260274,0.011147243692381533
29,10003092.SH,P,4.1,20210120,0.3874,3.8,0.024929999999999997,0.42191780821917807,0.003994833258955488
30,10003054.SH,P,3.1,20210120,0.0027,3.8,0.024929999999999997,0.0958904109589041,0.013735917843253176
31,10003055.SH,P,3.2,20210120,0.003,3.8,0.024929999999999997,0.0958904109589041,0.004503417802048613
32,10003056.SH,P,3.3,20210120,0.0044,3.8,0.024929999999999997,0.0958904109589041,0.007081170872704532
33,10003057.SH,P,3.4,20210120,0.0078,3.8,0.024929999999999997,0.0958904109589041,0.002520055140410896
34,10003058.SH,P,3.5,20210120,0.0142,3.8,0.024929999999999997,0.0958904109589041,0.014436887781895303
35,10003059.SH,P,3.6,20210120,0.0268,3.8,0.024929999999999997,0.0958904109589041,0.003830992449039549
36,10003060.SH,P,3.7,20210120,0.0513,3.8,0.024929999999999997,0.0958904109589041,0.0058593841767065015
37,10003061.SH,P,3.8,20210120,0.0923,3.8,0.024929999999999997,0.0958904109589041,-7.345840146886624e-05
38,10003062.SH,P,3.9,20210120,0.1539,3.8,0.024929999999999997,0.0958904109589041,0.004973973872620892
39,10003110.SH,P,4.3,20210120,0.5,3.8,0.024929999999999997,0.019178082191780823,0.025465376872760816
40,10003112.SH,P,4.3,20210120,0.5015,3.8,0.024929999999999997,0.0958904109589041,0.008420571210102111
41,10003114.SH,P,4.3,20210120,0.5133,3.8,0.024929999999999997,0.1726027397260274,0.008640640743170556
42,10003116.SH,P,4.3,20210120,0.5408,3.8,0.024929999999999997,0.42191780821917807,0.003927769578027999
