ts_code,call_put,k,trade_date,c,s,r,t,q,iv
10003039.SH,C,3.0,20210120,0.8,3.8,0.024929999999999997,0.019178082191780823,0.022426057530047463,0.605224609375
10003041.SH,C,3.0,20210120,0.8074,3.8,0.024929999999999997,0.1726027397260274,0.01370938687015769,0.288116455078125
10003043.SH,C,3.0,20210120,0.8375,3.8,0.024929999999999997,0.42191780821917807,0.0034890639268215598,0.23515701293945312
10002767.SH,C,3.746,20210120,0.1676,3.8,0.024929999999999997,0.1726027397260274,0.014325507876504941,0.2168121337890625
10002859.SH,C,2.957,20210120,0.8786,3.8,0.024929999999999997,0.42191780821917807,0.003582810528815859,0.24059295654296875
10002860.SH,C,3.056,20210120,0.7854,3.8,0.024929999999999997,0.42191780821917807,0.003480284049251196,0.23296737670898438
10002861.SH,C,3.154,20210120,0.6987,3.8,0.024929999999999997,0.42191780821917807,0.0020599163961529227,0.2305755615234375
10002862.SH,C,3.253,20210120,0.6087,3.8,0.024929999999999997,0.42191780821917807,0.004143281406324109,0.22689056396484375
10002863.SH,C,3.351,20210120,0.5216,3.8,0.024929999999999997,0.42191780821917807,0.006972484309284654,0.22152042388916016
10002864.SH,C,3.45,20210120,0.4497,3.8,0.024929999999999997,0.42191780821917807,0.00268246887139655,0.21939659118652344
10002865.SH,C,3.549,20210120,0.3793,3.8,0.024929999999999997,0.42191780821917807,0.003766633969481919,0.2206745147705078
10002866.SH,C,3.647,20210120,0.3159,3.8,0.024929999999999997,0.42191780821917807,0.004032401933265342,0.22002315521240234
10002867.SH,C,3.746,20210120,0.2608,3.8,0.024929999999999997,0.42191780821917807,0.003867381485623577,0.22091388702392578
10002895.SH,C,2.908,20210120,0.9249,3.8,0.024929999999999997,0.42191780821917807,0.0038247538174539675,0.24414825439453125
10003083.SH,C,4.0,20210120,0.0373,3.8,0.024929999999999997,0.0958904109589041,0.00233508529520983,0.2220306396484375
10002725.SH,C,2.908,20210120,0.8981,3.8,0.024929999999999997,0.1726027397260274,0.014481170991248545,0.314361572265625
10002726.SH,C,2.957,20210120,0.8494,3.8,0.024929999999999997,0.1726027397260274,0.01495561439757726,0.302947998046875
10002727.SH,C,3.056,20210120,0.7521,3.8,0.024929999999999997,0.1726027397260274,0.014229704604217413,0.2779693603515625
10002728.SH,C,3.154,20210120,0.6564,3.8,0.024929999999999997,0.1726027397260274,0.01380297231240107,0.25814056396484375
10002729.SH,C,3.253,20210120,0.5615,3.8,0.024929999999999997,0.1726027397260274,0.013994133590864861,0.24665069580078125
10002730.SH,C,3.351,20210120,0.4729,3.8,0.024929999999999997,0.1726027397260274,0.010053579576731258,0.2380828857421875
10002731.SH,C,3.45,20210120,0.3837,3.8,0.024929999999999997,0.1726027397260274,0.01131385613976508,0.22854232788085938
10002732.SH,C,3.549,20210120,0.3014,3.8,0.024929999999999997,0.1726027397260274,0.011963256104539062,0.2217578887939453
10002733.SH,C,3.647,20210120,0.2294,3.8,0.024929999999999997,0.1726027397260274,0.013064576098342126,0.21869468688964844
10002909.SH,C,3.844,20210120,0.1225,3.8,0.024929999999999997,0.1726027397260274,0.010995712851394886,0.22045135498046875
10002911.SH,C,3.844,20210120,0.2157,3.8,0.024929999999999997,0.42191780821917807,0.0026340980885504266,0.2232818603515625
10003085.SH,C,4.1,20210120,0.0007,3.8,0.024929999999999997,0.019178082191780823,0.025525795210528883,0.2510986328125
10003087.SH,C,4.1,20210120,0.022,3.8,0.024929999999999997,0.0958904109589041,0.0049123023830223945,0.23120880126953125
10003089.SH,C,4.1,20210120,0.049,3.8,0.024929999999999997,0.1726027397260274,0.011147243692381533,0.23291778564453125
10003091.SH,C,4.1,20210120,0.1239,3.8,0.024929999999999997,0.42191780821917807,0.003994833258955488,0.22862625122070312
10003045.SH,C,3.1,20210120,0.7051,3.8,0.024929999999999997,0.0958904109589041,0.013735917843253176,0.32550048828125
10003046.SH,C,3.2,20210120,0.609,3.8,0.024929999999999997,0.0958904109589041,0.004503417802048613,0.28765869140625
10003047.SH,C,3.3,20210120,0.5097,3.8,0.024929999999999997,0.0958904109589041,0.007081170872704532,0.2606658935546875
10003048.SH,C,3.4,20210120,0.415,3.8,0.024929999999999997,0.0958904109589041,0.002520055140410896,0.24304962158203125
10003049.SH,C,3.5,20210120,0.3173,3.8,0.024929999999999997,0.0958904109589041,0.014436887781895303,0.22420501708984375
10003050.SH,C,3.6,20210120,0.234,3.8,0.024929999999999997,0.0958904109589041,0.003830992449039549,0.21311378479003906
10003051.SH,C,3.7,20210120,0.158,3.8,0.024929999999999997,0.0958904109589041,0.0058593841767065015,0.20605850219726562
10003052.SH,C,3.8,20210120,0.1014,3.8,0.024929999999999997,0.0958904109589041,-7.345840146886624e-05,0.20644760131835938
10003053.SH,C,3.9,20210120,0.0614,3.8,0.024929999999999997,0.0958904109589041,0.004973973872620892,0.21267127990722656
10003109.SH,C,4.3,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.025465376872760816,0.3311767578125
10003111.SH,C,4.3,20210120,0.0087,3.8,0.024929999999999997,0.0958904109589041,0.008420571210102111,0.25690460205078125
10003113.SH,C,4.3,20210120,0.0261,3.8,0.024929999999999997,0.1726027397260274,0.008640640743170556,0.2523345947265625
10003115.SH,C,4.3,20210120,0.0795,3.8,0.024929999999999997,0.42191780821917807,0.003927769578027999,0.2342815399169922
10002913.SH,C,3.056,20210120,0.744,3.8,0.024929999999999997,0.019178082191780823,0.02279351849258277,0.56201171875
10002914.SH,C,3.154,20210120,0.646,3.8,0.024929999999999997,0.019178082191780823,0.023436581408257603,0.487060546875
10002915.SH,C,3.253,20210120,0.547,3.8,0.024929999999999997,0.019178082191780823,0.0268319154229099,0.44384765625
10002916.SH,C,3.351,20210120,0.449,3.8,0.024929999999999997,0.019178082191780823,0.028847949888282935,0.377197265625
10002917.SH,C,3.45,20210120,0.35,3.8,0.024929999999999997,0.019178082191780823,0.03361668360727687,0.31793212890625
10002918.SH,C,3.549,20210120,0.251,3.8,0.024929999999999997,0.019178082191780823,0.037012680595725274,0.243408203125
10002919.SH,C,3.647,20210120,0.1542,3.8,0.024929999999999997,0.019178082191780823,0.04589560041108152,0.1934967041015625
10002920.SH,C,3.746,20210120,0.0699,3.8,0.024929999999999997,0.019178082191780823,0.014966742182803586,0.17353057861328125
10002921.SH,C,3.844,20210120,0.0178,3.8,0.024929999999999997,0.019178082191780823,0.025218732974610837,0.168701171875
10002967.SH,C,3.1,20210120,0.7,3.8,0.024929999999999997,0.019178082191780823,0.023082239636969867,0.527587890625
10002968.SH,C,3.2,20210120,0.6,3.8,0.024929999999999997,0.019178082191780823,0.023738430001609693,0.45263671875
10002969.SH,C,3.3,20210120,0.5,3.8,0.024929999999999997,0.019178082191780823,0.027140346044790667,0.4073486328125
10002970.SH,C,3.4,20210120,0.4,3.8,0.024929999999999997,0.019178082191780823,0.029169517690729934,0.33856201171875
10002971.SH,C,3.5,20210120,0.3,3.8,0.024929999999999997,0.019178082191780823,0.03531793615545813,0.28118896484375
10002972.SH,C,3.6,20210120,0.2014,3.8,0.024929999999999997,0.019178082191780823,0.029109095130812758,0.221771240234375
10002973.SH,C,3.7,20210120,0.1062,3.8,0.024929999999999997,0.019178082191780823,0.03663063314416308,0.18151092529296875
10002974.SH,C,3.8,20210120,0.0346,3.8,0.024929999999999997,0.019178082191780823,0.024929999999998762,0.1649017333984375
10002975.SH,C,3.9,20210120,0.0074,3.8,0.024929999999999997,0.019178082191780823,0.028331993787282662,0.18048095703125
10002985.SH,C,3.1,20210120,0.7139,3.8,0.024929999999999997,0.1726027397260274,0.007033794939789721,0.2728271484375
10002986.SH,C,3.2,20210120,0.6134,3.8,0.024929999999999997,0.1726027397260274,0.012271091030409038,0.25482940673828125
10002987.SH,C,3.3,20210120,0.5206,3.8,0.024929999999999997,0.1726027397260274,0.009108291660520016,0.24313735961914062
10002988.SH,C,3.4,20210120,0.4256,3.8,0.024929999999999997,0.1726027397260274,0.01511172726423804,0.23329544067382812
10002989.SH,C,3.5,20210120,0.3425,3.8,0.024929999999999997,0.1726027397260274,0.008434520256870748,0.2238006591796875
10002990.SH,C,3.6,20210120,0.2599,3.8,0.024929999999999997,0.1726027397260274,0.016577481177130364,0.2183971405029297
10002991.SH,C,3.7,20210120,0.1959,3.8,0.024929999999999997,0.1726027397260274,0.014023634370504466,0.2195415496826172
10002992.SH,C,3.8,20210120,0.1414,3.8,0.024929999999999997,0.1726027397260274,0.012693175002521066,0.21888160705566406
10002993.SH,C,3.9,20210120,0.1001,3.8,0.024929999999999997,0.1726027397260274,0.013196476947443615,0.22235107421875
10003003.SH,C,3.1,20210120,0.7435,3.8,0.024929999999999997,0.42191780821917807,0.004330180130409428,0.23061370849609375
10003004.SH,C,3.2,20210120,0.6549,3.8,0.024929999999999997,0.42191780821917807,0.003546941760914613,0.22702407836914062
10003005.SH,C,3.3,20210120,0.5688,3.8,0.024929999999999997,0.42191780821917807,0.0035758812079799414,0.22381019592285156
10003006.SH,C,3.4,20210120,0.4891,3.8,0.024929999999999997,0.42191780821917807,0.0028553382267547094,0.22211074829101562
10003007.SH,C,3.5,20210120,0.4112,3.8,0.024929999999999997,0.42191780821917807,0.005008445567335577,0.22017765045166016
10003008.SH,C,3.6,20210120,0.3456,3.8,0.024929999999999997,0.42191780821917807,0.0036627016693496703,0.22019100189208984
10003009.SH,C,3.7,20210120,0.2851,3.8,0.024929999999999997,0.42191780821917807,0.00425393078894381,0.22040271759033203
10003010.SH,C,3.8,20210120,0.2349,3.8,0.024929999999999997,0.42191780821917807,0.004157912868391122,0.22288990020751953
10003011.SH,C,3.9,20210120,0.1923,3.8,0.024929999999999997,0.42191780821917807,0.0029999967769435013,0.22489643096923828
10003101.SH,C,4.2,20210120,0.0005,3.8,0.024929999999999997,0.019178082191780823,0.049526024643027626,0.30609130859375
10003103.SH,C,4.2,20210120,0.0139,3.8,0.024929999999999997,0.0958904109589041,0.0009010400964878696,0.24403762817382812
10003105.SH,C,4.2,20210120,0.035,3.8,0.024929999999999997,0.1726027397260274,0.010581110286143886,0.2414417266845703
10003107.SH,C,4.2,20210120,0.1001,3.8,0.024929999999999997,0.42191780821917807,0.003648940912140417,0.2320728302001953
10002761.SH,C,2.859,20210120,0.9467,3.8,0.024929999999999997,0.1726027397260274,0.014006766434019643,0.32275390625
10003023.SH,C,4.0,20210120,0.0018,3.8,0.024929999999999997,0.019178082191780823,0.022123984499159127,0.210205078125
10003025.SH,C,4.0,20210120,0.0705,3.8,0.024929999999999997,0.1726027397260274,0.013394179795252939,0.22806358337402344
10003027.SH,C,4.0,20210120,0.155,3.8,0.024929999999999997,0.42191780821917807,0.0029040296408883704,0.2263774871826172
10003040.SH,P,3.0,20210120,0.0002,3.8,0.024929999999999997,0.019178082191780823,0.022426057530047463,0.605224609375
10003042.SH,P,3.0,20210120,0.0035,3.8,0.024929999999999997,0.1726027397260274,0.01370938687015769,0.288116455078125
10003044.SH,P,3.0,20210120,0.0117,3.8,0.024929999999999997,0.42191780821917807,0.0034890639268215598,0.23515701293945312
10002768.SH,P,3.746,20210120,0.1069,3.8,0.024929999999999997,0.1726027397260274,0.014325507876504941,0.2168121337890625
10002868.SH,P,2.957,20210120,0.0104,3.8,0.024929999999999997,0.42191780821917807,0.003582810528815859,0.24059295654296875
10002869.SH,P,3.056,20210120,0.015,3.8,0.024929999999999997,0.42191780821917807,0.003480284049251196,0.23296737670898438
10002870.SH,P,3.154,20210120,0.023,3.8,0.024929999999999997,0.42191780821917807,0.0020599163961529227,0.2305755615234375
10002871.SH,P,3.253,20210120,0.0343,3.8,0.024929999999999997,0.42191780821917807,0.004143281406324109,0.22689056396484375
10002872.SH,P,3.351,20210120,0.0487,3.8,0.024929999999999997,0.42191780821917807,0.006972484309284654,0.22152042388916016
10002873.SH,P,3.45,20210120,0.0679,3.8,0.024929999999999997,0.42191780821917807,0.00268246887139655,0.21939659118652344
10002874.SH,P,3.549,20210120,0.0972,3.8,0.024929999999999997,0.42191780821917807,0.003766633969481919,0.2206745147705078
10002875.SH,P,3.647,20210120,0.1312,3.8,0.024929999999999997,0.42191780821917807,0.004032401933265342,0.22002315521240234
10002876.SH,P,3.746,20210120,0.1738,3.8,0.024929999999999997,0.42191780821917807,0.003867381485623577,0.22091388702392578
10002896.SH,P,2.908,20210120,0.0086,3.8,0.024929999999999997,0.42191780821917807,0.0038247538174539675,0.24414825439453125
10003084.SH,P,4.0,20210120,0.2286,3.8,0.024929999999999997,0.0958904109589041,0.00233508529520983,0.2220306396484375
