,k,7,35,63,154
0,2.859,,,0.32275390625,
1,2.908,,,0.314361572265625,0.24414825439453125
2,2.957,,,0.302947998046875,0.24059295654296875
3,3.0,0.605224609375,,0.288116455078125,0.23515701293945312
4,3.056,0.56201171875,,0.2779693603515625,0.23296737670898438
5,3.1,0.527587890625,0.32550048828125,0.2728271484375,0.23061370849609375
6,3.154,0.487060546875,,0.25814056396484375,0.2305755615234375
7,3.2,0.45263671875,0.28765869140625,0.25482940673828125,0.22702407836914062
8,3.253,0.44384765625,,0.24665069580078125,0.22689056396484375
9,3.3,0.4073486328125,0.2606658935546875,0.24313735961914062,0.22381019592285156
10,3.351,0.377197265625,,0.2380828857421875,0.22152042388916016
11,3.4,0.33856201171875,0.24304962158203125,0.23329544067382812,0.22211074829101562
12,3.45,0.31793212890625,,0.22854232788085938,0.21939659118652344
13,3.5,0.28118896484375,0.22420501708984375,0.2238006591796875,0.22017765045166016
14,3.549,0.243408203125,,0.2217578887939453,0.2206745147705078
15,3.6,0.221771240234375,0.21311378479003906,0.2183971405029297,0.22019100189208984
16,3.647,0.1934967041015625,,0.21869468688964844,0.22002315521240234
17,3.7,0.18151092529296875,0.20605850219726562,0.2195415496826172,0.22040271759033203
18,3.746,0.17353057861328125,,0.2168121337890625,0.22091388702392578
19,3.8,0.1649017333984375,0.20644760131835938,0.21888160705566406,0.22288990020751953
20,3.844,0.168701171875,,0.22045135498046875,0.2232818603515625
21,3.9,0.18048095703125,0.21267127990722656,0.22235107421875,0.22489643096923828
22,4.0,0.210205078125,0.2220306396484375,0.22806358337402344,0.2263774871826172
23,4.1,0.2510986328125,0.23120880126953125,0.23291778564453125,0.22862625122070312
24,4.2,0.30609130859375,0.24403762817382812,0.2414417266845703,0.2320728302001953
25,4.3,0.3311767578125,0.25690460205078125,0.2523345947265625,0.2342815399169922
