,ts_code,call_put,k,trade_date,c,s,r,t,ts_code_p,call_put_p,c_p
0,10003039.SH,C,3.0,20210120,0.8,3.8,0.024929999999999997,0.019178082191780823,10003040.SH,P,0.0002
1,10003041.SH,C,3.0,20210120,0.8074,3.8,0.024929999999999997,0.1726027397260274,10003042.SH,P,0.0035
2,10003043.SH,C,3.0,20210120,0.8375,3.8,0.024929999999999997,0.42191780821917807,10003044.SH,P,0.0117
3,10002767.SH,C,3.746,20210120,0.1676,3.8,0.024929999999999997,0.1726027397260274,10002768.SH,P,0.1069
4,10002859.SH,C,2.957,20210120,0.8786,3.8,0.024929999999999997,0.42191780821917807,10002868.SH,P,0.0104
5,10002860.SH,C,3.056,20210120,0.7854,3.8,0.024929999999999997,0.42191780821917807,10002869.SH,P,0.015
6,10002861.SH,C,3.154,20210120,0.6987,3.8,0.024929999999999997,0.42191780821917807,10002870.SH,P,0.023
7,10002862.SH,C,3.253,20210120,0.6087,3.8,0.024929999999999997,0.42191780821917807,10002871.SH,P,0.0343
8,10002863.SH,C,3.351,20210120,0.5216,3.8,0.024929999999999997,0.42191780821917807,10002872.SH,P,0.0487
9,10002864.SH,C,3.45,20210120,0.4497,3.8,0.024929999999999997,0.42191780821917807,10002873.SH,P,0.0679
10,10002865.SH,C,3.549,20210120,0.3793,3.8,0.024929999999999997,0.42191780821917807,10002874.SH,P,0.0972
11,10002866.SH,C,3.647,20210120,0.3159,3.8,0.024929999999999997,0.42191780821917807,10002875.SH,P,0.1312
12,10002867.SH,C,3.746,20210120,0.2608,3.8,0.024929999999999997,0.42191780821917807,10002876.SH,P,0.1738
13,10002895.SH,C,2.908,20210120,0.9249,3.8,0.024929999999999997,0.42191780821917807,10002896.SH,P,0.0086
14,10003083.SH,C,4.0,20210120,0.0373,3.8,0.024929999999999997,0.0958904109589041,10003084.SH,P,0.2286
15,10002725.SH,C,2.908,20210120,0.8981,3.8,0.024929999999999997,0.1726027397260274,10002734.SH,P,0.0031
16,10002726.SH,C,2.957,20210120,0.8494,3.8,0.024929999999999997,0.1726027397260274,10002735.SH,P,0.0035
17,10002727.SH,C,3.056,20210120,0.7521,3.8,0.024929999999999997,0.1726027397260274,10002736.SH,P,0.0043
18,10002728.SH,C,3.154,20210120,0.6564,3.8,0.024929999999999997,0.1726027397260274,10002737.SH,P,0.0059
19,10002729.SH,C,3.253,20210120,0.5615,3.8,0.024929999999999997,0.1726027397260274,10002738.SH,P,0.0097
20,10002730.SH,C,3.351,20210120,0.4729,3.8,0.024929999999999997,0.1726027397260274,10002739.SH,P,0.0161
