time,amount
2304,22553300 
2303,30055000 
2302,14811700 
2301,12295000 
2212,23596000 
2211,19451700 
2210,21817900 
2209,12470000 
2208,10974700 
2207,3765000 
2206,2800000 
2205,3355000 
2204,6865000 
2203,4680000 
2202,7506600 
2201,26685000 
2112,22669200 
2111,35612500 
2110,33908500 
2109,47124000 
2108,58385000 
2107,53518000 
2106,56670000 
2105,55369000 
2104,63219000 
2103,55089000 
2102,87805000 
2101,72257000 
2012,76700000 
2011,38067000 
2010,57643000 
2009,48784100 
2008,57531000 
2007,77187000 
2006,62165000 
2005,82368000 
2004,78369000 
2003,30619000 
2002,38135100 
2001,39964000 
1912,44255000 
1911,42135000 
1910,40925000 
1909,46900000 
1908,54346000 
1907,41808000 
1906,49913000 
1905,48998000 
1904,46437000 
1903,29475000 
1902,44151000 
1901,31164000 
1812,41105000 
1811,28087000 
1810,27435000 
1809,43570000 
1808,38560000 
1807,38323000 
1806,48351000 
1805,44532000 
1804,41648500 
1803,22807500 
1802,54300500 
1801,36556300 
1712,31453500 
1711,31173000 
1710,29526500 
1709,44225300 
1708,31421000 
1707,33176200 
1706,42976500 
1705,27684900 
1704,50707600 
1703,29462000 
1702,30789600 
1701,37850700 
1612,39946200 
1611,23854000 
1610,23252600 
1609,29130500 
1608,23222500 
1607,27078500 
1606,24979600 
1605,31711400 
1604,18299600 
1603,19509700 
1602,36678100 
1601,23979900 
1512,27616800 
1511,18467100 
1510,17518000 
1509,38689900 
1508,23793900 
1507,28201400 
1506,24616000 
1505,33145900 
1504,37718400 
1503,23971600 
