time,buy
150215,3.1973
150216,3.2000
150217,3.1994
150225,3.2688
150226,3.3598
150227,3.3810
150228,3.3804
150302,3.3914
150303,3.4300
150304,3.4419
150305,3.5498
150306,3.5948
150309,3.6663
150310,3.6353
150311,3.5298
150312,3.5285
150313,3.5957
150316,3.7481
150317,3.6517
150318,3.6591
150319,3.5302
150320,3.4188
150323,3.4448
150324,3.4131
150325,3.4081
150326,3.5150
150327,3.5323
150330,3.5679
150331,3.5659
150401,3.3800
150402,3.3296
150403,3.2771
150407,3.1803
150408,3.1656
150409,3.0981
150410,3.0835
150413,3.0981
150414,3.0785
150415,3.0128
150416,3.0104
150417,3.0071
150420,2.7536
150421,2.6459
150422,2.6798
150423,2.7004
150424,2.6806
150427,2.5654
150428,2.5454
150429,2.5789
150430,2.5338
150504,2.5061
150505,2.5371
150506,2.5960
150507,2.5591
150508,2.4977
150511,2.4409
150512,2.3429
150513,2.2583
150514,2.2107
150515,2.2048
150518,2.2667
150519,2.3111
150520,2.2909
150521,2.3223
150522,2.3052
150525,2.3578
150526,2.4029
150527,2.3877
150528,2.4336
150529,2.4315
150601,2.4064
150602,2.3729
150603,2.4078
150604,2.4525
150605,2.3785
150608,2.3636
150609,2.3746
150610,2.4157
150611,2.4250
150612,2.4267
150615,2.5124
150616,2.5150
150617,2.5567
150618,2.5292
150619,2.5439
150623,2.5963
150624,2.6157
150625,2.5219
150626,2.5103
150629,2.4417
150630,2.3838
150701,2.4413
150702,2.4794
150703,2.4775
150706,2.4150
150707,2.3991
150708,2.4500
150709,2.4550
150710,2.4581
150713,2.4786
150714,2.5714
150715,2.5570
150716,2.5019
150717,2.4925
150720,2.4702
150721,2.5191
150722,2.5473
150723,2.5435
150724,2.5415
150727,2.5415
150728,2.5077
150729,2.4994
150730,2.5114
150731,2.5411
150803,2.5219
150804,2.5188
150805,2.5037
150806,2.4516
150807,2.4772
150810,2.4889
150811,2.5467
150812,2.5369
150813,2.5406
150814,2.5331
150817,2.5725
150818,2.5714
150819,2.5714
150820,2.5943
150821,2.5690
150824,2.5756
150825,2.5703
150826,2.4694
150827,2.4133
150828,2.4263
150831,2.4194
150901,2.4223
150902,2.4511
150906,2.4331
150907,2.4570
150908,2.4658
150909,2.4644
150910,2.4719
150911,2.4633
150914,2.4525
150915,2.4533
150916,2.4634
150917,2.4685
150918,2.4663
150921,2.4683
150922,2.4706
150923,2.4723
150924,2.4743
150925,2.4706
150928,2.4698
150929,2.4600
150930,2.4625
151008,2.4625
