time,buy
150209,4.3500
150210,4.3400
150211,4.5000
150212,4.7000
150213,4.6800
150215,4.6900
150216,4.8000
150217,4.7900
150225,4.8300
150226,4.9000
150227,4.7500
150228,4.9900
150302,4.9600
150303,4.7300
150304,4.7300
150305,4.7400
150306,4.8000
150309,4.8100
150310,4.8000
150311,4.6700
150312,4.8500
150313,4.8030
150316,4.7500
150317,4.6500
150318,4.6200
150319,4.4800
150320,4.2500
150323,4.1300
150324,4.0000
150325,3.9400
150326,3.8800
150327,3.8900
150330,3.9500
150331,4.0000
150401,3.8000
150402,3.6700
150403,3.4200
150407,3.2700
150408,3.1200
150409,3.0900
150410,3.0000
150413,2.9600
150414,3.0000
150415,3.0000
150416,3.0300
150417,2.9300
150420,2.8100
150421,2.6400
150422,2.6100
150423,2.5700
150424,2.6000
150427,2.4700
150428,2.4800
150429,2.5100
150430,2.4500
150504,2.4300
150505,2.5200
150506,2.5000
150507,2.4000
150508,2.3700
150511,2.3500
150512,2.1600
150513,2.0900
150514,2.0000
150515,1.9200
150518,2.0000
150519,1.9100
150520,1.9800
150521,1.9900
150522,2.0100
150525,2.0058
150526,1.9700
150527,2.0000
150528,2.0300
150529,2.0800
150601,2.0100
150602,2.2500
150603,2.2200
150604,2.2300
150605,2.0600
150608,2.0600
150609,2.0800
150610,2.1200
150611,2.1000
150612,2.2200
150615,2.2402
150616,2.3000
150617,2.4100
150618,2.7000
150619,2.7300
150623,2.8600
150624,2.8700
150625,3.0200
150626,3.0000
150629,2.7500
150630,2.5600
150701,2.7500
150702,2.8700
150703,2.9000
150706,2.7800
150707,2.6000
150708,2.6100
150709,2.5700
150710,2.5800
150713,2.5800
150714,2.5500
150715,2.5000
150716,2.5000
150717,2.5300
150720,2.4000
150721,2.4500
150722,2.5000
150723,2.5600
150724,2.5300
150727,2.5200
150728,2.4400
150729,2.4600
150730,2.4800
150731,2.4700
150803,2.4500
150804,2.4300
150805,2.4100
150806,2.3000
150807,2.4400
150810,2.4200
150811,2.4000
150812,2.4400
150813,2.4500
150814,2.4800
150817,2.4800
150818,2.4900
150819,2.5200
150820,2.5900
150821,2.5600
150824,2.5300
150825,2.5600
150826,2.3900
150827,2.3300
150828,2.3800
150831,2.4200
150901,2.4000
150902,2.4800
150906,2.3700
150907,2.4000
150908,2.4100
150909,2.3800
150910,2.4300
