time,buy
150215,3.1688
150216,3.1713
150217,3.1654
150225,3.2421
150226,3.3296
150227,3.3541
150228,3.3528
150302,3.3638
150303,3.4008
150304,3.4138
150305,3.5217
150306,3.5696
150309,3.6404
150310,3.6071
150311,3.4983
150312,3.4955
150313,3.5655
150316,3.7238
150317,3.6219
150318,3.6345
150319,3.5000
150320,3.3913
150323,3.4142
150324,3.3850
150325,3.3817
150326,3.4850
150327,3.5030
150330,3.5383
150331,3.5356
150401,3.3479
150402,3.2987
150403,3.2475
150407,3.1523
150408,3.1371
150409,3.0671
150410,3.0541
150413,3.0677
150414,3.0489
150415,2.9830
150416,2.9811
150417,2.9800
150420,2.7200
150421,2.6198
150422,2.6508
150423,2.6746
150424,2.6429
150427,2.5272
150428,2.5141
150429,2.5416
150430,2.5058
150504,2.4748
150505,2.5088
150506,2.5614
150507,2.5267
150508,2.4617
150511,2.4113
150512,2.3102
150513,2.2233
150514,2.1780
150515,2.1771
150518,2.2330
150519,2.2759
150520,2.2589
150521,2.2908
150522,2.2696
150525,2.3288
150526,2.3690
150527,2.3594
150528,2.4075
150529,2.4042
150601,2.3719
150602,2.3425
150603,2.3782
150604,2.4229
150605,2.3500
150608,2.3413
150609,2.3456
150610,2.3824
150611,2.3950
150612,2.3942
150615,2.4800
150616,2.4819
150617,2.5259
150618,2.4963
150619,2.5091
150623,2.5638
150624,2.5822
150625,2.4884
150626,2.4828
150629,2.4081
150630,2.3516
150701,2.4100
150702,2.4475
150703,2.4463
150706,2.3875
150707,2.3666
150708,2.4238
150709,2.4241
150710,2.4288
150713,2.4475
150714,2.5413
150715,2.5253
150716,2.4730
150717,2.4675
150720,2.4433
150721,2.4911
150722,2.5225
150723,2.5143
150724,2.5130
150727,2.5140
150728,2.4775
150729,2.4692
150730,2.4829
150731,2.5171
150803,2.4938
150804,2.4896
150805,2.4744
150806,2.4313
150807,2.4531
150810,2.4600
150811,2.5159
150812,2.5038
150813,2.5125
150814,2.5063
150817,2.5425
150818,2.5429
150819,2.5429
150820,2.5630
150821,2.5409
150824,2.5463
150825,2.5406
150826,2.4475
150827,2.3850
150828,2.3966
150831,2.3950
150901,2.3959
150902,2.4294
150906,2.4050
150907,2.4270
150908,2.4397
150909,2.4367
150910,2.4450
150911,2.4329
150914,2.4263
150915,2.4254
150916,2.4357
150917,2.4414
150918,2.4425
150921,2.4416
150922,2.4475
150923,2.4471
150924,2.4497
150925,2.4463
150928,2.4409
150929,2.4321
150930,2.4350
151008,2.4350
151009,2.4363
151010,2.4350
151012,2.4225
151013,2.3975
151014,2.3841
151015,2.3988
151016,2.4013
151019,2.3963
151020,2.3875
151021,2.3788
151022,2.3775
151023,2.3775
151026,2.2825
151027,2.2475
151028,2.2700
151029,2.2913
151030,2.2941
151102,2.2989
151103,2.3209
151104,2.3391
151105,2.3258
151106,2.3275
151109,2.3725
151110,2.3741
151111,2.3638
151112,2.3750
151113,2.3713
151116,2.3697
151117,2.3686
151118,2.3725
151119,2.3746
151120,2.3425
151123,2.3539
151124,2.3510
151125,2.3529
151126,2.3463
151127,2.3475
151130,2.3475
151201,2.3413
151202,2.3284
151203,2.2991
151204,2.2975
151207,2.2938
151208,2.2975
151209,2.2925
151210,2.2938
151211,2.2913
151214,2.3050
151215,2.3050
151216,2.3013
151217,2.3050
151218,2.2938
151221,2.2950
151222,2.2888
151223,2.2913
151224,2.2731
151225,2.2694
151228,2.2746
151229,2.2850
151230,2.2925
151231,2.2909
160104,2.3103
160105,2.3175
160106,2.3075
160107,2.3025
160108,2.2550
160111,2.2344
160112,2.2044
160113,2.1978
160114,2.2159
160115,2.2213
160118,2.2429
160119,2.2494
160120,2.2694
160121,2.2738
160122,2.2691
160125,2.3096
160126,2.3000
160127,2.3291
160128,2.3238
160129,2.2622
160201,2.2678
160202,2.3075
160203,2.3025
160204,2.2850
160205,2.2781
160206,2.2733
160214,2.2694
160215,2.2700
160216,2.2879
160217,2.3004
160218,2.2750
160219,2.2775
160222,2.2788
160223,2.2800
160224,2.2950
160225,2.2948
160226,2.2875
160229,2.2925
160301,2.2663
160302,2.2788
160303,2.2791
160304,2.2794
160307,2.2813
160308,2.2840
160309,2.2713
160310,2.2688
160311,2.2589
160314,2.2600
160315,2.2625
160316,2.2500
160317,2.2489
160318,2.2500
160321,2.2588
160322,2.2625
160323,2.2613
160324,2.2610
160325,2.2619
160328,2.2829
160329,2.2830
160330,2.2834
160331,2.2888
160401,2.2859
160405,2.2888
160406,2.2971
160407,2.3159
160408,2.3150
160411,2.3163
160412,2.3266
160413,2.3766
160414,2.3996
160415,2.3775
160418,2.3746
160419,2.3913
160420,2.4479
160421,2.4688
160422,2.4913
160425,2.5979
160426,2.5775
160427,2.5884
160428,2.6196
160429,2.6425
160503,2.5088
160504,2.4925
160505,2.4963
160509,2.4638
160510,2.4734
160511,2.4933
160512,2.4950
160513,2.5063
160516,2.5438
