,time,val,per,base,buy,sell,avg
0,150215,3.2053,0.003160991,4.69,3.1688,3.2259,3.1973
1,150216,3.1944,-0.003400618,4.8,3.1713,3.2288,3.2
2,150217,3.1971,0.000845229,4.79,3.1654,3.2334,3.1994
3,150225,3.26,0.01967408,4.83,3.2421,3.2954,3.2688
4,150226,3.3429,0.025429448,4.9,3.3296,3.39,3.3598
5,150227,3.389,0.013790421,4.75,3.3541,3.4079,3.381
6,150228,3.3787,-0.003039245,4.99,3.3528,3.4081,3.3804
7,150302,3.374,-0.001391068,4.96,3.3638,3.4191,3.3914
8,150303,3.4501,0.022554831,4.73,3.4008,3.4591,3.43
9,150304,3.4403,-0.002840497,4.73,3.4138,3.47,3.4419
10,150305,3.5196,0.023050315,4.74,3.5217,3.5779,3.5498
11,150306,3.6192,0.02829867,4.8,3.5696,3.62,3.5948
12,150309,3.6581,0.010748232,4.81,3.6404,3.6921,3.6663
13,150310,3.6973,0.010715945,4.8,3.6071,3.6634,3.6353
14,150311,3.5413,-0.042192952,4.67,3.4983,3.5612,3.5298
15,150312,3.5299,-0.003219157,4.85,3.4955,3.5615,3.5285
16,150313,3.5864,0.016006119,4.803,3.5655,3.6258,3.5957
17,150316,3.7104,0.034575061,4.75,3.7238,3.7725,3.7481
18,150318,3.6305,-0.021534066,4.62,3.6345,3.6838,3.6591
19,150319,3.5749,-0.015314695,4.48,3.5,3.5605,3.5302
20,150320,3.4371,-0.038546533,4.25,3.3913,3.4463,3.4188
21,150323,3.4325,-0.001338338,4.13,3.4142,3.4754,3.4448
22,150325,3.3817,-0.014799709,3.94,3.3817,3.4345,3.4081
23,150326,3.4574,0.022385191,3.88,3.485,3.545,3.515
24,150327,3.555,0.028229305,3.89,3.503,3.5616,3.5323
25,150330,3.5741,0.005372714,3.95,3.5383,3.5975,3.5679
26,150331,3.6076,0.009372989,4,3.5356,3.5963,3.5659
27,150401,3.4181,-0.052527996,3.8,3.3479,3.412,3.38
28,150402,3.3304,-0.025657529,3.67,3.2987,3.3605,3.3296
29,150403,3.2685,-0.018586356,3.42,3.2475,3.3066,3.2771
30,150407,3.1923,-0.023313447,3.27,3.1523,3.2083,3.1803
31,150408,3.1499,-0.01328196,3.12,3.1371,3.1942,3.1656
32,150409,3.0985,-0.016317978,3.09,3.0671,3.1291,3.0981
33,150410,3.0816,-0.005454252,3,3.0541,3.1129,3.0835
34,150414,3.0718,-0.003180166,3,3.0489,3.1081,3.0785
35,150415,3.0145,-0.018653558,3,2.983,3.0427,3.0128
36,150416,3.0017,-0.004246144,3.03,2.9811,3.0397,3.0104
37,150417,3.0078,0.002032182,2.93,2.98,3.0341,3.0071
38,150420,2.8205,-0.062271428,2.81,2.72,2.7871,2.7536
39,150421,2.645,-0.06222301,2.64,2.6198,2.6721,2.6459
40,150422,2.6742,0.011039698,2.61,2.6508,2.7088,2.6798
41,150423,2.7168,0.015929998,2.57,2.6746,2.7262,2.7004
42,150427,2.5758,-0.051899293,2.47,2.5272,2.6036,2.5654
43,150428,2.5477,-0.010909232,2.48,2.5141,2.5767,2.5454
44,150429,2.5886,0.016053695,2.51,2.5416,2.6163,2.5789
45,150430,2.9514,0.140152978,2.45,2.5058,2.5617,2.5338
46,150504,2.4932,-0.155248357,2.43,2.4748,2.5374,2.5061
47,150505,2.5279,0.013917857,2.52,2.5088,2.5654,2.5371
48,150506,2.5886,0.024012026,2.5,2.5614,2.6307,2.596
49,150507,2.5666,-0.008498802,2.4,2.5267,2.5914,2.5591
50,150508,2.5227,-0.01710434,2.37,2.4617,2.5338,2.4977
51,150511,2.4476,-0.029769691,2.35,2.4113,2.4706,2.4409
52,150512,2.3632,-0.034482759,2.16,2.3102,2.3755,2.3429
53,150513,2.2815,-0.034571767,2.09,2.2233,2.2932,2.2583
54,150514,2.2037,-0.034100373,2,2.178,2.2433,2.2107
55,150515,2.1962,-0.003403367,1.92,2.1771,2.2325,2.2048
56,150518,2.2463,0.02281213,2,2.233,2.3003,2.2667
57,150519,2.3114,0.028980991,1.91,2.2759,2.3463,2.3111
58,150520,2.2903,-0.009128667,1.98,2.2589,2.323,2.2909
59,150521,2.3142,0.010435314,1.99,2.2908,2.3538,2.3223
60,150522,2.3198,0.002419843,2.01,2.2696,2.3408,2.3052
61,150525,2.3403,0.008836969,2.0058,2.3288,2.3869,2.3578
62,150526,2.4014,0.026107764,1.97,2.369,2.4369,2.4029
63,150527,2.39,-0.004747231,2,2.3594,2.416,2.3877
64,150528,2.4235,0.014016736,2.03,2.4075,2.4596,2.4336
65,150529,2.4364,0.00532288,2.08,2.4042,2.4588,2.4315
66,150601,2.3967,0.011265823,2.01,2.3719,2.441,2.4064
67,150602,2.3726,-0.010055493,2.25,2.3425,2.4034,2.3729
68,150603,2.4093,0.015468263,2.22,2.3782,2.4375,2.4078
69,150604,2.4644,0.022869713,2.23,2.4229,2.4821,2.4525
70,150605,2.391,-0.029784126,2.06,2.35,2.407,2.3785
71,150608,2.3581,-0.013759933,2.06,2.3413,2.3859,2.3636
72,150609,2.3667,0.003647004,2.08,2.3456,2.4037,2.3746
73,150610,2.4053,0.016309629,2.12,2.3824,2.4489,2.4157
74,150611,2.436,0.012763481,2.1,2.395,2.455,2.425
75,150612,2.4419,0.002422003,2.22,2.3942,2.4592,2.4267
76,150615,2.4833,0.016954011,2.2402,2.48,2.5447,2.5124
77,150616,2.5146,0.012604196,2.3,2.4819,2.5481,2.515
78,150617,2.5533,0.015390122,2.41,2.5259,2.5875,2.5567
79,150618,2.5597,0.00250656,2.7,2.4963,2.5621,2.5292
80,150619,2.5455,-0.005547525,2.73,2.5091,2.5788,2.5439
81,150623,2.5901,0.017521116,2.86,2.5638,2.6288,2.5963
82,150624,2.6529,0.024246168,2.87,2.5822,2.6492,2.6157
83,150625,2.5234,-0.048814505,3.02,2.4884,2.5554,2.5219
84,150626,2.5086,-0.005865103,3,2.4828,2.5378,2.5103
85,150629,2.4329,-0.030176194,2.75,2.4081,2.4752,2.4417
86,150630,2.4792,0.019030786,2.56,2.3516,2.4159,2.3838
87,150701,2.4163,-0.025371087,2.75,2.41,2.4725,2.4413
88,150702,2.4659,0.020527252,2.87,2.4475,2.5113,2.4794
89,150703,2.5022,0.014720792,2.9,2.4463,2.5088,2.4775
90,150706,2.4231,-0.031612181,2.78,2.3875,2.4425,2.415
91,150707,2.412,-0.004580909,2.6,2.3666,2.4316,2.3991
92,150708,2.416,0.001658375,2.61,2.4238,2.4763,2.45
93,150709,2.4454,0.012168874,2.57,2.4241,2.4859,2.455
94,150710,2.4661,0.008464873,2.58,2.4288,2.4875,2.4581
95,150713,2.4745,0.003406188,2.58,2.4475,2.5097,2.4786
96,150714,2.549,0.030107092,2.55,2.5413,2.6016,2.5714
97,150715,2.5678,0.007375441,2.5,2.5253,2.5887,2.557
98,150716,2.4929,-0.029168938,2.5,2.473,2.5307,2.5019
99,150720,2.4666,-0.010549962,2.4,2.4433,2.497,2.4702
100,150721,2.5142,0.019297819,2.45,2.4911,2.547,2.5191
101,150722,2.5455,0.012449288,2.5,2.5225,2.5721,2.5473
102,150723,2.5518,0.002474956,2.56,2.5143,2.5727,2.5435
103,150724,2.541,-0.004232307,2.53,2.513,2.57,2.5415
104,150727,2.5475,0.002558048,2.52,2.514,2.569,2.5415
105,150729,2.491,-0.022178606,2.46,2.4692,2.5297,2.4994
106,150730,2.5085,0.007025291,2.48,2.4829,2.54,2.5114
107,150731,2.5444,0.014311341,2.47,2.5171,2.565,2.5411
108,150803,2.5162,-0.011083163,2.45,2.4938,2.55,2.5219
109,150804,2.5125,-0.001470471,2.43,2.4896,2.5479,2.5188
110,150805,2.4979,-0.005810945,2.41,2.4744,2.533,2.5037
111,150806,2.4643,-0.013451299,2.3,2.4313,2.4719,2.4516
112,150807,2.4724,0.003286937,2.44,2.4531,2.5013,2.4772
113,150810,2.4897,0.00699725,2.42,2.46,2.5179,2.4889
114,150811,2.5521,0.025063261,2.4,2.5159,2.5775,2.5467
115,150812,2.5554,0.001293053,2.44,2.5038,2.57,2.5369
116,150813,2.5373,-0.00708304,2.45,2.5125,2.5688,2.5406
117,150814,2.5636,0.010365349,2.48,2.5063,2.56,2.5331
118,150817,2.577,0.005227024,2.48,2.5425,2.6025,2.5725
119,150818,2.582,0.001940241,2.49,2.5429,2.6,2.5714
120,150820,2.5947,0.004918668,2.59,2.563,2.6256,2.5943
121,150824,2.5753,-0.00747678,2.53,2.5463,2.605,2.5756
122,150825,2.5686,-0.002601639,2.56,2.5406,2.6,2.5703
123,150827,2.4101,-0.061706766,2.33,2.385,2.4416,2.4133
124,150828,2.4231,0.005393967,2.38,2.3966,2.4559,2.4263
125,150831,2.5245,0.041847221,2.42,2.395,2.4438,2.4194
126,150901,2.42,-0.041394336,2.4,2.3959,2.4488,2.4223
127,150902,2.4395,0.008057851,2.48,2.4294,2.4729,2.4511
128,150906,2.4445,0.0020496,2.37,2.405,2.4613,2.4331
129,150908,2.4677,0.009490693,2.41,2.4397,2.4918,2.4658
130,150909,2.466,-0.000688901,2.38,2.4367,2.492,2.4644
131,150910,2.4755,0.003852393,2.43,2.445,2.4988,2.4719
132,150914,2.4451,-0.012280347,2.36,2.4263,2.4788,2.4525
133,150915,2.4572,0.004948673,2.37,2.4254,2.4813,2.4533
134,150917,2.4876,0.012371805,2.37,2.4414,2.4956,2.4685
135,150918,2.46,-0.011095031,2.4,2.4425,2.49,2.4663
136,150922,2.4752,0.006178862,2.37,2.4475,2.4938,2.4706
137,150923,2.4837,0.003434066,2.34,2.4471,2.4975,2.4723
138,150924,2.4797,-0.0016105,2.45,2.4497,2.4989,2.4743
139,150925,2.4742,-0.00221801,2.37,2.4463,2.495,2.4706
140,150928,2.4708,-0.001374182,2.35,2.4409,2.4988,2.4698
141,150929,2.4588,-0.004856727,2.51,2.4321,2.4879,2.46
142,150930,2.4642,0.002196193,2.36,2.435,2.49,2.4625
143,151008,2.4576,-0.002678354,2.37,2.435,2.49,2.4625
144,151009,2.4642,0.002685547,2.42,2.4363,2.4941,2.4652
145,151010,2.4576,-0.002678354,2.36,2.435,2.4925,2.4638
146,151012,2.434,-0.009602865,2.37,2.4225,2.4766,2.4496
147,151013,2.4298,-0.001725555,2.4,2.3975,2.4546,2.4261
148,151014,2.4007,-0.011976294,2.43,2.3841,2.4388,2.4114
149,151015,2.4302,0.012288083,2.41,2.3988,2.4516,2.4252
150,151016,2.4231,-0.00292157,2.4,2.4013,2.4575,2.4294
151,151019,2.4185,-0.001898395,2.4,2.3963,2.45,2.4231
152,151020,2.4032,-0.006326235,2.4,2.3875,2.4416,2.4146
153,151021,2.3982,-0.002080559,2.39,2.3788,2.4338,2.4063
