time,buy
150215,3.2259
150216,3.2288
150217,3.2334
150225,3.2954
150226,3.3900
150227,3.4079
150228,3.4081
150302,3.4191
150303,3.4591
150304,3.4700
150305,3.5779
150306,3.6200
150309,3.6921
150310,3.6634
150311,3.5612
150312,3.5615
150313,3.6258
150316,3.7725
150317,3.6814
150318,3.6838
150319,3.5605
150320,3.4463
150323,3.4754
150324,3.4412
150325,3.4345
150326,3.5450
150327,3.5616
150330,3.5975
150331,3.5963
150401,3.4120
150402,3.3605
150403,3.3066
150407,3.2083
150408,3.1942
150409,3.1291
150410,3.1129
150413,3.1285
150414,3.1081
150415,3.0427
150416,3.0397
150417,3.0341
150420,2.7871
150421,2.6721
150422,2.7088
150423,2.7262
150424,2.7184
150427,2.6036
150428,2.5767
150429,2.6163
150430,2.5617
150504,2.5374
150505,2.5654
150506,2.6307
150507,2.5914
150508,2.5338
150511,2.4706
150512,2.3755
150513,2.2932
150514,2.2433
150515,2.2325
150518,2.3003
150519,2.3463
150520,2.3230
150521,2.3538
150522,2.3408
150525,2.3869
150526,2.4369
150527,2.4160
150528,2.4596
150529,2.4588
150601,2.4410
150602,2.4034
150603,2.4375
150604,2.4821
150605,2.4070
150608,2.3859
150609,2.4037
150610,2.4489
150611,2.4550
150612,2.4592
150615,2.5447
150616,2.5481
150617,2.5875
150618,2.5621
150619,2.5788
150623,2.6288
150624,2.6492
150625,2.5554
150626,2.5378
150629,2.4752
150630,2.4159
150701,2.4725
150702,2.5113
150703,2.5088
150706,2.4425
150707,2.4316
150708,2.4763
150709,2.4859
150710,2.4875
150713,2.5097
150714,2.6016
150715,2.5887
150716,2.5307
150717,2.5175
150720,2.4970
150721,2.5470
150722,2.5721
150723,2.5727
150724,2.5700
150727,2.5690
150728,2.5379
150729,2.5297
150730,2.5400
150731,2.5650
150803,2.5500
150804,2.5479
150805,2.5330
150806,2.4719
150807,2.5013
150810,2.5179
150811,2.5775
150812,2.5700
150813,2.5688
150814,2.5600
150817,2.6025
150818,2.6000
150819,2.6000
150820,2.6256
150821,2.5971
150824,2.6050
150825,2.6000
150826,2.4913
150827,2.4416
150828,2.4559
150831,2.4438
150901,2.4488
150902,2.4729
150906,2.4613
150907,2.4870
150908,2.4918
150909,2.4920
150910,2.4988
150911,2.4938
150914,2.4788
150915,2.4813
150916,2.4910
150917,2.4956
150918,2.4900
150921,2.4950
150922,2.4938
150923,2.4975
150924,2.4989
150925,2.4950
150928,2.4988
150929,2.4879
150930,2.4900
151008,2.4900
151009,2.4941
151010,2.4925
151012,2.4766
151013,2.4546
151014,2.4388
151015,2.4516
151016,2.4575
151019,2.4500
151020,2.4416
151021,2.4338
151022,2.4346
151023,2.4300
151026,2.3366
151027,2.3034
151028,2.3200
151029,2.3463
151030,2.3475
151102,2.3544
151103,2.3838
151104,2.3975
151105,2.3887
151106,2.3838
151109,2.4325
151110,2.4322
151111,2.4188
151112,2.4263
151113,2.4288
151116,2.4313
151117,2.4259
151118,2.4350
151119,2.4346
151120,2.3913
151123,2.4097
151124,2.4053
151125,2.4025
151126,2.4025
151127,2.3988
151130,2.3988
151201,2.3929
151202,2.3841
151203,2.3584
151204,2.3479
151207,2.3521
151208,2.3441
151209,2.3429
151210,2.3441
151211,2.3416
151214,2.3563
151215,2.3613
151216,2.3571
151217,2.3563
151218,2.3413
151221,2.3463
151222,2.3413
151223,2.3425
151224,2.3284
151225,2.3254
151228,2.3354
151229,2.3319
151230,2.3463
151231,2.3450
160104,2.3683
160105,2.3663
160106,2.3588
160107,2.3525
160108,2.3150
160111,2.2873
160112,2.2608
160113,2.2530
160114,2.2650
160115,2.2725
160118,2.2979
160119,2.3050
160120,2.3238
160121,2.3300
160122,2.3271
160125,2.3638
160126,2.3500
160127,2.3781
160128,2.3688
160129,2.3216
160201,2.3233
160202,2.3588
160203,2.3475
160204,2.3350
160205,2.3296
160206,2.3267
160214,2.3163
160215,2.3204
160216,2.3375
160217,2.3513
160218,2.3300
160219,2.3250
160222,2.3275
160223,2.3300
160224,2.3413
160225,2.3467
160226,2.3388
160229,2.3375
160301,2.3163
160302,2.3291
160303,2.3316
160304,2.3303
160307,2.3300
160308,2.3363
160309,2.3275
160310,2.3213
160311,2.3119
160314,2.3100
160315,2.3100
160316,2.3004
