,time,val,per,buy
0,150212,3.2032,,4.7
1,150213,3.1952,-0.002497502,4.68
2,150215,3.2053,0.003160991,4.69
3,150216,3.1944,-0.003400618,4.8
4,150217,3.1971,0.000845229,4.79
5,150225,3.26,0.01967408,4.83
6,150226,3.3429,0.025429448,4.9
7,150227,3.389,0.013790421,4.75
8,150228,3.3787,-0.003039245,4.99
9,150302,3.374,-0.001391068,4.96
10,150303,3.4501,0.022554831,4.73
11,150304,3.4403,-0.002840497,4.73
12,150305,3.5196,0.023050315,4.74
13,150306,3.6192,0.02829867,4.8
14,150309,3.6581,0.010748232,4.81
15,150310,3.6973,0.010715945,4.8
16,150311,3.5413,-0.042192952,4.67
17,150312,3.5299,-0.003219157,4.85
18,150313,3.5864,0.016006119,4.803
19,150316,3.7104,0.034575061,4.75
20,150318,3.6305,-0.021534066,4.62
21,150319,3.5749,-0.015314695,4.48
22,150320,3.4371,-0.038546533,4.25
23,150323,3.4325,-0.001338338,4.13
24,150325,3.3817,-0.014799709,3.94
25,150326,3.4574,0.022385191,3.88
26,150327,3.555,0.028229305,3.89
27,150330,3.5741,0.005372714,3.95
28,150331,3.6076,0.009372989,4.0
29,150401,3.4181,-0.052527996,3.8
30,150402,3.3304,-0.025657529,3.67
31,150403,3.2685,-0.018586356,3.42
32,150407,3.1923,-0.023313447,3.27
33,150408,3.1499,-0.01328196,3.12
34,150409,3.0985,-0.016317978,3.09
35,150410,3.0816,-0.005454252,3.0
36,150414,3.0718,-0.003180166,3.0
37,150415,3.0145,-0.018653558,3.0
38,150416,3.0017,-0.004246144,3.03
39,150417,3.0078,0.002032182,2.93
40,150420,2.8205,-0.062271428,2.81
41,150421,2.645,-0.06222301,2.64
42,150422,2.6742,0.011039698,2.61
43,150423,2.7168,0.015929998,2.57
44,150427,2.5758,-0.051899293,2.47
45,150428,2.5477,-0.010909232,2.48
46,150429,2.5886,0.016053695,2.51
47,150430,2.9514,0.140152978,2.45
48,150504,2.4932,-0.155248357,2.43
49,150505,2.5279,0.013917857,2.52
50,150506,2.5886,0.024012026,2.5
51,150507,2.5666,-0.008498802,2.4
52,150508,2.5227,-0.01710434,2.37
53,150511,2.4476,-0.029769691,2.35
54,150512,2.3632,-0.034482759,2.16
55,150513,2.2815,-0.034571767,2.09
56,150514,2.2037,-0.034100373,2.0
57,150515,2.1962,-0.003403367,1.92
58,150518,2.2463,0.02281213,2.0
59,150519,2.3114,0.028980991,1.91
60,150520,2.2903,-0.009128667,1.98
61,150521,2.3142,0.010435314,1.99
62,150522,2.3198,0.002419843,2.01
63,150525,2.3403,0.008836969,2.0058
64,150526,2.4014,0.026107764,1.97
65,150527,2.39,-0.004747231,2.0
66,150528,2.4235,0.014016736,2.03
67,150529,2.4364,0.00532288,2.08
68,150601,2.3967,0.011265823,2.01
69,150602,2.3726,-0.010055493,2.25
70,150603,2.4093,0.015468263,2.22
71,150604,2.4644,0.022869713,2.23
72,150605,2.391,-0.029784126,2.06
73,150608,2.3581,-0.013759933,2.06
74,150609,2.3667,0.003647004,2.08
75,150610,2.4053,0.016309629,2.12
76,150611,2.436,0.012763481,2.1
77,150612,2.4419,0.002422003,2.22
78,150615,2.4833,0.016954011,2.2402
79,150616,2.5146,0.012604196,2.3
80,150617,2.5533,0.015390122,2.41
81,150618,2.5597,0.00250656,2.7
82,150619,2.5455,-0.005547525,2.73
83,150623,2.5901,0.017521116,2.86
84,150624,2.6529,0.024246168,2.87
85,150625,2.5234,-0.048814505,3.02
86,150626,2.5086,-0.005865103,3.0
87,150629,2.4329,-0.030176194,2.75
88,150630,2.4792,0.019030786,2.56
89,150701,2.4163,-0.025371087,2.75
90,150702,2.4659,0.020527252,2.87
91,150703,2.5022,0.014720792,2.9
92,150706,2.4231,-0.031612181,2.78
93,150707,2.412,-0.004580909,2.6
94,150708,2.416,0.001658375,2.61
95,150709,2.4454,0.012168874,2.57
96,150710,2.4661,0.008464873,2.58
97,150713,2.4745,0.003406188,2.58
98,150714,2.549,0.030107092,2.55
99,150715,2.5678,0.007375441,2.5
100,150716,2.4929,-0.029168938,2.5
101,150720,2.4666,-0.010549962,2.4
102,150721,2.5142,0.019297819,2.45
103,150722,2.5455,0.012449288,2.5
104,150723,2.5518,0.002474956,2.56
105,150724,2.541,-0.004232307,2.53
106,150727,2.5475,0.002558048,2.52
107,150729,2.491,-0.022178606,2.46
108,150730,2.5085,0.007025291,2.48
109,150731,2.5444,0.014311341,2.47
110,150803,2.5162,-0.011083163,2.45
111,150804,2.5125,-0.001470471,2.43
112,150805,2.4979,-0.005810945,2.41
113,150806,2.4643,-0.013451299,2.3
114,150807,2.4724,0.003286937,2.44
115,150810,2.4897,0.00699725,2.42
116,150811,2.5521,0.025063261,2.4
117,150812,2.5554,0.001293053,2.44
118,150813,2.5373,-0.00708304,2.45
119,150814,2.5636,0.010365349,2.48
120,150817,2.577,0.005227024,2.48
121,150818,2.582,0.001940241,2.49
122,150820,2.5947,0.004918668,2.59
123,150824,2.5753,-0.00747678,2.53
124,150825,2.5686,-0.002601639,2.56
125,150827,2.4101,-0.061706766,2.33
126,150828,2.4231,0.005393967,2.38
127,150831,2.5245,0.041847221,2.42
128,150901,2.42,-0.041394336,2.4
129,150902,2.4395,0.008057851,2.48
130,150906,2.4445,0.0020496,2.37
131,150908,2.4677,0.009490693,2.41
132,150909,2.466,-0.000688901,2.38
133,150910,2.4755,0.003852393,2.43
134,150914,2.4451,-0.012280347,2.36
135,150915,2.4572,0.004948673,2.37
136,150917,2.4876,0.012371805,2.37
137,150918,2.46,-0.011095031,2.4
138,150922,2.4752,0.006178862,2.37
139,150923,2.4837,0.003434066,2.34
140,150924,2.4797,-0.0016105,2.45
141,150925,2.4742,-0.00221801,2.37
142,150928,2.4708,-0.001374182,2.35
143,150929,2.4588,-0.004856727,2.51
144,150930,2.4642,0.002196193,2.36
145,151008,2.4576,-0.002678354,2.37
146,151009,2.4642,0.002685547,2.42
147,151010,2.4576,-0.002678354,2.36
148,151012,2.434,-0.009602865,2.37
149,151013,2.4298,-0.001725555,2.4
150,151014,2.4007,-0.011976294,2.43
151,151015,2.4302,0.012288083,2.41
152,151016,2.4231,-0.00292157,2.4
153,151019,2.4185,-0.001898395,2.4
154,151020,2.4032,-0.006326235,2.4
155,151021,2.3982,-0.002080559,2.39
156,151022,2.3962,-0.000833959,2.39
157,151023,2.386,-0.00425674,2.4
158,151026,2.3045,-0.034157586,2.37
159,151027,2.2681,-0.015795183,2.28
160,151028,2.2783,0.004497156,2.3
161,151029,2.3116,0.014616161,2.34
162,151030,2.3199,0.003590587,2.34
163,151102,2.386,0.008154815,2.33
164,151103,2.3476,-0.016093881,2.35
165,151104,2.3752,0.011756688,2.35
166,151105,2.3667,-0.003578646,2.31
167,151106,2.356,-0.004521063,2.32
168,151109,2.398,0.017826825,2.3
169,151110,2.4036,0.002335279,2.31
170,151111,2.3895,-0.005866201,2.3
171,151112,2.4022,0.005314919,2.32
172,151113,2.3937,-0.003538423,2.3
173,151116,2.3989,0.002172369,2.3
174,151117,2.3976,-0.000541915,2.33
175,151118,2.4073,0.004045712,2.3
176,151119,2.405,-0.000955427,2.32
177,151120,2.3764,-0.011891892,2.29
178,151123,2.3824,0.002524827,2.3
179,151124,2.3748,-0.00319006,2.3
180,151125,2.3782,0.0014317,2.33
181,151126,2.3732,-0.00210243,2.38
182,151127,2.3743,0.000463509,2.37
183,151130,2.3832,0.003748473,2.32
184,151201,2.3603,-0.009608929,2.38
185,151202,2.3537,-0.002796255,2.38
186,151203,2.4044,0.021540553,2.35
187,151204,2.3088,-0.039760439,2.36
188,151207,2.3168,0.003465003,2.35
189,151208,2.3082,-0.003712017,2.36
190,151209,2.3086,0.000173295,2.35
191,151210,2.3083,-0.000129949,2.4
192,151211,2.3079,-0.000173288,2.37
193,151214,2.3256,0.00766931,2.4
194,151215,2.3311,0.002364981,2.41
195,151216,2.3323,0.000514778,2.4
196,151217,2.3278,-0.001929426,2.43
197,151218,2.3195,-0.003565598,2.45
198,151222,2.3106,-0.003837034,2.41
199,151223,2.3182,0.003289189,2.4
200,151225,2.2946,-0.010180312,2.35
201,151228,2.2915,-0.001350998,2.4
202,151229,2.2964,0.002138337,2.5
203,151230,2.3198,0.010189862,2.5
204,151231,2.3343,0.006250539,2.4
205,160104,2.3439,0.004112582,2.4
206,160105,2.3442,0.000127992,2.45
207,160106,2.3374,-0.002900776,2.5
208,160108,2.2815,-0.023915462,2.35
209,160111,2.2607,-0.009116809,2.4
210,160112,2.2412,-0.008625647,2.36
211,160113,2.2232,-0.008031412,2.39
212,160114,2.2321,0.004003239,2.4
213,160115,2.2473,0.006809731,2.4
214,160118,2.2703,0.010234504,2.35
215,160119,2.2758,0.002422587,2.44
216,160120,2.3041,0.012435188,2.45
217,160121,2.3002,-0.001692635,2.5
218,160125,2.3331,0.014303104,2.38
219,160126,2.3193,-0.005914877,2.45
220,160127,2.3527,0.014400897,2.4
221,160128,2.3468,-0.002507757,2.4
222,160129,2.2994,-0.020197716,2.3
223,160201,2.2958,-0.000696439,2.42
224,160202,2.322,0.011412144,2.42
225,160203,2.3362,0.006115418,2.39
226,160204,2.31,-0.011214793,2.44
227,160205,2.2917,-0.007922078,2.36
228,160214,2.2893,-0.001047257,2.27
229,160215,2.2955,0.002708251,2.36
230,160216,2.3084,0.005619691,2.42
231,160217,2.3263,0.007754289,2.37
232,160218,2.3093,-0.007307742,2.35
233,160219,2.2925,-0.007274932,2.32
234,160222,2.3033,0.004711014,2.31
235,160223,2.3024,-0.000390744,2.32
236,160224,2.3159,0.005863447,2.41
237,160225,2.3228,0.002979403,2.3
238,160226,2.3196,-0.001377648,2.32
239,160229,2.3137,-0.002543542,2.4
240,160301,2.2798,-0.014651856,2.4
241,160302,2.2972,0.007632248,2.34
242,160303,2.3034,0.002698938,2.3
243,160304,2.3014,-0.000868282,2.3
244,160307,2.3099,0.003693404,2.33
245,160308,2.3101,8.66e-05,2.33
246,160309,2.3033,-0.002943596,2.31
247,160310,2.2928,-0.004558677,2.32
248,160311,2.2913,-0.000654222,2.3
249,160314,2.2858,-0.002400384,2.31
250,160315,2.2883,0.001093709,2.33
251,160316,2.2918,0.00152952,2.34
252,160317,2.2762,-0.006806877,2.32
253,160318,2.279,0.00123012,2.31
254,160321,2.2854,0.002808249,2.38
255,160322,2.2907,0.002319069,2.38
256,160323,2.2888,-0.000829441,2.49
257,160324,2.2931,0.001878714,2.38
258,160325,2.2978,0.002049627,2.35
259,160328,2.3136,0.006876142,2.4
260,160329,2.3159,0.000994122,2.28
261,160330,2.3117,-0.00181355,2.4
262,160331,2.3098,-0.000821906,2.3
263,160401,2.3092,-0.000259763,2.45
264,160405,2.3197,0.004547029,2.36
265,160406,2.3244,0.002026124,2.35
266,160407,2.3431,0.008045087,2.36
267,160408,2.365,0.009346592,2.35
268,160411,2.35,-0.006342495,2.35
269,160412,2.3608,0.004595745,2.38
270,160413,2.3985,0.015969163,2.5
271,160414,2.4144,0.006629143,2.44
272,160415,2.4159,0.000621272,2.41
273,160418,2.405,-0.004511776,2.35
274,160419,2.4193,0.005945946,2.3533
275,160420,2.4786,0.024511222,2.4
276,160421,2.5124,0.01363673,2.4
277,160422,2.5112,-0.000477631,2.55
278,160425,2.6231,0.04456037,2.45
279,160426,2.6219,-0.000457474,2.4
280,160427,2.5955,-0.010069034,2.7
281,160428,2.6466,0.019687921,2.6
282,160429,2.6833,0.013866848,2.5
283,160503,2.547,0.017050673,2.37
284,160504,2.5099,-0.014566156,2.45
285,160505,2.5135,0.00143432,2.4
286,160506,2.5223,0.003501094,2.4
287,160509,2.4911,-0.012369663,2.4
288,160510,2.4937,0.001043716,2.4
289,160511,2.5214,0.011107992,2.4
290,160512,2.5171,-0.001705402,2.45
291,160513,2.5363,0.007627826,2.41
292,160516,2.5654,0.011473406,2.4
293,160517,2.5694,0.001559211,2.35
294,160518,2.5936,0.009418541,2.41
295,160519,2.6048,0.004318322,2.4
296,160520,2.5857,-0.007332617,2.35
297,160523,2.5885,0.001082879,2.33
298,160524,2.5725,-0.006181186,2.3
299,160525,2.5684,-0.00159378,2.42
300,160526,2.5946,0.010200903,2.5
