time,normval,normbuy,normsell,normavg,normper
150302,1.442887358,1.445733259,1.51386123,1.480091848,-0.100215716
150309,2.003883933,1.992764683,2.052004664,2.022999634,0.747598689
150316,2.107157853,2.157704743,2.210490861,2.184548767,2.411675601
150325,1.458092122,1.481134063,1.54421804,1.51307315,-1.036681492
150401,1.529969191,1.414287851,1.499865559,1.457577666,-3.671642751
150409,0.898872727,0.858950093,0.942207034,0.900845382,-1.142718111
150417,0.719772448,0.686692548,0.754941004,0.721126908,0.138865669
150427,-0.133274086,-0.208809364,-0.093669794,-0.151198916,-3.627733839
150505,-0.22785957,-0.245199018,-0.16897045,-0.207089386,0.968966786
150512,-0.553083561,-0.637969954,-0.543305388,-0.590620459,-2.411354936
150519,-0.65537016,-0.705805015,-0.600865052,-0.653423179,2.020983129
150526,-0.477652132,-0.521681278,-0.422272396,-0.472124762,1.820315608
150602,-0.534521901,-0.57409029,-0.488308312,-0.531372611,-0.705343222
150609,-0.546172305,-0.567959425,-0.487716945,-0.528015233,0.251645595
150616,-0.254122345,-0.29839911,-0.20307258,-0.250735301,0.877220085
150624,0.018971024,-0.100035943,-0.0037821,-0.051860023,1.69030087
150701,-0.448229925,-0.440595637,-0.352096915,-0.396287516,-1.77499149
150708,-0.448822318,-0.413303396,-0.344606274,-0.37910564,0.112758813
150715,-0.149071244,-0.212566992,-0.123040992,-0.167788313,0.512041384
150723,-0.18066556,-0.234321676,-0.154580534,-0.194449845,0.169789213
150731,-0.195277932,-0.22878412,-0.169758939,-0.199189673,0.996447893
150807,-0.337452354,-0.355356828,-0.29532574,-0.325387591,0.226498347
150814,-0.157364752,-0.250143264,-0.179615046,-0.214989099,0.720857961
150825,-0.147491529,-0.182308204,-0.100766191,-0.141521767,-0.184762563
150902,-0.402418167,-0.402228284,-0.351308427,-0.376933219,0.559701218
150914,-0.391360156,-0.40835915,-0.339678221,-0.374168319,-0.860728069
150923,-0.315138868,-0.36722302,-0.302816381,-0.335064739,0.236773905
150930,-0.353644441,-0.391153172,-0.317600541,-0.354419036,0.150320274
151013,-0.421572221,-0.465316869,-0.387381778,-0.426306426,-0.123576445
151020,-0.474097771,-0.485093854,-0.413007655,-0.449018101,-0.444890094
151027,-0.740872278,-0.761971654,-0.685430448,-0.723928119,-1.106205863
151103,-0.58388802,-0.616808579,-0.52694425,-0.572056133,-1.127067072
151110,-0.473307913,-0.511595015,-0.431537136,-0.471532284,0.160034106
151117,-0.485155782,-0.522472357,-0.443955831,-0.483381853,-0.040910472
151124,-0.530177682,-0.557279852,-0.484562991,-0.520905491,-0.225858161
151201,-0.558810031,-0.576463528,-0.509006136,-0.542827195,-0.674154983
151208,-0.661689023,-0.663086726,-0.605201739,-0.634266374,-0.262311883
151215,-0.616469658,-0.648253986,-0.571296731,-0.609974756,0.162108508
151223,-0.641942575,-0.675348457,-0.608355693,-0.641968595,0.226655628
151231,-0.610150795,-0.676139536,-0.603427639,-0.639993666,0.433477701
160111,-0.755484649,-0.787879505,-0.717167112,-0.752762072,-0.639785091
160118,-0.736528059,-0.771069068,-0.696272166,-0.73380276,0.711719685
160126,-0.639770466,-0.658142479,-0.593571533,-0.625971676,-0.416160659
160202,-0.634438925,-0.64330974,-0.576224784,-0.609974756,0.793966615
160215,-0.686767011,-0.717473436,-0.651919685,-0.684824538,0.186082645
160222,-0.671364782,-0.700069689,-0.637924013,-0.669222605,0.325956553
160229,-0.650828477,-0.672975219,-0.6182118,-0.645720958,-0.180705041
160307,-0.658332127,-0.695125443,-0.63299596,-0.664285284,0.254886193
160314,-0.705921066,-0.737250422,-0.672420387,-0.704968807,-0.170706819
160321,-0.706710923,-0.73962366,-0.679713906,-0.709906128,0.193066553
