val,buy,sell,avg,per
1.529969191,1.414287851,1.499865559,1.457577666,-3.671642751
-0.296379743,-0.312440769,-0.224164648,-0.268312163,-10.84568094
-0.486932962,-0.515945952,-0.414190388,-0.465212513,0.783747487
-0.448229925,-0.440595637,-0.352096915,-0.396287516,-1.77499149
-0.250962914,-0.274864497,-0.199327259,-0.237108296,-0.777116177
-0.440923739,-0.468481187,-0.398814862,-0.433811153,-2.894062715
-0.366677096,-0.391153172,-0.317600541,-0.354419036,-0.190120374
-0.508061661,-0.660317948,-0.584898159,-0.622614297,0.56647323
-0.558810031,-0.576463528,-0.509006136,-0.542827195,-0.674154983
-0.591194205,-0.637772184,-0.557498182,-0.597730201,0.284161781
-0.686174618,-0.721824373,-0.646203143,-0.684034567,-0.051702501
-0.717768934,-0.724790921,-0.660001693,-0.692526759,-1.02635537
-0.659714378,-0.686028029,-0.619985899,-0.653028193,-0.021204844
-0.190143855,-0.245199018,-0.176461091,-0.21084175,1.187764124
-0.088054721,-0.13227243,-0.05641371,-0.094320981,-0.021870424
-0.425916439,-0.465316869,-0.401377449,-0.433416168,-2.734316191
-0.405380134,-0.427345056,-0.374568839,-0.401027344,0.091599106
-0.267944859,-0.29721249,-0.24367974,-0.270484584,-0.412846798
-0.213247199,-0.244605708,-0.189471152,-0.216964028,0.265171459
0.210906495,0.150340696,0.227047922,0.188686242,0.106309255
1.217777855,1.230559654,1.321075781,1.276081756,1.197664081
1.456709871,1.449886426,1.502033902,1.476339484,0.738033129
1.526019902,1.502493207,1.55998781,1.531637476,4.107874171
1.482380253,1.480342983,1.53041949,1.505765916,0.473451731
1.90317705,1.818924979,1.885239336,1.852563323,-0.034028253
2.043771757,2.133379051,2.100496709,2.117401206,1.355768865
1.872372592,1.833757718,1.818217809,1.826494269,-2.80840324
1.687940772,1.722215518,1.700733016,1.711948429,-0.644000732
1.572029125,1.596433889,1.574771971,1.585948004,0.378735204
1.791017228,1.809036486,1.796534374,1.803190115,0.054031709
1.724669164,1.749705529,1.722613573,1.736635032,-0.022916914
1.86743598,1.892099826,1.860599069,1.876657448,-0.401642711
1.923713356,1.937586893,1.90495155,1.921685813,-0.162938184
1.985519736,1.98208511,1.959160137,1.97105902,-0.421633847
1.815897752,1.828813471,1.811318535,1.820569484,-0.835903553
1.70551511,1.734872789,1.70290136,1.719255663,-0.330114896
1.41741444,1.428329511,1.392828239,1.410771865,-1.914949974
1.256678357,1.275057872,1.244592392,1.260084837,0.421134585
1.077775542,1.087769818,1.062254415,1.075231549,-0.554920959
0.655596494,0.648522965,0.628585715,0.638574906,-3.178037065
0.263432045,0.281462111,0.24892848,0.26531346,-2.271132036
0.345182338,0.360570054,0.334085243,0.347272983,0.335617934
0.365521179,0.360372284,0.33290251,0.346680505,-0.617394656
0.234207303,0.253181021,0.234341441,0.243786741,-0.604725245
0.217027893,0.246654616,0.214629228,0.230752215,-0.404082518
-0.12241354,-0.108737817,-0.130334511,-0.119600063,-0.27795105
-0.252147701,-0.282379751,-0.278176114,-0.280359226,-0.793585397
-0.033159597,0.003002152,0.000751709,0.001858026,0.408849018
-0.0059095,0.043347203,0.020069679,0.031679443,0.661855545
0.388427058,0.404870502,0.372326937,0.388746477,0.036306058
0.167266845,0.187323659,0.165348694,0.176441687,-0.952586165
-0.027433127,-0.040111676,-0.061341764,-0.050675066,-0.832434857
-0.047771968,-0.026070017,-0.05641371,-0.041392903,0.026281855
0.05273745,0.073605991,0.052003465,0.06288331,1.61889332
0.088873449,0.098327223,0.071715679,0.085002507,-0.495769155
0.420613768,0.429591734,0.406823311,0.418370402,-0.609043412
0.09775935,0.093382977,0.071715679,0.082632593,-0.135086434
0.010085123,0.038996266,0.007650984,0.023384745,-0.648403335
-0.385633686,-0.346654955,-0.376737182,-0.361726271,-4.878122396
-0.699404738,-0.702640697,-0.731557028,-0.717213362,0.352655865
-1.542380584,-1.536042874,-1.554541949,-1.545695778,-8.475664459
-2.363635338,-2.319409277,-2.333174388,-2.326779915,-3.121641166
-1.861878105,-1.850496947,-1.857912917,-1.854772055,6.073321367
-0.996193845,-0.959741511,-0.987815806,-0.973954039,-0.318377088
-0.505692087,-0.50487084,-0.533646403,-0.519325548,0.326151477
-0.242274477,-0.21494023,-0.223770404,-0.219531434,0.227672295
-0.258269099,-0.237881533,-0.268320007,-0.253105215,0.932162185
-0.30506818,-0.321933723,-0.341058075,-0.331707361,-0.54877856
-0.071467706,-0.030223184,-0.061341764,-0.045737745,-0.094025336
-0.268537252,-0.237881533,-0.253535847,-0.245797981,-1.952628139
-0.085487683,-0.084609894,-0.115550351,-0.100048273,2.573305373
0.034373253,0.038996266,0.008439473,0.02377973,-0.126215228
-0.137025911,-0.119219619,-0.145118672,-0.132239604,-1.417364918
-0.263995569,-0.253505352,-0.283104167,-0.268509656,-0.762796785
-0.330936026,-0.31204523,-0.342240808,-0.327165026,-0.473803071
-0.29578735,-0.262602765,-0.292960274,-0.277791819,-0.630380793
-0.629304849,-0.598811522,-0.628067906,-0.613529627,-2.29572482
-0.699009809,-0.692752204,-0.716772868,-0.704968807,-1.096150163
-0.562561856,-0.535525168,-0.564988823,-0.550529415,0.534079684
-0.609558401,-0.600789221,-0.623139853,-0.612147178,0.339646053
-0.650433548,-0.633421247,-0.66157867,-0.647695887,-0.449912322
-0.833088188,-0.836135351,-0.859686417,-0.848151108,-1.842822788
-1.062739373,-1.051111185,-1.076520767,-1.064010769,-1.746648482
-0.883639094,-0.848792621,-0.877230287,-0.863358055,0.642151733
-0.921749737,-0.910299047,-0.933607218,-0.922210918,-0.771063662
-0.93024071,-0.915243293,-0.943463325,-0.929518153,0.161297939
-1.109340989,-1.078403425,-1.101161034,-1.090079823,-0.307065655
-0.991257233,-0.964685758,-0.992743859,-0.97889136,-0.773978803
-1.23907515,-1.226730818,-1.25393069,-1.240569358,-3.517131539
-1.459050575,-1.454166153,-1.475693094,-1.465316197,-1.252851083
-1.240654865,-1.221786571,-1.184937942,-1.203638199,-0.296437682
-1.313519257,-1.299707895,-1.324106171,-1.312259255,0.259188855
-0.799716691,-0.803107784,-0.82952673,-0.816552255,-0.360056972
-0.924316775,-0.935020279,-0.963175539,-0.949267436,-1.920350179
-0.714609502,-0.697696451,-0.724657753,-0.711288578,-0.167982622
-0.435197269,-0.425762897,-0.455586037,-0.440723402,-0.913444144
-0.48199635,-0.465316869,-0.495010464,-0.480221968,-0.327578849
