time,feature_0,feature_1,feature_2,feature_3,feature_4
150302,2.939419443,-0.13337944,-0.020823601,-0.063401401,-6.95E-05
150303,3.147474022,1.536931563,-0.057412738,-0.015782491,9.14E-05
150304,3.153190761,-0.236953593,-0.037085062,-0.041609337,1.02E-05
150305,3.571389446,1.566554967,-0.005982808,-0.085179892,1.43E-05
150306,3.807111132,1.930696731,-0.051055434,-0.004297521,5.62E-06
150309,4.043382468,0.702097013,-0.023034064,-0.049057503,8.92E-05
150310,3.990223331,0.700737098,-0.096072324,0.046318321,8.55E-05
150311,3.482185666,-2.989157166,-0.061877588,-0.023456961,9.17E-05
150312,3.497807268,-0.267261427,-0.050986424,-0.045043304,1.61E-05
150313,3.7676277,1.072436728,-0.03154379,-0.05801241,9.51E-05
150316,4.356208471,2.362627537,0.012108557,-0.091372876,-6.99E-05
150318,3.96964625,-1.551906932,-0.004488736,-0.072000771,-7.33E-05
150319,3.537858867,-1.112343212,-0.087761199,0.021793122,-7.28E-05
150320,3.053554107,-2.729626072,-0.059275485,-0.008149317,5.60E-06
150323,3.155254018,-0.132100851,-0.032358145,-0.060812675,1.45E-05
150325,2.985849194,-1.070463302,-0.010859756,-0.072409338,9.69E-06
150326,3.406397477,1.521844151,0.015799362,-0.126712046,1.93E-05
150327,3.558563581,1.92864726,-0.059138131,-0.013120504,1.10E-05
150330,3.664892216,0.330970461,-0.046565251,-0.034009678,1.18E-05
150331,3.695273229,0.610175898,-0.081974502,0.014320961,-7.10E-05
150401,2.908780501,-3.704438842,-0.090722877,0.014415267,8.94E-05
150402,2.694164557,-1.825421864,-0.049065158,-0.039763688,1.23E-05
150403,2.483036046,-1.329202537,-0.036281962,-0.051724792,9.25E-05
150407,2.117509939,-1.655166172,-0.053465642,-0.019687599,7.65E-06
150408,2.040103045,-0.953764458,-0.026872328,-0.060905556,-6.91E-05
150409,1.786954984,-1.16289433,-0.048699029,-0.041619962,1.30E-05
150410,1.735575028,-0.403554113,-0.041534584,-0.043702301,1.17E-05
150414,1.712879863,-0.244485731,-0.037118513,-0.051067677,1.26E-05
150415,1.449669579,-1.322221889,-0.047885119,-0.03772423,-6.94E-05
150416,1.441153622,-0.315888925,-0.034899145,-0.053274365,1.23E-05
150417,1.442243008,0.122643311,-0.038043771,-0.03722069,8.95E-05
150420,0.455995624,-4.3572358,-0.125582939,0.053963568,8.81E-05
150421,-0.035952928,-4.348610027,-0.043567744,-0.030091848,-7.62E-05
150422,0.150743884,0.766282711,-0.036653889,-0.050296088,1.24E-05
150423,0.257657439,1.10672912,-0.049780364,-0.014860435,6.50E-06
150427,-0.334704603,-3.624128884,-0.081365688,-0.034325053,1.94E-05
150428,-0.389439141,-0.760617344,-0.052759028,-0.040015166,1.35E-05
150429,-0.228579643,1.120827121,-0.070422275,-0.042503767,-5.86E-05
150430,0.093289427,9.786576673,-0.426762177,0.532021983,5.84E-05
150504,-0.67306874,-10.83880836,-0.055740608,-0.043432372,7.23E-06
150505,-0.414043366,0.973647884,-0.031789155,-0.054612605,1.20E-05
150506,-0.171669096,1.675958776,-0.046692224,-0.063367172,-6.01E-05
150507,-0.328415438,-0.592925318,-0.05987656,-0.034588757,9.51E-05
150508,-0.560178863,-1.191290283,-0.08648935,-0.014740103,-6.35E-05
150511,-0.812467941,-2.07314228,-0.055851799,-0.028898361,-7.07E-05
150512,-1.189941362,-2.398015495,-0.076896698,-0.013741879,9.29E-05
150513,-1.521227555,-2.400488529,-0.085344521,-0.013244987,9.55E-05
150514,-1.738621488,-2.36524653,-0.051084895,-0.052265348,9.55E-05
150515,-1.739258998,-0.221229585,-0.034395754,-0.050619191,1.03E-05
150518,-1.485987599,1.606890451,-0.033381018,-0.079839225,0.000101069
150519,-1.285286641,2.035581984,-0.055937992,-0.053910349,2.08E-05
150520,-1.395783428,-0.624938777,-0.052459158,-0.045518634,-6.58E-05
150521,-1.263913958,0.739984982,-0.041507937,-0.05762758,1.59E-05
150522,-1.315346705,0.180825873,-0.073869142,-0.031061022,1.85E-05
150525,-1.134157821,0.626846174,-0.026820964,-0.066883755,-6.71E-05
150526,-0.926715878,1.830857283,-0.051270561,-0.05418449,-6.14E-05
150527,-1.00731747,-0.323283371,-0.045714489,-0.036049215,9.96E-06
150528,-0.823649527,0.985158093,-0.026159955,-0.052297831,8.99E-05
150529,-0.823874994,0.378005244,-0.044518026,-0.032073996,8.96E-06
150601,-0.932654779,0.794259898,-0.046540678,-0.064837916,-6.06E-05
150602,-1.072406402,-0.693313081,-0.048841872,-0.042476427,-6.79E-05
150603,-0.912753537,1.08759505,-0.045502239,-0.041870532,-6.78E-05
150604,-0.72025761,1.602423942,-0.05436157,-0.028010359,1.22E-05
