time,feature_0,feature_1
150302,2.939419443,-0.13337944
150303,3.147474022,1.536931563
150304,3.153190761,-0.236953593
150305,3.571389446,1.566554967
150306,3.807111132,1.930696731
150309,4.043382468,0.702097013
150310,3.990223331,0.700737098
150311,3.482185666,-2.989157166
150312,3.497807268,-0.267261427
150313,3.7676277,1.072436728
150316,4.356208471,2.362627537
150318,3.96964625,-1.551906932
150319,3.537858867,-1.112343212
150320,3.053554107,-2.729626072
150323,3.155254018,-0.132100851
150325,2.985849194,-1.070463302
150326,3.406397477,1.521844151
150327,3.558563581,1.92864726
150330,3.664892216,0.330970461
150331,3.695273229,0.610175898
150401,2.908780501,-3.704438842
150402,2.694164557,-1.825421864
150403,2.483036046,-1.329202537
150407,2.117509939,-1.655166172
150408,2.040103045,-0.953764458
150409,1.786954984,-1.16289433
150410,1.735575028,-0.403554113
150414,1.712879863,-0.244485731
150415,1.449669579,-1.322221889
150416,1.441153622,-0.315888925
150417,1.442243008,0.122643311
150420,0.455995624,-4.3572358
150421,-0.035952928,-4.348610027
150422,0.150743884,0.766282711
150423,0.257657439,1.10672912
150427,-0.334704603,-3.624128884
150428,-0.389439141,-0.760617344
150429,-0.228579643,1.120827121
150430,0.093289427,9.786576673
150504,-0.67306874,-10.83880836
150505,-0.414043366,0.973647884
150506,-0.171669096,1.675958776
150507,-0.328415438,-0.592925318
150508,-0.560178863,-1.191290283
150511,-0.812467941,-2.07314228
150512,-1.189941362,-2.398015495
150513,-1.521227555,-2.400488529
150514,-1.738621488,-2.36524653
150515,-1.739258998,-0.221229585
150518,-1.485987599,1.606890451
150519,-1.285286641,2.035581984
150520,-1.395783428,-0.624938777
150521,-1.263913958,0.739984982
150522,-1.315346705,0.180825873
150525,-1.134157821,0.626846174
150526,-0.926715878,1.830857283
150527,-1.00731747,-0.323283371
150528,-0.823649527,0.985158093
150529,-0.823874994,0.378005244
150601,-0.932654779,0.794259898
150602,-1.072406402,-0.693313081
150603,-0.912753537,1.08759505
150604,-0.72025761,1.602423942
150605,-1.053256805,-2.071417206
150608,-1.117246869,-0.951575149
150609,-1.062421114,0.263587518
150610,-0.8928508,1.146090687
150611,-0.837682692,0.897875811
150612,-0.834959811,0.175568533
150615,-0.52894636,1.18692198
150616,-0.493674772,0.882834534
150617,-0.329772613,1.07555652
150618,-0.415038292,0.176812507
150619,-0.391752128,-0.386103453
150623,-0.174493156,1.222637648
150624,-0.049767918,1.691125892
150625,-0.512823623,-3.406710911
150626,-0.52801469,-0.406773315
150629,-0.82513679,-2.101451765
150630,-0.912251807,1.336809303
150701,-0.838921943,-1.765756058
150702,-0.64095219,1.437819213
150703,-0.61521415,1.032138301
150706,-0.914900734,-2.200674019
150707,-0.95172135,-0.312243021
150708,-0.791993812,0.121535879
150709,-0.740020139,0.855161203
150710,-0.713214901,0.596226481
150713,-0.64828657,0.242124984
150714,-0.278810719,2.102804441
150715,-0.3208743,0.515734108
150716,-0.586807826,-2.033789257
150720,-0.692016662,-0.732148444
150721,-0.476747639,1.350133107
150722,-0.367604421,0.870580289
150723,-0.380494365,0.174118916
150724,-0.402346713,-0.294139449
150727,-0.39059137,0.180024437
150729,-0.590400974,-1.545507422
150730,-0.514629293,0.493397531
150731,-0.385686049,1.000858793
150803,-0.490259113,-0.771668039
150804,-0.495640025,-0.100213217
150805,-0.558086891,-0.402667219
150806,-0.751537304,-0.934061112
150807,-0.654577094,0.233855469
150810,-0.599849427,0.492414194
150811,-0.352973076,1.751471801
150812,-0.397430642,0.091807285
150813,-0.410804857,-0.493165064
150814,-0.393343393,0.725455562
150817,-0.267568525,0.36505021
150818,-0.268371303,0.135518632
150820,-0.185777207,0.342576949
150824,-0.269948044,-0.522237133
150825,-0.288527046,-0.181530669
150827,-0.956421165,-4.302199676
150828,-0.852454003,0.383260972
150831,-0.744044168,2.928553857
150901,-0.903924912,-2.884073986
150902,-0.760497422,0.56823919
150906,-0.813617895,0.149296709
150908,-0.688210227,0.667563901
150909,-0.702040109,-0.043270254
150910,-0.666779687,0.273525434
150914,-0.766822167,-0.852181562
