,val,buy,sell,avg,per,feature_0,feature_1,feature_2,feature_3,feature_4
0,3.374,3.3638,3.4191,3.3914,-0.001391068,2.9394194428244926,-0.13337943951928183,-0.020823600638045506,-0.06340140063086212,-6.945981052484027e-05
1,3.4501,3.4008,3.4591,3.43,0.022554831,3.1474740217691934,1.536931563302328,-0.05741273848765921,-0.01578249089888444,9.141730429298536e-05
2,3.4403,3.4138,3.47,3.4419,-0.002840497,3.1531907605628877,-0.23695359284279283,-0.037085062239007704,-0.04160933706891305,1.0157522708965451e-05
3,3.5196,3.5217,3.5779,3.5498,0.023050315,3.571389446275756,1.5665549672721995,-0.005982808316886416,-0.08517989193188717,1.4250348189271768e-05
4,3.6192,3.5696,3.62,3.5948,0.02829867,3.807111131877212,1.9306967312261347,-0.05105543388061723,-0.004297520762118578,5.622549510665244e-06
5,3.6581,3.6404,3.6921,3.6663,0.010748232,4.043382467641356,0.7020970127891523,-0.023034063545652687,-0.04905750262211632,8.923153496522931e-05
6,3.6973,3.6071,3.6634,3.6353,0.010715945,3.9902233307552546,0.7007370983546991,-0.09607232359262724,0.04631832147482613,8.552287806809036e-05
7,3.5413,3.4983,3.5612,3.5298,-0.042192952,3.4821856659566457,-2.989157166009886,-0.061877587933003964,-0.02345696091397591,9.173586185775665e-05
8,3.5299,3.4955,3.5615,3.5285,-0.003219157,3.4978072677571355,-0.26726142724740365,-0.05098642428067207,-0.04504330424220852,1.614633693216664e-05
9,3.5864,3.5655,3.6258,3.5957,0.016006119,3.767627699681002,1.0724367283921332,-0.03154378956753784,-0.05801241014738649,9.514096954201892e-05
10,3.7104,3.7238,3.7725,3.7481,0.034575061,4.3562084707707935,2.3626275368992755,0.01210855734771715,-0.09137287628042183,-6.985993824868328e-05
11,3.6305,3.6345,3.6838,3.6591,-0.021534066,3.9696462497123033,-1.5519069317772571,-0.0044887356457953866,-0.07200077137556753,-7.332768471821535e-05
12,3.5749,3.5,3.5605,3.5302,-0.015314695,3.5378588669467277,-1.112343212188924,-0.08776119907009589,0.021793121772754675,-7.275683144423081e-05
13,3.4371,3.3913,3.4463,3.4188,-0.038546533,3.0535541065163354,-2.729626072098338,-0.0592754848509664,-0.008149317284110991,5.595374190892989e-06
14,3.4325,3.4142,3.4754,3.4448,-0.001338338,3.1552540183255378,-0.13210085070978445,-0.032358145407054006,-0.060812674700854205,1.446458298317669e-05
15,3.3817,3.3817,3.4345,3.4081,-0.014799709,2.9858491943372236,-1.0704633020328773,-0.010859756491997389,-0.07240933794762809,9.690134310314881e-06
16,3.4574,3.485,3.545,3.515,0.022385191,3.40639747710955,1.5218441512952843,0.01579936220077399,-0.12671204624788907,1.925639068003452e-05
17,3.555,3.503,3.5616,3.5323,0.028229305,3.558563581279371,1.9286472603777958,-0.05913813104348836,-0.013120503552379637,1.104795635666992e-05
18,3.5741,3.5383,3.5975,3.5679,0.005372714,3.6648922157146426,0.3309704614137793,-0.04656525075337686,-0.03400967817770133,1.1780514855420456e-05
19,3.6076,3.5356,3.5963,3.5659,0.009372989,3.695273229351546,0.6101758982743839,-0.08197450193198191,0.01432096070784401,-7.102824228664059e-05
20,3.4181,3.3479,3.412,3.38,-0.052527996,2.908780500676528,-3.7044388419444103,-0.0907228768702441,0.014415267167539669,8.943324561252555e-05
21,3.3304,3.2987,3.3605,3.3296,-0.025657529,2.6941645574025053,-1.8254218636995887,-0.04906515842621645,-0.03976368766557008,1.2311954504152602e-05
22,3.2685,3.2475,3.3066,3.2771,-0.018586356,2.4830360462939414,-1.3292025373030072,-0.0362819620867742,-0.051724792153624174,9.246379982499423e-05
23,3.1923,3.1523,3.2083,3.1803,-0.023313447,2.1175099386918816,-1.655166172434714,-0.05346564171969431,-0.019687599015114677,7.650349674449365e-06
24,3.1499,3.1371,3.1942,3.1656,-0.01328196,2.0401030445846207,-0.9537644583839648,-0.02687232795810485,-0.06090555550182368,-6.909603946800755e-05
25,3.0985,3.0671,3.1291,3.0981,-0.016317978,1.786954984181735,-1.1628943296614278,-0.048699028618441165,-0.04161996179212095,1.2978954572663105e-05
26,3.0816,3.0541,3.1129,3.0835,-0.005454252,1.7355750279280127,-0.40355411304697975,-0.04153458353529954,-0.043702301205855096,1.172101236848281e-05
27,3.0718,3.0489,3.1081,3.0785,-0.003180166,1.7128798634103255,-0.2444857312198751,-0.03711851288226503,-0.05106767668251293,1.2554729152093137e-05
28,3.0145,2.983,3.0427,3.0128,-0.018653558,1.4496695790309069,-1.3222218893089082,-0.04788511895603936,-0.037724230068919826,-6.936174004243864e-05
