time,feature_0,feature_1
150302,2.939975186,-0.133364974
150303,3.1480423,1.536946355
150304,3.153757424,-0.236938843
150305,3.571969171,1.566570057
150306,3.807707262,1.930712247
150309,4.043985006,0.702112696
150310,3.990832325,0.70075295
150311,3.482768966,-2.989141983
150312,3.498388689,-0.267246293
150313,3.768218428,1.072452104
150316,4.356819622,2.362643444
150318,3.970244241,-1.551891367
150319,3.538447701,-1.112327885
150320,3.054120243,-2.729611336
150323,3.155819396,-0.132086135
150325,2.986406206,-1.070448804
150326,3.406966957,1.521858973
150327,3.559149136,1.928662501
150330,3.665480917,0.330985785
150331,3.69586745,0.610191365
150401,2.909343508,-3.704424187
150402,2.694713119,-1.825407586
150403,2.483574412,-1.329188525
150407,2.118035753,-1.655152486
150408,2.040621875,-0.953750954
150409,1.787465349,-1.162881046
150410,1.736082609,-0.403540902
150414,1.713385829,-0.244472563
150415,1.450166108,-1.322208966
150416,1.441648042,-0.315876057
150417,1.442738433,0.122656205
150420,0.456460199,-4.357223709
150421,-0.03551726,-4.348598688
150422,0.151184362,0.766294173
150423,0.258104933,1.106740765
150427,-0.334280333,-3.624117842
150428,-0.389019501,-0.760606424
150429,-0.228153266,1.120838216
150430,0.093775562,9.786589322
150504,-0.672658075,-10.83879767
150505,-0.413626986,0.97365872
150506,-0.171242718,1.675969872
150507,-0.327992685,-0.592914316
150508,-0.55976334,-1.191279469
150511,-0.812064788,-2.073131788
150512,-1.18955211,-2.398005366
150513,-1.52085176,-2.400478749
150514,-1.738258508,-2.365237084
150515,-1.738897254,-0.221220172
150518,-1.485617602,1.606900077
150519,-1.284905922,2.035591891
150520,-1.395406184,-0.62492896
150521,-1.263532777,0.7399949
150522,-1.314964602,0.180835815
150525,-1.133772342,0.626856205
150526,-0.926320335,1.830867576
150527,-1.006923804,-0.323273127
150528,-0.823250344,0.985168481
150529,-0.823473686,0.378015687
150601,-0.93226001,0.79427017
150602,-1.072015603,-0.693302911
150603,-0.912356692,1.087605377
150604,-0.71985169,1.602434505
150605,-1.052862975,-2.071406957
150608,-1.116858457,-0.951565042
150609,-1.062031287,0.263597662
150610,-0.892454614,1.146100996
150611,-0.83728145,0.897886252
150612,-0.834557596,0.175578999
150615,-0.528537327,1.186932623
150616,-0.493260583,0.882845312
150617,-0.32935205,1.075567464
150618,-0.414616675,0.176823479
150619,-0.391332849,-0.386092543
150623,-0.174066531,1.22264875
150624,-0.04933095,1.691137264
150625,-0.512407985,-3.406700094
150626,-0.527601489,-0.406762562
150629,-0.824736058,-2.101441336
150630,-0.911843448,1.336819929
150701,-0.838523945,-1.765745701
150702,-0.640546023,1.437829782
150703,-0.614802004,1.032149027
150706,-0.914501616,-2.200663633
150707,-0.951324061,-0.312232683
150708,-0.791595864,0.121546234
150709,-0.739617348,0.855171685
150710,-0.712808702,0.596237052
150713,-0.647878985,0.242135591
150714,-0.278390865,2.102815366
150715,-0.320451348,0.515745115
150716,-0.586397212,-2.033778571
150720,-0.69161038,-0.732137871
150721,-0.476333515,1.350143884
150722,-0.367185143,0.8705912
150723,-0.380074048,0.174129854
150724,-0.401928176,-0.294128558
150727,-0.390171763,0.180035356
150729,-0.589990673,-1.545496745
150730,-0.514216109,0.493408284
150731,-0.385266952,1.000869699
150803,-0.489844661,-0.771657254
150804,-0.495226182,-0.100202448
150805,-0.557675453,-0.402656512
150806,-0.7511314,-0.93405055
150807,-0.654169856,0.233866067
150810,-0.59943934,0.492424865
150811,-0.352552711,1.75148274
150812,-0.397009733,0.091818238
150813,-0.410386929,-0.493154187
150814,-0.392921133,0.72546655
150817,-0.267144058,0.365061256
150818,-0.267946013,0.1355297
150820,-0.185349824,0.342588071
150824,-0.269523857,-0.522226095
150825,-0.288103963,-0.18151966
150827,-0.956024188,-4.302189345
150828,-0.852054886,0.383271357
150831,-0.743628348,2.928564677
150901,-0.903526305,-2.884063612
150902,-0.760095603,0.568249646
150906,-0.813215252,0.149307187
150908,-0.687803763,0.667574479
150909,-0.701633925,-0.043259685
150910,-0.666371938,0.273536044
150914,-0.766419426,-0.852171082
150915,-0.738570197,0.350920256
150917,-0.657802592,0.868540428
150918,-0.71009524,-0.770015027
150922,-0.66857932,0.436051949
150923,-0.657415769,0.244248024
150924,-0.659403433,-0.108091567
150925,-0.676169553,-0.150342207
150928,-0.681246962,-0.091353597
150929,-0.724951212,-0.334109317
150930,-0.706671672,0.15830557
151008,-0.717017933,-0.182066833
151009,-0.698294629,0.192380411
151010,-0.713270275,-0.182112832
151012,-0.784061987,-0.664997824
151013,-0.85162505,-0.113966567
151014,-0.931745391,-0.829086548
151015,-0.84277671,0.864714624
151016,-0.849304818,-0.197570575
151019,-0.871598464,-0.125850854
151020,-0.91555562,-0.434645215
151021,-0.941640643,-0.137799549
151022,-0.9433297,-0.050718324
151023,-0.962893624,-0.289597057
151026,-1.345854147,-2.373647933
151027,-1.468455784,-1.089760499
151028,-1.38447602,0.326563459
151029,-1.273167197,1.032112245
151030,-1.26771265,0.261998671
151102,-1.181501247,0.580069339
151103,-1.162457314,-1.114051601
151104,-1.066025606,0.830123261
151105,-1.119154838,-0.240356968
151106,-1.13528526,-0.306040202
151109,-0.93745557,1.252596234
151110,-0.942124849,0.170666313
151111,-0.997631639,-0.401549948
151112,-0.948657568,0.378852529
151113,-0.965793478,-0.239342875
151116,-0.954796405,0.15942408
151117,-0.967881346,-0.030001264
151118,-0.935358047,0.290070422
151119,-0.939086802,-0.059205182
151120,-1.087557917,-0.82135666
151123,-1.026184569,0.18485057
151124,-1.048937329,-0.214065336
151125,-1.043323327,0.108690235
151126,-1.060821306,-0.137956209
151127,-1.061462625,0.041275195
151130,-1.050095161,0.270621841
151201,-1.101069183,-0.661818484
151202,-1.134323368,-0.185595029
151203,-1.146603629,1.514669771
