val,buy,sell,avg,per
3.374,3.3638,3.4191,3.3914,-0.001391068
3.4501,3.4008,3.4591,3.43,0.022554831
3.4403,3.4138,3.47,3.4419,-0.002840497
3.5196,3.5217,3.5779,3.5498,0.023050315
3.6192,3.5696,3.62,3.5948,0.02829867
3.6581,3.6404,3.6921,3.6663,0.010748232
3.6973,3.6071,3.6634,3.6353,0.010715945
3.5413,3.4983,3.5612,3.5298,-0.042192952
3.5299,3.4955,3.5615,3.5285,-0.003219157
3.5864,3.5655,3.6258,3.5957,0.016006119
3.7104,3.7238,3.7725,3.7481,0.034575061
3.6305,3.6345,3.6838,3.6591,-0.021534066
3.5749,3.5,3.5605,3.5302,-0.015314695
3.4371,3.3913,3.4463,3.4188,-0.038546533
3.4325,3.4142,3.4754,3.4448,-0.001338338
3.3817,3.3817,3.4345,3.4081,-0.014799709
3.4574,3.485,3.545,3.515,0.022385191
3.555,3.503,3.5616,3.5323,0.028229305
3.5741,3.5383,3.5975,3.5679,0.005372714
3.6076,3.5356,3.5963,3.5659,0.009372989
3.4181,3.3479,3.412,3.38,-0.052527996
3.3304,3.2987,3.3605,3.3296,-0.025657529
3.2685,3.2475,3.3066,3.2771,-0.018586356
3.1923,3.1523,3.2083,3.1803,-0.023313447
3.1499,3.1371,3.1942,3.1656,-0.01328196
3.0985,3.0671,3.1291,3.0981,-0.016317978
3.0816,3.0541,3.1129,3.0835,-0.005454252
3.0718,3.0489,3.1081,3.0785,-0.003180166
3.0145,2.983,3.0427,3.0128,-0.018653558
3.0017,2.9811,3.0397,3.0104,-0.004246144
3.0078,2.98,3.0341,3.0071,0.002032182
2.8205,2.72,2.7871,2.7536,-0.062271428
2.645,2.6198,2.6721,2.6459,-0.06222301
2.6742,2.6508,2.7088,2.6798,0.011039698
2.7168,2.6746,2.7262,2.7004,0.015929998
2.5758,2.5272,2.6036,2.5654,-0.051899293
2.5477,2.5141,2.5767,2.5454,-0.010909232
2.5886,2.5416,2.6163,2.5789,0.016053695
2.9514,2.5058,2.5617,2.5338,0.140152978
2.4932,2.4748,2.5374,2.5061,-0.155248357
2.5279,2.5088,2.5654,2.5371,0.013917857
2.5886,2.5614,2.6307,2.596,0.024012026
2.5666,2.5267,2.5914,2.5591,-0.008498802
2.5227,2.4617,2.5338,2.4977,-0.01710434
2.4476,2.4113,2.4706,2.4409,-0.029769691
2.3632,2.3102,2.3755,2.3429,-0.034482759
2.2815,2.2233,2.2932,2.2583,-0.034571767
2.2037,2.178,2.2433,2.2107,-0.034100373
2.1962,2.1771,2.2325,2.2048,-0.003403367
2.2463,2.233,2.3003,2.2667,0.02281213
2.3114,2.2759,2.3463,2.3111,0.028980991
2.2903,2.2589,2.323,2.2909,-0.009128667
2.3142,2.2908,2.3538,2.3223,0.010435314
