time,normval,normbuy,normsell,normavg,normper
150302,1.442887358,1.445733259,1.51386123,1.480091848,-0.100215716
150303,1.593157824,1.518908106,1.592710085,1.55632408,1.572177101
150304,1.573806305,1.544618187,1.614196398,1.579825726,-0.201444517
150305,1.730395634,1.758011863,1.826891183,1.792920488,1.606781936
150306,1.927070252,1.852743624,1.909879603,1.881792261,1.97332951
150309,2.003883933,1.992764683,2.052004664,2.022999634,0.747598689
150310,2.081290007,1.92690732,1.99543061,1.961776857,0.74534375
150311,1.773245425,1.711733716,1.793971787,1.753421923,-2.949838431
150312,1.750734475,1.70619616,1.794563153,1.750854516,-0.227890309
150313,1.862301904,1.84463506,1.921312687,1.883569697,1.114811983
150316,2.107157853,2.157704743,2.210490861,2.184548767,2.411675601
150318,1.949383737,1.981096261,2.035643526,2.00878015,-1.507012144
150319,1.839593489,1.715095804,1.792591932,1.754211894,-1.072648356
150320,1.567487442,1.500119969,1.567478452,1.534204883,-2.695170818
150323,1.558404076,1.545409266,1.624840993,1.585553018,-0.096533028
150325,1.458092122,1.481134063,1.54421804,1.51307315,-1.036681492
150326,1.60757273,1.685430325,1.762038001,1.724192984,1.560329363
150327,1.800298058,1.721028899,1.794760275,1.758359243,1.968485026
150330,1.838013773,1.790841659,1.865527122,1.82866669,0.372169991
150331,1.904164373,1.785501873,1.863161657,1.824716834,0.651551073
150401,1.529969191,1.414287851,1.499865559,1.457577666,-3.671642751
150402,1.356792846,1.316985082,1.398347658,1.35804128,-1.794996734
150403,1.234562336,1.215726915,1.292098827,1.254357545,-1.301142695
150407,1.084094406,1.027450011,1.098327766,1.063184487,-1.631284947
150408,1.000369468,0.997388993,1.070533545,1.034153041,-0.93068119
150409,0.898872727,0.858950093,0.942207034,0.900845382,-1.142718111
150410,0.865501231,0.833240012,0.910273248,0.872011429,-0.383990392
150414,0.846149712,0.822955979,0.900811385,0.862136787,-0.22516716
150415,0.733002568,0.692625643,0.771893508,0.732383999,-1.305836114
150416,0.707727115,0.688868016,0.765979844,0.727644171,-0.299615563
150417,0.719772448,0.686692548,0.754941004,0.721126908,0.138865669
150420,0.349921485,0.17249092,0.268049327,0.220482588,-4.352128612
150421,0.003371331,-0.025674477,0.04135887,0.007782811,-4.348747076
150422,0.061030958,0.035634179,0.113702694,0.07473288,0.767954811
150423,0.145150824,0.082703405,0.148001946,0.115416403,1.109495657
150427,-0.133274086,-0.208809364,-0.093669794,-0.151198916,-3.627733839
150428,-0.188761604,-0.234717216,-0.146695649,-0.190697481,-0.764968754
150429,-0.107998633,-0.180330505,-0.068635283,-0.124537384,1.118134713
150430,0.608402484,-0.251132114,-0.176263969,-0.21360665,9.785286841
150504,-0.296379743,-0.312440769,-0.224164648,-0.268312163,-10.84568094
150505,-0.22785957,-0.245199018,-0.16897045,-0.207089386,0.968966786
150506,-0.107998633,-0.141172073,-0.040249695,-0.09076611,1.673948283
150507,-0.151440818,-0.209798214,-0.117718695,-0.163640964,-0.596623192
150508,-0.238127723,-0.338348621,-0.231261045,-0.284901561,-1.197638002
150511,-0.386423544,-0.438024629,-0.355842236,-0.397077487,-2.082192056
150512,-0.553083561,-0.637969954,-0.543305388,-0.590620459,-2.411354936
150513,-0.714412038,-0.80983196,-0.705536906,-0.757699392,-2.417571296
150514,-0.8680394,-0.899421705,-0.803900852,-0.851705979,-2.384648918
150515,-0.882849236,-0.901201633,-0.825190043,-0.863358055,-0.240755622
150518,-0.783919533,-0.790648283,-0.691541234,-0.741109995,1.590146983
150519,-0.65537016,-0.705805015,-0.600865052,-0.653423179,2.020983129
150520,-0.697035164,-0.73942589,-0.646794509,-0.69331673,-0.640613259
150521,-0.649841154,-0.676337306,-0.586080891,-0.631303982,0.725744349
150522,-0.638783144,-0.718264516,-0.611706769,-0.665075256,0.165940095
150525,-0.598302926,-0.601184761,-0.520833464,-0.561194028,0.614115185
150526,-0.477652132,-0.521681278,-0.422272396,-0.472124762,1.820315608
150527,-0.500163082,-0.540667184,-0.463470922,-0.502143672,-0.334611714
150528,-0.434012483,-0.445539883,-0.377525671,-0.411494464,0.975872541
150529,-0.408539565,-0.452066288,-0.379102648,-0.415641813,0.368689561
150601,-0.486932962,-0.515945952,-0.414190388,-0.465212513,0.783747487
150602,-0.534521901,-0.57409029,-0.488308312,-0.531372611,-0.705343222
150603,-0.462052438,-0.503486451,-0.421089663,-0.462447614,1.077247868
150604,-0.353249512,-0.415083325,-0.33317319,-0.374168319,1.594168607
150605,-0.498188437,-0.559257551,-0.481211915,-0.520313012,-2.083200203
150608,-0.56315425,-0.576463528,-0.522804685,-0.549739444,-0.964063049
150609,-0.546172305,-0.567959425,-0.487716945,-0.528015233,0.251645595
150610,-0.469951017,-0.495180117,-0.398617739,-0.44684568,1.136009264
150611,-0.409329423,-0.470261115,-0.386593289,-0.428478847,0.888344624
150612,-0.397679019,-0.471843274,-0.378314159,-0.425121469,0.166090951
150615,-0.315928726,-0.302156737,-0.209774732,-0.255870115,1.181013205
150616,-0.254122345,-0.29839911,-0.20307258,-0.250735301,0.877220085
150617,-0.177703593,-0.211380373,-0.125406458,-0.168380792,1.071790464
150618,-0.165065867,-0.26992025,-0.175475481,-0.22269132,0.171996451
150619,-0.193105822,-0.244605708,-0.142556084,-0.193659874,-0.390504623
150623,-0.105036666,-0.136425597,-0.043995016,-0.090173632,1.220620084
150624,0.018971024,-0.100035943,-0.0037821,-0.051860023,1.69030087
150625,-0.236745472,-0.285544069,-0.188682664,-0.237108296,-3.412290798
150626,-0.265970214,-0.296619181,-0.22337616,-0.260017464,-0.412684419
150629,-0.415450822,-0.444353264,-0.346774617,-0.395497545,-2.110582416
150630,-0.32402477,-0.556093233,-0.463668044,-0.509845892,1.326056145
150701,-0.448229925,-0.440595637,-0.352096915,-0.396287516,-1.77499149
150702,-0.350287545,-0.36643194,-0.275613526,-0.321042748,1.430570032
150703,-0.27860794,-0.368805179,-0.28054158,-0.324795112,1.025044143
150706,-0.434802341,-0.485093854,-0.411233556,-0.44822813,-2.210872422
150707,-0.456720897,-0.526427755,-0.432719869,-0.47962949,-0.322995708
150708,-0.448822318,-0.413303396,-0.344606274,-0.37910564,0.112758813
150709,-0.390767762,-0.412710087,-0.325682549,-0.369230998,0.846816993
150710,-0.349892616,-0.403414904,-0.322528595,-0.363108721,0.588127826
150713,-0.3333056,-0.36643194,-0.27876748,-0.322622691,0.234826893
150714,-0.186194566,-0.180923815,-0.097612237,-0.139349346,2.099630551
150715,-0.149071244,-0.212566992,-0.123040992,-0.167788313,0.512041384
150716,-0.296972137,-0.316000627,-0.237371832,-0.276606862,-2.040235185
150720,-0.348905294,-0.374738274,-0.303801992,-0.339212089,-0.739877169
150721,-0.254912203,-0.280204283,-0.205240923,-0.242638095,1.344705855
150722,-0.193105822,-0.218104548,-0.155763267,-0.186945118,0.866401238
150723,-0.18066556,-0.234321676,-0.154580534,-0.194449845,0.169789213
150724,-0.201991724,-0.236892684,-0.159902832,-0.198399702,-0.298649181
150727,-0.189156533,-0.234914986,-0.161874053,-0.198399702,0.175592397
150729,-0.300723962,-0.323515881,-0.239343053,-0.281544183,-1.55202712
150730,-0.266167678,-0.296421411,-0.219039473,-0.257845043,0.487586744
150731,-0.195277932,-0.22878412,-0.169758939,-0.199189673,0.996447893
150803,-0.250962914,-0.274864497,-0.199327259,-0.237108296,-0.777116177
150804,-0.258269099,-0.283170831,-0.203466824,-0.243230574,-0.105761259
150805,-0.287098913,-0.313231849,-0.232838022,-0.273051991,-0.408901999
150806,-0.353446977,-0.398470657,-0.353279648,-0.375945755,-0.942507906
150807,-0.337452354,-0.355356828,-0.29532574,-0.325387591,0.226498347
150810,-0.303291,-0.341710708,-0.262603465,-0.30228093,0.485628347
150811,-0.180073167,-0.231157358,-0.145118672,-0.188130075,1.747367028
150812,-0.173556839,-0.255087511,-0.159902832,-0.207484372,0.087244553
150813,-0.209297909,-0.237881533,-0.162268298,-0.200177137,-0.49774571
150814,-0.157364752,-0.250143264,-0.179615046,-0.214989099,0.720857961
150817,-0.130904513,-0.178550576,-0.095838137,-0.137176925,0.361994933
150818,-0.121031289,-0.177759497,-0.100766191,-0.139349346,0.132444467
150820,-0.0959533,-0.138007756,-0.050302924,-0.094123488,0.340459205
150824,-0.134261409,-0.171035322,-0.090910084,-0.131054647,-0.525244697
150825,-0.147491529,-0.182308204,-0.100766191,-0.141521767,-0.184762563
150827,-0.460472722,-0.490038101,-0.413007655,-0.451585508,-4.312692353
150828,-0.434802341,-0.467096798,-0.38481919,-0.42591144,0.37365431
150831,-0.234573362,-0.470261115,-0.408670968,-0.439538445,2.919566666
150901,-0.440923739,-0.468481187,-0.398814862,-0.433811153,-2.894062715
150902,-0.402418167,-0.402228284,-0.351308427,-0.376933219,0.559701218
150906,-0.392544943,-0.45048413,-0.374174594,-0.412481928,0.140082151
150908,-0.346733184,-0.381857989,-0.314052343,-0.347901773,0.659771576
150909,-0.350090081,-0.387791085,-0.313658098,-0.350666673,-0.051176044
150910,-0.331330955,-0.371376187,-0.300253793,-0.33585471,0.265990059
150914,-0.391360156,-0.40835915,-0.339678221,-0.374168319,-0.860728069
150915,-0.367466954,-0.410139079,-0.334750167,-0.372588377,0.342554769
150917,-0.307437754,-0.378495902,-0.306561702,-0.342569467,0.860989789
150918,-0.361937949,-0.376320433,-0.317600541,-0.346914309,-0.777945043
150922,-0.331923349,-0.36643194,-0.3101099,-0.338422117,0.428471745
150923,-0.315138868,-0.36722302,-0.302816381,-0.335064739,0.236773905
150924,-0.323037447,-0.362081003,-0.300056671,-0.331114883,-0.11554095
150925,-0.333897994,-0.368805179,-0.307744434,-0.338422117,-0.157969733
150928,-0.340611786,-0.379484751,-0.300253793,-0.34000206,-0.09903639
150929,-0.364307523,-0.396888498,-0.321740106,-0.359356357,-0.342258966
150930,-0.353644441,-0.391153172,-0.317600541,-0.354419036,0.150320274
151008,-0.366677096,-0.391153172,-0.317600541,-0.354419036,-0.190120374
151009,-0.353644441,-0.388582164,-0.309518534,-0.34908673,0.184496987
151010,-0.366677096,-0.391153172,-0.312672488,-0.35185163,-0.190120374
151012,-0.413278713,-0.415874405,-0.344014908,-0.379895611,-0.67373147
151013,-0.421572221,-0.465316869,-0.387381778,-0.426306426,-0.123576445
151014,-0.479034383,-0.49181803,-0.418527075,-0.455337872,-0.839492865
151015,-0.420782363,-0.462745861,-0.393295442,-0.428083861,0.855142605
