time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,val,cmax,avg,std,rc,rc2,rc3
150416,3.7676277,1.072436728,4.356208471,2.362627537,3.96964625,-1.551906932,3.537858867,-1.112343212,3.053554107,-2.729626072,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,4513.55,0.850713961,0.86230123,0.027746125,0,0,0.417617548
150417,4.356208471,2.362627537,3.96964625,-1.551906932,3.537858867,-1.112343212,3.053554107,-2.729626072,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,4596.14,0.846921547,0.859538417,0.0262787,0,0,0.480117715
150420,3.96964625,-1.551906932,3.537858867,-1.112343212,3.053554107,-2.729626072,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,4521.92,0.864216495,0.857798476,0.024627481,0,0,-0.260603938
150421,3.537858867,-1.112343212,3.053554107,-2.729626072,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,4619.16,0.860123919,0.856465966,0.02367994,0,0,-0.154474729
150422,3.053554107,-2.729626072,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,4739.81,0.83134345,0.854254052,0.023865775,0,0,0.959977295
150423,3.155254018,-0.132100851,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,4740.89,0.833176893,0.85103176,0.021978063,0,0,0.812394954
150427,2.985849194,-1.070463302,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,0.257657439,1.10672912,4807.59,0.850359536,0.845152774,0.013114866,0,0,-0.397012215
150428,3.406397477,1.521844151,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,0.257657439,1.10672912,-0.334704603,-3.624128884,4741.86,0.842667532,0.844383196,0.012764575,0,0,0.134408234
150429,3.558563581,1.92864726,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,0.257657439,1.10672912,-0.334704603,-3.624128884,-0.389439141,-0.760617344,4774.33,0.857789454,0.844089394,0.012358563,0,0,-1.108548009
150430,3.664892216,0.330970461,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,0.257657439,1.10672912,-0.334704603,-3.624128884,-0.389439141,-0.760617344,-0.228579643,1.120827121,4749.89,0.857972498,0.844596836,0.012722945,0,0,-1.05130237
150504,3.695273229,0.610175898,2.908780501,-3.704438842,2.694164557,-1.825421864,2.483036046,-1.329202537,2.117509939,-1.655166172,2.040103045,-0.953764458,1.786954984,-1.16289433,1.735575028,-0.403554113,1.712879863,-0.244485731,1.449669579,-1.322221889,1.441153622,-0.315888925,1.442243008,0.122643311,0.455995624,-4.3572358,-0.035952928,-4.348610027,0.150743884,0.766282711,0.257657439,1.10672912,-0.334704603,-3.624128884,-0.389439141,-0.760617344,-0.228579643,1.120827121,0.093289427,9.786576673,4787.74,0.86749078,0.845805247,0.013705352,0,0,-1.582267488
