time,val,cmax,avg,std,rc,rc2,rc3
150416,4513.55,0.850713961,0.86230123,0.027746125,0,0,0.417617548
150417,4596.14,0.846921547,0.859538417,0.0262787,0,0,0.480117715
150420,4521.92,0.864216495,0.857798476,0.024627481,0,0,-0.260603938
150421,4619.16,0.860123919,0.856465966,0.02367994,0,0,-0.154474729
150422,4739.81,0.83134345,0.854254052,0.023865775,0,0,0.959977295
150423,4740.89,0.833176893,0.85103176,0.021978063,0,0,0.812394954
150424,4702.64,0.837754093,0.847956024,0.018970821,0,0,0.537769624
150427,4807.59,0.850359536,0.845152774,0.013114866,0,0,-0.397012215
150428,4741.86,0.842667532,0.844383196,0.012764575,0,0,0.134408234
150429,4774.33,0.857789454,0.844089394,0.012358563,0,0,-1.108548009
150430,4749.89,0.857972498,0.844596836,0.012722945,0,0,-1.05130237
150504,4787.74,0.86749078,0.845805247,0.013705352,0,0,-1.582267488
150505,4596.84,0.886107176,0.847697033,0.016408411,0,0,-2.34088131
150506,4553.33,0.893545415,0.851052979,0.018552734,0,0,-2.290359806
150507,4470.09,0.886543986,0.854355805,0.018704153,0,0,-1.720910846
150508,4558.4,0.90365859,0.85772068,0.021185359,0,0,-2.168380077
150511,4690.53,0.919602129,0.862065079,0.024445514,0,0,-2.353685405
150512,4747.42,0.923161085,0.866313935,0.027295112,0,0,-2.082686123
150513,4718.44,0.91116547,0.869544948,0.02862416,0,0,-1.454034709
150514,4700.78,0.938838378,0.873157619,0.032524726,0,0,-2.019410087
150515,4617.47,0.956017464,0.878422794,0.036925881,0,0,-2.101362737
150518,4575.14,0.940579376,0.883105686,0.038620567,0,0,-1.488162778
150519,4731.22,0.960805726,0.887935147,0.04202345,0,0,-1.73404562
150520,4754.92,0.98590146,0.894224024,0.046784146,0,0,-1.959583385
150521,4840.98,0.979324434,0.901623074,0.048001954,0,0,-1.618712438
150522,4951.34,0.949771173,0.907452788,0.046301764,0,0,-0.913969185
150525,5099.5,0.942757133,0.91270294,0.043872075,0,0,-0.685041531
150526,5198.92,0.912085587,0.915789242,0.041354435,0,0,0.089558841
150527,5181.43,0.918331115,0.919572421,0.037603908,0,0,0.033010039
150528,4834.01,0.913630139,0.922364456,0.034739095,0,0,0.251426152
150529,4840.83,0.920910497,0.925511356,0.031277216,0,0,0.147099372
150601,5076.18,0.884191332,0.926346383,0.029836424,0,0,1.412872086
150602,5161.87,0.875822286,0.925832139,0.030644166,0,0,1.631953428
150603,5143.59,0.859811268,0.924145431,0.033325869,0,0,1.930457191
150604,5181.42,0.876797489,0.923658107,0.033969697,0,0,1.379482942
150605,5230.55,0.896756555,0.923313005,0.034217722,0,0,0.776102214
150608,5353.75,0.886746673,0.921670232,0.035180399,0,0,0.992699345
150609,5317.46,0.881333645,0.91957886,0.036312163,0,0,1.053234303
150610,5309.11,0.878035022,0.917922338,0.037453911,0,0,1.064970627
150611,5306.59,0.862473967,0.914104117,0.039067134,0,0,1.321575051
150612,5335.12,0.854567359,0.909031612,0.039915615,0,0,1.364484876
150615,5221.17,0.883720756,0.906188681,0.039573783,0,0,0.567747695
150616,5064.82,0.88814756,0.902555773,0.037580862,0,0,0.383392283
150617,5138.83,0.904222274,0.898471813,0.032082789,0,0,-0.179238185
150618,4930.55,0.924835863,0.895747385,0.026721042,0,0,-1.088598176
150619,4637.05,0.952509923,0.895884322,0.027017839,0,0,-2.095859716
150623,4786.09,0.971080084,0.89730047,0.030163189,0,0,-2.446015029
150624,4880.13,0.967813215,0.900086851,0.033938575,0,0,-1.995557074
150625,4706.52,0.902920383,0.899316315,0.033676489,0,0,-0.107020314
150626,4336.19,0.904194256,0.89884452,0.033531187,0,0,-0.159545083
150629,4191.55,0.948154098,0.9002067,0.034996154,0,0,-1.370076173
150630,4473,0.964159701,0.904205119,0.037545504,0,0,-1.59685117
150701,4253.02,0.960745272,0.908451268,0.038942766,0,0,-1.342842581
