time,val,ml,mla,theta,cc
1509,"3,202.95",0.661653064,0.920120646,0.128623621,1
1510,"3,534.08",0.730056623,0.897625364,0.136733172,1
1511,"3,566.41",0.736735229,0.875686634,0.13989767,0
1512,"3,731.00",0.770735597,0.856581267,0.137002211,0
1601,"2,946.09",0.608591915,0.826306129,0.148834395,0
1602,"2,877.47",0.59441666,0.792507518,0.151826295,0
1603,"3,218.09",0.664780626,0.76457257,0.140602649,0
1604,"3,156.75",0.652109246,0.735581674,0.122324611,0
1605,"3,169.56",0.708598256,0.711298195,0.089610886,0
1606,"3,153.92",0.826347368,0.703159218,0.071046807,0
1607,"3,203.93",0.858732243,0.709016974,0.080927955,0
1608,"3,327.79",0.891929778,0.72539055,0.096341481,0
1609,"3,253.28",0.87195926,0.742916067,0.102616977,0
1610,"3,336.28",0.894205307,0.756595124,0.111318688,0
1611,"3,538.00",0.948271241,0.774223125,0.123923259,0
1612,"3,310.08",0.935579423,0.78796011,0.132351443,0
1701,"3,387.96",0.95759186,0.817043439,0.127613711,0
1702,"3,452.81",0.975921425,0.848835503,0.113893315,0
1703,"3,456.05",0.976837196,0.874840217,0.103168817,0
1704,"3,439.75",0.972230073,0.901516953,0.078865693,0
1705,"3,492.88",0.987247032,0.924737684,0.054002835,0
1706,"3,666.80",1,0.939208737,0.048194863,0
1707,"3,737.87",1,0.95098105,0.043803546,0
1708,"3,822.09",1,0.959986901,0.041613806,0
1709,"3,836.50",1,0.970656963,0.032382343,0
1710,"4,006.72",1,0.979473188,0.022599729,0
1711,"4,006.10",0.99984526,0.983771022,0.020971905,0
1712,"4,030.85",1,0.989139404,0.014872623,0
1801,"4,275.90",1,0.992673416,0.011305582,0
1802,"4,023.64",0.941004233,0.98976365,0.018323985,1
1803,"3,898.50",0.91173788,0.984338707,0.029016014,1
1804,"3,756.88",0.878617367,0.976537648,0.042169921,1
1805,"3,802.38",0.889258402,0.968371928,0.048863588,0
1806,"3,510.98",0.821109006,0.953464346,0.063448872,1
1807,"3,517.66",0.82267125,0.93868695,0.071734462,0
1808,"3,334.50",0.779835824,0.920339935,0.082041673,0
1809,"3,438.86",0.804242382,0.9040268,0.084196034,0
1810,"3,153.82",0.737580392,0.8821585,0.09082129,0
1811,"3,172.69",0.741993498,0.860670853,0.090949037,0
1812,"3,010.65",0.704097383,0.836012302,0.089845884,0
1901,"3,201.63",0.795704884,0.818987709,0.073885533,0
1902,"3,669.37",0.941226113,0.819006198,0.073918864,0
1903,"3,872.34",1,0.826361375,0.087185482,0
1904,"3,913.21",1,0.836476595,0.099911899,0
1905,"3,629.79",0.927573527,0.839669522,0.102334859,0
1906,"3,825.59",0.977609175,0.852711202,0.109477473,0
1907,"3,835.36",0.980105847,0.865830752,0.114851688,0
1908,"3,799.59",0.970965013,0.881758185,0.115094389,0
1909,"3,814.53",0.974782851,0.89596989,0.115181722,0
1910,"3,886.75",0.993238288,0.917274715,0.106541618,0
1911,"3,828.67",0.978396253,0.936974944,0.092056025,0
1912,"4,096.58",1,0.961633496,0.056937844,0
2001,"4,003.90",0.97737625,0.976772776,0.022615873,0
2002,"3,940.05",0.961790079,0.97848644,0.020342368,0
2003,"3,686.16",0.899813991,0.970137606,0.029297868,1
2004,"3,912.58",0.955084485,0.966394647,0.027975204,1
2005,"3,867.02",0.943963013,0.967760437,0.026254778,0
2006,"4,163.96",1,0.969626339,0.027770258,0
2007,"4,695.05",1,0.971284185,0.029018517,0
2008,"4,816.22",1,0.973703767,0.030176844,0
2009,"4,587.40",0.952489712,0.971846006,0.030784467,0
2010,"4,695.33",0.974899402,0.970317765,0.030072918,0
2011,"4,960.25",1,0.972118078,0.031225084,0
2012,"5,211.29",1,0.972118078,0.031225084,0
2101,"5,351.96",1,0.97400339,0.032237985,0
2102,"5,336.76",0.997159919,0.976950877,0.032634299,0
2103,"5,048.36",0.943273119,0.980572471,0.024756401,0
2104,"5,123.49",0.957310966,0.980758011,0.024555541,0
2105,"5,331.57",0.996190181,0.985110275,0.021929005,0
2106,"5,224.04",0.976098476,0.983118481,0.021535585,0
2107,"4,811.17",0.898954775,0.974698046,0.031693553,1
2108,"4,805.61",0.897915904,0.966191038,0.037460492,0
2109,"4,866.38",0.909270622,0.962589447,0.040824149,0
2110,"4,908.77",0.917191085,0.957780421,0.042602473,0
2111,"4,832.03",0.902852413,0.949684788,0.043077942,0
2112,"4,940.37",0.923095464,0.943276077,0.04055895,0
2201,"4,563.77",0.855157436,0.931205863,0.04358307,0
2202,"4,581.65",0.859343495,0.919721161,0.042774042,0
2203,"4,222.60",0.791999355,0.907115014,0.05557713,1
2204,"4,016.24",0.753294058,0.890113605,0.068523168,0
2205,"4,091.52",0.783209929,0.872365251,0.066089317,0
2206,"4,485.01",0.907828766,0.866676109,0.058894713,0
2207,"4,170.10",0.844086577,0.862103759,0.058287655,0
2208,"4,078.84",0.825614276,0.856078623,0.057985345,0
2209,"3,804.89",0.770162964,0.844486318,0.060245586,0
2210,"3,508.70",0.710209964,0.827237891,0.066809698,0
2211,"3,853.04",0.779909197,0.816992623,0.063505016,0
2212,"3,871.63",0.845029629,0.810487137,0.055088492,0
2301,"4,156.86",0.907284494,0.814831059,0.060700471,0
2302,"4,069.46",0.907346918,0.818831344,0.065307537,0
2303,,,,,0
2304,,,,,0
