,month,m0,m0_yoy,m0_mom,m1,m1_yoy,m1_mom,m2,m2_yoy,m2_mom,gdp,m2-m1,chugdp,,chugdp2,avg,std,,
0,202302,107600,10.6,-6.11,657900,5.8,0.41,2755200,12.9,0.63,1210207,2097300,1.733009312,1210207,1.733009312,1.497152305,0.076277262,3.092101112,3.092101112
1,202301,114600,7.9,9.45,655200,6.7,-2.45,2738100,12.6,2.77,1210207,2082900,1.721110521,1205089,1.728420059,,,3.031935698,3.031935698
2,202212,104700,15.3,4.97,671700,3.7,0.7,2664300,11.8,0.65,1210207,1992600,1.646495186,1199971,1.66054013,,,2.142025296,2.142025296
3,202211,99740.12,14.1,1.34,667042.61,4.6,0.74,2647008.48,12.4,1.3,1210207,1979965.87,1.636055543,1194853,1.657079047,,,2.096650264,2.096650264
4,202210,98400,14.3,-0.28,662100,5.8,-0.37,2612900,11.8,-0.52,1210207,1950800,1.611955641,1189735,1.639692873,,,1.868716365,1.868716365
5,202209,98700,13.6,1.51,664500,6.4,-0.02,2626600,12.1,1.22,1210207,1962100,1.621292886,1184617,1.656315923,,,2.086645667,2.086645667
6,202208,97231.03,14.3,0.75,664604.85,6.1,0.42,2595068.27,12.2,0.66,1210207,1930463.42,1.595151425,1179499,1.636680845,,,1.82922848,1.82922848
7,202207,96500,13.9,0.51,661800,6.7,-1.86,2578100,12,-0.13,1210207,1916300,1.583448121,1174381,1.631753239,,,1.764627229,1.764627229
8,202206,96011.17,13.8,0.49,674374.81,5.8,4.54,2581451.2,11.4,2.15,1210207,1907076.39,1.575826607,1169263,1.631007216,,,1.75484682,1.75484682
9,202205,95546.86,13.5,-0.08,645107.52,4.6,1.41,2527026.15,11.1,1.09,1210207,1881918.63,1.555038626,1164145,1.616567206,,,1.565537328,1.565537328
10,202204,95626.49,11.4,0.51,636139.01,5.1,-1.38,2499710.9,10.5,0.08,1210207,1863571.89,1.539878624,1159027,1.607876167,,,1.451597225,1.451597225
11,202203,95141.92,9.9,-2.15,645063.8,4.7,3.77,2497688.34,9.7,2.3,1210207,1852624.54,1.530832775,1153909,1.605520487,,,1.420714109,1.420714109
12,202202,97227.7,5.8,-8.44,621612.11,4.7,1.26,2441488.9,9.2,0.43,1210207,1819876.79,1.503773148,1148791,1.584166998,,,1.14076844,1.14076844
13,202201,106188.87,18.5,16.92,613859.35,-1.9,-5.19,2431022.72,9.8,2.02,1210207,1817163.37,1.501531036,1143670,1.588887852,,,1.202659152,1.202659152
14,202112,90825.15,7.7,3.88,647443.35,3.5,1.56,2382899.56,9,1.14,1143670,1735456.21,1.517444901,1133850,1.530587124,,,0.438332704,0.438332704
15,202111,87433.41,7.2,1.57,637482.04,3,1.82,2356012.76,8.5,0.85,1143670,1718530.72,1.502645623,1124030,1.528901115,,,0.416229016,0.416229016
16,202110,86085.78,6.2,-0.9,626082.12,2.8,0.23,2336160.48,8.7,-0.28,1143670,1710078.36,1.495255065,1114210,1.534789995,,,0.493432626,0.493432626
17,202109,86867.09,5.5,2.13,624645.68,3.7,-0.32,2342829.7,8.3,1.32,1143670,1718184.02,1.502342476,1104390,1.55577651,,,0.768567245,0.768567245
18,202108,85059.2,6.3,0.4,626658.69,4.2,1.01,2312267.68,8.2,0.44,1143670,1685608.99,1.473859584,1094570,1.539973679,,,0.561391076,0.561391076
19,202107,84717.56,6.1,0.44,620367.05,4.9,-2.68,2302153.82,8.3,-0.67,1143670,1681786.77,1.470517518,1084750,1.550391122,,,0.697964452,0.697964452
20,202106,84346.97,6.2,0.2,637479.36,5.5,3.35,2317788.36,8.6,1.86,1143670,1680309,1.469225388,1074930,1.563179928,,,0.865626548,0.865626548
21,202105,84177.72,5.6,-1.89,616828.32,6.1,1.88,2275538.07,8.3,0.59,1143670,1658709.75,1.450339477,1065110,1.557313094,,,0.788711968,0.788711968
22,202104,85803.37,5.3,-0.86,605421.89,6.2,-1.74,2262107.12,8.1,-0.63,1143670,1656685.23,1.448569281,1055290,1.569886221,,,0.953546495,0.953546495
23,202103,86543.64,4.2,-5.85,616113.17,7.1,3.81,2276488.45,9.4,1.81,1143670,1660375.28,1.45179578,1045470,1.588161573,,,1.193137586,1.193137586
24,202102,91924.6,4.2,2.57,593487.46,7.4,-5.13,2236030.26,10.1,1.04,1143670,1642542.8,1.43620345,1035650,1.586001835,,,1.164823268,1.164823268
25,202101,89625.24,-3.9,6.3,625563.81,14.7,0,2213047.33,9.4,1.2,1143670,1587483.52,1.388060822,1025830,1.547511303,,,0.660209828,0.660209828
26,202012,84314.53,9.2,3.33,625580.99,8.6,1.12,2186795.89,10.1,0.68,1015986.2,1561214.9,1.53664971,1015986.2,1.53664971,,,0.517813623,0.517813623
27,202011,81593.61,10.3,0.69,618632.17,10,1.55,2172002.55,10.7,1.04,1015986.2,1553370.38,1.528928621,1013893.2,1.532084819,,,0.457967594,0.457967594
28,202010,81036.43,10.4,-1.62,609182.41,9.1,1.14,2149720.42,10.5,-0.66,1015986.2,1540538.01,1.516298164,1011800.2,1.522571363,,,0.333245554,0.333245554
29,202009,82370.87,11.1,2.91,602312.12,8.1,0.17,2164084.8,10.9,1.28,1015986.2,1561772.68,1.537198714,1009707.2,1.546757991,,,0.650333855,0.650333855
30,202008,80042.71,9.4,0.22,601289.1,8,1.71,2136836.91,10.4,0.54,1015986.2,1535547.81,1.511386483,1007614.2,1.523944194,,,0.351243456,0.351243456
