,trade_date,price,settle,per,normcjl,normcje,normccl,jc,dt,g_settle,q,iv,normprice,normsettle,normper,normjc,normdt,normgse,normq,normiv
0,20150209,2.3,0.123,-0.038367347,-0.459350142,-0.036726964,-0.725205071,0.031,44,0.0969,0.045260197,0.342990875,-1.0926575937551792,0.13986705198263572,0.04845733185971575,0.3081105149029829,1.6086070730951152,-0.3450087725929141,-0.08108134860668079,0.3890825031589914
1,20150210,2.45,0.0659,0.072347267,-0.464420112,-0.038336059,-0.728186983,-0.081,43,0.0746,-0.226562078,0.210269928,-0.7866420940959645,-0.2896450349005275,0.06156971368193861,-0.09984848237004777,1.538061054636098,-0.47080982016754963,-0.133763576180347,-0.24818121249196157
2,20150210,2.3,0.1367,0.095098756,-0.470977273,-0.038030515,-0.725183923,0.069,43,0.1537,0.342611998,0.464298248,-1.0926575937551792,0.2429198644222037,0.06426426501544281,0.4465251746920469,1.538061054636098,-0.024582785945411943,-0.023451210496323552,0.9715435916398936
3,20150211,2.45,0.0591,-0.126903553,-0.448720105,-0.03745494,-0.715286513,-0.07,42,0.0564,-0.232199816,0.174659729,-0.7866420940959645,-0.3407953359654226,0.03797162905843082,-0.05978108085216085,1.4675150361770808,-0.5734815271567141,-0.13485623349224946,-0.41916468000602203
4,20150211,2.3,0.1363,-0.008070433,-0.463744116,-0.037056666,-0.720298663,0.08,42,0.1297,0.301473029,0.42842865,-1.0926575937551792,0.23991102318309235,0.05204551855025553,0.4865925762099338,1.4675150361770808,-0.1599740479091452,-0.03142440742068892,0.7993146118362309
5,20150212,2.5,0.0373,-0.163538874,-0.45468577,-0.038436683,-0.725987559,-0.116,41,0.0471,-0.357296934,0.126394272,-0.6846369275428936,-0.5047771834969981,0.03363275905946484,-0.22733566901786986,1.3969690177180636,-0.6259456411676607,-0.15910146813788612,-0.650912758667722
6,20150212,2.45,0.0536,-0.119402985,-0.457339054,-0.038200308,-0.709872546,-0.066,41,0.1168,0.020941407,0.252458572,-0.7866420940959645,-0.3821669030032054,0.03885995181860001,-0.04521111666383831,1.3969690177180636,-0.2327468512146519,-0.08579460482932184,-0.04561113865338892
7,20150212,2.3,0.1337,-0.0287226,-0.466955097,-0.037568055,-0.71896632,0.084,41,0.1519,0.420885982,0.467666626,-1.0926575937551792,0.22035355512886784,0.04959959845554869,0.5011625403982564,1.3969690177180636,-0.034737130592691914,-0.008280828164023857,0.9877169623738811
8,20150213,2.5,0.0294,-0.295918367,-0.429842917,-0.037554194,-0.715117327,-0.11,40,0.035,-0.359158525,0.097740173,-0.6846369275428936,-0.5642017979694497,0.01795451754341458,-0.20548072273538606,1.3264229992590464,-0.6942054024077096,-0.15946226550341136,-0.7884962977406482
9,20150213,2.45,0.0429,-0.27039627,-0.442247444,-0.037365596,-0.706742596,-0.06,40,0.1044,0.037436052,0.217878342,-0.7866420940959645,-0.4626534061494374,0.020977203245663507,-0.02335617038135451,1.3264229992590464,-0.3026990032292474,-0.08259775629423827,-0.21164917828449967
