,per,normcjl,normcje,jc,normccl,y1o,y2o,y3o,y4o,time,y1,y2,y3,y4
0,-0.014375049,1.301368626,1.27,-204.288,-1.165953225,1.795694504,-2.488974226,1.048429725,-0.200146856,150416,1.699726554,-2.090432176,0.94412066,0.191195873
1,0.014874584,1.249384812,1.25,-222.56,-1.105448559,1.626522971,-1.809334814,2.134912439,-0.904763342,150417,1.530555021,-1.410792764,2.030603374,-0.513420613
2,-0.023772664,0.949360051,0.98,-217.701,-1.067660358,1.484810457,-2.814160145,0.559270044,-0.310127192,150420,1.388842507,-2.415618095,0.454960979,0.081215537
3,0.06378065,1.605748052,1.6,27.713,-0.921878222,1.388468409,1.558691291,3.422967289,0.213032339,150421,1.292500459,1.957233341,3.318658224,0.604375068
4,0.016386237,1.381968812,1.48,-133.627,-0.967311154,1.731270688,-1.008260592,1.984213128,-0.239579828,150422,1.635302738,-0.609718542,1.879904063,0.151762901
5,0.008275261,1.600557447,1.71,-145.103,-0.968496572,2.095199456,-1.309417851,1.789089838,-0.099980367,150423,1.999231506,-0.910875801,1.684780773,0.291362362
6,0.007301374,1.485917,1.59,-91.895,-0.973383394,1.846089002,-0.930778817,1.594322914,0.290790307,150424,1.750121052,-0.532236767,1.490013849,0.682133036
7,0.004744106,1.46558227,1.62,-165.816,-0.959255155,2.009523545,-1.566714782,1.660251931,-0.24319051,150427,1.913555595,-1.168172732,1.555942866,0.148152219
8,-0.026340984,2.219580866,2.27,-119.483,-0.942006124,3.036972425,-2.013168152,0.633625669,0.913446864,150428,2.941004475,-1.614626102,0.529316604,1.304789593
9,0.02587266,1.637105529,1.73,-126.054,-0.899016602,2.013540569,-0.648919011,2.372733935,-0.29220899,150429,1.917572619,-0.250376961,2.26842487,0.099133739
10,0.007507075,1.364161342,1.51,-130.873,-0.931022869,1.797771348,-1.211349378,1.630715518,-0.075644051,150430,1.701803398,-0.812807328,1.526406453,0.315698678
11,-0.000982365,1.006767757,1.15,-163.281,-0.933030821,1.437107567,-1.707465216,1.25823563,-0.312489986,150504,1.341139617,-1.308923166,1.153926565,0.078852743
12,-0.021780233,1.167209949,1.29,-54.344,-0.942393199,1.552354462,-1.426865554,0.297230954,0.965398324,150505,1.456386512,-1.028323504,0.192921889,1.356741053
13,-0.012237588,1.205818721,1.31,-42.199,-0.952747456,1.508284511,-1.077242292,0.641706177,0.906988853,150506,1.412316561,-0.678700242,0.537397112,1.298331582
14,-0.018580782,1.159667047,1.22,7.922,-0.960706686,1.361109008,-0.866735909,0.270806796,1.38570805,150507,1.265141058,-0.468193859,0.166497731,1.777050779
15,0.029689642,1.382513145,1.43,-30.093,-0.93334532,1.437225065,0.171239457,2.218502448,0.300976777,150508,1.341257115,0.569781507,2.114193383,0.692319506
16,0.045560555,1.453665262,1.58,-68.418,-0.931990557,1.558976388,0.308089384,2.939636268,-0.23150591,150511,1.463008438,0.706631434,2.835327203,0.159836819
17,0.023728578,1.984331749,2.16,-97.878,-0.971738325,2.460798413,-0.511678976,2.415817499,0.15938915,150512,2.364830463,-0.113136926,2.311508434,0.550731879
18,0.011292808,2.716051567,2.92,-129.129,-0.972875358,3.572404815,-1.063471474,2.291881991,0.418371465,150513,3.476436865,-0.664929424,2.187572926,0.809714194
19,0.007944843,1.220165787,1.47,-52.993,-1.109633807,1.472497257,-0.690177978,1.548266615,0.599293088,150514,1.376529307,-0.291635928,1.44395755,0.990635817
20,-0.020326814,2.580046045,2.76,-163.085,-0.647732326,3.730739738,-2.031103892,0.946705378,0.470457518,150515,3.634771788,-1.632561842,0.842396313,0.861800247
21,0.016707583,2.974804212,3.22,-105.195,-0.548084696,3.993390452,-0.514482089,2.299763145,0.377425418,150518,3.897422502,-0.115940039,2.19545408,0.768768147
22,0.035501272,3.470924985,3.81,-4.033,-0.514868819,4.415084547,0.813323428,2.956775091,1.027774029,150519,4.319116597,1.211865478,2.852466026,1.419116758
23,0.019877676,3.691749274,4.26,9.469,-0.472629255,4.934169713,0.520995438,2.45255852,1.529600032,150520,4.838201763,0.919537488,2.348249455,1.920942761
24,0.043473795,4.014713788,4.7,115.377,-0.39248053,5.120383373,2.031833455,3.194464798,2.046708312,150521,5.024415423,2.430375505,3.090155733,2.438051041
25,0.011415431,4.581539547,5.43,-36.971,-0.414447039,6.439145708,-0.007624587,2.592768923,1.693060733,150522,6.343177758,0.390917463,2.488459858,2.084403462
26,0.022715871,4.137091542,5.03,-73.49,-0.362917674,5.90077248,0.023874408,2.917056574,1.02406013,150525,5.80480453,0.422416458,2.812747509,1.415402859
27,0.05248666,4.063373282,5.21,158.62,-0.33845937,5.364485489,2.635451624,3.529113742,2.336150936,150526,5.268517539,3.033993674,3.424804677,2.727493665
28,0.013703563,5.003961502,6.47,54.66,-0.291236215,7.246279023,0.834936289,2.699880517,2.622121421,150527,7.150311073,1.233478339,2.595571452,3.01346415
29,-0.064567213,6.042471364,7.63,108.776,-0.355369711,9.034688265,-0.862506622,0.096825688,4.886479812,150528,8.938720315,-0.463964572,-0.007483377,5.277822541
30,-0.000573066,5.923145765,7.29,154.155,-0.357547008,8.268511104,1.221841125,2.290330792,4.007397792,150529,8.172543154,1.620383175,2.186021727,4.398740521
31,0.081501233,4.025892058,5.34,537.29,-0.229183248,4.577200996,6.404457913,3.730053819,4.748130776,150601,4.481233046,6.802999963,3.625744754,5.139473505
32,0.034185451,4.488030891,6.21,364,-0.260391173,6.043669905,3.778118652,2.630768824,4.531935872,150602,5.947701955,4.176660702,2.526459759,4.923278601
33,-0.01511276,5.539060415,7.61,123.21,-0.253327054,8.395380544,0.617523603,1.78414433,4.007793922,150603,8.299412594,1.016065653,1.679835265,4.399136651
34,-0.025227248,6.341737947,8.24,-96.21,-0.460388007,9.74421766,-1.423704585,2.263163214,2.84643427,150604,9.64824971,-1.025162535,2.158854149,3.237776999
35,0.017170518,5.597012454,7.52,-195.52,-0.504683907,8.700862398,-1.092427039,3.830432299,1.073994348,150605,8.604894448,-0.693884989,3.726123234,1.465337077
36,-0.03174693,4.973051156,6.51,-428.32,-0.558995373,8.341402102,-4.269538667,2.240544102,-0.185908351,150608,8.245434152,-3.870996617,2.136235037,0.205434378
37,-0.000112145,5.290066886,6.95,-313.34,-0.55355213,8.435669959,-2.506993625,3.304285179,0.301615083,150609,8.339702009,-2.108451575,3.199976114,0.692957812
38,0.027084585,5.100988883,6.91,-220.2577,-0.492950695,7.966380375,-1.027406343,4.043777733,0.482198448,150610,7.870412425,-0.628864293,3.939468668,0.873541177
39,0.013642662,4.234624375,5.9,-107.4931,-0.517481575,6.597534223,-0.563761622,2.959289481,1.249735759,150611,6.501566273,-0.165219572,2.854980416,1.641078488
40,0.019933846,3.961894033,5.72,-118.0906,-0.616596977,6.250775379,-0.534745357,3.198226568,1.034264674,150612,6.154807429,-0.136203307,3.093917503,1.425607403
41,-0.020732772,3.645072708,5.26,-104.292,-0.659659075,5.945475237,-1.563759456,1.526933331,1.727455786,150615,5.849507287,-1.165217406,1.422624266,2.118798515
42,-0.040944737,4.786655938,6.45,-40.8358,-0.821601594,7.428270455,-1.656149025,1.145741129,3.113479597,150616,7.332302505,-1.257606975,1.041432064,3.504822326
43,0.021534613,3.986447346,5.41,-67.1456,-0.950352429,5.859051192,-0.255818371,3.265919855,1.512216082,150617,5.763083242,0.142723679,3.16161079,1.903558811
44,-0.033393925,1.463735425,2.33,-58.7787,-1.161961514,2.431620295,-1.878282338,0.28068802,1.570566708,150618,2.335652345,-1.479740288,0.176378955,1.961909437
45,-0.081841842,6.528074844,8.11,2.5926,-0.555439121,9.908324884,-2.231895106,-0.022890446,4.657077429,150619,9.812356934,-1.833353056,-0.127199511,5.048420158
46,-0.024151846,6.086095777,7.23,-184.2849,-0.490096016,9.070069379,-2.094218414,2.247916149,1.858878278,150623,8.974101429,-1.695676364,2.143607084,2.250221007
47,0.015470272,5.56122255,6.73,-209.6266,-0.590421028,8.176715571,-1.284486564,3.657743998,0.827207192,150624,8.080747621,-0.885944514,3.553434933,1.218549921
48,-0.065255394,5.943324972,7.07,-524.5037,-0.61795174,9.712132824,-5.911049049,1.491105846,-0.056412898,150625,9.616164874,-5.512506999,1.386796781,0.334929831
49,-0.111090509,4.784089796,5.21,-449.0648,-0.571623696,7.883488481,-6.587590665,-0.995663345,0.692878135,150626,7.787520531,-6.189048615,-1.09997241,1.084220864
50,-0.111091087,6.224123108,6.04,-716.2434,-0.69031058,9.843337036,-8.652403811,0.043279115,-0.947444955,150629,9.747369086,-8.253861761,-0.06102995,-0.556102226
51,0.059693266,7.147059382,6.8,-560.0202,-0.713123815,9.633599967,-2.781672346,6.374951286,-2.429259545,150630,9.537632017,-2.383130296,6.270642221,-2.037916816
52,-0.111087437,7.171146123,7.12,-902.5097,-0.724832835,11.51034039,-10.07528993,0.850643571,-1.990399398,150701,11.41437244,-9.67674788,0.746334506,-1.599056669
53,-0.035133937,8.798293951,7.95,-167.3035,-0.825714267,11.27621723,-2.301982385,2.500369805,2.861655838,150702,11.18024928,-1.903440335,2.39606074,3.252998567
54,-0.017610199,6.95349063,6.04,49.309,-0.73383233,8.330232179,-0.175983758,1.939573178,3.480085704,150703,8.234264229,0.222558292,1.835264113,3.871428433
55,0.002043011,5.752594529,4.87,204.001,-0.74687192,6.362621851,1.501561534,1.910680689,3.904639904,150706,6.266653901,1.900103584,1.806371624,4.295982633
56,-0.111107701,1.496103806,1.23,-247.3263,-0.791869393,2.672674908,-5.255657907,-2.66503276,0.971673404,150707,2.576706958,-4.857115857,-2.769341825,1.363016133
