time,per,normcjl,normcje,jc,normccl
150515,-0.020326814,2.580046045,2.76,-163.085,-0.647732326
150518,0.016707583,2.974804212,3.22,-105.195,-0.548084696
150519,0.035501272,3.470924985,3.81,-4.033,-0.514868819
150520,0.019877676,3.691749274,4.26,9.469,-0.472629255
150521,0.043473795,4.014713788,4.7,115.377,-0.39248053
150522,0.011415431,4.581539547,5.43,-36.971,-0.414447039
150525,0.022715871,4.137091542,5.03,-73.49,-0.362917674
150526,0.05248666,4.063373282,5.21,158.62,-0.33845937
150527,0.013703563,5.003961502,6.47,54.66,-0.291236215
150528,-0.064567213,6.042471364,7.63,108.776,-0.355369711
150529,-0.000573066,5.923145765,7.29,154.155,-0.357547008
150601,0.081501233,4.025892058,5.34,537.29,-0.229183248
150602,0.034185451,4.488030891,6.21,364,-0.260391173
150603,-0.01511276,5.539060415,7.61,123.21,-0.253327054
150604,-0.025227248,6.341737947,8.24,-96.21,-0.460388007
150605,0.017170518,5.597012454,7.52,-195.52,-0.504683907
150608,-0.03174693,4.973051156,6.51,-428.32,-0.558995373
150609,-0.000112145,5.290066886,6.95,-313.34,-0.55355213
150610,0.027084585,5.100988883,6.91,-220.2577,-0.492950695
150611,0.013642662,4.234624375,5.9,-107.4931,-0.517481575
150612,0.019933846,3.961894033,5.72,-118.0906,-0.616596977
150615,-0.020732772,3.645072708,5.26,-104.292,-0.659659075
150616,-0.040944737,4.786655938,6.45,-40.8358,-0.821601594
150617,0.021534613,3.986447346,5.41,-67.1456,-0.950352429
150618,-0.033393925,1.463735425,2.33,-58.7787,-1.161961514
150619,-0.081841842,6.528074844,8.11,2.5926,-0.555439121
150623,-0.024151846,6.086095777,7.23,-184.2849,-0.490096016
150624,0.015470272,5.56122255,6.73,-209.6266,-0.590421028
150625,-0.065255394,5.943324972,7.07,-524.5037,-0.61795174
150626,-0.111090509,4.784089796,5.21,-449.0648,-0.571623696
150629,-0.111091087,6.224123108,6.04,-716.2434,-0.69031058
150630,0.059693266,7.147059382,6.8,-560.0202,-0.713123815
150701,-0.111087437,7.171146123,7.12,-902.5097,-0.724832835
150702,-0.035133937,8.798293951,7.95,-167.3035,-0.825714267
150703,-0.017610199,6.95349063,6.04,49.309,-0.73383233
150706,0.002043011,5.752594529,4.87,204.001,-0.74687192
150707,-0.111107701,1.496103806,1.23,-247.3263,-0.791869393
150708,-0.11110365,-0.250330741,-0.2,-645.7735,-0.960295419
150709,0.090900766,-0.638887398,-0.48,-344.1516,-1.004107475
150710,0.090906568,-0.75500532,-0.55,-37.3842,-1.043250438
150713,0.047849292,0.886003562,0.91,-126.0351,-1.077942039
150714,-0.014545455,1.295905855,1.28,-214.0574,-1.161259941
150715,-0.08125,0.833047724,0.79,-269.2945,-1.191693716
150716,0.050505855,0.078835283,0.17,-46.9585,-1.28243862
150717,0.04576461,1.647136811,1.53,-137.0971,-1.066305595
150720,-0.025510607,2.713349342,2.53,-527.4956,-1.056023915
150721,0.0017628,2.643480296,2.46,-505.4627,-1.089481713
150722,0.00854239,1.968604409,1.89,-547.2364,-1.069765078
150723,0.074982113,2.377456916,2.37,-165.9909,-1.051548359
150724,-0.049122807,2.63496537,2.71,-445.0739,-1.040274799
150727,-0.111095976,2.018158165,1.99,-452.7809,-1.034057406
150728,-0.051350229,2.311650928,2,-428.8199,-1.050846786
150729,0.057719271,2.508952249,2.2,-319.9956,-1.057475446
150730,-0.035121681,2.730281991,2.46,-568.5799,-1.052201549
150731,0.00359508,1.942904109,1.74,-328.0608,-1.069619925
150803,-0.041555795,0.942497566,0.84,-475.0053,-1.050967747
150804,0.073626201,1.585549405,1.44,-284.4952,-1.053048275
150805,-0.015948921,1.324833273,1.27,-352.9375,-1.067249091
150806,-0.001510854,1.41754487,1.34,-246.6278,-1.059628551
150807,0.036987976,1.585666048,1.57,-162.1187,-1.048863026
150810,0.058991597,1.129475998,1.23,-64.0862,-1.024864374
150811,-0.018974221,1.047184492,1.19,-234.7271,-1.059023746
150812,-0.024424043,1.239567375,1.34,-254.1365,-1.070031193
150813,0.025090465,1.223801155,1.33,-188.6288,-1.056725488
150814,0.008765035,1.296178021,1.47,-228.2423,-1.065991097
150817,0.028271163,1.25428381,1.43,-161.4567,-1.072522988
150818,-0.10656242,1.678397085,1.79,-359.2687,-1.121778287
150819,0.034277162,1.313052348,1.34,-189.7828,-1.190846989
150820,-0.012995127,0.092249207,0.26,-46.5116,-1.250553314
150821,-0.12001554,2.40871719,2.12,-405.5024,-0.992471032
150824,-0.111104298,0.760223727,0.61,-482.5885,-0.949892778
150825,-0.111080833,1.532904614,1.04,-610.0117,-0.955263444
150826,-0.087256028,2.319543758,1.46,-838.3256,-0.948634784
150827,0.060861644,2.260833541,1.42,-527.8548,-0.956376284
150828,0.090900572,1.555163951,1.03,-440.2938,-0.96119053
150831,-0.052873486,0.697275488,0.43,-619.9127,-1.003647823
150901,-0.109063838,1.150413383,0.63,-796.2072,-0.984003765
150902,-0.01123303,2.115690999,1.21,-745.5533,-0.97599615
150907,0.070992235,-0.743593765,-0.57,-348.5566,-1.058806016
150908,0.090897697,-0.760332009,-0.58,8.1449,-1.096618409
150909,0.016015073,-0.792505985,-0.59,-182.0072,-1.099231166
150910,-0.00822915,-0.846667132,-0.64,-121.3093,-1.106198516
150911,0.010778816,-0.850769071,-0.64,-73.3191,-1.111182108
150914,-0.111076378,-0.812490788,-0.61,-291.5904,-1.142825492
150915,-0.024048308,-0.836519207,-0.64,-44.4299,-1.159445526
150916,0.063297415,-0.821141796,-0.63,-34.0367,-1.191209872
150917,-0.011788413,-0.890699795,-0.67,-10.409,-1.23869914
150918,-0.041543739,-0.802848315,-0.61,-206.8814,-1.148341311
150921,0.059479433,-0.775767741,-0.59,-80.2393,-1.118899416
150922,6.58E-05,-0.790659141,-0.6,-218.1258,-1.115149627
150923,-0.019630794,-0.795033246,-0.6,-244.2006,-1.108835465
150924,0.016655738,-0.796296877,-0.6,-215.1101,-1.100973003
150925,-0.047897156,-0.763228639,-0.59,-320.9764,-1.109561231
150928,0.034799146,-0.787645868,-0.6,-225.2917,-1.102859994
150929,-0.013189043,-0.79851309,-0.61,-189.6058,-1.104819562
150930,0.006015749,-0.82749883,-0.63,-205.9274,-1.113867441
151008,0.044227789,-0.818264607,-0.62,-177.2924,-1.108762889
151009,0.027408379,-0.825399259,-0.62,-63.2514,-1.111327261
151012,0.037635865,-0.805433897,-0.6,-76.1221,-1.109488654
151013,0.002721048,-0.843148407,-0.63,-113.4769,-1.131963199
151014,-0.008758201,-0.83539166,-0.62,-79.2957,-1.162590511
151015,0.041841606,-0.8569317,-0.64,25.5626,-1.219127659
151019,-0.043965595,-0.802129018,-0.6,-362.3718,-1.128382755
151020,0.031562044,-0.799076864,-0.59,-312.0754,-1.10999669
151021,-0.044730506,-0.762839829,-0.57,-233.9386,-1.102618072
151022,0.025051754,-0.766572399,-0.57,-298.0976,-1.085151311
151023,0.034568616,-0.777750669,-0.58,-230.2344,-1.083651395
151026,-0.001165331,-0.789045582,-0.58,-321.7548,-1.076805006
151027,0.012544543,-0.769643994,-0.57,-328.0362,-1.064104106
151028,-0.035670467,-0.781191632,-0.58,-365.4952,-1.066813631
151029,0.010026541,-0.781561001,-0.58,-326.9748,-1.054233693
151030,-0.00103187,-0.769430148,-0.57,-301.1706,-1.042839171
151102,-0.021113244,-0.770868743,-0.57,-267.6315,-1.035896013
151103,-0.004687359,-0.785274131,-0.58,-263.9029,-1.037033046
151104,0.062336051,-0.752478059,-0.55,-177.3884,-1.029122199
151105,0.001584965,-0.780083526,-0.57,-210.0505,-1.054015963
151106,0.032520771,-0.798999102,-0.58,-153.0471,-1.048959795
151109,0.010062825,-0.806192076,-0.59,-190.0014,-1.053338582
151110,5.41E-05,-0.829054067,-0.61,-181.0084,-1.068990928
151111,0.019244533,-0.834789006,-0.61,-139.666,-1.06768455
151112,0.003165315,-0.822366546,-0.6,-163.4517,-1.077167889
151113,-0.005865024,-0.816962096,-0.59,-99.108,-1.082296633
151116,0.021523959,-0.820850189,-0.6,-80.8548,-1.095771683
151117,-0.010016429,-0.824330033,-0.6,-102.7808,-1.135567835
151118,-0.007814375,-0.855493105,-0.63,-27.9417,-1.174372108
151119,0.023515655,-0.890349867,-0.66,-21.622,-1.229070649
151120,-0.031574987,-0.795888627,-0.58,-363.6655,-1.014824615
151123,-0.010738656,-0.795966389,-0.58,-387.5822,-0.987971284
151124,0.013679561,-0.802673351,-0.58,-327.4975,-0.97776218
151125,0.023561787,-0.812140859,-0.59,-291.3841,-0.964698398
151126,-0.009400143,-0.815737346,-0.59,-342.2797,-0.964141977
151127,-0.065251107,-0.750495131,-0.54,-283.5243,-0.975246193
151130,0.004636003,-0.756366153,-0.55,-290.1988,-0.954029642
151201,0.001737279,-0.773298802,-0.56,-306.3452,-0.953618375
151202,0.022499382,-0.735739815,-0.53,-125.6596,-0.94328831
151203,0.02220174,-0.781288835,-0.57,-192.7077,-0.941812586
151204,-0.006315099,-0.802498386,-0.58,-195.8749,-0.953545798
151207,0.007085048,-0.800068328,-0.58,-262.8276,-0.954948945
151208,-0.016071923,-0.799096304,-0.58,-174.142,-0.954707023
151209,-0.001552967,-0.807125218,-0.59,-162.2742,-0.957392356
151210,-0.003737796,-0.785001964,-0.57,-180.2098,-0.9705771
151211,0.003735783,-0.804442433,-0.59,-63.3017,-0.988237399
151214,0.02786311,-0.792350462,-0.58,-19.0301,-1.030331809
151215,0.007064196,-0.838366052,-0.61,-52.1813,-1.07530509
151216,0.005071671,-0.853879546,-0.63,-36.8028,-1.11993968
151217,0.024825829,-0.872289671,-0.64,-22.646,-1.186419818
151218,-0.025508841,-0.817914678,-0.6,-211.77,-1.060886545
151221,0.017297297,-0.817798036,-0.59,-203.564,-1.032871989
151222,0.008026144,-0.83080371,-0.6,-206.6081,-1.032896181
151223,-0.014368581,-0.816806572,-0.59,-256.8825,-1.029194776
151224,-0.002415908,-0.817817476,-0.59,-219.6367,-1.015961648
151225,0.008320388,-0.840076813,-0.61,-196.3244,-1.013615006
151228,-0.03578371,-0.805220052,-0.58,-298.3609,-1.011510285
151229,0.006308808,-0.800865387,-0.58,-256.1881,-0.991309807
151230,0.014724286,-0.822055498,-0.6,-229.6472,-0.97797991
