,Model,tn,fp,fn,tp,auc,log_loss,acc,ppv,tpr,fpr,forr,tnr,fnr,fdr,npv,f1,lrp,lrn,lift,youden
0,1,1408,373,13,88,0.8309271129246557,7.084094547437294,0.7948990435706695,0.19088937093275488,0.8712871287128713,0.2094329028635598,0.009148486980999296,0.7905670971364402,0.12871287128712872,0.8091106290672452,0.9908515130190007,0.3131672597864768,4.160220847822047,0.16281081233123312,3.5569682781727194,0.6618542258493114
1,2,1781,0,2,99,0.9900990099009901,0.036704331981840185,0.9989373007438895,1.0,0.9801980198019802,0.0,0.0011217049915872126,1.0,0.01980198019801982,0.0,0.9988782950084127,0.99,inf,0.01980198019801982,18.633663366336634,0.9801980198019802
2,3,1152,629,50,51,0.5758890599896599,12.4613879484208,0.6392136025504782,0.075,0.504950495049505,0.3531723750701853,0.04159733777038269,0.6468276249298147,0.49504950495049505,0.925,0.9584026622296173,0.13060179257362356,1.4297564891624297,0.7653499724972497,1.3975247524752474,0.15177811997931967
3,4,1775,6,82,19,0.5923749590006727,1.6149931563957078,0.953241232731137,0.76,0.18811881188118812,0.003368893879842785,0.04415724286483576,0.9966311061201573,0.8118811881188119,0.24,0.9558427571351642,0.3015873015873016,55.83993399339934,0.8146255752335797,14.161584158415842,0.18474991800134533
4,6,1767,14,87,14,0.5653765544999194,1.8535747132040399,0.9463336875664187,0.5,0.13861386138613863,0.007860752386299831,0.04692556634304207,0.9921392476137002,0.8613861386138614,0.5,0.9530744336569579,0.2170542635658915,17.633663366336638,0.8682109297517188,9.316831683168317,0.1307531089998388
5,7,1781,0,21,80,0.8960396039603961,0.38539548580931243,0.9888416578108395,1.0,0.7920792079207921,0.0,0.011653718091009988,1.0,0.20792079207920788,0.0,0.98834628190899,0.8839779005524863,inf,0.20792079207920788,18.633663366336634,0.7920792079207921
6,8,1403,378,13,88,0.8295234071413878,7.175857501720878,0.7922422954303932,0.1888412017167382,0.8712871287128713,0.21224031443009544,0.009180790960451978,0.7877596855699045,0.12871287128712872,0.8111587982832618,0.990819209039548,0.3104056437389771,4.105191471528105,0.16339103618130882,3.5188033824841716,0.6590468142827759
7,9,1781,0,0,101,1.0,9.992007221626413e-16,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,inf,0.0,18.633663366336634,1.0
8,10,1669,112,74,27,0.6022203567914344,3.413550459280324,0.9011689691817216,0.19424460431654678,0.26732673267326734,0.06288601909039865,0.042455536431440045,0.9371139809096014,0.7326732673267327,0.8057553956834532,0.9575444635685599,0.225,4.250972418670439,0.7818400773570466,3.6194885675617923,0.2044407135828687
9,11,1406,375,13,88,0.8303656306113486,7.120799729150726,0.793836344314559,0.1900647948164147,0.8712871287128713,0.21055586749017405,0.009161381254404511,0.7894441325098259,0.12871287128712872,0.8099352051835853,0.9908386187455955,0.31205673758865243,4.13803300330033,0.16304240665887357,3.5416034044009153,0.6607312612226972
