,Model,tn,fp,fn,tp,auc,log_loss,acc,ppv,tpr,fpr,forr,tnr,fnr,fdr,npv,f1,lrp,lrn,lift,youden
0,1,1409,372,14,87,0.8262573590318043,7.084094122571496,0.7948990435706695,0.1895424836601307,0.8613861386138614,0.20887142055025268,0.009838369641602248,0.7911285794497473,0.13861386138613863,0.8104575163398693,0.9901616303583978,0.31071428571428567,4.124001916320664,0.1752102818514641,3.5318708341422376,0.6525147180636087
1,2,1781,0,3,98,0.9851485148514851,0.05505649797275978,0.9984059511158342,1.0,0.9702970297029703,0.0,0.0016816143497757848,1.0,0.02970297029702973,0.0,0.9983183856502242,0.9849246231155778,inf,0.02970297029702973,18.633663366336634,0.9702970297029703
2,3,1152,629,50,51,0.5758890599896599,12.4613879484208,0.6392136025504782,0.075,0.504950495049505,0.3531723750701853,0.04159733777038269,0.6468276249298147,0.49504950495049505,0.925,0.9584026622296173,0.13060179257362356,1.4297564891624297,0.7653499724972497,1.3975247524752474,0.15177811997931967
3,4,1775,6,82,19,0.5923749590006727,1.6149931563957078,0.953241232731137,0.76,0.18811881188118812,0.003368893879842785,0.04415724286483576,0.9966311061201573,0.8118811881188119,0.24,0.9558427571351642,0.3015873015873016,55.83993399339934,0.8146255752335797,14.161584158415842,0.18474991800134533
4,6,1767,14,87,14,0.5653765544999194,1.8535747132040399,0.9463336875664187,0.5,0.13861386138613863,0.007860752386299831,0.04692556634304207,0.9921392476137002,0.8613861386138614,0.5,0.9530744336569579,0.2170542635658915,17.633663366336638,0.8682109297517188,9.316831683168317,0.1307531089998388
5,7,1781,0,16,85,0.9207920792079207,0.2936346558547145,0.9914984059511158,1.0,0.8415841584158416,0.0,0.008903728436282694,1.0,0.15841584158415845,0.0,0.9910962715637173,0.913978494623656,inf,0.15841584158415845,18.633663366336634,0.8415841584158416
6,8,1407,374,13,88,0.8306463717680023,7.10244713829401,0.7943676939426142,0.19047619047619047,0.8712871287128713,0.20999438517686692,0.009154929577464789,0.7900056148231331,0.12871287128712872,0.8095238095238095,0.9908450704225352,0.3126110124333925,4.149097262667444,0.16292652719429723,3.549269212635549,0.6612927435360043
7,9,1781,0,0,101,1.0,9.992007221626413e-16,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,inf,0.0,18.633663366336634,1.0
8,10,1775,6,95,6,0.5280185233571083,1.8535713142776626,0.9463336875664187,0.5,0.0594059405940594,0.003368893879842785,0.05080213903743316,0.9966311061201573,0.9405940594059405,0.5,0.9491978609625669,0.10619469026548671,17.633663366336634,0.9437735322828057,9.316831683168317,0.056037046714216616
9,11,1406,375,13,88,0.8303656306113486,7.120799729150726,0.793836344314559,0.1900647948164147,0.8712871287128713,0.21055586749017405,0.009161381254404511,0.7894441325098259,0.12871287128712872,0.8099352051835853,0.9908386187455955,0.31205673758865243,4.13803300330033,0.16304240665887357,3.5416034044009153,0.6607312612226972
