time,normper,normcjl,normcje,normjc,normccl
150514,-1.000009705,2.580046045,2.76,-1.279297652,-0.647732326
150515,0.843207476,2.974804212,3.22,-0.620528159,-0.548084696
150518,1.778577113,3.470924985,3.81,0.530662713,-0.514868819
150519,1.000984309,3.691749274,4.26,0.68431111,-0.472629255
150520,2.175372864,4.014713788,4.7,1.889509927,-0.39248053
150521,0.579814893,4.581539547,5.43,0.155838916,-0.414447039
150522,1.142242443,4.137091542,5.03,-0.259735503,-0.362917674
150525,2.623946864,4.063373282,5.21,2.381601294,-0.33845937
150526,0.693696164,5.003961502,6.47,1.198570087,-0.291236215
150527,-3.201872572,6.042471364,7.63,1.81439268,-0.355369711
150528,-0.016857537,5.923145765,7.29,2.330791037,-0.357547008
150529,4.068014104,4.025892058,5.34,6.690743533,-0.229183248
150601,1.71308816,4.488030891,6.21,4.718759329,-0.260391173
150602,-0.740504092,5.539060415,7.61,1.978646936,-0.253327054
150603,-1.243906322,6.341737947,8.24,-0.518281762,-0.460388007
150604,0.866247942,5.597012454,7.52,-1.648397472,-0.504683907
150605,-1.568393579,4.973051156,6.51,-4.297586246,-0.558995373
150608,0.006082691,5.290066886,6.95,-2.989151,-0.55355213
150609,1.359675137,5.100988883,6.91,-1.929904504,-0.492950695
150610,0.690665096,4.234624375,5.9,-0.646679794,-0.517481575
150611,1.003779913,3.961894033,5.72,-0.76727592,-0.616596977
150612,-1.020214402,3.645072708,5.26,-0.61025231,-0.659659075
150615,-2.026172219,4.786655938,6.45,0.111858741,-0.821601594
150616,1.083450746,3.986447346,5.41,-0.187538282,-0.950352429
150617,-1.650365198,1.463735425,2.33,-0.092325663,-1.161961514
150618,-4.061637967,6.528074844,8.11,0.6060599,-0.555439121
150619,-1.190383122,6.086095777,7.23,-1.520545664,-0.490096016
150623,0.781625998,5.56122255,6.73,-1.808926021,-0.590421028
150624,-3.236123624,5.943324972,7.07,-5.392125672,-0.61795174
150625,-5.517356162,4.784089796,5.21,-4.533655367,-0.571623696
150626,-5.517384929,6.224123108,6.04,-7.5740615,-0.69031058
150629,2.982622611,7.147059382,6.8,-5.796291965,-0.713123815
150630,-5.517203267,7.171146123,7.12,-9.693711805,-0.724832835
150701,-1.736966311,8.798293951,7.95,-1.327302819,-0.825714267
150702,-0.864802659,6.95349063,6.04,1.137677436,-0.73383233
150703,0.113345692,5.752594529,4.87,2.89802241,-0.74687192
150706,-5.518211815,1.496103806,1.23,-2.237936425,-0.791869393
150707,-5.518010195,-0.250330741,-0.2,-6.77213681,-0.960295419
150708,4.53583273,-0.638887398,-0.48,-3.339777052,-1.004107475
150709,4.536121498,-0.75500532,-0.55,0.151136834,-1.043250438
150710,2.39314315,0.886003562,0.91,-0.857681762,-1.077942039
150713,-0.712269088,1.295905855,1.28,-1.859347093,-1.161259941
150714,-4.032181747,0.833047724,0.79,-2.487927442,-1.191693716
150715,2.525361384,0.078835283,0.17,0.042184393,-1.28243862
150716,2.289387669,1.647136811,1.53,-0.983563748,-1.066305595
150717,-1.258009216,2.713349342,2.53,-5.426172527,-1.056023915
150720,0.099399475,2.643480296,2.46,-5.175445245,-1.089481713
150721,0.43682246,1.968604409,1.89,-5.650816452,-1.069765078
150722,3.743554819,2.377456916,2.37,-1.312365855,-1.051548359
150723,-2.433198129,2.63496537,2.71,-4.488240214,-1.040274799
150724,-5.517628257,2.018158165,1.99,-4.575943384,-1.034057406
150727,-2.544057838,2.311650928,2,-4.303274946,-1.050846786
150728,2.884376067,2.508952249,2.2,-3.064889577,-1.057475446
150729,-1.736356325,2.730281991,2.46,-5.893698585,-1.052201549
150730,0.190592805,1.942904109,1.74,-3.156668947,-1.069619925
150731,-2.056584827,0.942497566,0.84,-4.828849874,-1.050967747
150803,3.67607052,1.585549405,1.44,-2.660906497,-1.053048275
150804,-0.782120169,1.324833273,1.27,-3.439757755,-1.067249091
150805,-0.063531632,1.41754487,1.34,-2.229987721,-1.059628551
150806,1.852570983,1.585666048,1.57,-1.268301471,-1.048863026
150807,2.947700256,1.129475998,1.23,-0.152723298,-1.024864374
150810,-0.932690595,1.047184492,1.19,-2.0945616,-1.059023746
150811,-1.203930479,1.239567375,1.34,-2.315434301,-1.070031193
150812,1.260426963,1.223801155,1.33,-1.569977842,-1.056725488
150813,0.447903593,1.296178021,1.47,-2.020766672,-1.065991097
150814,1.418731612,1.25428381,1.43,-1.260768124,-1.072522988
150817,-5.291991309,1.678397085,1.79,-3.511804765,-1.121778287
150818,1.717652654,1.313052348,1.34,-1.583109989,-1.190846989
150819,-0.635108626,0.092249207,0.26,0.047269971,-1.250553314
150820,-5.961558628,2.40871719,2.12,-4.037929331,-0.992471032
150821,-5.518042446,0.760223727,0.61,-4.91514424,-0.949892778
150824,-5.516874583,1.532904614,1.04,-6.365179081,-0.955263444
150825,-4.331104233,2.319543758,1.46,-8.963317487,-0.948634784
150826,3.040773265,2.260833541,1.42,-5.430260107,-0.956376284
150827,4.535823075,1.555163951,1.03,-4.433844221,-0.96119053
150828,-2.619870966,0.697275488,0.43,-6.477849262,-1.003647823
150831,-5.416487912,1.150413383,0.63,-8.484023705,-0.984003765
150901,-0.547408333,2.115690999,1.21,-7.907598691,-0.97599615
150902,3.544976949,-0.743593765,-0.57,-3.389904528,-1.058806016
150907,4.535679985,-0.760332009,-0.58,0.66924328,-1.096618409
150908,0.808740968,-0.792505985,-0.59,-1.494626174,-1.099231166
150909,-0.397903989,-0.846667132,-0.64,-0.803903685,-1.106198516
150910,0.548130302,-0.850769071,-0.64,-0.257790717,-1.111182108
150911,-5.516652856,-0.812490788,-0.61,-2.74164758,-1.142825492
150914,-1.185229993,-0.836519207,-0.64,0.070959044,-1.159445526
