,time,normper,normcjl,normcje,normjc,normccl,val,cmax,avg,std,rc,rc2,rc3
0,150514,-1.000009705,2.580046045,2.76,-1.279297652,-0.647732326,4700.78,0.938838378,0.873157619,0.032524726,0,0,-2.019410087
1,150515,0.843207476,2.974804212,3.22,-0.620528159,-0.548084696,4617.47,0.956017464,0.878422794,0.036925881,0,0,-2.101362737
2,150518,1.778577113,3.470924985,3.81,0.530662713,-0.514868819,4575.14,0.940579376,0.883105686,0.038620567,0,0,-1.488162778
3,150519,1.000984309,3.691749274,4.26,0.68431111,-0.472629255,4731.22,0.960805726,0.887935147,0.04202345,0,0,-1.73404562
4,150520,2.175372864,4.014713788,4.7,1.889509927,-0.39248053,4754.92,0.98590146,0.894224024,0.046784146,0,0,-1.959583385
5,150521,0.579814893,4.581539547,5.43,0.155838916,-0.414447039,4840.98,0.979324434,0.901623074,0.048001954,0,0,-1.618712438
6,150522,1.142242443,4.137091542,5.03,-0.259735503,-0.362917674,4951.34,0.949771173,0.907452788,0.046301764,0,0,-0.913969185
7,150525,2.623946864,4.063373282,5.21,2.381601294,-0.33845937,5099.5,0.942757133,0.91270294,0.043872075,0,0,-0.685041531
8,150526,0.693696164,5.003961502,6.47,1.198570087,-0.291236215,5198.92,0.912085587,0.915789242,0.041354435,0,0,0.089558841
9,150527,-3.201872572,6.042471364,7.63,1.81439268,-0.355369711,5181.43,0.918331115,0.919572421,0.037603908,0,0,0.033010039
10,150528,-0.016857537,5.923145765,7.29,2.330791037,-0.357547008,4834.01,0.913630139,0.922364456,0.034739095,0,0,0.251426152
11,150529,4.068014104,4.025892058,5.34,6.690743533,-0.229183248,4840.83,0.920910497,0.925511356,0.031277216,0,0,0.147099372
12,150601,1.71308816,4.488030891,6.21,4.718759329,-0.260391173,5076.18,0.884191332,0.926346383,0.029836424,0,0,1.412872086
13,150602,-0.740504092,5.539060415,7.61,1.978646936,-0.253327054,5161.87,0.875822286,0.925832139,0.030644166,0,0,1.631953428
14,150603,-1.243906322,6.341737947,8.24,-0.518281762,-0.460388007,5143.59,0.859811268,0.924145431,0.033325869,0,0,1.930457191
15,150604,0.866247942,5.597012454,7.52,-1.648397472,-0.504683907,5181.42,0.876797489,0.923658107,0.033969697,0,0,1.379482942
16,150605,-1.568393579,4.973051156,6.51,-4.297586246,-0.558995373,5230.55,0.896756555,0.923313005,0.034217722,0,0,0.776102214
17,150608,0.006082691,5.290066886,6.95,-2.989151,-0.55355213,5353.75,0.886746673,0.921670232,0.035180399,0,0,0.992699345
18,150609,1.359675137,5.100988883,6.91,-1.929904504,-0.492950695,5317.46,0.881333645,0.91957886,0.036312163,0,0,1.053234303
19,150610,0.690665096,4.234624375,5.9,-0.646679794,-0.517481575,5309.11,0.878035022,0.917922338,0.037453911,0,0,1.064970627
20,150611,1.003779913,3.961894033,5.72,-0.76727592,-0.616596977,5306.59,0.862473967,0.914104117,0.039067134,0,0,1.321575051
21,150612,-1.020214402,3.645072708,5.26,-0.61025231,-0.659659075,5335.12,0.854567359,0.909031612,0.039915615,0,0,1.364484876
22,150615,-2.026172219,4.786655938,6.45,0.111858741,-0.821601594,5221.17,0.883720756,0.906188681,0.039573783,0,0,0.567747695
23,150616,1.083450746,3.986447346,5.41,-0.187538282,-0.950352429,5064.82,0.88814756,0.902555773,0.037580862,0,0,0.383392283
24,150617,-1.650365198,1.463735425,2.33,-0.092325663,-1.161961514,5138.83,0.904222274,0.898471813,0.032082789,0,0,-0.179238185
25,150618,-4.061637967,6.528074844,8.11,0.6060599,-0.555439121,4930.55,0.924835863,0.895747385,0.026721042,0,0,-1.088598176
26,150619,-1.190383122,6.086095777,7.23,-1.520545664,-0.490096016,4637.05,0.952509923,0.895884322,0.027017839,0,0,-2.095859716
27,150623,0.781625998,5.56122255,6.73,-1.808926021,-0.590421028,4786.09,0.971080084,0.89730047,0.030163189,0,0,-2.446015029
28,150624,-3.236123624,5.943324972,7.07,-5.392125672,-0.61795174,4880.13,0.967813215,0.900086851,0.033938575,0,0,-1.995557074
29,150625,-5.517356162,4.784089796,5.21,-4.533655367,-0.571623696,4706.52,0.902920383,0.899316315,0.033676489,0,0,-0.107020314
30,150626,-5.517384929,6.224123108,6.04,-7.5740615,-0.69031058,4336.19,0.904194256,0.89884452,0.033531187,0,0,-0.159545083
31,150629,2.982622611,7.147059382,6.8,-5.796291965,-0.713123815,4191.55,0.948154098,0.9002067,0.034996154,0,0,-1.370076173
32,150630,-5.517203267,7.171146123,7.12,-9.693711805,-0.724832835,4473.0,0.964159701,0.904205119,0.037545504,0,0,-1.59685117
33,150701,-1.736966311,8.798293951,7.95,-1.327302819,-0.825714267,4253.02,0.960745272,0.908451268,0.038942766,0,0,-1.342842581
34,150702,-0.864802659,6.95349063,6.04,1.137677436,-0.73383233,4108.0,0.967811347,0.913851272,0.039329117,0,0,-1.37201339
35,150703,0.113345692,5.752594529,4.87,2.89802241,-0.74687192,3885.92,0.976988092,0.918860802,0.040717368,0,0,-1.427579761
