time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model8,y_test_model9,y_test_model10,y_test_model11,y_real
150514,1.699726554,-2.090432176,0.94412066,0.191195873,1.530555021,-1.410792764,2.030603374,-0.513420613,1.388842507,-2.415618095,0.454960979,0.081215537,1.292500459,1.957233341,3.318658224,0.604375068,1.635302738,-0.609718542,1.879904063,0.151762901,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,0,0,0,0,0,0,0,0,0,0,0
150515,1.530555021,-1.410792764,2.030603374,-0.513420613,1.388842507,-2.415618095,0.454960979,0.081215537,1.292500459,1.957233341,3.318658224,0.604375068,1.635302738,-0.609718542,1.879904063,0.151762901,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,0,0,0,0,0,0,0,0,0,0,0
150518,1.388842507,-2.415618095,0.454960979,0.081215537,1.292500459,1.957233341,3.318658224,0.604375068,1.635302738,-0.609718542,1.879904063,0.151762901,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,0,0,0,0,0,0,0,0,0,0,0
150519,1.292500459,1.957233341,3.318658224,0.604375068,1.635302738,-0.609718542,1.879904063,0.151762901,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,0,0,0,0,0,0,0,0,0,0,0
150520,1.635302738,-0.609718542,1.879904063,0.151762901,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,0,0,0,0,0,0,0,0,0,0,0
150521,1.999231506,-0.910875801,1.684780773,0.291362362,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,5.024415423,2.430375505,3.090155733,2.438051041,1,0,0,0,0,0,1,0,0,0,0
150522,1.750121052,-0.532236767,1.490013849,0.682133036,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,5.024415423,2.430375505,3.090155733,2.438051041,6.343177758,0.390917463,2.488459858,2.084403462,0,0,0,0,0,0,0,0,0,0,0
150525,1.913555595,-1.168172732,1.555942866,0.148152219,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,5.024415423,2.430375505,3.090155733,2.438051041,6.343177758,0.390917463,2.488459858,2.084403462,5.80480453,0.422416458,2.812747509,1.415402859,1,0,0,0,0,0,1,0,0,1,0
150526,2.941004475,-1.614626102,0.529316604,1.304789593,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,5.024415423,2.430375505,3.090155733,2.438051041,6.343177758,0.390917463,2.488459858,2.084403462,5.80480453,0.422416458,2.812747509,1.415402859,5.268517539,3.033993674,3.424804677,2.727493665,0,0,0,0,0,0,0,0,0,0,0
150527,1.917572619,-0.250376961,2.26842487,0.099133739,1.701803398,-0.812807328,1.526406453,0.315698678,1.341139617,-1.308923166,1.153926565,0.078852743,1.456386512,-1.028323504,0.192921889,1.356741053,1.412316561,-0.678700242,0.537397112,1.298331582,1.265141058,-0.468193859,0.166497731,1.777050779,1.341257115,0.569781507,2.114193383,0.692319506,1.463008438,0.706631434,2.835327203,0.159836819,2.364830463,-0.113136926,2.311508434,0.550731879,3.476436865,-0.664929424,2.187572926,0.809714194,1.376529307,-0.291635928,1.44395755,0.990635817,3.634771788,-1.632561842,0.842396313,0.861800247,3.897422502,-0.115940039,2.19545408,0.768768147,4.319116597,1.211865478,2.852466026,1.419116758,4.838201763,0.919537488,2.348249455,1.920942761,5.024415423,2.430375505,3.090155733,2.438051041,6.343177758,0.390917463,2.488459858,2.084403462,5.80480453,0.422416458,2.812747509,1.415402859,5.268517539,3.033993674,3.424804677,2.727493665,7.150311073,1.233478339,2.595571452,3.01346415,0,0,0,0,0,0,0,0,0,0,0
