trade_date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
20150209,0.365043378,-0.028788318,0.467732805,-0.180558034,0.144830919,0.165276067,-0.158157287,0.462881197
20150210,0.552812365,-0.055210704,0.986812508,-0.250559747,0.263718053,0.325138813,-0.208212577,0.905330797
20150211,0.620634166,-0.11778865,0.938769581,-0.290067257,0.16694839,0.393259254,-0.212172606,0.791007109
20150212,0.71127303,-0.120912983,1.436170813,-0.365600016,0.153837282,0.706200704,-0.273766249,1.079417394
20150213,0.757537783,-0.200380969,1.388472002,-0.412952006,0.00908948,0.805231967,-0.252621802,0.926611235
20150216,0.819384162,-0.082999195,1.291274626,-0.375201896,-0.033919829,0.702656265,-0.132579828,0.788745717
20150217,0.903003361,-0.070792966,1.218142441,-0.379959307,-0.025628682,0.61849162,-0.104631376,0.757224381
20150225,0.658425066,0.436978477,0.856959023,-0.301977256,-0.218729864,0.59106753,0.079097415,0.520784885
20150226,1.125497014,0.224834001,0.786129493,-0.333526982,-0.117440919,0.234399555,0.206364743,0.415519154
20150227,1.137845018,0.577975626,0.974746457,-0.392459121,-0.175743077,0.420087454,0.213721406,0.597600084
20150302,1.167161227,0.794052578,0.7871056,-0.365005298,-0.210076741,0.267208116,0.354208395,0.479297563
20150303,0.522224396,1.26272098,0.635169164,-0.292485355,-0.418079331,0.803890357,0.099595704,0.536774021
20150304,0.569691067,1.118049615,0.871723376,-0.212769633,-0.386585734,0.508003962,0.530741193,0.39831147
20150305,0.3123508,1.302063465,0.73079117,-0.158727111,-0.516116674,0.773052195,0.400077985,0.361811803
20150306,0.390191554,1.233021406,0.857430638,-0.119812235,-0.477851288,0.517972386,0.700041459,0.26856509
20150309,0.835583551,1.207953043,0.61405882,-0.20984943,-0.496288431,0.135191754,0.925666734,0.100101285
20150310,0.527022758,1.584463893,0.325759344,-0.221925511,-0.660008857,0.602750812,0.526658513,0.099201267
20150311,0.661826704,1.441463855,0.434462175,-0.170088025,-0.668124347,0.377975756,0.832056341,-0.027618345
20150312,1.262858884,1.144352155,0.345275515,-0.284682118,-0.612885986,-0.015943626,0.996339598,-0.174319672
20150313,1.297986937,1.300503141,0.136008496,-0.342457071,-0.651107308,0.060913843,0.834456123,-0.195120154
20150316,1.736671533,1.295386038,-0.146503688,-0.347794194,-0.57382302,-0.350104178,0.962130696,-0.325519225
20150317,2.305646109,0.261555728,0.243030453,-0.100785779,-1.13345717,0.543203668,0.827727942,-1.058329781
20150318,3.136157764,0.37439386,0.191570215,-0.097560738,-0.614077867,-0.071790594,0.752757382,-0.482867395
20150319,2.774687832,0.17278713,-0.031327465,0.448366461,-1.105987681,0.71667939,0.64827734,-0.746691257
20150320,3.408901556,0.070772415,-0.239107177,0.396480621,-0.78412232,0.092167842,0.685140189,-0.780588417
20150323,4.017676291,-1.494736874,-1.334834605,2.316519424,-1.817561438,0.982769675,0.87878722,-1.218755273
20150324,3.389194526,-2.332876497,-3.705426916,6.226777888,-3.212241807,1.939499486,2.018697542,1.746807463
