feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.365043378,-0.028788318,0.467732805,-0.180558034,0.144830919,0.165276067,-0.158157287,0.462881197,0.066117321,-0.066408066,-0.01608358
0.552812365,-0.055210704,0.986812508,-0.250559747,0.263718053,0.325138813,-0.208212577,0.905330797,0.062528137,-0.151033975,0.007743411
0.620634166,-0.11778865,0.938769581,-0.290067257,0.16694839,0.393259254,-0.212172606,0.791007109,0.042223087,-0.174827993,0.000834258
0.71127303,-0.120912983,1.436170813,-0.365600016,0.153837282,0.706200704,-0.273766249,1.079417394,-0.018223884,-0.262833753,0.020796719
0.757537783,-0.200380969,1.388472002,-0.412952006,0.00908948,0.805231967,-0.252621802,0.926611235,-0.062979027,-0.279506668,0.028957862
0.819384162,-0.082999195,1.291274626,-0.375201896,-0.033919829,0.702656265,-0.132579828,0.788745717,-0.082480712,-0.286533311,0.01420966
0.903003361,-0.070792966,1.218142441,-0.379959307,-0.025628682,0.61849162,-0.104631376,0.757224381,-0.081093915,-0.296272416,0.019873066
0.658425066,0.436978477,0.856959023,-0.301977256,-0.218729864,0.59106753,0.079097415,0.520784885,-0.221844752,-0.203453797,0.004628646
1.125497014,0.224834001,0.786129493,-0.333526982,-0.117440919,0.234399555,0.206364743,0.415519154,-0.170802376,-0.286797706,0.012531856
1.137845018,0.577975626,0.974746457,-0.392459121,-0.175743077,0.420087454,0.213721406,0.597600084,-0.306806529,-0.349884828,0.007813382
1.167161227,0.794052578,0.7871056,-0.365005298,-0.210076741,0.267208116,0.354208395,0.479297563,-0.350062302,-0.357248496,0.005624797
0.522224396,1.26272098,0.635169164,-0.292485355,-0.418079331,0.803890357,0.099595704,0.536774021,-0.395914696,-0.188290072,-0.008097363
0.569691067,1.118049615,0.871723376,-0.212769633,-0.386585734,0.508003962,0.530741193,0.39831147,-0.476658128,-0.196028597,-0.017104373
0.3123508,1.302063465,0.73079117,-0.158727111,-0.516116674,0.773052195,0.400077985,0.361811803,-0.484925155,-0.07633509,-0.011084453
0.390191554,1.233021406,0.857430638,-0.119812235,-0.477851288,0.517972386,0.700041459,0.26856509,-0.539951627,-0.104708481,-0.017831379
0.835583551,1.207953043,0.61405882,-0.20984943,-0.496288431,0.135191754,0.925666734,0.100101285,-0.597210076,-0.28670013,0.011473541
0.527022758,1.584463893,0.325759344,-0.221925511,-0.660008857,0.602750812,0.526658513,0.099201267,-0.56869304,-0.1693659,-0.013349084
0.661826704,1.441463855,0.434462175,-0.170088025,-0.668124347,0.377975756,0.832056341,-0.027618345,-0.621859942,-0.214670036,0.008626522
1.262858884,1.144352155,0.345275515,-0.284682118,-0.612885986,-0.015943626,0.996339598,-0.174319672,-0.605834062,-0.402243721,0.026213113
1.297986937,1.300503141,0.136008496,-0.342457071,-0.651107308,0.060913843,0.834456123,-0.195120154,-0.590752975,-0.414706929,0.022737611
1.736671533,1.295386038,-0.146503688,-0.347794194,-0.57382302,-0.350104178,0.962130696,-0.325519225,-0.555590834,-0.464918147,0.024597754
2.305646109,0.261555728,0.243030453,-0.100785779,-1.13345717,0.543203668,0.827727942,-1.058329781,-0.490605904,-0.171669094,0.02388341
3.136157764,0.37439386,0.191570215,-0.097560738,-0.614077867,-0.071790594,0.752757382,-0.482867395,-0.404053112,-0.412159704,0.037664995
2.774687832,0.17278713,-0.031327465,0.448366461,-1.105987681,0.71667939,0.64827734,-0.746691257,-0.374570776,-0.105160532,0.130225658
3.408901556,0.070772415,-0.239107177,0.396480621,-0.78412232,0.092167842,0.685140189,-0.780588417,-0.222616246,-0.08538717,0.07934362
4.017676291,-1.494736874,-1.334834605,2.316519424,-1.817561438,0.982769675,0.87878722,-1.218755273,0.157802812,0.389550298,0.067646193
3.389194526,-2.332876497,-3.705426916,6.226777888,-3.212241807,1.939499486,2.018697542,1.746807463,0.207118216,-0.78070009,-0.030794812
2.200741265,3.304716135,-0.814419949,-0.174314393,0.551930609,-1.669458972,0.796273879,0.818519517,-0.49994078,-0.34188671,0.510097098
0.683994545,0.644156214,1.418173772,-0.046985552,0.127751376,0.416241188,0.146461224,0.586272779,-0.58746765,-0.57529549,0.077562201
0.786522654,0.734143364,1.270233752,-0.076423613,0.113079069,0.382723958,0.101134539,0.529257625,-0.580524733,-0.608290233,0.044279165
1.665114964,0.648145653,0.770099735,-0.163073565,0.25010947,-0.198962128,0.132207857,0.304946755,-0.504445117,-0.755513926,0.041388039
1.280751653,1.371773361,0.735065617,-0.178820863,0.204059332,0.126057558,-0.067683203,0.493333136,-0.718536902,-0.844873692,0.046510724
1.819140735,1.176256041,0.654056703,-0.154671175,0.408179592,-0.492786293,0.214873911,0.436561621,-0.666941155,-0.920507054,0.051234894
