,Model,tn,fp,fn,tp,auc,log_loss,acc,ppv,tpr,fpr,forr,tnr,fnr,fdr,npv,f1,lrp,lrn,lift,youden
0,1,1338,313,20,68,0.7915726006277187,6.613952164175336,0.8085106382978723,0.1784776902887139,0.7727272727272727,0.18958207147183526,0.014727540500736377,0.8104179285281647,0.2272727272727273,0.821522309711286,0.9852724594992637,0.2899786780383795,4.075951205344176,0.28043891833129503,3.5269625387735624,0.5831452012554375
1,2,1651,0,2,86,0.9886363636363636,0.03972257204705181,0.9988499137435307,1.0,0.9772727272727273,0.0,0.0012099213551119178,1.0,0.022727272727272707,0.0,0.9987900786448881,0.9885057471264368,inf,0.022727272727272707,19.761363636363637,0.9772727272727273
2,3,540,1111,21,67,0.5442190683332415,22.483486619772187,0.34905117883841286,0.056876061120543296,0.7613636363636364,0.6729254996971532,0.0374331550802139,0.3270745003028468,0.23863636363636365,0.9431239388794567,0.9625668449197861,0.10584518167456555,1.1314233696096883,0.7296085858585858,1.1239485260070998,0.08843813666648315
3,4,1642,9,36,52,0.7927289246186884,0.8937620092857124,0.9741230592294422,0.8524590163934426,0.5909090909090909,0.005451241671714113,0.021454112038140644,0.9945487583282859,0.40909090909090906,0.14754098360655743,0.9785458879618594,0.697986577181208,108.3989898989899,0.41133318569372157,16.84575260804769,0.5854578492373769
4,6,1639,12,68,20,0.6100022025218875,1.5889083995181241,0.9539965497412306,0.625,0.22727272727272727,0.0072683222289521504,0.03983596953719976,0.9927316777710479,0.7727272727272727,0.375,0.9601640304628002,0.3333333333333333,31.26893939393939,0.778384824449498,12.350852272727273,0.2200044050437751
5,7,1651,0,4,84,0.9772727272727273,0.0794451440941026,0.9976998274870615,1.0,0.9545454545454546,0.0,0.002416918429003021,1.0,0.045454545454545414,0.0,0.997583081570997,0.9767441860465117,inf,0.045454545454545414,19.761363636363637,0.9545454545454546
6,8,1349,302,22,66,0.7835402786190188,6.435195532130524,0.8136860264519838,0.1793478260869565,0.75,0.18291944276196245,0.016046681254558718,0.8170805572380375,0.25,0.8206521739130435,0.9839533187454412,0.28947368421052627,4.100165562913907,0.3059673832468495,3.544157608695652,0.5670805572380375
7,9,1651,0,10,78,0.9431818181818181,0.198612860235255,0.9942495687176538,1.0,0.8863636363636364,0.0,0.006020469596628537,1.0,0.11363636363636365,0.0,0.9939795304033715,0.9397590361445783,inf,0.11363636363636365,19.761363636363637,0.8863636363636364
8,10,1578,73,70,18,0.5801649138263312,2.8401974669836885,0.9177688326624497,0.1978021978021978,0.20454545454545456,0.044215626892792244,0.04247572815533981,0.9557843731072078,0.7954545454545454,0.8021978021978022,0.9575242718446602,0.2011173184357542,4.626089663760897,0.8322531397626454,3.9088411588411587,0.16032982765266232
9,11,1337,314,20,68,0.7912697538681791,6.6338139100018685,0.8079355951696378,0.17801047120418848,0.7727272727272727,0.1901877649909146,0.014738393515106854,0.8098122350090854,0.2272727272727273,0.8219895287958116,0.9852616064848931,0.2893617021276596,4.062970469021424,0.2806486707010267,3.5177296525464063,0.5825395077363581
