trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20150209,-1.092657594,0.139867052,0.048457332,0.308110515,-0.345008773,0.389082503,-0.459350142,-0.036726964,-0.725205071
20150210,-0.786642094,-0.289645035,0.061569714,-0.099848482,-0.47080982,-0.248181212,-0.464420112,-0.038336059,-0.728186983
20150210,-1.092657594,0.242919864,0.064264265,0.446525175,-0.024582786,0.971543592,-0.470977273,-0.038030515,-0.725183923
20150211,-0.786642094,-0.340795336,0.037971629,-0.059781081,-0.573481527,-0.41916468,-0.448720105,-0.03745494,-0.715286513
20150211,-1.092657594,0.239911023,0.052045519,0.486592576,-0.159974048,0.799314612,-0.463744116,-0.037056666,-0.720298663
20150212,-0.684636928,-0.504777183,0.033632759,-0.227335669,-0.625945641,-0.650912759,-0.45468577,-0.038436683,-0.725987559
20150212,-0.786642094,-0.382166903,0.038859952,-0.045211117,-0.232746851,-0.045611139,-0.457339054,-0.038200308,-0.709872546
20150212,-1.092657594,0.220353555,0.049599598,0.50116254,-0.034737131,0.987716962,-0.466955097,-0.037568055,-0.71896632
20150213,-0.684636928,-0.564201798,0.017954518,-0.205480723,-0.694205402,-0.788496298,-0.429842917,-0.037554194,-0.715117327
20150213,-0.786642094,-0.462653406,0.020977203,-0.02335617,-0.302699003,-0.211649178,-0.442247444,-0.037365596,-0.706742596
20150213,-1.092657594,0.178229778,0.046529526,0.523017487,-0.132895796,0.82907874,-0.433527096,-0.033341395,-0.721102299
20150216,-0.684636928,-0.556679695,0.058455533,-0.190910759,-0.719591264,-0.795822853,-0.474576952,-0.039147546,-0.713065941
20150216,-0.786642094,-0.444600359,0.059275985,-0.008786206,-0.342752252,-0.191006615,-0.47665564,-0.039135866,-0.704966137
20150216,-1.092657594,0.200043877,0.055171117,0.537587451,-0.16505122,0.884833818,-0.47824423,-0.038934867,-0.720996557
20150217,-0.684636928,-0.523582441,0.069229907,-0.128988411,-0.728053218,-0.768998501,-0.469168984,-0.038937219,-0.710084029
20150217,-0.786642094,-0.392697847,0.071274017,0.053136142,-0.394088105,-0.171252392,-0.474407953,-0.038987397,-0.702386043
20150217,-1.092657594,0.277521539,0.060012229,0.599509799,-0.212438162,0.9172813,-0.477145737,-0.038726058,-0.722815312
